start	end	text
0	8800	Unelected, unvetted, and completely unaccountable, this one man has chosen to put all of our
8800	14880	lives in grave danger so that he can make money and fulfill his dreams of radically
14880	21960	altering human existence as we have never known it without even an effort to get any
21960	26400	consent from you or anyone else in the general public.
26800	30320	Here's the really crazy part of it.
30320	33280	He tells us all of this openly.
33280	34920	There is no deception.
34920	37720	He admits all of it.
37720	41920	You have an incredible amount of power at this moment in time.
41920	44920	Why should we trust you?
44920	45920	You shouldn't.
45920	46920	You shouldn't.
46920	47920	You shouldn't.
47920	48920	You shouldn't.
48920	51160	Let's be very clear.
51160	57160	The man who signed the 22-word statement admitting that his AI technology has the power to kill
57160	62760	all life on Earth and must be mitigated like nuclear arms and pandemic is also saying to
62760	67560	you directly that he should not be trusted.
67560	71720	When people show you who they are, believe them.
71720	72720	Yes.
72720	75480	In general, it's the process for the bigger question of safety.
75480	80040	How do you provide that layer that protects the model from doing crazy, dangerous things?
81040	88040	I think there will come a point where that's mostly what we think about the whole company.
88040	89040	Aha.
89040	90040	Hmm.
90040	95560	Okay, so at some point, the safety crisis will be so urgent the entire company will
95560	98640	need to deal with it.
98640	100280	Hear him.
100280	101840	Believe him.
101840	108360	The thing he's making will be very unsafe and at an unknown point, the guy who says,
108800	117800	Trust me wants us to trust him that he will at the exact right moment know to throw the
117800	121800	whole company into safety work.
121800	125000	But just not quite yet.
125000	131480	I thought at some point between when Open AI started and when we created AGI, there was
131480	135720	going to be something crazy and explosive that happened, but there may be more crazy
135720	145160	and explosive things still to happen.
145160	152240	Welcome to For Humanity and AI Safety Podcast, episode number 22, Nobody Elected, Sam Aldman.
152240	153720	I'm Jon Sherman, your host.
153720	155760	Thank you so much for joining me.
155760	158800	In America, we elect our leaders.
158800	164600	They audition their ideas and then our government of by and for the people votes to decide our
164600	168840	collective direction and decisions.
168840	173600	But the American making the most consequential decisions in human history right now as I
173600	179640	speak hasn't been elected by anyone nor would he be.
179640	184160	His ideas poll very poorly with the general public.
184160	191400	He says go the public says stop poll show more than 70% are opposed to building superhuman
191400	193200	intelligence.
193200	197640	So this week, we're going to focus on the most important human in AI who is also the
197640	203720	most important human who has ever lived sadly.
203720	206920	Today's show is going to point fingers and lay blame.
206920	213000	Sam Aldman is why we are at the most dangerous moment in human history that we are at right
213000	214640	now.
214640	217120	This is the AI Safety Podcast for the general public.
217120	218640	No tech background required.
218640	225320	This podcast is solely about the threat of human extinction from artificial intelligence.
225320	229480	At the end of today's show, we're going to talk about how hard it is to convince people
229480	236200	to believe that AI risk is so much of a risk, they are moved to take action.
236200	239080	I have some new insight into that.
239080	246160	But first, it is not hyperbole to say that open AI CEO Sam Aldman holds the life of every
246160	250880	single human on earth in his hands.
250880	261240	Your kids, your parents, your friends, his knife is at each of their throats.
261240	265120	Sam Aldman was on the Lex Friedman podcast very recently.
265120	270400	And so I felt compelled to break that down for you this week.
270400	275640	Sam was also in a very hard hitting piece in business insider this week.
275640	279960	There's a link in the description as there will be to the Lex podcast.
279960	286920	The title of the business insider article was some VCs are over the Sam Altman hype.
286920	288160	Sounds good to me.
288160	291520	Next subheading the platform of Sam.
291520	294320	This is what I want to read you from the article.
294320	298780	Some who know Altman paint a picture of a benevolent visionary, a thoughtful steward
298780	300740	of a promising technology.
300740	306480	They see his plan to build a far reaching AI empire that touches everything from nuclear
306480	312380	fusion to anti-aging technology as a leap forward for humanity.
312380	317940	Others say he's more interested in self-promotion than human advancement.
317940	324360	All agree he's a masterful storyteller who could sell sand in the Sahara.
324360	329460	But as Altman lays out a sweeping vision for the transformation of society, not everyone
329480	333120	in Silicon Valley is buying it quote.
333120	337280	There are holes a mile deep in this guy's resume, but he's managed to figure out how
337280	340840	to take his chess pieces and move them correctly.
340840	343880	An anonymous startup founder said.
343880	348240	And now one of the things went crazy.
348240	350480	And he's an AI expert.
350480	357980	Okay, so my point in reading that is this Sam Altman is a tech CEO from the sales side.
