start	end	text
0	5000	Okay, welcome everybody.
5000	7000	Very glad you could make it for this talk.
7000	9000	I've been working on this for a while.
9000	10000	I'm really excited about it.
10000	14000	If you don't know me, I am Gabriel,
14000	17000	and I'm an instructor here at Fullstack Academy of Code.
17000	20000	My social media presence is G. Lebec everywhere,
20000	23000	except, unfortunately, and somewhat ironically,
23000	25000	given the subject of this talk at Twitter,
25000	27000	where I was forced to use an underscore.
27000	30000	There's going to be resources available on my GitHub
30000	32000	at slash G. Lebec slash Lambda Talk,
32000	35000	so you can go find additional stuff after this.
35000	38000	All right, so let's just dive in and get started.
38000	41000	I want to start by pointing out a minute node ripple here.
41000	44000	I can do kind of typical JavaScript-y stuff,
44000	47000	but we're going to avoid JavaScript in the sort of classical sense
47000	50000	as much as possible, and start off with this function
50000	53000	called I or identity.
53000	55000	Now, just looking at the function,
55000	57000	if I invoke it with some value,
57000	59000	what am I going to get back here?
59000	64000	Yeah, identity of one is one, identity of two is two.
64000	68000	What about the identity of identity?
68000	71000	Yeah, it's the identity function.
71000	74000	So, very simply, the identity combinator
74000	79000	is a function that takes in an input A
79000	81000	and it returns an output A.
81000	84000	Basically, it just reflects back a value.
84000	86000	So, the identity of any X is X,
86000	88000	and we saw that in this particular paradigm,
88000	91000	we're allowed to use functions as arguments.
91000	93000	Verbs are nouns and nouns are verbs,
93000	97000	so the identity of identity is itself.
97000	100000	In Haskell, this is actually built into the Prelude module,
100000	103000	which is the base standard module for the language,
103000	105000	as the ID function.
105000	107000	As you can see, it takes an argument five
107000	109000	and gives you back five.
109000	112000	So, looking at this, I just flashed a bunch of stuff on the screen.
112000	114000	You might be thinking, what's this lambda stuff
114000	116000	that's sitting up here?
116000	118000	So, lambda is a signifier.
118000	120000	It's a notation that we're going to use
120000	123000	to indicate that we're starting the definition of a function.
123000	127000	So, we can read this as we're starting to define a function,
127000	130000	which takes a single input or parameter,
130000	133000	and it returns some expression, some body.
133000	136000	And this whole thing is called a lambda abstraction
136000	137000	in the lambda calculus,
137000	141000	but it basically just means it's a unary anonymous function.
141000	144000	Unary meaning it takes a single input.
144000	149000	The lambda calculus is a really tiny symbol manipulation framework.
149000	153000	A calculus is just a way of moving around symbols on a page.
153000	157000	The subject that you may have learned in school called calculus
157000	160000	is a specific calculus for things like differentials
160000	164000	and integrals and stuff like that, derivatives.
164000	167000	And so, this calculus is about something else.
167000	172000	This calculus is about evaluating and defining functions.
172000	175000	So, in the lambda calculus, we have variables,
175000	177000	which are pretty boring.
177000	178000	Please come in.
178000	180000	We've got expressions,
180000	185000	which are the application of some function to its argument.
185000	189000	We've got an expression that is itself a function definition,
189000	193000	an abstraction instead of a concrete thing like 1 plus 5,
193000	195000	1 plus 6, 1 plus 7.
195000	198000	We have something like 1 plus A.
198000	200000	And A can be anything.
200000	202000	It's become abstracted.
202000	205000	And we have groupings to disambiguate the order
205000	208000	in which we should be doing certain operations.
208000	210000	This is the entire lambda calculus.
210000	211000	All right.
211000	212000	So, talk's over.
212000	213000	I can go home now.
213000	215000	No, we're going to see some examples of this.
215000	219000	So, let's start with just a couple of cross comparisons here.
219000	223000	Variables in the lambda calculus, as I mentioned, are extremely boring.
223000	227000	One thing to note here is that these variables are immutable.
227000	229000	They cannot be changed after the fact.
229000	233000	There's no concept of assignment, per se, in the lambda calculus.
233000	235000	There is binding, which we'll see shortly.
235000	238000	But if this variable is bound to a value,
238000	242000	that's its value for now and forevermore.
242000	245000	So, no, let all const.
245000	247000	Applications are slightly more interesting.
247000	249000	This is applying a function to its arguments.
249000	252000	And in the lambda calculus, that's just juxtaposition.
252000	254000	It's just a space.
254000	256000	There's no parens for invocation,
256000	259000	which at first, if you're used to something like JavaScript,
259000	261000	it's a little disconcerting.
261000	265000	But in reality, it ends up removing a lot of noise from our expressions.
265000	266000	And as this talk goes on,
266000	270000	you're probably going to see it's becoming easier and easier to read the lambda calculus
270000	273000	rather than trying to parse the JavaScript.
273000	276000	So, here we apply a function f to its argument a.
276000	278000	We can apply multiple arguments,
278000	281000	but in the lambda calculus, all functions are unary.
281000	283000	So, this is really a curried function.
283000	285000	This is an f that takes an a,
285000	287000	and that returns a new function,
287000	290000	which is not written down, which takes a b.
290000	292000	Let's try this out.
292000	296000	Let's do kind of a classic example of a curried addition function.
296000	298000	We'll say that add takes an a,
298000	303000	and it takes a b, and it returns a plus b.
303000	308000	So, if we call add with just some single argument,
308000	310000	we get back some function.
310000	313000	If we call that function with an additional argument,
313000	316000	now we get the final result.
316000	319000	Pretty familiar stuff, I think, for this crowd.
319000	323000	So, f a b, you can read that as first it takes an a,
323000	325000	and then a b, and if there are more arguments,
325000	327000	they get fed in one by one,
327000	331000	going from the leftmost argument onwards,
331000	333000	marching kind of toward the right.
333000	336000	We can make this clear with parentheses.
336000	339000	We can say, first apply f to a,
339000	341000	and then apply the result of that to b,
341000	343000	but this isn't necessary because we say
343000	345000	that function application is left associative.
345000	347000	So, these are really useless parentheses,
347000	351000	and we'll omit them in most of our examples.
351000	354000	Finally, we can use parentheses to force evaluations
354000	356000	to occur in a different order.
356000	358000	So, here this is actually a different expression.
358000	361000	This means something else in the lambda calculus.
361000	363000	It means we're going to first apply a to b,
363000	367000	and the result of that will be the argument to f.
367000	369000	Hi, hello.
369000	371000	Welcome.
371000	376000	So, just to summarize for everybody who's just arrived,
376000	378000	we're starting to define the syntax
378000	382000	of a very small language called the lambda calculus.
382000	385000	And this is just something that takes functions,
385000	387000	applications of functions to arguments,
387000	389000	and parentheses for grouping.
389000	391000	That's really it.
391000	394000	So, really high level review of just this last slide.
394000	397000	F a means invoke f with a,
397000	400000	and you'll get more as we go.
400000	403000	So, let's talk about function definition in the lambda calculus.
403000	405000	As I said before, we use a lambda to indicate
405000	407000	that we're defining a new function.
407000	409000	So, we got lambda calculus on the left,
409000	410000	JavaScript on the right.
410000	413000	This is a function that takes an a and returns whatever b is.
413000	415000	Sort of throws away a,
415000	418000	a b becomes irrelevant in this expression.
418000	421000	The function abstraction like this is greedy.
421000	425000	The body swallows up as much stuff to the right as it can,
425000	428000	and that's all included in the body of this lambda abstraction.
428000	431000	So, up into the point where it would stop making sense,
431000	436000	like if you're using parens to force things to be evaluated differently.
436000	439000	So, this indicates a function that takes an a,
439000	443000	and it invokes b with x as its argument.
443000	445000	We can disambiguate this with parentheses,
445000	448000	but as I said, since lambda abstractions
448000	450000	greedily swallow up everything to the right,
450000	452000	these are actually useless parentheses,
452000	457000	and we'll not really show them in most of the upcoming examples.
457000	459000	On the other hand, if we use parentheses
459000	462000	to force the thing on the left to be a function with a body
462000	465000	that's just the b variable,
465000	468000	now this is a different expression.
468000	471000	Now we're saying take a function that goes from a to b
471000	476000	and apply it to the argument x.
476000	479000	As we saw a second ago in a demonstration
479000	482000	in the lambda calculus we're allowed to nest functions.
482000	485000	So, this is a function that takes an a
485000	489000	and returns a new function that new function takes a b
489000	492000	and that function returns an a.
492000	496000	So, just to reprise our curried addition function from a second ago,
496000	499000	we have this function that takes an a,
499000	501000	returns a function that takes a b,
501000	503000	and that returns a plus b.
503000	508000	So, we have to feed out the arguments not like this all at once,
508000	512000	but rather each argument one at a time
512000	516000	in a successive invocations,
516000	521000	and we get the result we want, known as currying.
521000	524000	Again, we can clarify this using parentheses.
524000	527000	The lambda on the left returns the inner lambda,
527000	529000	and then we can use that.
529000	531000	But since these are useless parentheses,
531000	535000	we'll omit them in most of the examples.
535000	536000	How are we doing so far?
536000	540000	Questions about the bare syntax of the lambda calculus?
540000	543000	As you can see, it's very similar to JavaScript,
543000	546000	except you don't have parentheses around function invocation.
546000	548000	You just put things next to each other,
548000	550000	and that indicates apply a function on the left
550000	554000	to the argument on the right.
554000	556000	Cool.
556000	557000	All right.
557000	559000	So, I swear this is going to be the most complicated bit
559000	561000	of lambda calculus syntax we have to deal with.
561000	563000	It's called beta reduction.
563000	566000	It's got a scary name, but it really just means
566000	570000	tracing the logic, evaluating the function invocations,
570000	572000	seeing what we end up with.
572000	576000	So beta reduction is just the act of taking a function
576000	579000	and applying it to its argument.
579000	581000	So here we've got this function in red
581000	583000	applied to the argument underlined.
583000	585000	What we do is we take the argument,
585000	588000	and it comes in as the parameter of the function.
588000	591000	This is a function that takes an A and returns an A.
592000	595000	So this argument, the BCB function,
595000	599000	is going to replace in the body of the function every A.
599000	601000	We go look in the body, find all the As,
601000	604000	and we substitute in this other expression.
604000	609000	And that gives us this first simplification.
609000	611000	Well, we continue doing this.
611000	613000	We've got a new function, the BCB function,
613000	616000	being applied to another argument, the X argument.
616000	618000	So we're going to take the X argument
618000	622000	and substitute it in as the parameter to the function.
622000	624000	So we go look inside the function body,
624000	627000	find all the B's, and replace them all with X's.
627000	631000	And we get this new function as a result.
631000	633000	Once again, we've got a function
633000	635000	that we're going to apply to an argument.
635000	639000	We take the argument, we pass it into the function's parameter.
639000	641000	We go look in the body for all the C's.
641000	643000	There are no C's in this body.
643000	645000	We replace all the C's with that argument,
645000	648000	and that gives us this simplification.
648000	650000	At this point, we've got nothing left to do.
650000	652000	There are no more reducible expressions.
652000	654000	So we say this is in beta normal form,
654000	656000	which is just a hilarious way of saying
656000	661000	we've fully evaluated the function in a terminal way.
661000	664000	So it looks a little dense
664000	666000	compared to what you're used to with JavaScript,
666000	671000	but it's really nothing that we haven't done many times in JavaScript.
671000	674000	Taking a function, passing in arguments as the parameters,
674000	677000	and then in the body, everywhere that parameter exists,
677000	680000	it's been replaced by a value.
680000	682000	There's some caveats here.
682000	684000	I'm not going to cover in this presentation.
684000	686000	If you could do multiple reductions
686000	689000	in different places in the expression simultaneously,
689000	693000	there are caveats and strategies to which ones you should do first.
693000	697000	And there's also possible ways that two separate functions
697000	699000	that coincidentally share the same variable names,
699000	702000	you want to avoid conflating those two variables,
702000	703000	which mean different things.
703000	705000	So there are some gotchas,
705000	709000	but they're kind of outside the scope of this talk.
709000	712000	Let's see another combinator here, the mockingbird.
712000	714000	This is a fun function.
714000	716000	It takes a function as input,
716000	721000	and it invokes that function passing in itself.
721000	725000	This is the self-application combinator.
725000	726000	Whoa, what's happening here?
726000	727000	This is craziness.
727000	728000	Let's try it out.
728000	731000	The mockingbird is a function that takes a function,
731000	734000	calls the function on itself.
734000	737000	What might the mockingbird of identity be?
737000	743000	Somebody walked me through the logic here.
743000	746000	What's f in this function?
746000	748000	It's the identity.
748000	750000	What are we doing with it?
750000	755000	Identity of identity.
755000	757000	We already solved that before, right?
757000	758000	What is the answer?
758000	760000	It's the identity.
760000	762000	The self-application of identity is identity.
762000	765000	We saw that earlier.
765000	768000	This one's going to be a little bit more disconcerting.
768000	773000	What is the self-application of self-application?
773000	776000	Feel free to yell it out if you think you got it.
776000	785000	It may be hinted at by the fact that I'm putting this in a try-catch block.
785000	790000	Any takers?
790000	792000	Call stack size exceeded.
792000	794000	What just happened?
794000	799000	Well, mockingbird of identity is identity of identity, self-application.
799000	803000	We already know that that is identity, so that made sense.
803000	806000	That does reduce to a better normal form.
806000	811000	But the mockingbird of the mockingbird is the self-application of self-application.
811000	815000	So we take self-application and we apply it to itself.
815000	819000	But if we're going to evaluate that, that's the self-application of self-application.
819000	825000	So we take the self-application and uh-oh, it just goes on forever.
825000	827000	This is a problem.
827000	833000	The problem is we don't always know if some lambda term is going to have a beta normal form.
833000	836000	We don't know if this process ends or not.
836000	838000	Sometimes it doesn't end.
838000	842000	Sometimes it diverges, which means it goes on forever.
842000	847000	And in fact, there's no way to know in a general way if a given expression,
847000	852000	there's no single algorithm that can tell you whether or not one of these expressions will stop.
852000	855000	That's known as the halting problem and Alan Turing figured it out.
855000	861000	Now for an individual one, you can prove through ad hoc means that, yeah,
861000	863000	for instance, this one is going to go on forever.
863000	868000	So it's not that it's always unanswerable, just that there's no one set of steps that you can take
