start	end	text
0	6000	Let's start by asking the most basic question, what is a vector?
6000	12000	And a vector is really just two pieces of information.
12000	19000	Direction and length, or what's also called magnitude.
19000	24000	Two different words for the same thing.
24000	30000	Now length is a very physical visual concept, right?
30000	33000	It's something we can see, it's something we can measure.
33000	40000	And the same with direction, it's our orientation, it's a very visual thing.
40000	46000	So vectors to begin with most intuitively fit on a graph.
46000	51000	They fit in a place where we can visualize them.
51000	58000	And so how could we attempt to capture direction and length?
58000	64000	Well you know, I think an arrow does a pretty good job.
64000	69000	This for instance, for instance, captures direction, it's moving in the northeast direction,
69000	74000	and it also clearly has a certain length.
74000	79000	And so this is a vector, and that's exactly how we graph vectors.
79000	83000	Just as arrows.
83000	91000	This is also a vector, it's pointing in a certain direction, it has a certain length, as is this.
91000	95000	So is this, this is a vector.
95000	99000	Even though it doesn't start at the origin, it's clearly pointing in a certain direction,
99000	103000	so it has direction, and it clearly also has length.
103000	108000	So vectors need not start at the origin, they can start anywhere.
108000	115000	This is also a vector, it's pointing in a certain direction, and it has a certain length.
115000	118000	Okay, that's great.
118000	123000	Now let's look at a specific example.
123000	130000	Here is a vector, and I want to first of all name that vector.
130000	136000	So I'm just going to call it V, and I'm going to put a little arrow over the top of it,
136000	140000	to make sure that we know that this is a vector.
140000	150000	So the vector V, and now I want to capture this information.
150000	157000	I want to capture the information that arrow is telling us, without needing to draw it.
157000	164000	So I'm not going to write this like this, I'm not going to say V is equal to this arrow, that's too ambiguous.
164000	172000	I need something more definite, something with more structure.
172000	179000	Well, this vector moves over a certain amount in the x direction.
179000	184000	Let's say for example, it moves over 3 in the x direction.
184000	191000	It also moves a certain amount up in the y direction.
191000	196000	Let's say for example, it moves up 1.
196000	202000	Well now I can say that this vector is equal to its components.
202000	205000	So that's a new word for us.
205000	220000	It's equal to its x component, which is 3, how much it moves over in x, and its y component, which is 1, which is how much it moves up in y.
220000	238000	So again, this is the x component and the y component.
238000	246000	And now anyone in the world looking at this vector, V equal to 3, 1, can go ahead and draw that vector if they want to.
246000	253000	They know exactly which vector we're talking about when we write that.
253000	264000	Just a bit of notation here, this is also written as a column.
264000	268000	And it's the exact same information, it's just vertical now.
268000	277000	And again, this is still the x component and still the y component.
277000	279000	Okay, let's look at another example.
279000	287000	Let's look at, let's say the vector u.
287000	298000	And let's say it has the components negative 2, 3.
298000	303000	Well that simply means we're moving over negative 2 in x and up 3 in y.
303000	308000	So maybe something right around here.
308000	313000	So this would be 3 in y and negative 2 in the x direction.
313000	321000	And there's our vector.
321000	324000	Nothing to it.
324000	340000	And of course we could have written this as a column vector, negative 2, 3, if we wanted to.
340000	346000	Okay, so we have that down.
346000	354000	But what about direction and length?
354000	357000	Does this capture direction and length?
357000	364000	These just have, just using two components, how does that tell us direction and length?
364000	370000	Well it tells us direction because this is the vector that moves over 3 in x and up 1 in y.
370000	373000	That's its direction, over 3 up 1.
373000	375000	It points in that direction.
375000	378000	But what about length?
378000	381000	Well that's what we're going to talk about in the next video.
381000	385000	But I'll give you a clue.
385000	390000	We've formed a right triangle here.
390000	397000	The components tell us the length of the base and the length of the height of the triangle.
397000	402000	And what we're trying to find is this length here which is the hypotenuse of the right triangle.
402000	409000	So maybe you know some formula or theorem that tells you how to find the length of the hypotenuse of a right triangle.
409000	414000	And if you do then you can figure out the length of this vector.
414000	419000	And that's what we're going to do in the next video. See you then.
419000	424000	Let's find the length of v equal to 3 1.
424000	427000	But before we do that let's just get some notation out of the way.
427000	433000	When we're talking about the length of a vector we write these double bars around it.
433000	438000	Almost like a double absolute value around the vector.
438000	443000	And now this is read the length of v.
444000	452000	So going back to our vector v we have its x component is 3 and its y component is 1.
452000	462000	So that simply means we've moved over 3 in the x direction and up 1 in the y direction.
462000	467000	And now we've formed a right triangle.
467000	478000	And it turns out that the length of this vector is just the hypotenuse of this triangle.
478000	481000	And so we can just use the Pythagorean theorem.
481000	491000	The length of v squared is equal to the 3 squared, the base squared plus the height squared.
491000	497000	So 3 squared plus 1 squared.
497000	506000	This is directly a direct application of the Pythagorean theorem.
506000	512000	And so that implies if we just take the square root of both sides
512000	532000	that the length of v is equal to the square root of 3 squared plus 1 squared.
532000	540000	Which simplifies to the square root of 10.
540000	543000	And it's really just as simple as that.
543000	554000	All we're doing when we're finding the length of a vector is finding the hypotenuse of a right triangle using the Pythagorean theorem.
554000	561000	Okay, let's look at another example.
561000	581000	Let's say we have something like u is equal to negative 2, 7.
581000	582000	So let's draw that.
582000	585000	We're going to move over by 2 and up by 7.
585000	588000	So something like that.
588000	599000	So we've moved over negative 2 and we've moved up by 7.
599000	601000	So maybe I'll erase that.
601000	605000	There we go.
605000	610000	Okay, and now the length of u again is just given by the Pythagorean theorem.
610000	617000	And we can just skip right to the final step.
617000	630000	And this is just going to be equal to the square root of negative 2 squared plus 7 squared.
630000	638000	Which turns out to be 53, the square root of 53.
638000	639000	And that's it.
639000	645000	It's as simple as that.
645000	649000	Okay, let's do another example here.
649000	666000	How about w is equal to 3 negative 2.
666000	668000	Just making stuff up.
668000	685000	Well, then the length of w is just going to be the square root of 3 squared plus negative 2 squared.
685000	688000	So we have 9 plus 4, so this is 13.
688000	692000	This is the square root of 13.
692000	694000	And we could graph that if we wanted to.
694000	699000	We're going to go over 3 down by 2, so it's going to look something like that.
699000	703000	And again, this is down 2 over 3.
703000	710000	We're just talking about the hypotenuse of a right triangle.
710000	716000	Okay, so I hope this was helpful, and I'll see you in the next video.
716000	719000	Now that we have the basics of vectors down,
719000	723000	we should start asking things like what can we do with vectors?
723000	727000	Can we add vectors, for example?
727000	730000	And the answer is yes, we can add vectors.
730000	735000	And let's see how we would do that.
735000	740000	So u plus v, or v plus u, I should say,
740000	750000	v plus u is simply going to be, we're going to take the two vectors and add them.
750000	757000	So I'm running out every step here.
757000	759000	And how do we do this?
759000	763000	Well, we just add their corresponding components together.
763000	769000	So the first component of v plus u is just going to be the first component of v,
769000	775000	which is 3, plus the first component of u.
775000	779000	And you can see, just visually, you can see what's happening here.
779000	786000	The second component of v plus u is just the second component of v plus the second component of u,
786000	794000	which in our case just becomes 4, 6.
794000	798000	So when we add vectors together, we get a new vector.
798000	806000	And here we got the vector 4, 6.
806000	811000	Okay, so just to save some space, let me erase these steps here.
811000	815000	Move this over.
