start	end	text
0	10360	Hi, and welcome to Imperfect Utopias, based out of the UCL Global Governance Institute.
10360	17400	This is a podcast about the challenges facing humanity and possible global responses.
17400	22840	If you're new to the show and you want to get a list of our favorite books, other resources,
22840	35920	and to pass shows, and to join our community, go to ucl.ac.uk forward slash global dash governance.
35920	40520	We're really delighted to have Daniel Schmacktenberger on the podcast today.
40520	46560	Daniel's a social philosopher and co-founder of the Consilience Project, a non-profit media
46560	52320	organization that aims to capitalize a cultural movement towards higher quality sense-making
52440	54680	and democratic dialogue.
54680	59200	Underpinning much of Daniel's work is the conviction that strengthening individuals'
59200	65840	abilities to handle and filter information is now a civilizational imperative in a context
65840	68120	of existential risk.
68120	72920	I've been following Daniel on the podosphere for some time now, and he's definitely one
72920	79360	of the people I check in with most often when it comes to trying to make sense of what's going on.
79360	84000	Daniel's work has also been a major inspiration for this podcast.
84000	86800	So we're super excited to have you join us today, Daniel.
86800	89440	Thanks so much for making the time.
89440	90440	Happy to be here.
90440	92240	Thanks for inviting me.
92240	96200	And we're going to type in lots we could explore here.
96200	100120	But first, I just ask our pod crew to introduce themselves.
100120	101040	So my name is Sam.
101040	105400	I handle the audio and video and hopefully some of the thinking when out of time.
105440	105960	I'm Zoe.
105960	110520	I help with some of the research and more of the admin and social media side of things.
112800	115880	OK, so Daniel, let's get straight to it.
115880	123720	In a world of, as the UN recently put it, certain near-term, nonlinear change.
123720	132480	How well prepared are we to face some of the existential challenges and not just to say
132480	138320	the natural ones that people might think of like asteroid strikes and those sorts
138320	144760	of risks, which are certainly present, but possibly remote, but perhaps most challenging
144760	145280	of all.
145280	153440	And as we've discussed in some length, the human induced or anthropogenic existential
153440	161360	risks like nuclear, but also biotechnology and, of course, climate change, which arise
161360	167240	out of these kind of complex interactions of human and non-human systems, and which
167240	173160	are, I'd say, already defining our times this decade, this century.
173160	181520	And perhaps put a little bit more meat on the bone as to where we might go with this discussion.
181520	189480	We've talked before about how there is a risk that faced with major disruptions, our societies
189520	197320	could potentially default in the direction of either authoritarian oppression or even
197320	204080	chaos, and that some people do think that this is the direction of travel currently.
204080	212920	So how can we best avoid, what can we do now to avoid that kind of dystopia by default?
213360	221240	As our legacy structures, systems, governance systems, as they falter, and there is that
221240	224400	risk of major events sort of overtaking us.
228240	232640	All right, that's a few good questions.
232640	239800	The first question you asked is, how well prepared are we to deal with the existential
239800	247160	and catastrophic risks that are impending or at least have a non-trivial chance of happening?
247160	252040	And you were mentioning that this is a frame that is recognized by the United Nations now.
252040	258120	If we think of the UN as a starting place to answer this, in terms of the closest thing
258120	265160	to something like global governance or an intergovernmental organization, obviously it
