start	end	text
0	7280	Hi and welcome to Global Governance Futures based out of the Global Governance Institute
7280	13440	at University College London. This is a podcast about the challenges facing humanity
14000	20000	and possible global responses. If you're new to the show and you want to get a list of our favorite
20000	30880	books, other resources, listen to past shows and join our community, go to ucl.ac.uk forward slash
30880	41600	global dash governance. We're really excited to have Dr Zach Stein join us today. Zach is a writer,
41600	49440	a futurist, a transformative educator, working to bring a greater sense of justice and sanity
49440	57520	to education. Alongside Daniel Schmackenberger who featured in episode 12, Zach is also a founding
57520	64480	member of the Consilience Project, a non-profit media organization aiming to improve public
64480	72560	sense-making and democratic dialogue. Zach received his PhD in education from Harvard
72560	78800	University where he studied educational neuroscience, human development and the philosophy
78800	86880	of education. He's published dozens of articles and two books, his most recent book and one which
86880	93520	really caught my attention is called Education in a Time Between Worlds and Grapples with the
93520	102880	Dangers posed by a profound learning and capacity deficit in the face of civilization-wide transformations.
103440	110080	It really is an incredibly rich and thought-provoking work and at the risk of oversimplifying,
110080	117600	Zach argues that the world as we have known it is rapidly disappearing and as a result,
117600	126480	radical transformation of our legacy education systems is now an urgent, even existential imperative.
127200	135120	As he puts it, we can no longer assume, if we ever could, the unproblematic intergenerational
135120	140000	transmission of essential human capacities for reasoning and reflection.
142480	148800	So, in the spirits of the philosopher John Dewey, we're going to discuss today why Zach believes
148800	154800	that at roots all current global crises might be best understood as crises of education
155040	163600	and why as educators, learners and concerned planetary inhabitants, we should all care about that.
164240	169360	So, we're super excited to get into this with you, Zach. Thanks so much for taking the time to
169360	175920	speak with us. It's a pleasure to be here. Thank you for inviting me. And before we get started,
175920	183120	I'll just ask the poll crew to say hello. Hi, I'm Jessica. I work on the research and
183120	186560	I'm very looking forward to hearing what Dr. Stein has to say today.
189680	195280	Hi, my name is Sam. I do the audio and the video editing and hopefully some of the thinking.
197360	200640	Hi, I'm Zoe. I help with the social media and running of the YouTube channel.
203520	211680	Great. Okay. So, to open, Zach, perhaps you can help us set the scene. You describe in the book
211680	219920	the years 2000 to 2050 as a critical turning point in the history of humanity and the planet.
220640	227600	So, what is so special about this 50-year stretch and how does this this interregnum,
227600	231440	how does this turning relate to the educational crisis?
233520	240560	Yeah, so that specific time period. I took that on the cue of Immanuel Wallerstein,
240560	245840	who was the creator of World Systems Analysis, which is this fascinating kind of approach to
245840	252080	doing big history, specifically long-term stretches of the development of the capitalist
252080	257840	world system. And he was actually following from complex dynamical system theory, like
257840	267120	prigazine and things like that. And he saw this kind of like rhythm of changing in the basic
267200	274000	organization of capitalism, this transformation of the hegemonic structure, as he called it.
274640	282000	And so, you know, one occurred when we went from having capitalism being rooted in basically Venice
282000	288320	to it being rooted with the Dutch and then from the Dutch to the British and then from the British
288320	294560	to the United States. And each time that kind of hegemonic world system transformation, as Wallerstein
294560	300960	would call it, occurred, whole swaths of culture, whole swaths of political life, whole swaths of
301840	310800	the ecology and the humanity were changed. And he saw this in several other kind of like people
310800	316000	doing actually quantitative analysis of large historical swaths of time, like Peter Turchin
316000	321200	more recently have seen these actual, their rhythms, their cycles of historical transformation.
321200	327680	And so Wallerstein says, Hey, we're about to be in one of these, we're about to be in a situation
327680	334000	where, you know, the British kind of and then the Americans and now the Americans and now what
334000	341360	basically is what Wallerstein saying is like the, the end of America as the dominant hegemonic force
341360	348000	in the capitalist world system, he's predicting. And he's saying that for the first time the system
348080	353520	is global. And that means that it's not clear that the hegemon can just move geographically,
353520	360720	that we may be approaching something that looks more like a transformation of a deeper, more
360720	364800	profound nature at the structure of the economic system itself. So this is where I got the idea.
365680	369600	And then I started looking around at other thinkers who are also like even, you know,
369600	378400	New Age thinkers and like futurists and, you know, anthropologists and other people pointing at the
378400	385840	same kind of time period, basically. And so yeah, I brought that I pulled that in there and put it
385840	391440	in the book just to make people aware that when I say we're in a time between worlds, like it's a,
391440	396320	it's a technical phrase. Like if there's a, there's poetics in it, but it's actually a technical
396320	403280	phrase. And it's referring to this basically almost inevitable historical unfolding of a very
403280	411200	significant transformation in the techno economic and political base of our world. And the argument
411200	416560	that I weave in there is that, hey, don't forget education. Like Wallerstein doesn't mention
416560	421520	education. And my argument is basically that all those other things, economics, politics,
421520	426880	warfare, technology, you don't get those without education. And it's interesting to me that people
426880	435200	neglect that insight, it shows how taken for granted, much of the processes of intergenerational
435200	440640	transmission have been. And so that's invisible when they become problematized in our society,
440640	445200	because we take it for granted. Each time the capitalist world system changed, the nature of
445200	453360	education itself changed. And so yeah, so that's, I'm pulling that bit out. And one thing that's
453360	463440	interesting is that great historian, again, of capitalism, Jason Moore, his book, Capitalism
463440	470000	and the Web of Life. It's an incredible book. He talks about not just like capitalist world systems,
470000	478800	but world ecologies, which is to say the way that capital shapes the nature of the planetary
478800	487840	biosphere, literally dams and canals and all of these things. And of course now, emissions and
487840	495840	transformations in weather as a result of this. So we're having, and I know this in the book,
496720	503200	we're having these crazy hockey stick patterns of major ecological transformation. At the same
503200	509040	time, the underlying techno economic base is fundamentally transforming at the same time
509600	514320	education is transforming. And I'm pointing at education as the thing that needs to be worked
514320	521120	on basically first or as most primary, or at least not put on the back burner, like it's going to
521120	528080	take care of itself. When in fact, most of the problems as you mentioned in the intro that we're
528080	534800	looking at are our issues of skill deficit, capacity deficit, personality disorganization,
535840	544560	low grade ubiquitous psychopathology. And so it's a complex psychological crisis, as much as it's
544560	550720	an ecological or technological or political or economic crisis. So that's a little bit about
550800	556960	that where that period came from. And I've been saying we were between worlds for,
557600	562640	you know, five or six years. And then when the pandemic hit, people were like, oh,
562640	566880	that's what you mean. I was like, yes. I was like, it's everything is fundamentally,
566880	571360	we're in a liminal space, we can't go back or stabilize the prior system.
573200	578400	We're going to be in a disequilibrated state. And this is Wallerstein's notion he's getting it
578400	583360	from privileging complex open dynamical systems, right, they go through periods of turbulence
583360	589120	before they restabilize. So we're in that period of turbulence and will remain in that period of
589120	596720	turbulence, I'm saying for, for decades, until something new locks in. And the concern we have
596720	601920	is that what's going to lock in is not going to be good. So there's a way to solve this problem that
602000	606880	looks, for lack of a better word, like totalitarian or authoritarian.
609040	612800	So, you know, the Consilience Project and my other work is trying to find a way to solve these
612800	620320	problems that result in an open society on the other side of this kind of reorganization of the
620320	626160	world system. So it's kind of like the broadest framing. Yeah, that's super helpful, Zach. Thank
