start	end	text
0	7000	We're researching this, it's always about lifting the hood and looking what is the reality on the ground.
7000	15000	I'll say something that might shock a lot of people, but basically in the Persian period, we have thousands of documents from
15000	21000	Yahwistic slash Jewish sources. So when I look at all of this data, all of it together,
21000	28000	there is literally zero evidence for any knowledge and any familiarity with the Bible throughout the entire period.
28000	39000	Historically, it is so clear and so conspicuous that up until the library was established late tail end of the 4th century,
39000	48000	beginning of the 3rd century BC in Alexandria, up until that moment, we see zero evidence of any type of knowledge of the Bible
48000	55000	anywhere in any of the Jewish diaspora, whether in Egypt, Babylonia, Judea, Samaria, etc.
55000	62000	This changes at the beginning of the 3rd century so clearly, we start seeing those names appearing in the Cateus of Abdera,
62000	68000	or whatever text that we have there, people start knowing something about the Bible, referring to the Bible.
68000	73000	But you see elements like that, you see Anat Yahu, the goddess Anat Yahu.
73000	82000	It says that they brought an offering to Yahweh, and the line under that says that one Atrodan, that they had an Atrodan there.
82000	90000	Now Atrodan today in Zoroastrianism is an Atashtan, but that is the fire holder of Zoroastrian cult.
90000	95000	So in their temple, in the Yahweh's temple, they had a fire holder.
95000	97000	Is that an Avestan term that you just used?
97000	99000	Yeah, it's an Avestan term.
99000	101000	That's not a Semitic thing, that's an Avestan thing.
101000	103000	Absolutely, absolutely.
103000	110000	There were major people who were called Maghush, and one of them was Moses.
110000	116000	You know, how Moses was an Alchemist, you know, to make nature do what he wanted.
116000	120000	But also that Moses was the teacher of Orpheus.
120000	135000	My special guest today, Professor Gad Barneya, who is a lecturer at the Department of Jewish History
135000	142000	and Biblical Studies at the University of Haifa, as well as a research fellow at the Bible in its traditions.
142000	147000	A research project and flagship in the field of digital humanities.
147000	155000	Barneya's scholarly focus is directed at researching and teaching the evolution and character of Yahwism
155000	163000	under the Iranian Age of Empires, from the rise of the Achaemenidid Empire to the fall Sasanian Empire.
163000	171000	Specifically in the realm of cultic practices, Barneya's scholarship examines the dialogue and symbiosis
171000	176000	of early Zoroastrianism and Yahwism or early Judaism.
176000	183000	The Iranian Age of Empires was instrumental as the historical and ideological background
183000	192000	for the composition, addition, and redaction of the Hebrew Bible, which took place in the Hellenistic period.
192000	197000	Yes, you heard that right, according to Dr. Barneya.
197000	205000	The Bible that we have in our possession is a product of the Hellenistic period at the Library of Alexandria,
205000	214000	which produced the Bible, the apocryphal text, early Christianity, and the so-called Gnostic writings,
214000	218000	as well as rabbinic and early mystical Judaism.
218000	224000	We're going to talk about all that in this video. Buckle your seatbelts because you're going to want to strap in for this one.
224000	230000	And welcome back to the Gnostic Enformment, and you are about to attain true gnosis.
230000	234000	And today I'm joined with Professor Gad Barneya all the way out.
234000	238000	You're over in Israel right now, if I'm not mistaken, right? And hi for university.
238000	247000	And yeah, your work is really fascinating because things that I've stumbled on in the couple years that I've been doing this channel
247000	250000	and talking to experts in the field like yourself.
250000	256000	One of the things is the question of what was going on in these different temple periods.
256000	260000	We call it the first temple period built supposedly by Solomon.
260000	264000	And there's a second temple period supposedly when they come back from Babylon.
264000	270000	And you have a book coming out that a lot of people are really waiting for, me and myself.
270000	275000	Link's going to be in the description where it's coming out in a couple of months.
275000	277000	Is that so? A couple of months?
277000	281000	It's slated to come out on November 4th.
281000	283000	Yes. Okay. So only a few months away.
283000	292000	And I'm telling all my followers, get this book because it's going to shake some things up in this discussion.
292000	300000	And the topic of this book is what was Yawism like under the Achaemenid period, the Persian period?
300000	312000	And so what are some of the misconceptions that people think about this time period and what was going on with and also why do we call it Yawism and not Judaism?
312000	316000	Great. So two great points, great questions.
316000	320000	So the first, I'll start with talking a little bit about Yawism.
320000	326000	Yawism is a cult.
326000	332000	I mean, speaking of religion for that period, I mean, the word religion doesn't really apply to that early period.
332000	339000	By religion, I mean a system of rules to follow, observances and things like that.
339000	341000	So I use the term cult.
342000	355000	So Yawism is a cultic system where the main, the head of the pantheon, the main deity is, but not the only one, is Yahweh or Yahu as they wrote it.
