start	end	text
0	5440	Abram was 75 years old when he left Haran.
5440	12480	Abram took his wife Sarai, his nephew Lot, all of their possessions and those who became
12480	17920	members of their household in Haran, and they set out for the land of Canaan.
17920	24520	When they arrived in Canaan, Abram traveled through the land as far as the sacred place
24520	28320	at Shechem, the Oak of Mora.
28320	31600	The Canaanites lived in the land at that time.
31600	38400	The Lord appeared to Abram and said, I give this land to your descendants.
38400	42120	So Abram built an altar there to the Lord who appeared to him.
55520	61880	The religious beliefs of Israel are rooted in the shared culture of Canaan,
61880	67440	although it had unique attributes that differed from the Canaanites.
67440	72080	It still found expression in shared practices and language.
72080	77160	Some traditional practices could not be merged with Yahwism,
77520	84720	but others like the sacred poetry, the music, and the architecture of the Canaanites
84720	91160	were adopted and became integral to the Israelite religion.
91160	96720	The Old Testament's embrace or rejection of these elements
96720	106280	means that the Canaanite religious influences still affect us today through biblical narratives.
106280	113200	The things that the Bible are condemning in the Old Testament are, in fact,
113200	117600	the culture that the Israelites at the time of writing the Bible
117600	122360	are trying to distance themselves from in their own past.
122360	129080	Things like human sacrifice, idolatry, and the worship of more than one God.
129080	134240	These are the things that they themselves practice just like everyone else in the world.
134240	140760	And these are the things that they will polemicize in the text to divorce themselves from their past.
147480	152960	Before the findings at Ugarit Rosh Shamra in 1928,
152960	159880	our knowledge of Canaanite religion was minimal and largely from indirect sources.
159880	163720	The Old Testament didn't mention Canaanite deities and rituals,
163720	168440	but these were often in a negative light making interpretations challenging.
168440	176200	Mentions of Canaanite gods and rituals were also found in Egyptian, Mesopotamian, and Phoenician writings,
176200	180000	including the Karatepe inscriptions from 1946.
180000	184600	However, these weren't enough to form a complete understanding.
184600	189320	Greek historians provided accounts of Canaanite beliefs,
189320	194240	but it was hard to distinguish authentic traditions from later additions,
194240	198520	excavations at places like Biblos and Megiddo.
198520	202520	Give us glimpses, but only a fragmentary picture.
202520	207600	Thanks to the discoveries at Rosh Shamra, ancient Ugarit in North Syria,
207600	210640	the Canaanites tell us their own story.
210640	217680	Hundreds of clay tablets found here, written in a dialect close to the biblical Hebrew,
217760	220120	and offers rich insights.
220120	228040	These tablets feature extensive mythological poems, records related to the temple services,
228040	235400	lists of deities and sacrifices, and details about temple workers and rituals.
235400	240400	Additionally, artifacts linked to gods like Baal and Dagon,
240400	245800	including temple remains and stelae, have been discovered.
245880	252640	It's crucial to understand, though, that while there was a core Canaanite religious belief,
252640	255920	local variations existed.
255920	261520	I mean, they didn't have the internet and no email and the mail system wasn't very great.
261520	265080	So every city you went to had their own ideas.
265080	271440	Not every Canaanite city would have worshiped all the same gods that we know from these texts.
271440	273320	There were variations at play.
273320	278720	The Canaanite religion was more of a public affair than a personal one.
278720	286520	Its rituals, mostly centered on ensuring fertility, were community events.
286520	292440	Though there were individual acts of devotion as seen in the Phoenician inscriptions,
292440	297720	the religion was mainly a communal way to connect with nature's forces.
297760	303800	This involved practices believed to ensure continued creation and rejuvenation.
303800	307440	The prominence of some deities in mythological writings
307440	313040	doesn't always reflect their actual popularity among Canaanite devotees.
313040	317520	Conversely, some gods like Dagon had a minimal role in myths,
317520	320760	merely acknowledged as Baal's father,
320760	327920	but seemed quite revered as evidenced by a dedicated temple and two stele in Ugarit.
333920	339960	El, the Hebrew word for God, is the supreme God and Creator
339960	343480	and shows up as Allah in Arabic.
343480	348520	Variations in the name El are found in many Semitic languages,
348520	352480	Ugaritic, Phoenician, Hebrew, Aramaic, Akkadian.
352480	358160	In Northwestern Semitic cultures, El was a term for any deity
358160	361120	and also specifically for the primary god.
361120	364880	He often stood at the top of many divine hierarchies
364880	367960	and played roles like the god of creation
367960	372240	or the father of gods in certain Canaanite and Ugaritic sources.
372240	376360	Yet, using the name El can be confusing
376360	381880	because sometimes it refers to the main god and at other times to different gods.
381880	388600	For instance, in Ugaritic texts the phrase El-Melik means El the king,
388600	393600	while El Haddad refers to the God Haddad.
393600	398480	In Ugaritic, the plural for gods aligns with the Hebrew term
398480	403640	that sometimes means the singular god Elohim, for example.
403640	409400	Some believe that various authors change stories from polytheistic context
409400	411600	into monotheistic ones.
411600	416200	I myself subscribe to this idea and I will show this in this video.
416200	420880	And this causes many inconsistencies in the text,
420880	424200	but once you see it, everything starts to make sense.
424200	429120	Names with the stem El appear in many Semitic regions
429120	437920	among the Amorites and Sabaic people in the southern Levant.
437920	441800	Several ancient texts in inscriptions mention El
441800	445640	or connect him with other deities from different cultures,
445640	450040	indicating his widespread recognition and influence.
450040	456760	For instance, the Egyptian god Patah shared an epithet with El
456760	461600	and an ancient script described El as the god of eternity.
461600	469200	The Egyptian deity Patah was labeled Lord of Gath in a prism from Tel Lakish.
469200	480720	And on the other side, it bears the name of Amenhotep II, Pharaoh from 1435 to 1420 BCE.
480720	489440	This title also appears in Serabit text 353.
489440	495760	Ta is frequently referred to as Lord or the Eternal One.
495760	501560	This association between El and Patah that brought about the consistent use of olam,
501560	504200	meaning eternal, for El.
504200	509600	Although in Ugaritic records, Ta seems to be more closely related
509600	515760	to the artisan deity Kothar Wachasus, an additional link is observed
515760	521720	with the Mandian angel Patah El, blending the names Patah and El together.
521720	528720	Herodotus, the famous Greek historian who wrote in the 5th century BCE,
528720	535080	who never mentions anything about Israel, Jerusalem or Yahweh or anything like King David or Moses,
535080	539360	does have some interesting things to say about the god Patah,
539360	545320	who he calls by his Greek equivalent Hephaestus.
545320	550520	After the reign of the priest of Hephaestus Patah, the Egyptians were made free,
550520	557680	but they could never live without a king, so they divided Egypt into 12 districts and set up 12 kings.
557680	562200	These kings intermarried and agreed to be close friends,
562200	566840	no one deposing another or seeking to possess more than another.
566840	572200	The reason for this agreement, which they scrupulously kept, was this.
572200	576840	No sooner were they established in their districts than an oracle was given them,
576840	582920	that whichever of them poured a libation from a bronze vessel in the temple of Hephaestus Patah,
582920	589240	whereas in all the temples they used to assemble, would be king of all Egypt.
589240	598920	Now what I found interesting about this text is the division between the 12 tribes, if you will,
598920	603280	of the ruling class of Egypt at this time, and it makes you wonder,
603280	612120	could this be some of the source material used for the curation of the 12 tribes in the story in Genesis?
612120	616200	The 12 districts itself wouldn't be too convincing,
616200	626120	but when you take a look at El or Yahweh, being a god of metallurgy and craftsmanship,
626120	630440	and the uncreated one, like Patah, there's might be some connection here.
630440	648440	Patah is an Egyptian deity responsible for creating the world, manifesting it through
648440	657560	potent force of spoken words. A hymn from Egypt's 22nd dynasty praises Patah for shaping the world
657640	666200	with the vision of his hearts. Meanwhile, the Shabakha stone, originating from the 25th dynasty,
666200	673960	mentions Patah bestowed life upon all deities and their spirits using his heart in his voice,
674920	681800	the curation by the voice, something we see in the god of the Old Testament. His worship then moved
681800	687720	beyond the borders of Egypt, all the way into Syria, and was exported throughout the eastern
687720	693800	Mediterranean. Through dissemination by the Phoenicians, we find figures of Patah and Carthage,
693800	699800	his epithets, Patah, the begetter of the first beginning, Patah, Lord of Truth,
699800	707160	Patah, Lord of Eternity, one who listens to prayers, master of ceremonies, master of justice,
707160	712280	the god who made himself to be God, the double being, the beautiful face.
713560	719240	Now, some of you watching this right now may be familiar with the Heliopolis in Aeneid,
719240	725960	and the creation myths that say that Amun, or Atum, is the self-created craftsman
725960	732680	who created the other gods. And though this is certainly true, the priesthood in Memphis and
732680	741960	Crocodopolis and the elephantines have competing mythologies that make Patah the self-created
742520	751720	demiurge who creates the other gods and humans. An elephantine, Cunum, who like Patah, is also
751720	758840	depicted as a craftsman or demiurge with the potter's wheel behind him, just as Patah has
758920	764440	images of himself with the potter's wheel behind him, as he creates gods and humans alike.
772920	778360	Porphyry once said, At the city of Elephantine, there is an image worshiped, which in other
778360	785240	respects is fashioned in the likeness of a man and sitting. It is of a blue color and has a man's
785240	793480	head and a diadem bearing the horns of a goat. He sits with a vessel of clay beside him, on which
793480	799400	he is molding the figure of a man, and from having the face of a ram and the horns of a goat,
799400	808200	he indicates the conjunction of sun and moon, ra and ya, in the sign of the ram, Amun, while the
808200	815880	color of blue indicates that the moon in that conjunction brings rain, Tefnut. He goes on to say,
816680	824760	in the mysteries of Eleusis, the Hierophant is dressed up to represent the demiurge and the
824760	832280	torchbearer, the sun, the priest at the altar, the moon, and the sacred herald, Hermes. Moreover,
832280	837960	a man is admitted by the Egyptians among their objects of worship, for there is a village in
837960	845240	Egypt called Anibis, in which a man is worshiped and sacrifice offered to him, and the victims
845240	850920	burned upon his altars, and after a little while, he would eat the things that had been prepared for
850920	857720	him as for a man. They did not, however, believe the animals to be gods, but regarded them as
857720	863560	likenesses and symbols of gods, and this is shown by the fact that in many places,
863560	869400	oxen dedicated to the gods are sacrificed at their monthly festivals and in their religious
869400	874440	services, for they consecrated oxen to the sun and moon.
877560	884360	What I find the most striking about this passage is his comparison to the Eleusinian priests,
884360	891400	Abakus and Demeter, Na'kunum, who Pharaoh Khufu was named after, the famed builder of the Great
891400	899000	Pyramid, Giza. Almost seems like a perfect synchronization between the competing creator gods
899560	905480	Amun Ra and Patah. Patah is one of the three major gods of the Memphis Triad,
906120	913000	along with Sekhmet, and he's also the father of Nefertim, and Kunum has an almost identical role
913560	919560	within the Elephantine Triad. The temple of Elephantine was dedicated to Kunum, his consort
919560	926520	Saitis and their daughter Anuket. Elephantine is the city where dozens of Jewish Aramaic texts were
926520	935080	found, that not only physically predate every fragment or manuscript of Hebrew Bible in existence,
935080	944520	I repeat, the Elephantine city where we found older Jewish Aramaic fragments than any
945320	953000	existing fragment or manuscript of the Hebrew Bible in existence. But also, it shows that the
953000	960360	Jews at Elephantine in the 4th and 5th century BCE were still polytheistic during this time.
960360	968520	Following the 587 BCE destruction of Jerusalem, some Judean refugees traveled south in what may be
968520	978520	called an Exodus in reverse, settled at Elephantine. They maintained their own temple, the House of Yahweh,
979400	986440	or Yahoo in this case, in which sacrifices were offered, evincing polytheistic beliefs
987320	994840	functioning alongside that of Kunum. Gods like Osiris and Isis are all over the place in these texts.
995640	1002680	The temple was destroyed in 410 BCE at the instigation of the priests of Kunum.
1003560	1009880	So, what happened? Was Yahweh in direct competition with Kunum over who is the true
1009880	1017960	divine craftsman? Possibly. One of the most common attributes among these metal-ergy
