start	end	text
0	10160	Good afternoon and welcome to this afternoon's JPBM Communications Award lecture.
10160	13880	I'm Michael Pearson with the Mathematical Association of America.
13880	20320	We're part of JPBM and I'm really delighted to be able to recognize Grant Sanderson today
20320	23920	with one of this year's communications awards.
23920	31760	That is the creator and founder of Three Blue, One Brown, which is an effort to provide
31760	37360	visualization of mathematics and it's a YouTube channel easily found.
37360	39280	I hope you'll take a look at it.
39280	45120	I had done my homework as I'm supposed to do when I was warned to do this and written
45120	50760	out a nice introduction, which of course I can now not find on my electronic device,
50760	52520	which is supposed to give me that.
52520	61600	But I'll say, as I went on the site and as a harmonic analyst, I've spent a good bit
61600	67240	of time thinking about convolutions, convolution kernels and so forth.
67240	72840	I was really immediately attracted to see what Grant would do with convolution.
72840	75000	He has a nice video presentation.
75000	79040	What's the introduction to convolution?
79040	83920	Some of you may know that the German word for convolution is Faltung, folding.
83920	89320	And I think the video that Grant does with that really sort of makes that dynamic and
89320	93280	shows you why folding is such a great word for convolution.
93280	97200	So I encourage you to look at that one and any others that catch your eye.
97200	103440	In any case, Grant graduated from Stanford University from Math and Computer Science in
103440	105800	2015.
105800	112560	He spent some time working on videos and instructional materials for the Khan Academy.
112560	118040	And then by now, he's turned his full-time attention to three blue, one brown.
118040	120440	And there's some really great stuff there.
120440	123640	And without further ado, I'll let him tell us about it.
123640	125640	Thank you.
125640	132760	Thank you very much for that very warm introduction.
132760	136360	I want to start just by saying a very heartfelt thanks to the members of the Joint Policy
136360	138520	Board for the award.
138520	143600	I will admit it is a little bit intimidating to receive an award for communication and then
143600	148680	to be asked to immediately communicate to a roomful of people I have high respect for.
148680	153040	I'll do my best, but I couldn't help but notice that a lot of the names on the list
153040	157640	for this particular award in past years were just personal heroes of mine who served to
157640	160360	inspire me a lot in getting started.
160360	163760	Things like Steve Strogatz or James Glick or Matt Parker all come to mind, but those
163760	165120	are just a few of very, very many.
165120	168080	So I want to say thanks there.
168080	171920	Broadly speaking, I want to talk about math communication itself and some of my thoughts
171920	173520	around math communication.
173520	176680	But this breaks into a number of different categories, and it's kind of a hard thing
176680	181680	to think about as a unified whole because one component of that is education.
181680	186400	And even that, it feels wrong to loop into a single group because education before university
186400	190880	and math and education undergrad and on have a very qualitatively different flavor to them
190880	194880	and how you might think about what approaches are best or what's the typical engagement
194880	197040	a student has.
197040	200680	And even that is very different from other forms of communication that happen, you know,
200680	205120	presenting one's research or popularization, which is probably the bucket that I fit most
205120	210760	closely into if I had to choose just one that's where I actually sit.
210760	214640	But I do think it's very helpful, whichever one of these slices you find yourself in to
214640	220000	think about them as intersecting each other and a lot of the value coming from that intersection.
220000	223480	Some directions here are obvious, like if you're in education, it doesn't hurt to think
223480	225840	about it as a popularization effort.
225840	228680	If you want to popularize something, you try to make it more engaging.
228680	231360	You try to connect to things that people are already interested in.
231360	234160	It doesn't hurt to do the same if it's in a classroom.
234160	239000	But I also think on the flip side, as someone who popularizes things or at least tries to,
239000	242840	it's often not the right approach to do that head on and think, how can I make something
242880	246960	that's going to reach the most people, you know, has the most click-baity title and the
246960	247960	like.
247960	250400	But what I've noticed is people just want to learn.
250400	254360	The thing that makes something more popular, the thing that gets more reach, as often if
254360	258840	I do something that's meant more as a classroom supplement, because people don't want to feel
258840	263360	like they're just being watered down or talked down to, instead having a sense that what
263360	267040	they're staring at is the authentic material, as if they were studying it and becoming an
267040	268040	expert in it.
268040	270440	I think that's a very inspiring feeling.
270440	275000	So I titled this, Raising the Ceiling and Lowering the Floor of Math Exposition, referencing
275000	279800	the fact that I think some of the efforts that we can make in trying to popularize it
279800	284080	to reach more people can also make it more interesting to those who are already experts
284080	285080	in it.
285080	290600	But if I wanted to be a little bit more provocative in how I went about this talk, I could just
290600	296360	as easily give what I have in mind the name of Math's Pedagogical Curse, because I really
296360	301640	do think there's something strange going on with math, in particular, in contrast to
301640	307400	some other fields, if we think about the perception that it has in the broader public.
307400	311520	I think everybody in this room has probably had the experience of chatting with someone,
311520	313400	cocktail party type environment.
313400	317800	You mention you do something related to math, and the person says, as if there's no social
317800	321600	taboo in saying it at all, which I guess there's not, oh, I'm not really a math person.
322040	326880	Just fair, not everybody necessarily loves the subject that we do, but it's a funny phrase
326880	330600	because you don't say that with respect to other things.
330600	333720	But there's another turn of phrase that I've heard multiple different times, that in some
333720	340400	sense is even more worrying than that one, which is the, I thought I liked math until.
340400	346200	I have a very vivid memory, actually, of being a high school student touring different universities.
346200	348680	And I was one of those students who always knew that I wanted to study math.
348680	350520	I'd already fallen in love with it.
350560	353840	So if I'd meet some students at the university, they asked their natural questions, oh, what
353840	355040	do you think you might want to major in?
355040	357800	I was like, I know, I want to major in math.
357800	360920	And I remember this one student saying, oh, yeah, yeah, I thought I liked math.
360920	363080	I even wanted to be a math major.
363080	367280	And then I took a set theory class, and I discovered that I don't really like math, which is very
367280	368280	sad.
368280	371920	And I've heard variants of this through the years in various different contexts.
371920	374960	Oh, I thought I liked math, and then I took a linear algebra class, right?
374960	379120	I thought I liked math until, and then there's some point in which someone became disillusioned
379120	381240	with it for whatever reason.
381240	385640	Now that one feels like it's especially worth addressing, because it's very hard, I think,
385640	387800	to ignite the light of interest in the first place.
387800	391440	And even if maybe the more important one to address is the broad scope of people who don't
391440	396160	self-identify as math people, we could just as easily ask, what are we doing wrong such
396160	399920	that we get some people that thought they liked math and tell?
399920	402800	Maybe the answer is math is just harder than other fields.
402800	408400	It's just something you got to roll up your sleeves and work hard in order to attain, and
408400	410560	not all people are willing to do that.
410560	413440	I don't think that would be fair, though, because that kind of pushes the bump under
413440	416960	the rug where you have to instead ask, does it have to be that hard?
416960	420080	Is there anything that we're doing that makes it harder than it needs to be?
420080	425120	And I have a little theory for at least one component of what might be going on with math
425120	428000	in what makes it distinct from other fields.
428000	433000	And it has to do, bear with me here, with the legend of King Midas.
433000	438560	So for those of you who don't know, in Greek mythology, or it's one of those kind of intertwined
438560	442880	with fake Greek history that Aristotle and the like would tell the people, you have this
442880	448400	king supposedly who lived around the second millennium BC named Midas.
448400	453480	And he does some good deeds that catch the attention of certain gods, and the god Dionysus
453480	456920	says, I'm willing to give you a gift, name your gift, and I will give it to you.
456920	459520	And Midas says, oh, well, what gift should I want?
459520	462600	I think it would be great if anything that I touched could turn to gold.
462600	464920	And Dionysus says, it is done.
464920	467480	And Midas touches a twig, and it turns into gold.
467480	468480	He's delighted.
468480	472000	He goes back to his estate, and he starts touching all of the roses in his garden, and
472000	474600	they turn into a beautiful metallic sheening gold.
474600	477080	And he's just dreaming of all the wealth that he's going to have, and the wealth that his
477080	480440	entire regime is going to have.
480440	485040	And then when he gets to the banquet for dinner that night, he touches the chicken leg sitting
485040	488440	in front of him, and it turns to gold, and it's completely inedible.
488440	492040	Or in other tellings of the story, the moment that he realizes something might be a little
492040	497400	bit wrong with this gift is when his daughter comes up to him, and he touches her, and she
497400	500640	completely turns into gold, and he doesn't have her anymore.
500640	505160	And of course, it precedes where it's a story of redemption and the like.
505160	511760	But the gift that is analogous to this that I think math has, and it really is a gift,
511760	517080	is a very special kind of exactness where we have the pleasure of knowing with 100 percent
517440	520720	uncertainty if a conclusion follows from the premises.
520720	525520	Maybe not 100 percent, it's subject to our ability to fall for certain logical fallacies
525520	527560	or to miss holes in an argument.
527560	532640	But with as much precision as you could possibly hope for, math has this kind of exactness.
532640	536320	And a lot of other fields would just dream of anything like this.
536320	540760	Hard sciences get kind of close if we think of physics or computer science.
540760	545040	But even then, they're subject to a little bit of controversy with different ways you
545040	550160	might interpret something, or even the best experiments aren't 100 percent precise.
550160	553520	The softer sciences get even further away from this.
553520	557600	Most forms of writing and discourse out there are more unabashedly subjective.
557600	562440	You might think of art criticism, it's not unworthy, but it lacks this exactness.
562440	566200	And the gift that comes from this exactness is that it helps you move forward a field.
566200	570080	You don't fall into the same disputes that you might otherwise when there's room for
570080	573920	ambiguity and misinterpretations.
573920	579920	But I think what it might even mean for something to be mathematical is that it has this level
579920	580920	of exactness.
580920	585200	There's a friend of mine who's a biologist, and anytime we talk she always bemoans the
585200	589120	fact that biology needs to become more of a mathematical science.
589120	594200	Just how far could humanity progress if we could turn biology into a mathematical science.
594200	599560	And presumably what she means by that is that you get a situation where you can draw conclusions
599560	604000	from your premises with the same airtight rock solid rigor that a field like physics
604000	606160	might have.
606160	610080	The other really nice thing that this gets us, I think, is when you're writing something,
610080	614520	like you're writing a textbook or a paper or a video or you're preparing a lecture,
614520	618200	it gives a test for completion that no one else gets to have.
618200	621320	We can have this clear notion of it's not done yet and then at some point there's a
621320	623040	sense in which it's done.
623040	627120	We can go through and you can make sure all of the definitions are completely unambiguous.
627120	629240	We get to have unambiguous definitions.
629240	631480	Nothing else doesn't get to have those.
631480	636520	You can ask whether every object in the theorems that you reference have been previously defined.
636520	638000	It's like a compiler checking code.
638000	641720	You get to go through and the answer is either clearly delineated yes or clearly delineated
641720	642720	no.
642720	646400	And then most importantly for every claim that you make, you can ask was it completely
646400	647640	justified.
647640	651760	And then that constitutes a notion of explanation in some sense.
651760	656640	It gives you a clear point where before you got to that point the paper wasn't finished
656640	659920	or the lecture wasn't finished but after that point you can put a little bow around
659920	661360	it and say it was finished.
661360	665480	And like I said, I really do think it's a gift because it helps us move forward in a
665480	667240	way that other fields can't.
667240	671880	But there's a catch to this gift where in the same way that the things that King Minus
671880	675520	might touch and turn to gold but this had a problem where he wouldn't be able to eat
675520	682040	his food, the mathematician can touch anything, give it this notion of completely unambiguous
682040	683040	rigor.
683040	688880	But sometimes it runs the risk of leaving it, how shall we put it, slightly unpalatable
688880	693880	to the average casual reader or maybe a little bit harder to consume than it needs to be
693880	695880	for a typical student.
695880	701360	And I do want to emphasize I don't think that it's a necessary thing that follows.
701360	705080	I don't want to come across as implying that if something is rigorous that means that it's
705080	706840	not clear.
706840	711720	It's a little bit of an exaggeration to make the comparison with Midas quite like this.
711720	717240	But what I do think is possibly the case is that this allure of such a notion of exactness
717240	721040	where we can actually say that it is done in a certain sense means that rigor serves
721040	725280	kind of as a distraction, right?
725280	729120	I have to tell you, there will be no year that I grow tired of this meme.
729120	734560	I know it's a little bit old, but the staying power with this is just unparalleled.
734560	740760	No, but I think it's the case that a lot of really good authors manage to achieve both
740800	741960	rigor and clarity.
741960	745520	And in fact, the point of rigor is often to add more clarity.
745520	750320	But the thing that I suspect might happen every now and then is that because the rigor
750320	755120	gives you this very clean, nice thing to think about and because thinking about pedagogical
755120	759760	clarity is a lot messier, you know, it's harder to define, you can't put a bow around it.
759760	764440	There's not one point when you've gone from not done to completely done that after scratching
764440	767920	the itch of knowing that something's been written completely rigorously, it's easy to
767920	771240	call a work done when maybe we shouldn't call it done yet.
771240	775520	And there's context where this is maybe okay, research papers come to mind, but in things
775520	780840	that are more explicitly pedagogical, textbooks come to mind, I would propose that maybe it
780840	786640	makes sense to invite into the culture a similar focus that we already have on the rigor of
786640	790360	it, but instead onto something for the pedagogical clarity.
790360	795200	And I'll give an example here, which is essentially just from the book that was sitting on my
795200	797600	desk while I was putting together these slides.
797600	802240	I actually love the textbook, it's really great and one of the only reasons I feel comfortable
802240	806000	highlighting it and poking a little bit of fun at one of the sections is because it otherwise
806000	810120	holds up very well and it's one I would unabashedly recommend.
810120	815640	But I was thinking, okay, you know, how well does the author tend to think about points
815640	819760	of pedagogical clarity in addition to points of rigorous clarity?
819760	823120	And one particular section that I was looking at was about something called the Poisson
823120	827400	summation formula, many of you might be familiar with it, it essentially says for a function
827400	832560	which is sufficiently nice, if you add up the value of that function across all of the
832560	837960	integers, it gets the same thing as if you add up the Fourier transform of that function
837960	838960	across all the integers.
838960	843120	It's kind of a wild formula, very useful in many different contexts.
843120	847720	And the proof that the book gives is actually really beautiful, I liked it a lot.
847720	853600	It starts off by describing a certain function a little bit out of the blue, but if you look
853640	860400	at it, you notice that it has poles at all of the integers and the residue at those poles
860400	864960	are exactly the values that you might want to sum on the left hand side of your formula.
864960	870000	And essentially what the book does is it kind of after handing down this construct and after
870000	874200	describing a certain contour that you might integrate along, and the context here was,
874200	878320	you know, it's in a setting of assuming people are familiar with the complex analysis up
878320	882160	to the point in the book and know about contour, integrals, and the like, it goes through and
882200	886400	shows how you can have a very elegant derivation of the formula basically by unpacking what
886400	890920	this integral is saying and step by step, it eventually turns it into the sum on the
890920	892440	right hand side.
892440	896200	So it's very beautiful, it involves a lot of clever ideas, things fit together nicely
896200	901440	at the end, you can look back on it and I think as a writer, think what more could you
901440	903880	possibly want?
903880	906160	It's as clean a proof as I could imagine.
906160	910520	And I think there's a culture in math textbooks that sort of says once something is proven,
910520	912480	that means it is complete.
912480	918800	But if you try to add a secondary checklist that says what are the pedagogical considerations,
918800	922000	even though I think this is a great book, and even though I think the proof has a lot
922000	925640	of staying power, there are dozens of other questions that I could think one might want
925640	930440	to lead up to this particular fact with or follow it with.
930440	933800	You know, to start off with, you could just say, what is this formula, how do you think
933800	937600	about it, why should you expect that something like this would be true, what are the circumstances
937600	941080	that you might run into in the mathematical wild, where you would think that this is something
941080	943280	that you need to bring to bear.
