start	end	text
0	13280	It's a great pleasure and privilege to be here with you today and to share some thoughts
13280	19680	on the 30 years and more that I've been working in the area of autism and reflect on how our
19680	23920	understanding of autism has changed over that time. And I really look forward to your questions
23920	26720	where I will get to learn from you.
26720	30560	The Gresham College lecture that you're listening to right now is giving you knowledge
30560	36240	and insight from one of the world's leading academic experts. Making it takes a lot of time,
36240	39680	but because we want to encourage a love of learning, we think it's well worth it.
40560	45280	We never make you pay for lectures, although donations are needed. All we ask in return
45280	50080	is this, send a link to this lecture to someone you think would benefit and if you haven't already,
50080	53600	click the follow or subscribe button from wherever you're listening right now.
54560	56320	Now, let's get back to the lecture.
60640	65680	So autism is perhaps more present in everyone's consciousness than ever before,
66480	72320	and you can see autism being reflected in news articles like the one today about employment
72320	76880	and also in fiction, in books and films. Some of the coverage is very misleading,
76880	83440	of course, and some of it perpetuates myths, but I think there's great awareness of autism
83440	88240	than any time during the 30 or decades that I've been working in the area,
88240	94400	and most people, when I tell them what I do, will say, oh, yes, I have a friend whose child
94400	101200	is autistic or some sort of connection. But what is autism? Well, you can answer that question
101200	106160	in lots of different ways. We know that autism has a strong genetic component in most cases,
106800	111520	but we don't have a genetic or blood test for autism, and we're still defining and
111520	116640	diagnosing autism on the basis of behavior. So we're talking about a behavioral syndrome,
116640	122320	a pattern of behavior, characterized by social and communication differences,
122320	128480	and sometimes difficulties, by rigid and repetitive behavior, which now includes sensory
128480	136000	sensitivities also, and something characteristic that is present from early in life,
136800	141440	even though the diagnosis may come much, much later, and as I'll go on to talk about later,
141440	145200	we have some people coming for first diagnosis in their 50s or in their 70s,
146000	149680	but the characteristics of autism were always present from very early on.
151680	157040	So the first way that autism has changed is from being considered rather narrowly,
157040	164160	defined rather narrowly, to a much broader definition. So in the 1980s, the diagnosis
164160	170080	was called infantile autism, reflecting, again, a very different history where initially,
170080	176480	autism was distinguished and talked about as childhood schizophrenia, and some of the
176480	181840	diagnostic criteria were pervasive lack of responsiveness to other people, so being oblivious
181840	187120	of others, gross deficits in language development, often an individual who didn't speak or only
187120	192640	spoke a few words, and absence of delusions and hallucinations, and you can see that that is
192640	198320	an attempt to distinguish autism from schizophrenia or from psychosis spectrum.
199600	205120	Now, most of us, when we think about our autistic friends and relatives, they may not fit those
205840	210800	criteria at all, certainly not pervasively unresponsive to other people, for example,
210800	216560	and they may have very good language. Our current diagnostic criteria for what we now call autism
216560	223520	spectrum disorder include things like persistent deficits, some people would rather say differences
223520	228240	in social communication and social interaction, restricted repetitive patterns of behavior,
228240	232960	interests or activities, and as I said, that now includes sensory sensitivities,
234080	239920	and importantly, in our current conception, you can have an autism diagnosis and a diagnosis of
240000	246720	ADHD or of anxiety or depression, and surprisingly, that was only allowed from 2013
247440	252720	in the current diagnostic criteria. Before that, if you were anxious and autistic, your anxiety was
252720	256880	put down to your autism, which obviously isn't helpful, and I'll talk more about mental health
256880	264080	later on. So a great widening of those diagnostic criteria, incorporating many more people,
264080	270800	when I started in the field, most autistic children were in special school, many almost
270800	276960	had intellectual disability, language difficulties, and we were really fighting a lot of under
276960	283200	diagnosis. Now, most autistic children are in mainstream school, that may not always be the
283200	288640	best place for them if they're not well supported, but most are in mainstream, most will have pretty
288720	294800	good intellectual functioning and serviceable or good or excellent language. So the picture,
294800	301920	the autistic population has really changed, and as autism has changed from being narrowly defined
301920	308480	to much more broadly defined, it's also changed from being a rare condition to a common condition.
309280	315760	So in the 1980s, we talked about between four and six in every 10,000 individuals meeting
315760	321040	diagnostic criteria for autism, but today we talk about one percent of people, or maybe even two
321040	328480	percent of people, and sometimes studies in the States saying even higher numbers. What happened
328480	336080	between 1980s and today, well, one thing that happened was that in the mid-90s, a new diagnostic
336080	342240	label, Asperger's Syndrome, was introduced, and it was introduced to capture people who didn't
342240	347840	have a language delay or cognitive delay, but still had those social communication difficulties
347840	352880	and the regional repetitive traits. And I think for the first time then in the 90s,
353760	360000	if a parent had a child diagnosed with more classic or obvious autism, they might read around the
360000	365120	topic and they might find descriptions of Asperger's Syndrome and think, ah, that might be me, or that
365120	370880	might be my father, the grandfather of the child who's just had a diagnosis of autism. Before that,
370880	377120	when the picture was very much about autism with language delay, with intellectual disability, parents
377120	383280	weren't likely to read about autism and think that's me as well. So we see a big expansion there,
383920	389840	but I also want to point out that there probably hasn't been a real increase in the rates of
389840	395360	autism. We can't be sure because we can't go back retrospectively and apply our current diagnostic
395360	402960	criteria. But what I've shown you on the slide is the smooth, smooth blue curve that is often used
402960	408720	by autism charities and campaigners, particularly in the States, to say, look at this huge rise
408720	415120	in the rates of autism, please give more resources, please give more intervention and support.
415760	426320	But in set, I put the rates of autism in 2002 and in 2006 in different States in America.
