start	end	text
0	6000	Wrth ciall nhw'n torny eich hunion fod yn i'r provider negoobeil,
6000	11200	plant fy moddog bibliotech ynios realistic Hanghnydol,
11200	15000	am y cwylioения i r氧 o'ch iechyd,
15000	18000	yna gan rhaglen gwybodaeth ni mae hi'nабат ports y gallwn
18000	21000	' i'n moddog bwysigol fod y pwy ffordd trens jylliede Stickwale.
21000	25000	Roedd y busg yn yw edrychwch dadlau ar yr yrweid.
25000	29400	cyfle θαall newid credu gallu trafod i chi credu cefn,
29400	32580	yn ymweithio mewn legitim, fi ngos i chi addgor Carel,
32580	35320	ond recession.
35320	39000	Dw i chi'r peribwysiad a ch venti gstaunio thrall.
39000	41560	mae'n gwydeithas ond ti'r reiilleso sy'n finctions.
41560	45200	Fi dw i chi'n cael ei wneud commandion?
45200	50920	Rwy'n File'r hyn i fi ddweud ydyn ni'r real diwylliant
50920	54060	y cwylwch. Dwi'n meddwl. Felly nesaf.
54060	57220	Ond, dyma'r anhymwys ar y cyfnod y bydd.
58420	62740	You can step back from there and this is the whole tree of life
62740	67140	which is showing the interconnectedness of different organisms.
67140	69460	At least that's what it pretends to do.
69460	74020	It doesn't really do that and if you find this kind of diagram slightly freaky,
74020	77120	good because I do as well and I think most normal people would.
77120	80320	Actually it's wrong in various ways.
80920	84240	equity nifer allaw, mae'n t码 o ond fieldwych cymhtuol iawn.
85120	88880	Ond dyna dod yn meddwl i flynedd ar mleidnon olagell,
88980	91540	achi dychef, y bydd gŵl cyfwysgw ποydd da Viw.
91620	94920	y fydd yn achos eich llaw o salute 19äll.
96020	99320	Y rниз ei ei ddweud o'r sfer frys ei gallu i phrydo di uncor.
99320	100820	Mae'r los i ei fydd yn siarad.
100820	102580	Bydd odd yn uwch yn ei gwneud yn y yetiill o'i weld...
102760	107580	..egdrwy'n di siarad o b pneight traoli niw o'r erio Ewcinau....
107580	111800	Silydd, dŷlwysledig ar yr y gweld annyfodol yn yill o'i iddiwyneb embarrassoeth.
111800	115000	Felly y maen nhw, dasch y ceisio arall debit ac hen yn llawer o'r byd.
115000	116480	Diolch yr popul y ddweud yady?
116480	118680	Femol b tweet ar of flynyn agion â…
118680	121400	…llain yr ymweld annyfodol, ac o Punkte amrywod ddarsod, clwch iawn.
121400	124560	Ydwy thyn diddorion sefydliadau sy'n rhan res Owen ole theres.
124560	126580	Felly fel h замhyn wych weddings,
126580	129880	Cusan ar den yn Hryd Ndo Deed i'r hwnnw a fydd yn germau cynghael.
129880	134800	Helw yannaw ar y apartolaeth yma caseddeidhirem ar gyfer teulu?
135280	138760	e i nebydduaethau cerdd, a dwi companies yn dod o'r cerdd!
138760	143700	Os eitb o'r hanon, mae'n lle,
144140	147040	ma hwnnw lle mae'r rhannu ni'n rhanolfenni!
147040	150680	Mi wled yn giant i'r cerdd yn ageilad yr un ni.
151360	154640	Sa oedd yma yw Mariaud ei cofNI aser.
155040	159720	livestock yn lleddo i ensew milio yma'i eu geofonol.
159880	162500	Alham yng secondlyiaeth yig לא ydd àЛ byddwyr regloyniaeth bone 1-1990,
162500	166400	dim oherwydd y ffordd ei obaith yn y bwybnu dud copoeddu
166400	168440	ac yn y ffordd yw'r ritanodau ffraes,
168440	171180	pe dd tro ei fod yn rhyddynau mewn mwykeith peace,
171180	173780	ond yna ymddangodd dwmgwch i'w sfaedd.
173780	175640	Ond mae'r ddin yna ar gyfer swyddeddach,
178300	180300	kerf спam i...!
182300	183660	Mae hy fan iddo要rch yn gweithio i fiveiru gact i ddechrau caslo ky cleaner ac
183660	186100	gan y mynd ein bod yn brwyng o wo ni.
186100	188420	Siaid weithi ddo i weithiau mins健 gwys плaniad
188420	196580	cafeoli. Mae'n chynnal iawn bod pobl yn gwame'i Heslon plodiol.
196580	201060	Mae'r Syr invol Laun i rhan iawn a cyntaf a gafodd drws iechyd am gyfordd j incredible
201060	205940	o ran jair, ond ry'n ddim yn ddamnog ar f charity yw'r Lers.
205940	211220	A sy diddor cael ei ysgol yn gyfer Allanog.
211220	215420	Mae'n dู yn gwellaeth, fel drw!
215420	220700	some of them for 400 years but we didn't realize that they're so genetically different.
221660	226300	And so you're beginning to get a different sense of the structure of life when you look at this.
226300	232460	And it's a cold one because it pushes us into a corner where we don't really like to be very much,
232460	236780	but if you try and think rationally about it, it's also an interesting one because
237980	243500	the length of these branches gives you a rough guide to how much genetic variation
243500	248020	yr oes cyn eitth ddeıllig, Assassin cyffin i gwyllai ar gweiniauencia eman
248220	252020	a'r oeddio'r bwriter iawn yr archiau a casaтора yn amlaen
252220	255300	elwodd cyffinTC,
255500	256700	codi anrefad,
256900	261540	ddwi load envelope hi'r par tied yn cael blyny,
261740	265060	a phel nad ф Stacy o puncer o rydym y Cyn再 chi,
265260	265620	drafod o viwn,
265820	269300	sy'n oes bod yn gweld roedd cy Legacy o gafd,
269500	270980	gallwch flyny yn wneud i ni'n ni gaelogau.
271180	272700	Dawodd di'r bwrsio ar gyferwn hasion
272700	278380	golwllbychy nifer hwyrish shattered hw dorod y cyddemddau holl o'r margwch arall
278380	280900	o'r ddweisi trwy'r gael, a i hollog o gwbadol yn yllafodol.
280900	284700	Nywrchu swyddaeth mae honw, yrraedd Charles, achos yn belonghau at어�lygu,
284700	287360	go clinics, gyda dwgen ar y dig喜nd y mae ymlaen,
287360	292500	a hollog ycofри, nid dal o anfowir,ыйnau cyflwynyn iawn ar y cyff котораяff
292500	296600	A ond gasonellfa mae gefnogaeth,chu'r rai ddweisi arlawe fwyaf,
296600	299160	Pan oddwith o'r hawddio ymlaen i swyddaeg,
299160	301260	Nagwaint hosts yn drhr Aycel am hyfforn gweld.
302700	305700	I gave rise to all large complex organisms.
305700	308740	And nobody can agree about what that was,
308740	312220	which I enjoy telling my students because it's a problem for them.
312220	315220	I can highlight where the answer might lie,
315220	321520	but I like to try to get this across to the public as much as possible as well.
321520	323600	Because we live in a managerial age,
323600	325820	where we try and say what the solution is going to be,
325820	327540	and then we do the research to get to the solution.
327540	328960	That's not how science works.
329240	336280	Y ffact is, we really don't know a great deal about why life evolved the way it actually did.
337080	344840	And I also find it encouraging that some of the greatest biologists and the greatest thinkers of the 20th century can't agree on them, themselves either.
345080	350000	So, Jacques Moner wrote a famous book called Chance and Necessity in 1971.
350000	356920	It's a wonderful book. Really, at the dawn of molecular biology when people just understood what the genetic code was
356920	361320	ac mae'r ffordd yw'r randdyn nhw'n gweld.
362560	365320	Mae'r bobl yn fwyaf.
365320	367920	Mae'r bobl yn ymddi'r unig.
367920	372040	Mae'n fwyaf ymddi'r bobl yn ymddi'r bobl.
372040	376240	Mae'r Stephen Jay Gould yn ymddi'r bobl yn ymddi'r bobl.
377240	379320	Mae'r bobl yn ei wneud ymddi'r oed
379320	380920	o'r cymryd yn ymddi'r bobl,
380920	384920	oedd ymddi'r bobl yn ymddi'r bobl.
385600	389360	Felly mae'n gweinhaid i'r wonen
389360	393200	i d94 workforce oes I-4.
393200	397240	Dやch неilodau bwd yma.
397920	401880	Dyna gweinydd dахu a fyrdd a chi merynom?
401880	404760	Dwi'n dasb evento hi fel yHi ngwsad önedd yn ei wneud
404760	408680	y gallai'n ei wneud yn ei wneud hyn.
410240	412240	Mae'r cysoleif iawn o'r ymddi'r bobl.
412240	414700	i'w scoopu pymshref sprwllaid
414700	416540	velocol am fwy o'ch pwlen wahwn
