start	end	text
0	7000	Welcome to Gresham College, and to this book launch of my number theory, a very short introduction.
7000	16000	It's one of the latest in the popular series of very short introductions, which Oxford University Press has produced over the past 25 years.
16000	27000	I was also fortunate to have been invited to write the very short introduction to combinatorics, which appeared in 2016.
28000	38000	I've always been interested in the history of mathematics, and in the book and in this lecture you'll meet four of the prime figures who feature throughout my story.
38000	50000	The Greek mathematician Euclid of Alexandria top right, who wrote his classic text The Elements in the third century BC, and who probably didn't look like this.
50000	58000	Pierre Fermat, on the left, a lawyer in southern France in the early 17th century.
58000	66000	Leonard Euler, an 18th century Swiss mathematician who was probably the most prolific mathematician of all time,
66000	75000	and Carl Friedrich Gauss, a German mathematician who published a classic text on number theory in the year 1801.
76000	84000	It was Gauss who claimed that mathematics is the queen of the sciences, and number theory is the queen of mathematics.
84000	88000	So what is number theory?
88000	96000	Basically, it's the branch of mathematics that's primarily concerned with our ordinary counting numbers 1, 2, 3, etc.
96000	99000	Sometimes called the positive integers.
99000	105000	And it's concerned with whether they're odd or even, or are perfect squares or cubes,
105000	114000	or can be divided exactly by seven or some other number, or have some other such property.
114000	120000	Particularly important throughout the subject of the prime numbers, which we can think of as the building blocks of the subject,
120000	128000	like atoms in chemistry, and which are the only numbers whose only factors are itself and one.
128000	136000	For example, 11, 13, 17 and 19 are all prime, we can't split them up into factors.
136000	144000	But 15 and 18 are not, because 15 is three times five, and 18 is two times nine,
144000	148000	which we can then write as two times three times three.
148000	157000	But we must be careful, because some numbers that look as though they might be prime numbers, such as 91 and 323 are not,
157000	163000	because 91 is seven times 13, and 323 is 17 times 19.
163000	167000	So it's not always easy to spot whether a given number is prime.
167000	172000	For example, how about the three numbers at the bottom of the screen?
172000	178000	I'll tell you about these ones later on.
178000	182000	So here are some of the questions that I'll be talking about today.
182000	189000	The first ones are clearly about numbers, such as whether that last number is prime,
189000	193000	whether any number made entirely of ones is a perfect square,
193000	198000	and various problems arising from the calendar.
198000	205000	But number theory also expands into other areas, such as the geometry of right-angled triangles,
205000	208000	and the construction of regular shapes.
209000	213000	You'll also see applications to the shuffling of cards,
213000	218000	and even to more practical matters, such as the security of your credit cards,
218000	224000	which is based on a result on prime numbers that dates back to the 18th century.
224000	230000	Number theory, once an abstract branch of pure mathematics that was studied for its own sake,
