start	end	text
0	12560	Value props is one of the most important things that we could possibly spend time on because
12560	16840	the number one reason that companies fail is because they're not solving a valuable
16840	21920	enough problem and therefore they don't create the value that's worth investing in and therefore
21920	25720	they fail in their basic form of meeting a need.
25720	30280	So what we intend to do today is to both help you understand how to define the problem
30280	35000	you're addressing or the opportunity you see and then actually evaluate it and then finally
35000	36600	create it.
36600	39800	And this is one of the few workshops where I'll tell you that we do have an answer.
39800	43320	Usually you hear me say there are no answers that I'm going to ask a whole bunch of questions
43320	44320	of you.
44320	46960	The only answer I'm giving you though is a framework and it's a framework for where
46960	47960	we're going to go.
47960	52200	So let me jump right in and get you there so you can hear exactly from the beginning
52200	55240	how this framework set of activities is going to come together.
55240	58760	So as I said first of all we're going to define then we're going to evaluate then we're
58760	59880	going to build.
59880	62920	One of the things I want to tell you right off the bat is that I want to get rid of the
62920	65720	idea of ideas.
65720	69160	It's a terrible thing but most people come to me and they say I've got an incredible
69160	70360	idea for X, Y and Z.
70360	75520	Well ideas are to a penny, sorry I should say to a cent but what they really are is
75520	76520	free floating.
76520	80400	They don't actually have meaning until you can address some kind of a problem or opportunity
80400	81400	with them.
81400	83680	So that's why that first part is so important.
83680	86880	And then of course once you start building a value proposition we want to be able to
86880	90920	evaluate it so you yourself not me or anybody else can judge whether you've got something
90920	94080	that is really going to be compelling and cause people to buy.
94080	97080	And finally if you have then of course you want to build it and get it into a form that's
97080	98080	really crisp.
98080	102080	So it's an easy thing for you to do and everything from an elevator pitch to literally going
102080	106200	to a full on pitch for example to get a customer over the line or raise money.
106200	110360	In every instance though this framework, a set of frameworks should help you get that.
110360	112800	So I said we'd give you an answer.
112800	115640	This is the end of the session.
115640	122920	We want you to be able to actually build this framework and say for who that is dissatisfied
122920	129800	with what due to some unmet need or problem you offer a product that solves that and it
129800	133320	provides some key benefits that are compelling enough that people actually want to engage
133320	134520	with you.
134520	137960	So that's why we're headed this evening.
137960	141280	First thing in the value prop that we want to do is define.
141560	146000	The first statement sounds so obvious which is for who.
146000	149640	So I'm going to jump right in because I know that they've got a good starting point.
149640	151320	Connect Ed Gulnaz.
151320	154880	Tell me for who is your value prop.
154880	163240	So this is connected as a nonprofit so we bridge the digital divide for people in Kazakhstan
163240	170200	but we have to deliver I feel like the value proposition for organization that donate their
170200	174800	computers and devices to us and those who can fund us.
174800	179560	Okay so you went long way down into that but I want to make sure we really understand the
179560	180560	who.
180560	184680	So if you could say who it is for is it everybody in Kazakhstan?
184680	185680	Primarily children.
185680	191280	Okay so we want to say children okay.
191280	194360	What else could you say about them?
194360	198320	From marginalized communities and rural areas in Kazakhstan.
198880	200720	Okay marginalized.
200720	201720	What else?
203720	207120	Who don't have basic digital literacy skills.
207120	219600	Okay so basic digital literacy skills.
219600	221520	And you said the last thing is.
221520	223120	And they don't have equipment.
223120	226920	And they don't have equipment.
226920	231120	So this is why I picked Gulnaz because I've been lucky enough to have her in the class
231120	232120	before.
232120	236520	She didn't say my proposition is for everybody which would be very terrifying if it was by
236520	240760	the way because then how do you even pick where you go to market or how you reach that
240760	241760	customer etc.
241760	243240	She's got very specific.
243240	247680	I didn't write Kazakhstan because that's pretty obvious but it's children with marginalized
247680	251720	who are in a marginalized situation don't have basic digital literacy and they don't
251720	252960	have the equipment.
252960	256360	Now we can find out later how she's going to address their needs.
256520	258360	That's pretty clear right.
258360	264200	So anyway one of the teams at the iLab who put their value prop in for tonight was Comprofacil
264200	269800	and they very openly said they've got a product which is going to help people who are dissatisfied
269800	274720	with current credit products due to high interest rates get through a credit marketplace better
274720	276920	comparison capabilities.
276920	279600	Makes total sense but they didn't say for who.
279600	283800	Now that's a massive problem when you are building a business because if you don't know
283800	287800	who your customer is you don't know what the persona is that you're selling to and
287800	290520	how to focus or target on them etc.
290520	295840	And it just is the beginning therefore of why the value proposition statement is so important.
295840	298080	I will underline it by saying the following.
298080	301280	If you don't know who your customer is and you think it's everybody I can tell you you're
301280	306480	going to fail by default because trying to boil the ocean and sell to the world at large
306480	309760	is a very big undertaking for any company.
309760	312520	Even the largest companies in the world get very crisp about it.
312880	314080	Yeah and Tato.
