start	end	text
0	10480	Daniel Schmartenberger, thank you for being with us.
10480	11480	Thanks for having me.
11480	15440	So, you're a philosopher, a founding member of the Consilience Project.
15440	21200	The goal of this conversation today is to analyze the direction our civilization is
21200	28160	taking in half an hour, because you've been doing like so many great podcasts about the
28160	34120	metacrisis during lasting three to four hours, and I suggest that people go and watch them
34120	35120	on the Internet.
35120	36120	They're very good.
36120	37960	We'll start with the harvest of the day.
37960	44280	The question I'm asking to all the guests here for Harvard Podcasts, if something easy
44280	49760	or simple could be done and would make the world a better place, what would it be for
49760	51000	you, Daniel?
51000	54800	When I saw the note that you sent me, that that would be a last question.
54800	58080	Is there a simple or easy thing that everyone could do that make the world a better place?
58080	59080	That kind of cringed?
59080	65120	Because I usually really am not a fan of that question, because the world needs so many
65120	70120	different kinds of things done that require different skills and capacities and orientations
70120	74920	and to try to reduce it to some thing that would be true for everybody.
74920	78880	You get a platitude like be kind or loving or something like that, or you get something
78880	84480	like recycle or pick up trash or try to use less carbon or something that doesn't map
84480	86680	to the whole set of things that the world needs.
86680	95440	I think there's a process where movements have been associated with political processes
95440	100680	and markets in a way that it's like, here's this great catastrophe that'll happen if the
100680	105360	other side gets elected, so everybody needs to get out and vote for so and so.
105360	110480	That's like everybody can do a simple thing because we're relating to everybody as voters
110480	116120	or everybody donate to this cause or boycott this thing, but the complexity of the world's
116120	122600	issues from climate issues to AI risk to supply chain issues to electrical grid issues, like
122600	125040	there's no action like that.
125040	129360	There's no somebody to vote for or not to vote for thing to donate to that addresses
129360	130360	it.
130360	136240	One thing that is not necessarily easy, but is relatively simple, that would be great
136240	142440	if everybody in the world could do more, is to seek to try to understand other people's
142440	147680	perspectives much more deeply, particularly those that are most different than their own.
147680	158400	If you can try to take the opposite perspective on abortion, on gun control, on climate change,
158400	164320	on the Ukraine-Russia war, on the Chinese versus Western system, on any of those things,
164320	166000	on the Israel-Palestine issue.
166000	171960	If you can try to earnestly be able to make the argument that the person on the other
171960	176640	side would make as well enough that they don't have anything to add to it, and not
176640	182120	just as a rhetorical process, but connect to the values that they care about and what
182120	185840	it feels like to be them and see the world through their eyes, realizing that there might
185840	186840	be distortion.
186840	190920	There might be a lot of things missing, but there's not zero truth or zero value to it.
190920	200160	That process, if everyone did that, would actually result in addressing the metacrisis
200320	206080	in all of its complexity, the issues in synthetic biology risk, and pandemics, and escalation
206080	210560	pathways to warfare, and economic issues, and geopolitical issues, and all of them.
210560	217320	You can say that they either come down to conflict or externalities, like we cause harm
217320	223320	directly, intentionally, which a war is a great example of, or harm gets caused that
223320	226160	we didn't intend to cause.
226160	228040	No one intended to cause climate change.
