start	end	text
0	7440	Welcome everyone. We'll try to start on time. My name is Marcelo Gleiser. I'm a professor
7440	13640	of physics and astronomy here at Dartmouth, and I also direct the Institute for Cross-Disciplinary
13640	21340	Engagement, which is short, the short for the institute is ICE, but I say it's the
21340	27040	good ICE, you know, because there's another ICE out there. So it's the good ICE, or as
27040	31840	a previous cell said, the coolest ICE, you know. So if you want to know more about what
31840	39320	we do, I'll write a little website for you. One of the things that we do is we have a
39320	45480	fellows program somewhat similar to the Montgomery Fellows where I invite wonderful people that
45480	50600	do cross the boundaries between the sciences and the humanities to spend some time here
50600	57440	and think and talk to people and give public lectures. And so today we're very, very fortunate
57440	64280	to have, as our current fellow, Alan Leitman, who I'm sure you know, as a physicist and
64280	72760	as a novelist. Alan was educated in Princeton and at Caltech, where he did his PhD in theoretical
72760	79600	physics, I guess, with Keith Thorn, who just got the Nobel Prize for gravitational waves.
79600	86720	And then he was at the Harvard-Smithsonian Center for Astrophysics as an assistant professor,
86720	93120	and then at MIT, where he had this distinction of having both a position in the physics and
93120	97760	in the humanities, which is something I'm very jealous of, I have to say. I think that's
97760	104280	a wonderful thing. And in fact, he became the John Bertrand Professor of the humanities.
104280	109480	And then he decided to take some time off a little bit from academia, and so now he's
109480	114640	just an adjunct professor there where he teaches science writing because he wants to dedicate
114640	121240	more time to his fiction writing and non-fiction writing. So as you know, he's the author
121240	126080	of five novels, two collections of essays, a book-length narrative poem, and many, many
126080	132000	books on science. And he's written for The Atlantic, granted The New Yorker, The New
132000	137720	York Review of Books, and many, many other publications. His novel Einstein's Dreams was
137720	144640	an international bestseller, has been translated into 30 languages. And his novel The Diagnosis
144640	150200	was a finalist for the 2000 National Book Award in Fiction. His most recent books are
150200	156200	Screening Room, A Memoir of the South, named one of the best books of 2015 by The Washington
156200	164080	Post, and The Accidental Universe, named by Brain Pickings, Maria Popova's blog, as one
164080	172480	of the best books of 2016. He's also a fellow of the American Academy of Arts and Sciences.
172480	180400	He's received many, many awards and five honorary degrees. And on top of all that, Alan also
180400	185960	is the founding director of the Harpswell Foundation, which works to empower a new generation
185960	191400	of women leaders in Cambodia. So he goes there quite often to do this work, which is quite
191400	198640	wonderful. So today, he's going to talk to us about fact and faith. I always said fact
198640	206040	and fiction, fact and faith, which is really the main theme of an upcoming book of his that
206040	209840	I'm sure he will mention Alan is talking about. So Alan, please welcome.
209840	224800	So Alan will talk for about 45 minutes, and then we'll open for questions from the audience.
224800	233400	When you ask a question, I'm going to give a microphone because we are videotaping everything.
233400	243320	Thank you, Marcello. I very much admire the work that Marcello has done with this institute
243320	249320	here to bring the sciences and the humanities. Together, I've had a great experience being
249320	258240	here for a week, and I'll be here another 10 days or so, and I've had some enjoyable
258240	263800	meetings with some of the students here. So thank you, Marcello. Thank you, Ice. Cool
263800	276920	Ice. Thank you, Dartmouth. For many years, my wife and I have spent our summers on a
276920	285480	small island in Maine. There are only six families who live there. There are no roads
