start	end	text
0	8840	So, welcome everybody, I have a pleasure to introduce Stephen Warfram, I know him many,
8840	14600	many years because I was involved at some point in a different computer algebra system,
14600	22180	you know he's the creator of Mathematica, he's the founder and CEO of Warfram Research,
22180	28080	he also created this semantic search engine Warfram Alpha that you may be well aware of
28080	34240	and now he's using language models, he's author of many books like A New Kind of Sciences
34240	41680	and a very recent book on everything about physics and we are very happy that he accepted
41680	51600	to come today to do the last distinguished lecture of the semester.
51600	58360	So all right, let's talk about, so as far as I'm concerned the kind of the big idea
58360	66000	that is kind of a defining idea probably of our century is this idea of computation and
66000	73120	I kind of view it as being part of a long sequence of efforts that kind of span the
73120	78560	history of our species I suppose in trying to formalize things.
78560	83840	So you know the probably the first step in that was the creation of human language and
83840	89180	the idea that one could instead of just sort of pointing at different rocks and so on,
89180	94520	one could have a kind of symbolic term rock that represents the general category of things
94520	95520	that are rocks.
95520	101800	That was kind of a big step in being able to explain, in being able to abstract things
101800	106880	from the world as it is to something that we can describe in a formal way and kind of
106880	112440	I would say the next another big step in that was the creation of logic, the idea that
112440	117280	one could take a collection of sentences that had the particular forms of particular forms
117280	124280	and say there's something that we can abstract from all these sentences that is a representation
124280	130440	of something that is formal that we can deduce from these sentences and it's kind of interesting
130440	135640	that when we look at the chat GPs of this world and people are sort of amazed oh wow
135680	142680	it manages to do logic well it's been trained from a you know trillion words of stuff that
143320	149840	we humans have put out there on the web and that contains the same kind of forms of speech
149840	155200	that you know Aristotle and folks like that used to originally construct logic it's able
155200	161720	it's one is abstracting from the specifics of language to something that is a more formal
161720	164360	representation of what's going on.
164400	169720	I suppose in the kind of long arc of history the next big thing that's sort of an example
169720	176200	of formalization of things in the world is mathematics that's another kind of way of
176200	182960	formalizing what happens in the world describing things in terms of numbers and algebra and
182960	189960	those sorts of things. And mathematics when it comes to science kind of the last 300 years
190960	197960	sort of mathematics had been the kind of dominant form of formalization used in science
197960	202640	logic was not particularly successful for as a formalization for science mathematics is
202640	209640	sort of the winning one and that's something that has had continued until quite recently.
210560	215520	The big thing that is sort of new last hundred years is this idea of computation the idea
215560	221560	that there you can what is computation as far as I'm concerned it's you specify sort
221560	227560	of precise rules and then you understand their consequences. In mathematics there are particular
227560	233280	kinds of rules that are represented by I don't know algebra and integrals and calculus and
233280	238080	things like that. There are particular kinds of rules that we study in mathematics computation
238080	243440	is about the most general case of studying sort of given rules what are their consequences
243440	249280	and by the way there's sort of a difference in the way that a particular time is handled
249280	253880	when we think about computation as compared to when we think about for example mathematics
253880	258360	in mathematics we might have some equation that has time as a parameter but we kind of
258360	262160	expect we're going to get an answer where we get some formula where time appears in
262160	267400	the formula but we can set that time to be any value we want. When we think about computation
267400	272840	we're thinking about we're given these rules and now we're going to run these rules and
273040	278480	we're going to see what happens we don't get to say oh I'm going to sort of set the value
278480	282080	of time to be this we have to just run the rules and see what happens. Maybe I should
282080	289080	explain some things that this is from the 1980s actually the kind of a big effort of
293080	300080	the question that this I've been talking about kind of computation as a way of thinking
303840	309720	kind of formalizing what happens in the world so one of the things I got interested in back
309720	315800	at the beginning of the 1980s actually was if one is going to make models of nature what
315800	320400	raw material one might one use to do that and kind of the traditional view had been
320400	324960	used mathematical equations and so on my interest was to kind of generalize that and to see
324960	330560	what happens if you use not equations but programs to represent things in the world
330640	336200	and I have to say it's kind of a spoiler for the path of history but in the last 25 years
336200	342040	or so there's been after 300 years of complete dominance of kind of mathematical equations
342040	346880	as ways to model the world computation has become and programs and so on have kind of
346880	353880	become the when new models are created that's almost always what new models get made with
353880	360880	so but the question that I got interested in years ago is when you look at just simple
361160	368160	if you just ask what what kinds of programs might nature use to do the things that it
368200	375200	does and a particular category of such programs that I found convenient to look at are things
375920	383680	that get called cellular automata this is an example of them it's just a line of cells
383680	389560	each one is either black or white and in a series of steps you set the new color of
389560	394000	the cell to be determined by rule that depends on the previous color of that cell and the
394000	401000	previous colors of its two neighbors so if we take that we just say run run that let's
401000	408000	let's let's let's run that for a few steps here let's just show this with a mesh okay
411120	416440	so this is this is using that rule and at every at every cell at every step we're just
416440	421240	applying that rule to determine what the color of the next step cell will be so we have a
421240	426000	very simple rule we get very simple behavior it's kind of like you kind of you might expect
426000	430400	that's what's going to happen well let's let's change this rule a bit let's say we have
430400	436000	something like this we can change it see what it does that's what it does then let's change
436000	443000	it again let's say we do this how we use that rule instead well now we get a slightly more
443680	448400	complicated pattern if we keep it running a little bit longer we'll find that it makes
448400	454480	a nice some kind of elaborate intricate but very nested structure and we might again say
454480	459640	at this point oh you know if the rule is simple then even if the behavior is somehow intricate
459640	466200	there will be some easy regularity to identify in that behavior okay so now you can ask the
466200	470520	question if you're just sort of studying these things from a sort of science point of view
470520	474600	you can ask the question well why don't I just do an experiment why don't I just point sort
474600	479120	of a computational telescope out into this computational universe of possible programs
479120	484760	just find out what's out there so we can try doing that and let's just make a table of
484800	495800	these with any rule number here and let's do let's say the first 64 of these and this is the result
495800	501960	we get so much of the time so ever every one of these pictures is a different rule that we're
501960	507160	using a much of the time you see what happens is really pretty simple maybe there's stripes from
507160	512280	alternating stripes but there's some fairly simple structure that's produced and here are some nice
512320	519400	nested patterns and then this is my all-time favorite science discovery here's rule 30 in that
519400	524040	numbering scheme it does something a bit different let's take a look at that in a bit more detail
524040	530480	let's say let's look at the rule for it here it is and let's look at what it actually does and
530480	535840	that's the result so what's really remarkable about this is the rule is simple starts off
535840	541360	from just one black cell yet the behavior you get when you actually run this rule is something
541440	546320	complicated in fact if you look at the center column of cells here for all practical purposes
546320	554320	they seem completely random and this is this is kind of a big surprise to one's intuition because
554320	558400	this idea that to make something complicated you have to go lots of effort that's what we kind of
558400	563920	learn intuitively from doing engineering if you want to make a complicated thing you have to go to
563920	568400	a lot of effort to build up this whole structure that's going to make that complicated thing but
568400	573600	here we've got something where in a sense effortlessly from this very simple rule we're making a
573600	579720	very complicated thing well back in the 1980s what I was excited about was what that means for
579720	588120	understanding what happens in nature what happens in in in kind of the understanding how sort of
588120	593880	complexity arises in systems in nature and realizing that this kind of phenomenon that we see in the
593880	599680	computational universe seems to be the secret that nature has that lets it makes so many complicated
599680	604200	things that in fact out in the computational universe of possible programs that should pretty
604200	610680	common to find that even very simple rules can generate what appears to us to be very complicated
610680	616200	behavior well maybe it's worthwhile to understand kind of what how we can understand this phenomenon
616200	621040	that very simple rules can produce very complicated behavior what's sort of going on what are the
621040	628840	broader scientific implications of that and the I suppose one of the one of the big the underlying
628840	634680	principle that I kind of came up with in the 1990s now is this thing I call the principle of
634680	641120	computational equivalence so here's how this works we think about what what is this thing doing we
641120	645600	can think of it as doing a computation it's been given some input it's been given a rule it runs
645720	651880	that that that rule with that input it generates some output it's it's a computation like a computer
651880	658320	might run a computation the question is how sophisticated is that computation is that
658320	663920	computation one that is somehow quite straightforward we could just jump ahead and we could do a
663920	670280	better computation figure out the answer or is it the case that this computation is is is a
670280	674840	sophisticated one so the big thing that was discovered about a hundred years ago now is this
674920	679920	idea of universal computation the idea that there exist systems like Turing machines and so on
679920	686000	that have the property that you can just have a fixed piece of hardware so to speak a fixed rule
686000	691680	and yet by changing the initial conditions for the system you can make that system behave like any
691680	696040	other computational system and that's sort of an important idea because it's the idea that makes
696040	702520	software possible it's kind of the idea that drove essentially modern technology as it is but that
702560	710440	idea is says there exists a system that you can build it's maybe it's a microprocessor with a
710440	715200	billion transistors on it that is capable of universal computation what the principle of
715200	720080	computational equivalence says is something much more extreme than that it says whenever you look
720080	724280	at these systems in the computational universe when they're not doing things that are in a sense
724280	730920	obviously trivial then they will tend to be doing things which are as sophisticated computations as
730920	737880	anything can do so it's kind of saying that that something like this system here should be capable
737880	743120	of for example universal computation but more to the point it's the computation you're seeing here
743120	748160	is as sophisticated as the computation that any system can do so what are the consequences of
748160	753560	this well one consequence is if we're trying to predict what this system does then we're doing
753560	760400	that by doing a computation so if we expect that we can sort of jump ahead and say this system
760400	764760	after a billion steps is going to do this what we have to believe is that the computation we can
764760	769720	do is somehow more sophisticated than the computation the system can do so that we can kind of do
769720	774000	that jumping ahead and seeing what the answer is going to be but the principle of computational
774000	778280	equivalence says you're not going to be able to do that it says that the computation you get to do
778280	784040	with your brain your computer your mathematics whatever else is just the same sophistication as
784040	789120	the computation that this little system can do so you can't expect to be able to jump ahead like
789200	794160	that and that leads to this phenomenon I call computational irreducibility which is this idea
794160	799920	that there are things that happen computations that happen which are irreducible in the sense
799920	804240	that to know what's going to get what consequences they're going to have you basically just have
804240	809440	to run that computation and see what happens you can't expect to jump ahead and figure out the
809440	815360	answer with with less steps than actually running essentially with less steps than actually running
815360	819680	the system so here's an example let me show you an example of another one where it's kind of
819680	826320	interesting to see what happens here let's say rule 110 so this one actually happens to grow
826320	834000	only on one side but you see it makes this little structure let's run it for a thousand steps let's say
834560	839040	and the question will be we have that little structure there is that structure going to die out
839040	843680	or is that structure going to keep going forever well if we said if there wasn't computational
843680	850160	irreducibility we could say well we expect there's just some some sophisticated formula we can make
850160	854400	that can jump ahead and say that's what's going to happen in the end to this but with computational
854400	859680	irreducibility the only way we can work out what's going to happen is essentially to follow the steps
859680	865360	and see what happens and if we don't know how many steps we have to follow it's going to be in general
865360	869600	a question which is sort of undecidable to us what's going to happen in the end well let's see
869840	874240	you can run it I think there's three thousand steps enough yeah three thousand steps was enough
874240	879840	we can if you can just about see it you'll see that it pretty much died out maybe it's still got some
879840	885520	possible life to it but what's interesting is that we can't predict that without essentially running
885520	891600	the rule and just seeing what happens so okay so there's so we have that we've discovered this
891600	896960	phenomenon that even very simple rules in the computational universe can produce very complicated
897040	904960	behavior can produce behavior that is uh is it turns out to often be similar to the kinds of
904960	910080	behavior we see in the in the natural world also has this feature that even though we might have
910080	914880	thought you know the big thing about science is you can always jump ahead and predict things
914880	919680	computational irreducibility shows us that's not true there's sort of a fundamental limitation
919680	923360	it's kind of from within science we see there's sort of a fundamental limitation
923360	929440	that prevents that from happening and makes it it so that we kind of just have to simulate things
929440	935200	to see what's going to happen okay so one question you might ask is we found out the very simple
935200	940480	rules can produce very complicated behavior uh how far does that go what kinds of things can
940480	946480	that do can it make you know can it make brain like things can it make universe like things what
946480	950000	can it make let's talk about the universe first because it's sort of the biggest thing we can
950000	957760	talk about um and uh the um so the question is if we look at the physical world what what's
