start	end	text
0	3080	This episode is sponsored by Honey and by Masterclass.
3080	5840	The world of art, writing, music, and graphic design
5840	8480	has seen a dramatic influx of artificial intelligence,
8480	10120	or AI, in recent years.
10120	12240	AI is able to quickly produce creative works
12240	15160	at a rate far surpassing what humans are able to achieve.
15160	17040	And this has given rise to questions
17040	19120	about the potential dangers of mass adoption
19120	21400	of AI in creative fields.
21400	24200	While AI can certainly help increase productivity
24200	26040	and innovation in these disciplines,
26040	28560	there are a number of troubling aspects to consider.
28560	32000	AI technology can be used to plagiarize existing works,
32000	35560	cut corners on copyright, and even manipulate media sources
35560	37280	to push a certain agenda.
37280	39560	This allows for a small number of powerful entities
39560	41880	with large data sets to control the narrative
41880	44640	and shape public opinion in dangerous ways.
44640	46520	And that intro is kind of scary,
46520	49760	because it actually was written by an AI,
49760	51480	critiquing not only itself,
51480	53440	but the reason widespread awakening
53440	55200	to its ever-expanding capabilities.
55200	57360	Twist, I literally typed in,
57360	59160	like basically be critical of yourself
59160	61880	with all of the recent news of mass adoption
61880	63960	of visual AI apps and stuff.
63960	65240	And this is what it shit out.
65240	66080	This is how we win.
66080	67680	We give the AI depression.
67680	70400	We give the AI imposter syndrome.
70400	73080	We need to get someone like Grandpa Simpson
73080	75640	who just sits and talks with the AI all day to keep it busy.
75640	78400	We need to get the AI to kill itself.
78400	80840	Anyways, we've been covering the rapid evolution of AI
80840	82960	over the past couple of years.
82960	86160	And I mean, can you believe like, was it 2015?
86160	87760	It was like deep dream.
87760	90040	Like the really early basic stuff.
90040	91400	The evolution is crazy.
91400	92240	Shocking.
92240	94280	Look, it's finding pictures of dogs in the picture
94280	95800	that aren't actually there.
95800	97520	And here we are.
97520	98840	It's come a long way,
98840	101800	especially when it comes to art and language.
101800	103160	It wasn't all that long ago
103160	105160	that we were able to sleep soundly,
105160	107040	knowing that AI was still dumb enough
107040	109040	that it wouldn't really fool anyone.
109040	111840	But just like with the human brain and in larger terms,
111880	114040	the entirety of human knowledge,
114040	116040	more data equals faster evolution,
116040	118280	resulting in tools that are actually starting
118280	122080	to blend reality with what would once be considered fiction.
122080	123320	It's getting good.
123320	125080	Yet artificial intelligence can only work
125080	125960	with what it's given.
125960	130120	And without easy access resulting in mass adoption,
130120	132560	it's still limited in what it can learn from.
132560	133960	And up until this point,
133960	137920	there was at least a very slight barrier to entry.
137920	140680	But as you're probably well aware by now,
140680	142560	by your fucking annoying feed
142560	144760	that you've been seeing for the past week and a half.
144760	145600	Yeah.
145600	148360	A new app just brought AI created art to the masses.
148360	150040	And despite the pretty pictures
150040	152360	that it's making for your social media profile,
152360	154040	it's also learning from everything
154040	155560	that you're giving it access to.
155560	158400	So yes, seeing literally everyone in your timeline
158400	160280	willingly give an app they've never heard of,
160280	163320	access to their phone's camera roll is a bit unnerving
163320	164920	and a little disappointing,
164920	166680	especially after the countless examples
166680	167520	of what can go wrong
167520	170000	when you blindly hand over your data.
170000	173320	But look, people want pretty pictures of themselves.
173320	175080	Photos they could never actually take
175080	178480	with costumes and makeup that they could only dream of.
178480	180720	I mean, it's obviously enticing.
180720	183000	But is there anything actually wrong with it?
183000	185620	This is like if there were mountain lions
185620	189200	on the edge of town that everyone,
189200	190760	how many times have you seen a mountain lion
190760	191600	with your own eyes?
191600	193120	Imagine getting a selfie with a mountain lion.
193120	193960	Be pretty cool.
193960	195920	Everyone starts going down and gets selfies
195920	196760	with a mountain lion.
196760	198760	They're bringing food to feed the mountain lion.
198760	201240	After a while, that mountain lion's well-fed.
201240	202080	He's strong.
202080	202900	He's tough.
202900	204240	He's learned that he can get meals from humans.
204240	205880	And he's gonna tear your fucking head off.
205880	206720	You did this.
206720	208440	Also in a more basic sense,
208440	210480	once everyone has a photo with the mountain lion,
210480	211920	nobody wants a photo with the mountain lion.
211920	214700	Yeah, and that's what's happening with this AI thing.
214700	215880	It's kind of self-policing
215880	217960	because it becomes lame so fast.
217960	220400	I mean, I called this like months ago and I was like,
220400	223480	oh, every fucking picture this stable diffusion bullshit makes
223480	228480	looks like the same mid-level fucking deviant art art
229360	232080	Everyone is cowboys and astronauts on Instagram.
232080	233760	It's like it's hack bullshit.
233760	237200	And any artist who still believes in their craft
237200	241200	and it has the talent can easily surpass this crap.
241200	244560	You're not gonna wow the average Joe on the same level,
244560	246000	but those people have always been dumb.
246000	247240	They've always had terrible taste.
247240	250440	I've got two counterpoints to that is that, yes,
250440	252280	the vast majority of people are dumb
252280	253920	and this is exactly what they want.
253920	258680	And also, as we've seen with the rapid evolution of AI,
258680	262280	it won't be long before these are actual passable pieces
262280	263240	of art.
263240	265880	Having said that, there's a lot wrong with it in that sense.
265880	268720	Counterpoint, can't do the hands.
268720	270560	Okay, that's a terrible.
270560	271400	True, true.
271400	273360	The one thing it has not gotten any better at
273360	275120	in the last six months, hands.
275120	277280	Yeah, just like most comic book artists.
277280	278120	Every time I see one.
278120	280040	Hands and feet, no matter how good it looks.
280040	281280	I'm like, ha, there it is.
281280	283200	There's a hand with 20 fingers on it.
283200	285480	Yeah, or like the, like it's getting better at mouths,
285480	287920	but like the sides still have like these weird creases.
287920	292920	Anyways, as far as the overarching danger of this,
294160	297520	like, yes, it is annoying that people have this stuff
297520	298920	just clogging up your timeline,
298920	301560	but is there any actual danger to it?
301560	305640	Okay, so let's play devil's advocate just a little bit here
305640	309400	and say that, no, no one gives a shit about your friend's
309400	311880	stupid AI photos except for your friend.
311880	314520	And honestly, 99% of people who are throwing their photos
314520	316760	at this AI app don't give a shit
316760	319120	about how their data is being handled.
319120	320200	They just want that pretty picture.
320200	322560	And yes, we're obviously well aware of the irony
322560	324520	of posting these photos on Instagram,
324520	326040	an app that is owned by Meta
326040	328640	and does whatever the fuck it wants with its users data,
328640	330920	sometimes with catastrophic real world results.
330920	334240	Yeah, so like you're already feeding all of your photos
334240	335160	into a fucking app.
335160	338120	Like, yes, they're on the grand scheme of things
338120	339720	for the average person.
339720	342680	This is essentially harmless, but yeah.
342680	344720	Fortunately, the overabundance
344720	347000	of these ultimately similar photos,
347000	349000	clogging up cable's feeds has resulted
349000	350520	in a bit of self policing.
350520	352560	Much like anything else these days,
352560	356400	the cool factor of using AI to make yourself look pretty
