start	end	text
0	5000	Want to see an out-of-this-world true detective story?
5000	8000	Well, sharpen your wits and hop on your magic carpet.
8000	11000	You've got one, you know. Your imagination.
11000	13000	Your imagination.
31000	33000	Phantom invaders from outer space.
33000	35000	Master keys to nuclear magic.
35000	39000	Adventure, discovery, the greatest 50 years in the history of mankind.
39000	41000	But how do we package all that into a show?
41000	44000	It's very simple. We ask you're a magic screen.
44000	47000	I have. But when it's blank up here, it's blank up...
48000	50000	The magic screen.
50000	51000	Boing.
51000	53000	Maybe it isn't so blank up here.
58000	61000	Come on, magic screen, come up with something.
62000	66000	Here we are back in Mysteryland, ladies and gentlemen and men.
66000	68000	Oh, man, have we got excitement.
68000	70000	Great night, great night.
70000	74000	Everybody's got a detective story, candidate, egg in the Christie,
74000	77000	Earl Stanley Gardner, Dorothy Sears.
77000	80000	Everybody's got a candidate as the crowd mills around the famous
80000	83000	Academy of Detection Arts and Sciences.
83000	86000	And no wonder, being voted on tonight is the award.
86000	92000	The Edgar, it's called, for the best detective story of the first half of the 20th century.
92000	94000	Best detective story.
95000	97000	Ed, any word from the judges yet?
97000	98000	Take it away, Ed.
98000	100000	You can just barely see the judges.
100000	102000	Boy, are they sweating.
102000	103000	There they are.
103000	105000	This is an absolute bore.
106000	107000	These writers.
108000	112000	Mystery is mystery. On the first page, I know who did it.
112000	113000	Who done it.
114000	117000	You all recognize the chairman, Edgar Allen Poe,
117000	120000	whose murders in the room or won the first Edgar.
120000	122000	Nevermore, nevermore.
123000	125000	To his right, Charles Dickens,
125000	128000	who gave us one of the strangest detective stories ever penned.
128000	131000	The unfinished mystery of Edwin Drude,
131000	135000	and on the chairman's left is Fedor Mikhailovich Dostoevsky.
136000	139000	In that golden skull you see on the table,
139000	142000	that's the winner's prize, the coveted Edgar.
142000	143000	Of course.
143000	145000	That's it, that's us.
145000	148000	Gentlemen, what are you doing?
148000	151000	Most honorable judges, we have an entry for you.
151000	153000	Another entry, aren't we?
153000	154000	What's he talking about?
154000	156000	The contest is closed.
156000	160000	Well, how can it be when we've got the greatest detective story of the last 50 years?
160000	163000	The strange case of the cosmic rays.
163000	166000	A strange case of the cosmic rays.
166000	168000	An excellent title.
168000	172000	You realize, of course, the detective story has certain requirements.
172000	178000	Analysis, deduction, seemingly insignificant clues.
178000	179000	Great.
179000	182000	Our story begins with a clue so insignificant, Mr. Poe,
182000	185000	it wasn't even noticed for a hundred years or more.
185000	187000	The detective story is literature.
187000	189000	It must have scope.
189000	191000	Ha ha, scope, he says.
191000	193000	Jim, roll three.
