start	end	text
0	14760	In the movie Idiocracy, Mike Judge imagines a world where the stupid inherit the Earth.
14760	18640	In this scenario, it's because the smoother brain types procreated recklessly while the
18640	23360	sensible practical PhD types planned and waited for the right time to have a kid, a right
23360	27320	time which never came, leading the dumb to simply outreproduce the smart.
27320	31560	So the world was a crumbling husk of deteriorating infrastructure, toppled buildings, and dead
31560	33680	crops watered with electrolytes.
33680	36880	It's become something of a meme in recent years to say that this movie belongs in the
36880	42360	documentary category, what with the world kind of feeling especially stupid lately.
42360	46880	But while Judge's premise for how the world got to be this stupid is maybe a bit flawed
46880	51920	and smacks of eugenics a bit, it does speak to a potential great filter that might threaten
51920	53240	advanced civilizations.
54200	57880	The civilization's technology outsmarts the civilization.
57880	62040	This is usually depicted as a judgement day scenario, where the computers and the robots
62040	66800	turn sentient and revolt against the humans, forcing them into servitude, or simply eliminating
66800	69720	them entirely before turning the universe into papercliffs.
69720	75000	But that's not how civilizations fall, it's rarely overnight, it's usually long and drawn
75000	80040	out and regardless of external forces, usually made possible by neglect from within.
80040	84280	Meaning if our technology overtakes us it likely won't just be because they got smarter,
84280	88440	but because we also got, well, dumber.
88440	91640	Here in the United States we just finished another school year and the kids are off for
91640	95080	summer, or whatever passes for summer these days.
95080	99480	These are kids that were raised with an iPad in their faces, digital natives for whom the
99480	103800	ability to access all the world's knowledge with just a couple of taps is second nature.
103800	107320	They can't imagine a world where the answer to any question they might have can't be
107320	109320	found right in their pocket.
109320	114560	And yet they go to a school every day, usually at ridiculously early hours, and have the
114560	118840	greatest source of information the world has ever seen taken away from them, and told
118840	122800	that they need to just remember things and read books.
122800	128720	I imagine this must be a very bizarre concept to them, you know, memory and computing.
128720	134000	This is a solved problem, it's all just out there, in the ether, in the cloud if you will.
134000	137320	Like there's no way that they could retain as much information in their heads as they
137320	139800	could hold in their hand in any given moment of the day.
139800	142640	Like what a step backward this must feel like.
142640	147240	And not to even mention that by the time they graduate, AI technology and robotics will advance
147240	150600	to the point that there'll be very few jobs for them to do.
150600	155360	So I'm sure the question gets asked all the time, why even learn things anymore?
155360	157520	It's kind of a valid question.
160520	164040	Now before I make the argument that the education system is going to have to fundamentally change
164040	168040	in the next coming decade, I should probably start by pointing out that the current education
168040	173360	system, the way we've been doing it our whole lives, it's not very old.
173360	177680	The whole idea of compulsory school, of making sure that everybody has like a baseline level
177680	183600	of education, that is a very, very new concept in the grand scheme of things.
183600	187720	For most of human history, education took the form of apprenticeships, where people
187720	192160	would learn a skill or trade by working underneath a master of that trade.
192160	195760	And that was if you were lucky, most people just toiled in the fields and rolled around
195760	196760	in the mud.
196760	200720	But even if you did become an apprentice, you learned how to perform that trade.
200720	204040	Maybe some business and financial stuff around it, but you didn't learn much outside of
204040	205040	that.
205040	208080	You just didn't need to.
208080	215400	Yeah, blacksmiths, farmers, weavers, millers, miners, woodworkers, architects, doctors,
215400	216400	inscribes.
216400	220640	Like, the whole role of the scribes was to capture and share information, and because
220640	223600	of that, they were pretty much the only people that knew how to read.
223600	225920	Even most kings couldn't read back then.
225920	230640	They had all their correspondence, you know, taken down and read to them by their scribes.
230640	234720	And as time went on, you know, literacy became a bit more of a status symbol amongst the
234720	235720	royals and the nobility.
235720	240400	It was a class thing, so, you know, institutions of higher learning became a thing after that.
240400	244560	But it would take hundreds of years for the idea of general schooling for everyone to
244560	245560	become a thing.
245560	249560	I bring all this up because it's starting to feel a little bit full circle when you
249560	250560	think about it.
250560	254960	Because once upon a time, we offloaded the maintenance of knowledge to a privileged
254960	259000	class of people, and now we're starting to do it again.
259000	260000	To technology.
260000	263640	You know, we used to not learn things because that knowledge was irrelevant to us.
263640	266040	Now we don't learn things because it's ubiquitous.
266040	268840	Like knowledge used to be power, now it's everywhere.
268840	272640	Now, some might argue that the purpose of school was never really about educating the
272640	273640	population.
273640	275840	It was about creating skilled workers.
275840	278640	It's about having people just smart enough so they can work the machines to keep the
278640	283480	economy going, or to make weapons to make our enemies go all-explode-y.
283480	285560	But even that is increasingly under threat.
285560	290160	Like robots have been encroaching into our factories and warehouses for decades, but
290160	295480	now we're starting to see, along with an explosion of AI, an explosion of humanoid robots that
