start	end	text
0	8160	Colonial government never sought to perpetuate genocide, and on the contrary a colonial government
8160	13920	strove to moderate the impact of settlers on natives, particularly in the 1800s,
13920	18720	after there had been this kind of moral revolution in England. And again, even Joe Christianity was
18720	24000	a major force here. Colonial government tried to moderate the impact of settlers on natives
24720	27280	and strove to to to restrain violence.
38880	43280	Nigel Bigger, who I count a friend and has been with us on this program before,
43920	49760	is Emeritus Regis Professor of Moral and Pastoral Theology at the University of Oxford.
50320	55840	His most recent book is Colonialism, a Moral Reckoning.
56640	58320	Nigel, thank you so much for joining us.
59040	60480	My pleasure to be back again, John.
61120	65840	Now, the many things that someone with your extensive list of qualifications and background
65840	74080	could have chosen to do, you've written a book about colonialism. Why? And you argue that it's not
74800	79600	the original sin, as some people say, it is of countries like Britain.
81760	88000	So, John, that's a good question. And the first thing I'd say is, I've been reading,
88960	95280	although I'm a theologian and an ethicist professionally, my first love was always history
95280	100960	and my preferred reading is history. And I've been reading about, in particular, British imperial
100960	111280	history for 20, 30 years. And so in recent times, when some people say that the British Empire,
111280	118160	for example, was nothing but a litany of racism and economic exploitation and
119040	125840	wanton violence, I say to myself, well, it was all those things, but it was also the opposite.
126720	135760	So, part of the reason for writing the book was to inform a new generation of
135760	141440	Britons and Australians and Canadians and New Zealanders about the whole truth about their
141440	147120	colonial past, not just the politically partisan story. So that was one reason.
148880	153680	A second reason has to do with the fact that I'm actually Anglo-Scottish. I know that sound like
153680	160000	it. I sound only marginally more Scottish than you do, John. But I was born there. And if you
160000	163840	get me to say a word like Jerusalem, then it comes out. But otherwise, I sound English.
164800	172880	But what that meant was that when the referendum on Scottish independence was held in 2014,
174240	181840	I was a visceral anti-independence person because I've lived on both sides of the
181840	187680	border and I actually think the UK is important and valuable and it's important to keep it together.
187680	196880	But I noticed that some Scottish nationalists were justifying Scottish independence as a form of
196880	205600	kind of national self-purification in terms of Britain equals empire equals evil and Scotland's
206160	211440	separation from Britain and Britain's the UK's disillusion would be an act of kind of national
211520	217600	self-purification. And again, I thought to myself, well, that's just far too simplistic and as it
217600	225760	stands, it's just not true. And then more recently, particularly since the killing of George Floyd in
226640	231040	2020 in Minneapolis and the Black Lives Matter movement coming across the Atlantic here,
234560	240560	we've had an obsession with colonialism and British colonialism in particular.
241440	250080	And I've noticed that empire has been a feature of human history since almost the dawn of time.
251360	258320	People with non-white skins, Arabs, Indians, Comanche and others were doing empire long
258320	263760	before Europeans did it. Why the obsession with European empires? Why the fixation on British
263760	270240	empire? And I interpret it as being an assault on the record of the West. So for all those
270240	276400	reasons, partly historical, then in domestically British, political and then more broadly,
277360	281680	international politics. I wanted to write this book and to put the record straight.
282880	289360	It's a courageous thing to do because we live in such a sensorial age. And to defend Western
289360	297520	culture seems to be to invite, disdain and even cancellation. I understand you even had a bit
297520	306640	of trouble with your publisher or proposed publisher. Yes, I did. I was offered a contract
306640	313360	to write what was then called An Intelligent Person's Guide to Colonialism by Bloomsbury Publishing
313360	323040	in spring of 2018. I produced the manuscript at the end of 2020. The deadline was 31st of December.
323040	332480	I produced it at two o'clock on the 31st of December. And my commission editor read it and in
332480	338480	January he wrote back saying he was speechless with admiration at its rigor and comprehensiveness.
338480	343920	He said it was an important book and he predicted it would sell up to 20,000 copies.
344720	352320	And then it went into the copy editing process and they produced a cover. But then in March,
352320	358480	I got an email from the top of Bloomsbury saying that they were going to postpone publication
358480	366080	indefinitely because, to use their words, public feeling is unfavorable. And I was told informally
366080	371280	they wanted me to walk away from my contract. I could go into the gory detail and I'll spare you.
373440	382240	Suffice to say that eventually I, because I had no other choice, I agreed to walk away
382240	390720	from the contract without any other publisher in sight. That was in April 2021. Happily,
390720	394640	in August, 21, William Collins came to my rescue and they published the book
395440	400480	in this country and in Australia, I think, in early February and it came out in
400480	407280	Canada and the States last week. Well, I don't know what's happened to the idea that
408240	414480	we ought to have public debates, contestability of ideas, attempts to get to the truth of things,
415120	418080	but I find it a very, very disturbing development.
418080	423440	No, it was. And of course, when I realized they weren't going to publish it, I was momentarily
423440	428400	depressed, partly for personal reasons. But most of all, what depressed me was the thought
428400	434960	that we in Britain had come to the place where judging by what other people said of my work,
435040	440000	John, I'm pretty careful and I'm pretty thorough. And this topic was really important and my
440800	443920	commission editor said it was one of the most important books he'd seen in years.
444640	449920	And yet it seemed that this British publisher wouldn't publish it because public feeling was
449920	453840	unfavorable. Now, of course, we all know that public feeling is many things, there are many
453840	461200	public feelings, but part of the market, this publisher was scared of offending. And what
461200	470320	that implied for the future of a liberal free open society in this country really depressed me.
471440	476000	It's funny the little moments that make you stop and think it's not as straightforward
476000	484480	as the public mantra might have you believe. Seven or eight years ago, I had occasion to spend
484480	490480	some time in Myanmar, one time Burma. I met a very old man there. He said, you know,
490480	498000	I'm close to the end of my life. I've seen 90 years or so. And only one year of my 90,
498000	508640	did I feel safe and free in my own country. And I said, when was that? 1946. He said,
508640	518560	before that we had Japanese imperialism suffocating us the war. 1946, we were liberated.
518640	522960	And the British ran the place for a year. And I felt good and I felt safe.
523760	532160	Then my own people forced a repressive regime on me. These things are always much more complicated,
532160	539600	much more nuanced, always a story of good and bad. And that takes a lot of unpacking.
539600	544240	But can I ask you, let's be clear what you're talking about, your book is a scrutiny of our
544240	551840	current moral evaluations of colonialism. Yes. What would you describe as the colonialism
551840	558080	that you're writing about? And what sort of main countries have you sought to focus on?
559280	565600	So let me start with Empire, first of all, before I talk about colonialism. So
566400	572880	Empire is a form of political organization which has existed since the dawn of time,
572880	578320	whereby in an empire there are many peoples, but one people dominates, roughly speaking,
578320	588160	that's an empire. Now colonies are a form the empire can sometimes take when the dominant people
590080	597680	emigrate to other parts of the world and settle. So you have European British colonists in Australia,
597680	604720	you have European British colonists in North America. You don't have European British colonists
604720	612720	much in India during the British Empire. So there's a distinction between empire and colonies.
614400	618960	But broadly speaking, and I've used the word colonialism in the title of my book because
618960	626480	that's the one that's used in public discourse. But the book itself focuses on the record of the
626480	637040	British Empire. Why? Partly it's the one I know best. Partly it was the largest of the European
637040	647360	empires. And it's also the one that morphed to some extent into the post-Nahifa 5 American-led
647440	656160	international order. And so when I said earlier that I think that the attack on colonialism,
656880	663200	the attack on the British Empire is an attack on the record of the West, that's one reason why I
663200	669840	focused on it. One of the early claims you make in the book is that the colonial or so-called
669840	676320	colonial project was made up of both good and bad motives. No, the common narrative would be that
676320	683040	they couldn't possibly have been any good motives. I'd appreciate your views on that
683920	690800	preface of briefly by saying not long ago I met an Indian scholar who said to me that much of what
690800	698000	happened in India was very positive, which is surprising. It's not what young people particularly
698000	703440	will ever hear. How can there be good motives? No, indeed, indeed. Yes, you're right. So the assumption
703440	711200	is that empire is always about conquest and oppression and exploitation. But that is much more
711200	715680	to theory than it does to historical fact. So that's one reason why I prefer not to talk about
715680	722080	imperialism or colonialism, because that implies a kind of unitary thing. Whereas in fact,
722800	729040	I mean, maybe in Berlin in 1938, someone decided we'd go to conquer the world. But in the case of
729040	732560	the British Empire and most of the European emperors, it wasn't like that. It was much more ad
732640	739840	hoc, much more responding to circumstance. So how did the British Empire rise? Originally,
740720	749760	in the 1600s, trade. East India Company is given a monopoly of trade between England and India,
750320	761040	and Englishmen sail out to India and establish trading bases in India. Then Englishmen also go
761040	766720	westward across the Atlantic. Why do they do that? Well, partly because Elizabeth first wanted
769360	774080	sailors to harass Spanish shipping, because the Spanish Empire was threatening the Protestant
774080	781680	England. So the irony there is the origins of English Empire are anti-imperial. But to be honest,
781680	790560	also, people like Drake and others were hungry for gold. At the time, I don't think there were
790560	796080	particularly hungry for land, but they were hungry for gold. So you've got those in the early
797440	804000	century of the First British Empire. You have trade, anti-imperial national endeavour,
805040	812720	private hunger for gold. Later on, in the 19th century, the British, one reason the British
813280	820080	ever came to rule East Africa was lobbying by humanitarians to suppress the slave,
820080	828720	the Arab slave trade. And some parts of the empire landed in London at the end of wars
828720	834880	when they were ceded by treaty. So the motives were really quite various. Yes, they included
834880	841680	sometimes greed. They included sometimes racial arrogance. But oftentimes, I mean,
842560	849280	all human endeavour is a mixture of virtue and vice and good motives and bad.
850160	855200	Anyone reflecting on their own private lives knows that. And the imperial endeavour was no
855200	861520	different. We have lost sight of that, haven't we? I mean, we now tend to ascribe virtue
862160	869280	to one group versus another group in a very simplistic way. You disagree with me, so you're
869280	877200	bad and you're all bad. And I'm all right. And there's no allowing for vagraness in between.
878800	884320	Yeah, I think that's right. I mean, I speak as a Christian. The assumption that
884400	892800	virtue and vice runs right through the middle of me is one I long made, and I assume of everyone
892800	899440	else that we're a mixture of virtue and vice. One good effect of that view of the universality
899440	906480	of sinfulness is that when you do me wrong, John, I may be very annoyed and I may rightly
906480	912480	hold you to account for that. But the fact that I know that I, too, am a sinner means that my
