start	end	text
0	7800	What I want to talk about today is what emergence is as a phenomenon, as a property that's actually
7800	12160	essential to understand the nature of the universe we live in, and that's actually essential
12160	17400	to understand what it means to be human, and that is essential for understanding the basis
17400	24200	for meaning, for ethics, for existentialism, and then also what that portends for the future
24200	29240	of civilization and addressing some of the things that are concerning and that are exciting.
29440	35600	Okay, so you can consider the next 20 minutes or however long this is as kind of an extemporaneous,
35600	42080	rambling ode to emergence itself, right, a kind of love talk about how cool it is that
42080	47040	universe actually has this property, and that we can understand and participate with it.
47040	52440	So let's start by defining what is emergence.
52440	56000	Emergence means something new arises that wasn't here before, right, we all kind of
56000	58000	have that sense intuitively.
58000	60640	But scientifically how the fuck does that happen?
60640	66200	How do you bring particles or planets or anything together, and all of a sudden the whole has
66200	70240	some properties that none of the parts had, like where do they come from?
70240	76240	Which is why in the fields of science that study emergence, which evolutionary theory
76240	80880	and biology and system science and complexity theory study it, it's considered the closest
80880	86320	thing to magic that's actually a scientifically kind of admissible term, but it's still sketchy,
86320	89840	right, in terms of really understanding how this thing works.
89840	96320	And because how do we get fundamentally new things out of relationships of things where
96320	99920	that didn't exist before, right, this is fascinating.
99920	108480	How do you have a cell that respirates, made up of molecules, none of whom respirate?
108480	113760	And so it's just really interesting when you actually think about this, right, we have
114320	118560	a paired term, does anyone know what the term is that is key in understanding synergy,
119920	121920	emergence is synergy.
121920	124720	Synergy and emergence are two sides of the same phenomena.
124720	129440	Synergy means a whole that's greater than the sum of its parts, emergence is what is that greater?
129440	133040	It is what is the new stuff that emerges out of bringing things together?
133040	139120	And so synergy is more formally defined as properties of whole systems that aren't found
139120	143200	in any of the parts taken separately, which also means that are fundamentally unpredicted
143200	148480	by the parts taken separately, which portends a future that is fundamentally ontologically
148480	153120	unpredictable from the current state of the future, which is very different than a mechanistic
153120	157840	clock unfolding Newtonian understanding of the future, and yet still actually makes sense in
157840	160000	terms of scientific law, super interesting, right?
160000	165920	So synergy is this property of relationship where the whole has new properties that the parts didn't have.
166160	173840	So emergence is a result of synergy, synergy is a result of relationship, does that make sense?
175680	178080	And relationship is a result of attractive forces.
179680	183040	There are some kinds of attractive forces, whether it's gravity bringing dust together
183040	187600	into planets or planets together into solar systems, whether it's electromagnetism bringing
187600	191920	subatomic particles together into atoms or the strong force bringing quarks together into
191920	197280	protons, each of those are emergent properties driven by synergy driven by relationship driven
197280	203200	by attraction, or whether it's bringing these people together via pheromones or love or intellectual
203200	206720	affinity or a topic that we're all interested in like creating a better world.
206720	213600	There's some attractive forces. And so Bucky Fuller called love metaphysical gravity in the
213600	218080	same way that gravity and physical forces act on physical bodies to attract them. We have
218080	222480	metaphysical forces that act on metaphysical bodies to drive attraction.
222480	228000	But think about, so imagine if you think about all of the attractive forces as expressions
228000	233280	of a fundamental principle of universe of allurement, that there is a principle by which
233280	238320	separate things have reason to come together that offers advantage that being separate doesn't have.
239600	242640	And you think about all of the forces as special case applications of that.
243360	248400	Imagine if that wasn't the case. Imagine if we had a universe where allurement wasn't a fundamental
248400	254480	principle of it. And the whole thing would have stopped at quantum foam, right? You have quantum
254480	258000	foam emerge. You don't even quite get to the point of subatomic particle and that's it because
258000	264480	nothing attracts to then have synergy and emergent properties. I have a friend and collaborator,
264480	269200	Mark Gaffney, who calls this universe a love story. Why at the heart of the evolutionary
269200	274000	story is this love story, which is that it's actually attraction driving the whole fucking
274000	279440	evolutionary story, right? Attraction driving relationship, driving synergy, driving new
279440	284240	emergent properties, driving net novelty and new creation and the arrow of evolution. So we can
284240	289440	actually understand the arrow of evolution itself in terms of this set of phenomenon together.
290000	297360	Does that make sense? So then evolution in complexity theory is defined most generally
297360	302960	in terms of more elegantly ordered complexity. That's actually the best definition we have
302960	307840	in terms of mathematical complexity theory coming out of Santa Fe Institute. The definition has the
307840	311440	word elegance built right in it because it's again one of these actually fairly mysterious
311440	316880	properties, but that's key to it, which is bringing things together doesn't give you emergent properties,
316880	323600	bringing them together in a particularly elegantly ordered way does. So think about all the parts
323680	331120	that make up a cell, right? You've got all these non-living parts, DNA and cell nucleus structures
331120	337280	and all the different organelles and cytoplasm and they're all not living and then the cell is
337280	341200	living, but if you brought all those parts together but you didn't arrange them as a cell,
341200	345360	it was just a bunch of molecules, it wouldn't be that interesting, right? Just being goo. If you
345360	349520	took the 50 trillion cells that made you and you didn't arrange them exactly this way and you just
349520	355120	had like 150 pounds worth of cells, it would be much less interesting. Even though there'd be just
355120	359520	as much complexity, you wouldn't have an order in the complexity where the emergent property comes.
359520	364400	That's actually the relationship. It's not just heaps coming together, it's not just complexity,
364400	369040	it's holes, and the difference between a hole and a heap is order and a specific set of patterns
369040	376240	of order. This means not every relationship is synergistic. Some relationships are entropic.
377200	381760	They actually create the opposite direction of new emergent properties. They destroy some
381760	387120	properties that were already there, right? Almost everyone has some examples.
390560	395360	But you can bring chemicals together that rather than self-organizing to create higher
396000	400080	ordered molecules with new thermodynamic properties, they have an exothermic entropic
400080	405520	reaction and they drop to lower levels of organization, right? This is true at all levels,
405520	410000	so it's not just relationship, it's specific kinds of relationship that maximize synergy.
410800	415680	This is a key thing to understand about the nature of universe. It's also the case that if you bring
415680	420240	the same thing together, a bunch of the same thing, you don't get very interesting synergies.
420240	423760	You get very interesting synergies when you bring different things with different properties together
423760	427680	in the right format where then you have the properties of each of those things and then
427680	431760	the properties of the relationship between those, which is the new stuff, and you get emergent. So
431760	435920	you've got hydrogen and you've got oxygen, which are different things and you bring them
435920	440160	together and you get water on the basis for life, but neither hydrogen nor oxygen at room
440160	447200	temperature or liquids, right? And so this is a fascinating thing. So we're actually very interested
447200	454080	in having deep synergistic relationships with differences that lead to fundamentally new
454080	460000	emerging properties. So it's not just net complexity, it's ordered complexity and it's
460000	464720	elegantly ordered complexity. And then when you get a new property, then universe selects for that,
464720	470000	right? That new property offers some evolutionary advantage to that system, that a system that
470000	474160	didn't have that wouldn't have. So things can come together all kinds of ways, but the ones that
474160	478640	come together most synergistically offer and confer the most advantage and universe selects for it.
478640	485200	So universe is actually selecting for more differences, right? So it's selecting for diversity
485200	491280	and then more synergistic combinations across those differences that, and it's both of those,
491280	497200	more diversity and more unification across the diversity, right? More agency and more symbiosis
497200	502800	at the same time is what defines the era of evolution. Does that make sense?
506320	513600	Things that are separate autonomous agents, right? So like a cell you can think of as having its own
513600	518720	agency, right? Its own ability to act and its own boundary and periphery. But you bring a bunch
518720	524560	of cells together and this collection of cells can reflect on consciousness and existentialism
524560	529520	and have a conversation like this, even though none of those cells on their own do that, right?
530560	534880	And it's different kinds of cells. You couldn't do that with just neurons. It takes neurons and
534880	540640	glial cells and immune cells and stem cells, et cetera, to all come together. So more agency,
540640	545680	more differentiation, more orderly relationship, more synergy, all of that comes together and
545680	551920	the net defining thing is emergence. How much fundamental new advantage arises and that's
