start	end	text
0	7080	Hi everyone and welcome to today's session. Today we'll be talking about a very exciting
7080	12840	topic which tries to merge large language models and knowledge graphs together. So as
12840	17480	you all already know, large language models are the recent hype. You can literally do
17480	22240	anything or a lot of things with large language models by just changing the prom. It is very,
22240	28320	very flexible. Get knowledge graphs extremely rigid. You have notes connected to other notes
28320	34320	in relations, but they are also very informative because the relations don't change. The notes
34320	38400	don't change. The large language models, one problem that they face is that they are a
38400	44000	little stochastic. They tend to generate things that may not be grounded in facts. So it seems
44000	48720	like naturally these two approaches seems like a good fit together. One is more flexible,
48720	54640	which is the large language models. And one is more reliable, like the knowledge graph.
54800	60400	Okay, so without further ado, let's begin today's topic. So I will roughly follow the
60400	64480	framework of this paper called Unifying Large Language Models and Knowledge Graphs,
65200	71760	a roadmap. Okay, this is by some IEEE fellows and senior members. I quite like the style of this
71760	77360	paper, but I feel like a lot of the things that are surveyed in the paper are not exactly the
77360	82640	latest large language model stuff. They are like the births, raw births, like basically the 2017
82640	88560	to 2019 era, that kind. So I have supplemented it with some of the more recent advancements,
88560	94160	like some length change stuff. So enjoy. Do feel free to comment anytime, because I think
94160	101200	this is a very interesting field that can be expanded upon. Never before have we
101200	106080	gotten large language models this powerful like chat GPD. And this is really something that we
106080	110640	can look at to improve on traditional methods or even think of a new method that is not even a
110640	115760	knowledge graph. Okay, later I'll share with you some ideas. Okay, so what are the pros and cons
115760	121120	of knowledge graphs and large language models? So as I said earlier, you can look at the rough
121120	126560	summary. I think this is quite a good summary. Okay, large language models, they are generalizable.
127120	133360	Okay, they possess a lot of knowledge. All right. But what they lack is that they lack some form of
133360	140320	understanding or facts. Okay, general language understanding. Okay, this one is debatable,
140320	145680	because like GPT-4 can be said to understand language pretty well. Like NLU is like the
145680	151200	ace most of the task there. Okay, so this one may be not so true in understanding, but for facts-wise,
152320	158560	fact generation is still a problem right now. Okay, incompleteness. Okay, maybe I mean like
158560	163680	sometimes they might generate things that don't answer the question fully. Okay, but increasingly
163680	167920	this is not really a problem anymore. Okay, it's more of like the reliability right now. So I
