start	end	text
0	7360	Hello everyone. I'm frequently humbled and touched, motivated and encouraged
8320	13600	when people contact me by email or texting or commenting or greet me on the street
14240	17280	and tell me that my work has been transformative for them.
19280	23920	If this has been the case for you, and also if you want to share it with other people,
25200	28640	please consider supporting my work by joining my Patreon community.
30000	35520	All financial support goes to the Verveki Foundation, where my team and I are diligently working
36320	41200	to create the science, the practices, the teaching, and the communities.
42480	48080	If you want to participate in my work, and many of you ask me that, how can I participate?
48080	52080	How can I get involved? Then this is the way to do it.
53760	58240	The Verveki Foundation is something that I'm creating with other people,
58240	65520	and I'm trying to create something as virtuously as I possibly can. No grifting,
65520	73200	no setting myself up as a guru. I want to try and make something really work so that people
73200	81600	can support, participate, and find community by joining my Patreon. I hope you consider
82320	88720	that this is a way in which you can make a difference and matter.
91520	96720	Please consider joining my Patreon community at the link below. Thank you so very much for your
96720	103440	time and attention. Welcome, everyone, to another Voices with Verveki. This is the
103440	108560	third in this series that I'm doing with Jordan Hall on the problem of governance
109280	115200	that is facing us today. If this is the first time you're encountering this series, I strongly
115200	120320	recommend you watch the first and the second episode. The links will be in this video.
121520	128960	We can't recapitulate all of the argument. It has become quite extended and complex, I think,
128960	135440	is a proper way of putting it perhaps. We're going to pick up, in fact, from a challenge,
136000	142800	a question that I posed to Jordan at the end. At the end of the previous session, we were talking
142800	149360	about the possibility of these effectively ephemeral groups that could pop up sort of analogous to the
149360	154480	way we select juries today in order to deal with very exigent problems. Then once that problem
154480	159760	is addressed, they can disappear. Then there's evidence. Oh, by the way, Jordan, I wanted to
159760	165200	remind you to find that evidence from somebody at Stanford about you can create a pool of people
165200	171520	and once they're properly set, they can outperform the expert. This is converging with a lot of
171520	178640	other evidence. This ties into just the potential of the medium and the stuff about distributed
178640	183760	cognition, all the stuff that we've talked about in the first two episodes. Then I raise the problem.
184720	190160	If this is what we're moving towards, or at least of an important component, is this
190960	198640	massively distributed and dynamically available, effective, and don't forget that adjective,
198640	210960	effective ephemeral groups that have a kind of short-term existence. How do we reconcile that
210960	218960	with the perennial across millions of years of speciation? Maybe more if Jordan Peterson's
218960	227760	right about the lobsters, for example, that we are wired to seek dominance, that we are wired to
227760	236000	seek status, that we are wired to seek recognition, we are wired to seek influence, and that we want
236000	243040	to make a difference. We want to make a significant difference to something beyond ourselves. This
243040	248160	is part of our meaning and life connection. It seems like all of these, those are four I would
248160	254400	zero in on, but all of these, I think it's proper to even call them drives that are constitutive of
254400	260080	the kind of agents we are will be frustrated, at least prima facie, it seems that way, that they
260080	266880	would be frustrated by a lot of the proposals that we have considered. How can we reconcile the
266880	278080	proposal for this new orientation and a bit of preliminary formulation of governance that can
278080	285920	be properly respectful and take seriously the pertinence and power of these drives over human
285920	296800	lives? That's the issue. I'll say it slightly differently. Let's remember we're going to be
296800	302720	doing this with and for humans. Real actual live homo sapiens who behave like homo sapiens do.
303600	308240	Yes, yes. Not a theoretic exercise, which I think is a very nice, important critical point.
309120	313680	Yeah, so just to intervene there, I think that's well put. I don't want to make the same mistake
313680	319280	that formal economics made about presupposing a model of human beings that was ultimately
319280	325040	not matchable to how human beings really live their lives. Yes, I think this is exactly the
325040	331840	thing to avoid in a big way. There's a couple of different, maybe three different frames that I
331840	336080	want to put out there, two of which are just dragging back from the earlier conversation.
342000	344720	One, I'm actually dragging back from a conversation we've had in the past.
345600	354240	So the first is to recognize that we are largely having a conversation that includes
355200	362320	the notion of technology, particularly the true, full implications of the digital
363600	369040	in both its sort of disruptive and constructive sense. So we're dealing with humans.
370000	374560	We're dealing with humans in relationship with the full potency of the digital.
375840	379200	We're going to be looking at that. That's the toolkit we're going to be dealing with.
380000	388480	And maybe it's a special case where we'll be talking about the AI as a highly salient
388480	392960	thing happening right now, but clearly a big part of any future we're going to be operating under.
394880	400320	And then the other element that I would bring is the conversation that we had about egregores.
404880	407920	And perhaps what it might look like to think about constructing something that
408800	415200	takes that niche but takes it in a different direction. We'll talk about theurgia, I believe,
415200	420720	although for us it's a little bit of a placeholder because I've now learned that that's a term that
420720	426400	has real content in the orthodox tradition that I don't understand. But we're holding it to mean
426400	432320	something along the lines of the opposite or the inverse of the unconscious construct.
432720	439520	All right. I think those pieces together end up creating the toolkit to respond to the inquiry.
439520	449040	Oh, cool. So let's talk initially just about the notion of humanity in relationship to technology.
