start	end	text
0	5640	Welcome, everyone, to Voices with Raveke.
5640	16240	I'm joined by and with my good friend, Jonathan Pajot, whose work on the symbolic world deeply
16240	23400	resonates with a lot of what I've been doing work on, and as many of you know don't know,
23400	29720	and I find Jonathan brilliantly insightful, and his reflections on the symbolic aspects
29720	37480	of existence and his ability to reshine and refurbish these stories so that they can shine
37480	45720	for us again is often, you know, it sort of catches you, it's deeply impressive.
45720	47600	So thank you, Jonathan, for coming.
47600	48880	Oh, it's my pleasure.
48880	53760	I always enjoy talking with you, you know, ever since I discovered your work and kind
53760	58080	of discovered the language which you're developing also to talk about these subjects.
58080	59680	It's been really helpful to me.
59680	66320	I find myself thinking in the categories that you are bringing forth and especially speaking
66320	73840	to kind of a secular audience or also convincing Christians that the words they use have meaning,
73840	78360	you know, because sometimes we have this kind of internal language and it stops to actually
78360	81920	be meaningful in the world and it just becomes like a kind of magical language.
81920	87800	So I've been using your expressions on attention, the idea of relevant realization, all of these
87840	92280	expressions have been good to help people re-see things in a different frame so that
92280	93280	they understand them.
93280	96680	So I really appreciate our discussions for sure.
96680	99760	Well, thank you for saying that, Jonathan.
99760	107440	I aspire to this being true, that above and beyond trying to, you know, convince or persuade
107440	113760	people about my specific claims, truth claims, theoretical claims, proposals, practical endeavors,
113760	114760	etc.
115000	123800	I aspire that I do afford, you know, a vocabulary and a grammar for people that helps them to
123800	127160	clarify and develop their thinking.
127160	131440	I mean, that's the art, that for me, that's the way in which I try to enact the Socratic
131440	135600	ideal of being the midwife, right, the midwife for other people.
135600	138680	So thank you for saying that, that means a lot to me.
138680	143080	So what I wanted to start off specifically talking about, you released two excellent
143080	147600	videos, and I'll put the links to them in the description of this video.
147600	154320	One was on, I won't get the actual verbatim name, one was on sort of the religious nature
154320	159120	of a lot of the demonstrations that are happening around that were sort of galvanized into existence
159120	161800	by the death of George Floyd.
161800	169040	And then you did a follow-up, they were sort of like part one and part two, one on the
169040	172720	iconoclasm, the destruction of images, the pulling down of statues.
172720	180120	And one of the things you did was you put your finger on a huge important aspect of this
180120	188000	that is being completely ignored in the mainstream media, but I think is of vital importance.
188000	194760	As has happened in the past between you and I, I, very convergent, I was coming to very
194760	198680	similar concerns and reflections.
198680	201880	And I'd said some things early on about how COVID was going to accelerate the meaning
201880	207960	crisis and cause just a mental health tsunami, and you'd see a proliferation of conspiracy
207960	216360	theory thinking, you'd see purity code behavior, human beings are going to respond in a fashion
216360	220640	to this invisible ubiquitous threat that's causing them to isolate.
220640	226720	And as you, I liked your invocation of the symbolic idea of fasting for most of their
226720	228200	connections.
228720	232360	And then I saw all of that.
232360	243000	And then when the protests began, I had, so I had a reaction that made me sort of refuse
243000	247160	myself from committing, commenting on that publicly.
247160	251720	Part of it was a concern that what you said in your first video of just, you know, saying
251720	256360	something that would be premature polarizing, it was difficult to say anything that was
256360	260560	going to be heard with, that had any kind of nuance or reflection to it.
260560	264680	So part of it was just that kind of caution.
264680	265920	But there was a deeper issue for me.
265920	271000	I was very concerned, and I, I talked to my close friend about this, that I would fall
271000	276880	into a kind of self deceptive bias when I tried to talk about any of this.
276880	283240	So give me a moment, please, I don't mean to trespass on your patients, but I wanted,
283240	286320	in order to try and articulate this, and this has helped me upon reflection, I wanted to
286320	290720	invoke Weber's distinction between the manifest and the latent function.
290720	298400	So to give you a classic example, you know, Weber talked about the manifest, the manifest
298400	303400	function of the bureaucracy is to facilitate, you know, information traveling upward and
303400	308120	decision and struggling downward, and that's its manifest function, but it has all kinds
308120	309120	of latent functions.
309120	313360	It has the latent function of allowing people to diffuse responsibility and shift blame
313360	314360	on to others.
314400	317280	And Kafka, of course, brought this into high art.
317280	322720	He showed us how the latent function can, you know, put us into a tragic situation because
322720	328960	our commitment to the manifest function binds us in a tragic fashion to the latent function.
328960	333680	That can be antithetical to it in, in, in kind of a profound way.
333680	342160	And so I was, I was, I'm watching this and, and I, and I'm saying, well, yeah, that, that's
342160	347200	horrible and racism is a horrible thing and what we're seeing happening here.
347200	352760	And there's definitely, I know this because, you know, what's happened since, you know,
352760	356560	9-11 in the Patriot Act, there's been the militarization of the police.
356560	359840	And that has been a very dangerous thing, right?
359840	363200	And I know there's, there's, there's nasty tricks happening.
363200	367880	There's voter suppression happening and all kinds of bad things.
367880	374320	And people are feeling, I think legitimately manipulated and disenfranchised in powerful
374320	375320	ways.
375320	380320	And this, and this is meshing in ways that we're all finding it hard to understand with
380320	384320	a history that has disadvantaged certain groups of people.
384320	388240	And all of this is going on and I'm saying, yes, these are issues that all get addressed.
388240	392760	So my, I don't mean to sound Freudian here, but my sort of conscious explicit awareness
392760	394200	is going, yes, yes, yes.
394200	400040	But I'm having this negative visceral reaction to all of this and I'm trying to go, what's
400040	401040	going on?
401040	405120	And at first I'm, oh, you know, I'm making all these things and I, and I, and I can
405120	406120	feel it.
406120	407120	I'm in the grip of something.
407120	412840	And so I'm talking about this with my friends and I'm reflecting on it and, you know, journaling
412840	413840	about it and everything.
413840	420040	And I'm coming to realize, oh, oh, and Jonathan, you know that I respect your allegiance to
420040	421040	Christianity.
421040	422600	I'm talking about me here.
422600	423600	Okay.
423600	431640	So I said, oh, this reminds, I'm back in my fundamentalist church and I'm the 10 year
431640	432640	old again.
432640	437520	And I'm being traumatized by a puritanical form of Protestantism.
437520	442720	I'm being told that I have an original sin that I, not because of any act that I committed,
442720	446200	but that is just because of how I was born.
446200	450440	And that there's an aspect of this that is unforgivable, no matter what I do.
450440	456080	And everything I try to do to overcome this just makes it that much worse.
456080	465480	And that I need, I need to be absolutely contrite and guilty until some external obscure authority
465480	472320	will finally pronounce me, you know, you know, saved or whatever.
472320	477040	And that, and then what this, what this brings with it, you know, is bonfires.
477040	479360	And I mean, I'm not, I'm not being hyperbolic, Jonathan.
479360	483600	I'm talking about gathering behind the church and putting the rock and roll albums and the
483600	486440	books into a thing and lighting it on fire.
486440	487600	Like can you imagine?
487600	488600	Oh yeah.
488600	489600	I've been through that too.
489600	492240	I grew up with that kind of stuff as well.
492240	493240	Okay.
493240	501440	And so, and, and, and so I'm realizing that the latent functionality of this is so reminiscent
501440	511480	of kind, of a kind of puritanical fundamentalist Protestantism, and again, I was noticing the
511480	516560	same things you're noticing, you know, the acts of contrition, the throwing down of the
516560	521040	stones in the high places, like from the Old Testament, right, where the prophets are always
521040	528720	doing that, right, the kneeling and the confessions and the statement that there's nothing I can
528720	531160	do about it other than feel guilty.
531160	536280	I was noticing how this is, was tremendously religious.
536280	542600	And that, that, as I said to others, that upbringing, like that upbringing traumatized
542600	543600	me.
543600	547000	I mean, I remember, I remember going to the minister and the church with my mother when
547000	552280	I, because I read the Bible regularly, daily, and, and I came across the passage in the
552280	554760	New Testament about the unforgivable sin.
554760	555760	Oh yeah.
555800	562040	Oh, and this just, I fell into, I mean, Cartesian skepticism was nothing compared to the well
562040	566480	I fell into about, well, how do I know what it is?
566480	569280	And how do, and how, like, did I just do it?
569280	571040	And if it's unforgivable, I'm now doomed.
571040	572840	I'm doomed, right?
572840	577720	And that feeling of being doomed and trapped and, and, and, you know, and I went to him
577720	582080	and I want, what I wanted was a clear definition of what it was.
582800	589040	And, and, and I got, I just got, you know, the usual, you need to have faith and, and
589040	590040	it was very unhealthy.
590040	596560	And so I, and so I was realizing, oh, John, you better keep your mouth closed about, because
596560	601040	even if you want to speak about this, this is just going to come flowing through you
601040	606720	because, and it's, and you're going to, it's a, because you have an incredible bias.
606720	611640	It's very hard for you to see this in a positive light, even though sort of intellectually
611680	615600	you can understand these important things that we've already mentioned, you know, the
615600	622520	rate, the, the, the racist history, you know, the, the, the, the subversive disenfranchisement
622520	627560	of people, right, the militarization of the police, all of these things are real and they
627560	628560	need to be addressed.
628560	634360	But, but I realized if I try to say anything about this, my chances of speaking in a way
634360	637360	that I think is clear, we're like going to be seriously undermined.
637360	640960	So I just sort of held back, but then I saw your videos.
641440	645680	And I thought, well, maybe I, maybe with Jonathan's help, I can talk about this.
646600	648880	Sorry, I don't intend this to be a therapy session.
648880	650000	That's not what's going on here.
651560	655760	I want to be really, I want to be really open with you about where I'm coming from.
656120	663720	And I think your video actually points out that this tension, well, let me, I might be
663720	668560	too bold. It suggested to me that this tension that I'm finding in myself is not exclusive
668560	674520	to me, that I, I sensed in you, not to the degree I'm talking about, but also a tension
674520	680080	between, you know, what this might be sort of at a manifest level, and then this unacknowledged
680080	685320	latent function of religiousness, and then you have some criticisms, at least implicit
685320	690960	of this, you had towards the end, you, you warned of danger in the, in the first video,
690960	696680	because the, the, the religion that does not know that it's a religion is not oriented
696680	701200	towards the ultimate. And so there's like a, like a critique coming like via, like, or
701200	705640	similar to what Tillich would meant. You're, it's, it's ultimately, it's an idolatrous for
705640	710880	all of its bringing down of images. It's ultimately an idolatrous religion. And then I was thinking
710880	718520	about this, I was thinking about how, you know, that politics is, is, has in many ways taken
718520	724400	over the domain of religion. I don't think well, it's drenched the 20th century in blood.
725240	731040	But I know that, well, there's sort of two, because religions are supposed to have, like
731040	735000	you said, there's supposed to be moments of communitas and transformation. And I'm trying
735000	738560	to think, well, what are, what are the only rituals left to politics? Well, there seem
738560	742920	to be two. And I was noted how they seem to split between the right and the left. There's
742920	748840	the demonstration of the protest or the rally. And the right likes the rally and the left
748840	753600	likes the demonstration protest. And then I'm thinking, and both of these, we have good
753600	758200	historical evidence, don't bring about the new man, the new person, the transformation
758200	762760	of human beings. And, you know, and all of the revolutions left then, right, the French
762760	767640	Revolution, et cetera, onward, show that it doesn't bring about that, although there
767640	772720	is often religious goal within the French Revolution, and, you know, they worshiping
772720	777280	the goddess of reason and all that stuff, right? It doesn't actually bring about the
777280	787400	promised transformation that it is groping towards. And so I was thinking that, is it
787400	796200	possible to talk about this sort of in terms that are kind of metapolitical about the latent
796200	802600	functionality of the religion, and at that level, legitimately criticize it without thereby
802720	808840	implying that we think, well, I'll speak on my behalf, not yours, without thereby implying
808840	815040	that I think that we shouldn't do something about militarization of the police, the subversive
815040	819920	suppression of voting and disenfranchisement of people, and then how that has often allied
819920	826320	itself with historical factors that are ongoing of racism, et cetera. That's what I'm proposing
826320	831520	to. Is it possible? And I'd like to try and explore that with you. But that's sort of
831560	832600	the frame I want to set up.
832880	838920	Yeah, I think for sure there's, I think there are a lot of things to deal with, and what you said, a
838920	843920	lot of things to kind of unpack at different levels. I think that maybe we can kind of separate
843920	849440	them in the in different parts so that we don't get completely jumbled. One is to look at the
849440	858800	possible reinterpretation of your experience, I'd say, or the notion of the original sin, then
858840	864720	the idea of Adam or the fall of Adam, what that can mean, and how we can reinterpret that in a
864720	871280	manner which is more useful than your traumatized youth. And I understand because I went through all
871280	877440	the stuff you dealt with, I went through the same. And even the description of like the idea of
877440	881600	blaspheming the Holy Spirit and everybody wondering, like, did I blaspheme the Holy Spirit? You
881600	888760	know, all of that, I understand. But I think there are ways to reappropriate the stories, those
888760	893440	stories. And I think we appropriate is I also believe one of the reasons why I went towards
893440	899840	orthodoxy is because they have a different vision of the fall of Adam, one which I think it has a
899840	907000	healthier balance. So that's one. And then the other is then looking also at the way in which these
907000	917760	protests or COVID and the protests together kind of just exploded into a kind of weird catharsis. And
917800	924760	what that means and what it's kind of looking towards. And so sadly, the third part, which would
924760	929880	be like how to get out of this kind of this bind that we're in is the one which I don't know.
930000	934600	Like I really, a lot of people ask me, so what should we do? And I'm looking around. And I think I
934600	939440	don't know what to do, except I don't know what to do socially. Like I think I know what to do
939440	944960	personally. But I don't think I know what the societal solution is. So maybe that one will be
944960	948760	harder. Well, but I do want to talk about that because I've been talking about that with other
948760	956280	people as well. So, but I'm happy with your proposal. But like I said, I'd like to put it, like
