start	end	text
0	4160	The more people refer to the science,
4240	7120	the more you should suspect that they are engaged
7200	10280	in some quasi-religious activity.
10360	14920	This kind of wrong-headedness leads to all kinds of policy errors
15000	19200	because people have focused on the satisfaction of asceticism.
19280	22240	It's very significant that in our lifetimes,
22320	26120	governments have got worse at dealing with disasters, not better.
26200	28520	Despite the accumulation of scientific knowledge,
28640	32960	we seem somehow, collectively, to be worse at scientific thinking.
47560	50080	Hello, everyone, watching and listening.
50160	53280	Today, I'm speaking with historian and author Neil Ferguson.
53360	56760	We haven't spoken before, although I've wanted to for a long time.
56920	61120	We discuss the historical and deeply mythological precedent
61200	63640	of world-ending narratives,
63720	66520	how the Global Doomsday Ethos
66600	71400	abdicates local responsibility while empowering the elite class,
71480	76600	the out-of-control gigantism plaguing our administrative states today,
76680	79240	and how we might strive as individuals
79320	82320	to deal with the genuine tragedy of life,
82400	86040	morally, humbly, and religiously.
86160	90520	So, I was reviewing your book, Doom, this morning,
90600	93440	and I've been wanting to talk to you about it for a long time.
93520	98640	I'm very interested in the apocalyptic vision
98720	106760	and its implications for political organization
106840	109840	and psychological organization as well.
109920	113840	And I thought I'd just start with a couple of comments to get us going.
114840	117720	The apocalypse, in some ways, is always upon us,
117800	120400	and you write about that in your book.
120480	122520	I mean, because people might ask,
122600	129880	well, why has mankind always been consumed at the narrative level
129960	131720	with notions of the end of the world?
131800	134520	And the answer to that is at least in part
134600	140840	because we always inhabit demarcated conceptual worlds
140920	142120	and even embodied worlds,
142120	145000	and all of those worlds do come to an end.
145080	148080	And so, the idea that there's a universal end
148160	150480	is built into the fabric of reality,
150560	153880	and it's something that we have to permanently contend with.
153960	158360	And so, it's there as a lurking existential abyss,
158440	161600	but it's also there as a practical problem that we have to contend with.
161680	166920	And the grand apocalyptic visions, the book of Revelation, for example,
167000	170360	are in part attempts to structure our apprehension
170600	175320	of the, what would you say, the eternal apocalypse
175400	179280	and to also help us determine, practically and politically,
179360	183200	how that might be at least staved off,
183280	187560	although perhaps even managed more comprehensively.
187640	190840	And so, I guess I'm curious,
190920	193280	why did your interest, do you think,
193360	195480	coalesce around the conception of doom?
195560	200320	And it's been a couple of years now since this book was published,
200400	203080	how have your conceptions changed?
203160	210080	And what did you learn as a consequence of investigating this narrative trope so deeply?
210160	215520	There's a great sketch in the Beyond the Fringe album,
215600	220600	which goes right back to Peter Cook and Dudley Moore,
220680	224840	Jonathan Miller and Alan Bennett in the 1960s.
224920	226920	And the sketch is the end of the world,
227160	231800	and it's essentially a sect of millenarians who gather on a hill
231880	235120	to anticipate the end of the world.
235200	239720	They have a long and quite amusing discussion about what it's likely to involve.
239800	243280	Will the veil of the temple be rent asunder?
243360	247960	And the time comes, they count down to the end of the world,
248040	249440	and nothing happens.
249520	251840	And Peter Cook, who's the leader of the sect,
251920	256760	ends the sketch by, well, never mind, lads, same time next week.
256760	259720	And I always thought that was very funny,
259800	264120	because the end of the world has been consistently overpredicted
264200	267880	by human beings for millennia.
267960	270360	We're fascinated by the idea of the end of the world,
270440	272760	and I think it's for a slightly different reason
272840	275680	from the one that you hypothesized.
275760	282480	We have the reality that we as individuals end to contend with.
282600	288720	That's just one of the givens of human life.
288800	291760	Even for billionaires in Silicon Valley,
291840	297880	right now, the end of their individual lives is inevitable.
