start	end	text
0	6420	It's the Hebrews created history as we know it.
6420	10500	You don't get away with anything and so you might think you can bend the fabric of reality
10500	14500	and that you can treat people instrumentally and that you can bow to the tyrant and violate
14500	16120	your conscience without cost.
16120	17420	You will pay the piper.
17420	22100	It's going to call you out of that slavery into freedom even if that pulls you into the
22100	23100	desert.
24100	30700	And we're going to see that there's something else going on here that is far more cosmic
30700	33180	and deeper than what you can imagine.
33180	41460	The highest ethical spirit to which we're beholden is presented precisely as that spirit
41460	45940	that allies itself with the cause of freedom against tyranny.
45940	46940	Yes, exactly.
46940	48460	I want villains to get punished.
48460	52140	But do you want the villains to learn before they have to pay the ultimate price?
52140	54140	That's such a Christian question.
65140	68500	One of the reasons why I started working on the equipment is the way cattle were being
68500	70660	handled was horrible.
70660	74380	Electric prods on 100 percent of them falling down and crashing into things, people screaming
74380	76140	at them.
76140	79820	Cattle handling in the 80s was terrible, absolutely terrible.
79820	83740	And I saw that as something that I could fix.
83740	88220	Now I talked to a lot of young people today that want to do activism about some specific
88220	90580	thing and it's way too broad.
90580	92700	I want justice in the world, for example.
92700	93700	Right, yes, yes.
93700	94700	It might be something they would say.
94700	95700	Yes, yes.
95700	100060	And I say, why don't you do something more targeted, like using DNA to show that this
100060	103100	prisoner was falsely accused?
103100	107700	You see, now that's something a lot more targeted that you can actually do.
107700	109500	Yes, absolutely.
109500	114020	I think that is a huge problem with the way that kids are trained morally in universities
114020	122060	is that that grandiose, vague activism replaces the actual practicalities of problem-solving
122060	124260	that you're describing that actually make a difference.
124260	138700	Hello, everyone.
138700	145820	I'm usually excited to have whoever I'm talking to that day on my show because I pick people
145820	147060	I'm excited about talking to.
147060	152020	But I'm particularly excited about my guest today, Dr. Temple Grandin.
152140	157740	Temple Grandin revolutionized the animal handling industry over the last 40 years and has done
157740	163340	more for animal welfare in a practical sense than anybody that I know of and perhaps anybody
163340	164340	on the planet.
164340	165900	I think you could make a case for that.
165900	166900	She's a remarkable person.
166900	168660	I saw her first in Tucson, Arizona.
168660	171300	I'll talk about that a little bit in our interview.
171300	175540	She gave one of the most compelling presentations I'd ever seen in an academic setting at a
