start	end	text
0	23000	All right, everybody. Thank you so much for coming out. This is a really interesting, unique event.
24000	31000	There are people here who have flown here from different states. There's like more than five people who flew here just for this.
31000	32000	Wow.
32000	35000	And it's not just, thank you, man. I appreciate that.
35000	42000	Of course, that's flattering, but thanks, man. We might need that about one hour in.
42000	48000	And you know, that's very flattering and all, but I'm not crazy. No one's flying several hours because of me.
48000	52000	I mean, I'm pretty fucking smart and cool, but I'm not that smart and cool.
52000	55000	But you're sweet, Justin. You're very sweet.
55000	56000	Well, thank you, Curtis.
56000	57000	I appreciate that.
57000	72000	The reason I'm commenting on this before we even begin is because people really need to understand that there is an extraordinary demand out there for true, radical, dangerous, intellectual thought and expression and discussion.
72000	81000	And there is an unfortunately constrained supply. There's an artificially constrained supply of true intellectual life.
81000	87000	And people should not have to fly hundreds of miles to come listen to someone like Curtis Talk.
87000	91000	There is a huge demand for it. It's not being met.
91000	96000	And if, unfortunately, the way things are working out right now is if you want this kind of thing, you have to make it yourself.
96000	101000	DIY, baby. Punk rock culture, dude. Get a venue where you live.
101000	104000	Put on things like this. You know, the institutions aren't going to do it for you.
104000	106000	Academics aren't going to do it for you.
106000	119000	Almost everyone out there right now who is kind of representing some sort of intellectual posture, let's be honest, about 90, at least 90% of them are utterly fake, absolute, absolute fakers.
119000	124000	And if you want real intellectual life, no one's going to give it to you necessarily.
124000	125000	But if you build it, they will come.
125000	128000	Look at this. I'm not that famous, people.
128000	130000	Like, I'm really not. I do not have that big of a following.
130000	134000	And yet I do this little event and people will fly across states.
134000	137000	So my exhortation, I want to start essentially with an exhortation.
137000	143000	If you think this is cool, if you enjoy this talk, if you were excited to come to this and if it lives up even halfway to what you wanted it to be,
143000	150000	the type of intellectual kind of community or dialogue, the exciting kind of dangerous, edgy intellectual experience that you want it to be,
150000	156000	which I think Curtis and I are both committed to making it that for you, then go home and do it yourselves.
156000	160000	Provide this for the other people around you. People should not have to fly this far just to be a part of this.
160000	162000	So that's just a little exhortation.
162000	167000	Fortunately, you're watching this on YouTube in porn mode.
167000	173000	You can hit record now. We're going to start. We're good? You sure? Okay, cool.
173000	178000	So, okay, that's my little exhortation because people should not have to fly this far to be a part of something like this.
178000	183000	Welcome to this little event that we've put on. This is my first live show of my podcast.
183000	189000	The podcast is called Other Life, and it's pretty much all about me trying to find true intellectual life wherever it exists.
189000	191000	Today, that mostly means on the Internet.
191000	201000	So most of the people I interview for my podcast are bloggers, kind of strange, interesting, unique, idiosyncratic, and very courageous people, typically.
201000	209000	We're just weird people who are out there pursuing some type of independent intellectual life that is escaping this kind of institutional apparatus
209000	214000	that is so constraining so many people nowadays. That's what my podcast is all about.
214000	217000	That's why it's called Other Life. It's about a different kind of life.
217000	223000	I started it when I was an academic, and I needed to find people to actually talk about interesting, real stuff with.
223000	227000	So that's my podcast, Other Life, and this is the first time I'm doing a live show.
227000	231000	So, yeah, this is a milestone for me, and I'm very happy to have you all here.
231000	240000	Enough on general introductions. I would like to now introduce our special guest here tonight, Curtis Jarvin, a.k.a. Menchist Moldbug.
240000	247000	And I'm going to pick his brain about many things. I have some questions that were actually submitted to me by other people.
247000	248000	Fuck.
250000	255000	But Curtis has told me anything goes. He's told me, you know, there's nothing off limits.
255000	259000	Luckily, I'm a fairly friendly interviewer. I don't have any hard balls for you to plan.
259000	260000	I'll be thinking that now.
261000	266000	So, I'll give you a little bit of introduction. Most of you are here, you probably already know.
266000	269000	Curtis is shtick, but what I think is most...
269000	270000	Good word.
271000	277000	Come on in, guys. What I think is most, you know, Curtis is mostly known for being a reactionary blogger,
277000	280000	and of course, a brilliant startup founder.
280000	285000	But in these circles, you're probably kind of most known for being a rather reactionary blogger.
285000	290000	What I think is kind of most interesting about you, Curtis, is not primarily your reactionary qualities,
290000	293000	which are interesting for sure, and we'll get there.
293000	296000	But primarily, you're a computer scientist or an engineer.
296000	299000	What would you say, engineer, or what's the label you would use?
299000	302000	I like to think of myself as a computer programmer.
302000	306000	Computer programmer. There you go. Old school. I like the modesty.
306000	310000	And so, I tend to see your writings mostly through that lens.
310000	316000	I see you as your blog, which we're going to kind of dissect over the next hour or two.
316000	317000	Shit.
319000	324000	To me, the defining characteristic of your worldview and your political theory is not so much your reactionary qualities,
324000	330000	but I see your reactionary qualities as kind of downstream of your engineer mentality
330000	335000	or your computer programming type of mentality and experience.
335000	342000	I see you as, Curtis likes to, I think, kind of hack into the source code of a lot of conventional wisdom,
342000	345000	in particular, kind of the politically correct wisdom.
345000	351000	And then once he's kind of hacked into your source code, he wants to bring you places that maybe you don't necessarily want to go,
351000	353000	but he wants to kind of lure you there.
353000	357000	Yeah, that's a fairly insightful comment, Justin.
357000	362000	I would say something a little close to that, which is just that I like to think from first principles.
362000	366000	And so, when I see a large system or a complicated system, I'm like,
366000	370000	okay, what would this look like if you designed it from scratch?
370000	372000	Clearly, this is a product of history.
372000	376000	It's spent a lot of time evolving.
376000	381000	As I record, there's a lot of Americans concerned about the 401Ks.
381000	383000	And so, I'm like, what is this stock market thing?
383000	384000	Where did this come from?
384000	385000	How does this work?
385000	388000	This is a very interesting kind of question to me.
388000	393000	And I think that approach can be used by a lot of people for a lot of different things.
393000	394000	Excellent.
394000	397000	So, my intuition there is not wrong.
397000	398000	Mostly.
398000	399000	Okay.
399000	401000	So, I think that's enough of an introduction.
401000	408000	He's a computer programmer, a well-known blogger, and a founder of an enigmatic startup called Herbit,
408000	413000	which we might have some time to get into a little bit, too, now that you've formally walked away from Herbit.
413000	417000	I think, are you now a little bit more free to discuss it, or?
