start	end	text
0	3160	Welcome back to the show that tells you you are a quantum
3160	7120	computer with free will supervising a vast hierarchy of
7120	10920	cognitive systems. My name is Justin Riddle. And this is
10920	15180	episode 40 of the quantum consciousness series. In today's
15180	18560	episode, I'll be giving you an update of the nested observer
18560	23360	Windows model and recapping a lecture I gave at the science
23360	27960	of consciousness conference in April of 2024. By the end of
27960	32000	today's episode, we'll ask the question, what is it like to be
32000	37360	at the apex of a hierarchical consciousness? This episode is
37360	40960	available on YouTube and an audio only version is available on
40960	44480	Spotify and Apple podcast. If you like what you hear today,
44480	47680	then please like this video, subscribe to this channel, leave
47680	50360	a comment below or for the audio listener write a review.
58120	75760	So today, I'm going to be basically recapping and giving
75760	79400	you the same lecture that I gave at the science of consciousness
79400	84200	conference in April of 2024. But I'll be giving it a little bit
84200	90560	of an expanded version. You can find the original recording on
91120	95240	on the internet, I'll provide a link that you can go look, you
95240	99800	know, at the original version if you so desire. But essentially,
99800	105000	this is a update to a previous episode on this channel that I
105000	110800	gave. However, the manuscript is now published in the neuroscience
110800	114720	of consciousness journal. I will also give a link to that
114720	118680	paper it is open access so free to download and read for
118680	121760	yourself. And this is work that I've done with Jonathan
121760	125040	Schuehler. He's a professor at the University of California,
125040	130120	Santa Barbara. So all of this work is collaborative with him. So
130120	134440	without further ado, let's hop right into it. So the title of
134440	138640	the paper is hierarchical consciousness, the nested observer
138640	143640	windows model, or the now model for short. So to introduce this
143640	147760	idea of hierarchical consciousness, because it is not,
147920	151840	you know, usually a typical way that people imagine that the
151840	155480	brain or the mind is organized. So I'll give you a quick
155480	160960	example here. So when driving, you start to mind wander, pondering
160960	164320	the nature of consciousness. Without warning, you suddenly
164320	167560	realize you were almost at your destination. You wonder where
167560	171560	the time went. Now your attention is focused on navigating
171600	175400	the which freeway exit to get off, and on what side street to
175400	179520	turn. You are acutely aware of the lack of awareness paid to
179520	183480	driving. But you do not notice that the wandering mind kept
183480	186160	wandering while you were focused on navigating the side
186160	190600	streets. When parking your car, you revisit the wandering mind.
191020	194560	There is a fresh batch of theories and models that seem to
194560	199080	have materialized. You diligently proceed to review those new
199080	204000	ideas, as you absentmindedly walk up the driveway. So this
204000	207760	example is meant to sort of showcase a couple different
207760	213080	ways in which we are not fully aware of all of the cognitive
213080	217880	processes that are ongoing within our own mind. And it appears
217880	221400	that there are many cognitive systems coexisting
221440	225360	simultaneously in your mind. And you usually can only pay
225360	229040	attention to one or a subset of these different cognitive
229040	233800	systems. So a very common example is driving. A lot of the
233800	238600	times we're flying down the freeway at 70 miles per hour. And
238600	243080	we're barely paying attention to what we're doing. But this is
243080	247240	kind of alarming, right? I mean, you could almost die at any
247240	251840	moment if you lost control of your vehicle. And yet we consume
251840	256720	our mind with fanciful ideas and and fun thought processes as
256720	260520	we are driving. And it's very second nature to just kind of
260520	265560	let your body take over the act of driving. And then at certain
265560	270520	moments, you need to interrupt your mind wandering and pay
270520	273760	attention to driving, you know, once again, and there's a way
273760	277220	that your mind can get your attention gets you reengaged
277220	281860	with the act of driving. And, you know, in the absence of
281860	286580	that call to pay attention, you can freely wander your mind
286580	293820	around. And in this example, we give kind of an additional way
293820	298380	that your mind could be operating autonomously. And that is
298380	303780	mind wandering itself. Could it be that there is a part of your
303780	309300	mind that is maybe always wandering, always engaged in
309300	313340	abstract thought. And when you pay attention to driving, let's
313340	316180	say you need to navigate some side streets as you're going to
316180	319460	your friend's house, you really need to pay attention to
319460	323460	everything that you're doing. And then you revisit the wandering
323460	328420	mind. And could it be that the wandering mind kept going when
328420	333060	you were paying attention to driving? This is something that
333060	338540	we much less often kind of attribute to what can be
338540	343780	performed autonomously in our brains in our minds. However,
344100	348380	why not? And I think if you were to introspect on your
348380	352040	conscious experience, you'd probably be able to recognize
352040	356020	many instances where there appears to be fully formed
356020	359820	ideas that are, you know, springing into your mind
359820	363260	springing into your attention. And you say, Hey, that was a
363260	367020	great idea. I just had. But where did that idea really come
367020	371820	from? Were you aware of the creation of that idea kind of
371820	376780	from the ground up? Okay, so hierarchical consciousness is a
