start	end	text
0	6560	10 years ago or 15 years ago, very few people realized that they had a battle on their hands.
6560	12880	Largely the groundwork was being laid for a lot of these movements, but now everybody around the
12880	18080	world knows there's a battle, they know what the issues are and people are getting up to speed on
18080	25040	them very quickly. Today I'm joined by Professor Stephen Hicks and very grateful to him for taking
25040	31600	the time to answer some questions in the hope of answering exactly what it is that is happening in
31600	37360	schools and universities and other educational institutions around the world. I think what
37360	45520	happened to me where presenting ideas for debate was deemed to be gross misconduct and a sackable
45520	52400	offense is something that has been taking place a little bit more commonly in the US.
53120	58320	So I'm hoping Professor Hicks can provide some insights about that, but first could you just
58320	63840	tell us a little bit about yourself and how you discovered your passion for philosophy please?
65280	70400	I'm a Canadian by birth, born and raised. I didn't come to the US until starting graduate school.
71920	76960	And philosophy came to be a bit late in life. I was not really serious about becoming a
76960	82880	philosophy professor until well into my 20s. I actually thought I was going to become a
82880	89280	civil engineer and architect and go into the real estate business with my dad. But I always had been
90000	94560	a reader. My parents were both readers and I loved reading kind of all kinds of books,
94560	100560	whatever I came across, whatever was on my parents' shelves. And then a couple things happened when
100560	107760	I started university. I took a course from a very dynamic political science professor,
108320	114160	but he was very much engaged with the great thinkers, John Locke and Friedrich Nietzsche
114160	121040	and Thomas Hobbes and so forth. And this was my first really systematic engagement with these
121040	126320	great minds and sort of things that in my semi-adolescent way I'd thought about, but nothing
126320	132880	systematically. So I was largely blown away by what I was reading and thinking about and the idea
132880	140400	that you can think about those issues in a fundamental way. And realizing that what I was
140400	144960	most interested, even though this was of course in the politics department, was the underlying
144960	151360	philosophical issues about knowledge, about human nature, about how we decide what the good life is
151360	157440	that we are perhaps organizing all of our society in terms of. So that was going on at the same time
157440	165360	independently of reading Locke and Nietzsche. And I was also reading Ein Rand and Ludwig von Mises
165360	172480	and Friedrich Hayek. So it was an awesome first year of university for me. Yeah, it sounds fantastic.
172480	177200	And was there any particular book or idea that really seized you that you can recall?
178000	186000	I think it was, this might sound boring, but more methodological, you know, the idea that you could
186000	194480	think all the way down on these issues. And in a partly in a structured way, saying there's,
194480	198320	if you take this as an assumption, well, you're, you're, you're depending on this, that depends
198320	204400	on this. But at the same time, that is being challenged by this position and this position.
204400	209200	So you need to consider all of them, make up your mind here. And then if you accept this one,
209200	215040	then this follows and that follows. So that was a, you know, I don't want to sound too hippie at
215040	220720	this point, but that was mind blowing expansion, this thing for me at that time. Yeah, I like the
220720	227040	way you frame that as being very much a conversation or dialogue between different voices. And what
227040	233440	was exciting about education is being given an opportunity to join that great conversation across
233520	239120	centuries and new, new vistas sort of opening up that you'd been dimly aware of,
239120	246240	but now you saw the extent of them. Yeah, absolutely. Yes. And to my, my professor's credit,
246240	252560	his name was Fred Vaughn. By the end of this course, I had no idea what his particular
252560	260400	views on any of these, these issues were. So we talked about safe spaces. I had entirely the
260400	267440	sense that I could safely explore any view and voice any opinion and my essays for that course,
267440	274320	try out any ideas that I was, was working through. So that was wonderful. Interesting. I think that
274320	279600	sadly is what many people feel is being increasingly lost in the educational world now.
281920	288640	I know you take the view that ultimately all discussions about what education is and what
288640	295040	its aims are are fundamentally philosophical ones. Could you go into a bit more detail about that?
295040	302240	So why is it that philosophy underlies education? Yeah, well, I know when we are professional
302240	307280	teachers, for example, you know, we have our particular passion, our particular specialization,
307840	313520	and we want the students to come to be more knowledgeable and more skillful and hopefully
313520	319760	passionate about, about our area of expertise. But if you think about any of the expertises
319760	327120	that we want to make a place for in the curriculum, they're always put in the curriculum by reference
327120	333360	to some conception of what the product of education should be or what the goal of education should
333360	338400	be. So if we're going to put mathematics in the curriculum, it's because we say, well,
338960	344720	you're going to need this later in life, or if we're going to put the arts in the curriculum,
344720	351360	it's because we say, well, all your life, there's this great universe of artistic product for you
351360	357760	to explore, enrich your life, or maybe you will yourself become a, so we're always thinking longer
357760	364480	term about what the child will grow up to be as a full adult. But then when we start saying
365280	369680	that conception or thinking about that conception explicitly, what is it to be
369680	376240	a full human adult? And then immediately we have to become very philosophical, right? So
376800	381920	we're saying, you know, what, what capacities needs to be developed? What are our genuine,
381920	387600	mature needs? What things really are worth pursuing? And what things really are not that
387600	393760	important? And how is it all going to fit together so that by the time the child leaves
393760	399680	our educational institution, and we're saying, you know, you were on your own, go out and live
399680	404800	your life, we have some conception of what kind of a life we are we're preparing that for. So,
405360	411520	you know, if you think about all of the great battles we have in education, sometimes it's
411520	416720	a matter of turf war, you know, are we going to put this in the curriculum or not? And oftentimes
416720	422000	that means to make room, we have to take something out in order to put something else in, we have
422080	427840	to make a value judgment about what really is going to serve the student well in the long term.
427840	434720	So, you know, in business courses at the high school level, there's, you know, teaching about
434720	439360	bookkeeping and finance and marketing and management and so on. Well, should we add a
439360	445520	course in entrepreneurship? And there, what we have to do is really make the case that students
445520	450960	need to learn how to be entrepreneurial in their life. And it's a different conception of preparing
450960	456080	students for, say, a business career of just, you know, someone will give you a job and you will
456080	461040	show up and they will tell you what to do. The entrepreneurial way of thinking is a different
461040	468640	philosophical mindset, right? Or, yeah, if we're going to say, should we teach Latin, right, or
468640	474640	Greek on the curriculum? Or should we substitute a modern language? Then what we're going to say is,
474640	479760	well, you know, there's, in many cases, a philosophical difference there. One side
479760	486400	wants to say we are inheritors of this great tradition, and students need to know that great
486400	491360	tradition, absorb it and pass it on to the next generation. Another side wants to say, well,
491360	495440	we're not so sure that those old traditions are all that great, so to speak, but the more
495440	501040	important thing is students live in the real world now. It's a global cosmopolitan world,
501040	506080	and for that they need to multiple languages and so on. So again, we're thinking very
506080	510640	philosophically differently about what kind of life we're preparing students for.
