start	end	text
0	6240	So on this episode, what I want to discuss is how to hang a floor-dry system from an ICF wall
6240	12240	so we can take the ICF right to the roof. And it's very simple. I want to show you that you
12240	18240	don't have to cap yourself. You can use ICF past just the basement, right? So just kind of open
18240	24080	your mind. It's easy to do and there's tons of advantages. You hear of lots of stories where
24080	28480	someone's like, oh man, like, I know a guy who has an ICF basement. Oh, it's the best. Like,
28560	35120	he loves it. It's super warm in the winter, you know, nice and cool in the summer. It's a beauty
35120	42160	thing. So my point today is, why not just take that to the roof of your house? That's what we do on
42160	49280	a day-to-day basis. That's kind of our niche is we do full ICF houses. So if you look up here,
49280	56080	you can see where we got a bunch of hangers inserted into the wall. And that's where we're
56080	61680	going to hang the floor from. But I'll just kind of back up a little bit and I'll show you
62800	69200	how we got there. When we start stacking this block, we'll get, you know, say three rows high.
69200	76160	We won't have any of this bracing up. Then before we put our bracing, so these are what
76160	82320	we call the shields. And this is what holds the whole wall together. It allows you to straighten
82320	88000	your walls. It holds your scaffold up so you can have something stand on while you pour the concrete.
88640	94960	But before you put the shields up, you have to do a floor layout. So just a little bit of forethought.
95600	102720	So what we do is we got three rows high. We lay out our floor joist system based off our floor
102720	111760	layout. So these, this is a three and a half inch wide, 20 inch high, open webbed floor joist
111760	120800	at two foot on center. So here's one joist. Here's another joist. And here's another joist.
121520	128160	So we do a full layout. Then we know where to put our shields so that they're not in the way of a
128160	134400	floor joist or in the way of a hanger. So let's jump up top. I'll show you the hanger system we're
134400	139920	using today. A couple more tips on what to keep in mind so that once the concrete's placed,
140560	145840	you can hang your floor simply. It just keeps everything easy. And then you just keep stacking
145840	152640	block from there. A whole bunch of steps later, a bunch of block, rebar obviously. You set all
152640	158960	your bracing up your scaffold so you can walk. Then you're at a point where you can start setting
158960	164720	your hangers in at the height that you need. So whatever you need for your basement slab
164720	170800	and the ceiling height in your basement, figure all that out. Now what's worked out really well
170800	180640	here is after our shields, they're 10 feet high. We've actually gone and chalked out the top of
180720	188240	our subfloor right here. So we've set up our laser level. We can chalk this line above all these
188240	194320	shields so that they're not in the way. Works beauty. Then we just measured from the top there
194320	200000	to the bottom of our hangers. So in this scenario, it's 20 and three quarters, 20 inch for the open
200000	206160	web joist, three quarters of an inch for our subfloor. Once you have all that information,
207120	208640	then you can insert your hangers.
213920	219360	So this is the Levan hanger. What's nice about it, I just have to do two vertical cuts
219920	226560	so I can put this hanger anywhere in the whole, in the whole ICF system. I'm not limited to anything.
228720	232800	Now once I know my heights, then I just basically do my two vertical cuts
233440	235360	and I slide these bad boys in place.
247360	256880	Like so. Then what we've done here is because I can't actually screw through the hanger into a tie,
257680	264000	we've had to do this two by four ledger, which is just a perfect distance down from the top of
264000	270400	our subfloor. Screw it to the webs. Then I screw my hanger down to it.
274880	282960	That prevents any settling or potentially any lifting of the hangers. I'll spray foam the hangers
282960	287760	in place so that the concrete doesn't want to tip them forward. I still need to run rebar
