start	end	text
0	10000	Rwy'n cael ei ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud o'r ddweud.
30000	43000	So, welcome everybody to this workshop, Lambda Calculus for people who can't be bothered to learn it.
43000	52000	I was surprised to see on the schedule, I think there are at least four Lambda Calculus related workshops and presentations at this conference.
52000	56000	That's a lot of Lambda Calculus. Did any of you go to the six hour one yesterday?
57000	69000	Dana Scott? All day? How was that? I'm sure way over my head. This will not be a reprise of that at all.
69000	76000	For people who can't be bothered to learn it part, that is because I'm not really going to teach you all of Lambda Calculus.
76000	80000	It is actually quite a deep subject, there's a lot to it, there are many different Lambda Calculi.
80000	87000	I'm mostly going to be doing a little bit with the simply type Lambda Calculus, which I think is something anybody can learn pretty quickly.
87000	96000	And it can actually be a little bit fun. Also though we're going to be implementing it in America's favorite programming language, JavaScript.
96000	103000	Now this is not because I recommend JavaScript for functional programming or any practical purpose whatsoever.
103000	109000	It's because I don't want to have to ask everybody to install Haskell or some other language.
109000	115000	You all have JavaScript on your machines already. For those of you who don't know this, you may be slightly surprised by that fact.
115000	121000	But I assume all of you know this in your browsers, you have a console, it runs JavaScript, that's all you need. So easy for me.
121000	129000	I'm also not going to be using very much of the JavaScript syntax such as it is at all. Just anonymous functions, but we'll get to that.
130000	140000	So again, just to reiterate, please stop me, ask questions. I don't generally like the Socratic method of teaching, but let's see if you can read my mind.
140000	147000	What do you suppose is maybe the simplest, what you might think of as the dumbest possible question you might ask about Lambda Calculus?
147000	150000	Anyone want to take a guess? I'll never do this again.
151000	152000	Why?
152000	153000	Why what?
161000	164000	Why do you need to bother?
166000	168000	That's a smart question. I'm looking for a dumb question.
171000	175000	That's it. Yeah, why is it called Lambda Calculus? Does anyone actually know why it's called Lambda Calculus? I know you know.
176000	181000	No, no, no, no. I don't want you to. Yeah. Yeah. Yeah. Okay. Good. I'm glad for all of you people know.
181000	187000	This is an important point. It seems like a trivial point. This might be a little bit of mythology. Very quickly. I think it's kind of funny.
187000	192000	All right. People are afraid of this. It's got a Greek letter. It's called Calculus. If you're not a math person, I'm not a math person. It sounds scary, right?
192000	198000	Forget the calculus part. You know, we're going to count some things with it or something like that. So forget calculus.
198000	203000	But Lambda, what is this Lambda thing? A little bit intimidating. This whole conference is about Lambdas, right? Lambda comp.
203000	225000	Well, Alonso Church, the person who developed, discovered, invented Lambda Calculus, the story that I read in academic literature was that he actually wanted to use some notation from, I guess, the 18th century that looked something like this, actually like a little hat.
226000	235000	If he had gotten his way, we'd be calling it hat calculus, I suppose. I know that sounds funny, but there actually is a hat calculus. Look it up on Wikipedia. It became a different thing.
235000	246000	Back then, professors had secretaries. I'm actually a recovering English professor. I never had a secretary. But typewriters couldn't do that.
246000	260000	So his secretary ended up kind of doing that to represent it. He could do that with some slashes. This could all be a myth. I don't know. What does that look like? Yeah, capital Lambda, right? That's it.
260000	269000	So they called it Lambda Calculus and eventually went lowercase. I suppose it looks nicer. They use this for type systems now. That's it. So what is the point?
269000	280000	I mean, okay, it's like a little bit of a factoid. Completely arbitrary, right? These are not things to be scared of. All of the names that are used in Lambda Calculus and much of functional programming, they're just arbitrary names.
280000	293000	There's nothing to worry about. They sound a little bit intimidating. They certainly intimidated me. I may be more easily intimidated than all of you. But the point is like, who cares? It doesn't even matter. These names are not important.
294000	307000	Okay. I'm not going to do a lot of slides. In fact, originally, I wasn't going to do any, but I thought it's probably worthwhile to introduce the syntax of Lambda Calculus a little bit before going straight into JavaScript.
307000	317000	I need to ease you into JavaScript because I know it's a little bit painful. And I should introduce myself. This is my name, Stephen Syrac, in case you're wondering about the pronunciation. I'm SJ Syrac in all the places.
318000	334000	And like I said, I'm a recovering English professor. And I just want to point out to you that if I can do this, you can do this. I've not been doing this for very long. I taught myself Lambda Calculus while I was learning Haskell not very long ago.
334000	341000	I think I started a year and a half ago at the most. And I became very excited about it enough that I was willing to do this right now.
341000	348000	So I want to make that point not only because I want to be encouraging to all of you, but because there are two purposes to this talk in my mind.
348000	357000	One is that maybe I can communicate something about Lambda Calculus to you and why it's useful, why it's awesome, why it's the foundation of everything that this conference is about.
357000	367000	But also, and for me more importantly, and for those of you who do have experience, and by the way, those of you who do have experience, feel free at any time to tell me when I'm wrong.
367000	372000	I need that and I appreciate it. And also please help others around you.
372000	378000	I want everyone to be able to come away from this presentation able to teach this material to somebody else.
378000	383000	The only way the functional programming world is going to grow is if all of us become teachers.
383000	387000	Maybe that sounds like an extreme statement, but we're a very small community.
387000	393000	And for our own self-preservation, we need to expand, like expand or die.
393000	396000	And the other reason I'm using JavaScript is precisely for this reason.
396000	402000	You can go back to your places of work or to your friends if you can convince them to learn something called Lambda Calculus.
402000	410000	And everybody has a web browser and you will be able to open that up and show them some things without having them install a complicated programming language or some software they don't understand.
410000	412000	Because like I said, anybody can learn this.
412000	419000	So if you already feel competent with this material, then at the very least you can help me develop this into a better presentation for teaching others.
419000	423000	And then find a way to use this material to teach your colleagues, right?
423000	432000	Because you may not get them to install Haskell, but you can get them to open up a browser and then you can just immediately start writing functions and show them how this stuff works.
432000	436000	Okay, so that's enough motivation I think.
436000	438000	Are there any questions at this point?
438000	443000	I know that you wanted me to go over purposes and aims or something.
443000	455000	Perhaps just some specific examples of how perhaps Lambda has helped you to better understand or other ways to change the way you approach my house.
455000	458000	We don't program any Lambda Calculus.
458000	459000	This is a mental exercise.
459000	461000	Don't you?
461000	462000	Don't you?
462000	468000	That's very heavy, but it's a useful exercise for the ultimate American language.
468000	470000	Thank you for asking.
470000	475000	I think it's really useful for developing an intuition for what functional programming is all about.
475000	481000	Raise your hand if you're really not sure what functional programming is.
481000	483000	Yeah, honest people.
483000	485000	Yeah, exactly.
485000	489000	Raise your hand if you think that you would be able to competently explain it to somebody else.
489000	492000	That's the other kind of question.
492000	496000	Functional programming is programming with functions.
496000	497000	So helpful.
497000	502000	I think actually this material will really show you what functional programming is all about.
502000	505000	It's elementary particles as it were.
505000	510000	What has Lambda Calculus itself taught me about programming?
510000	513000	I think I only have a boring answer to that question.
513000	515000	Haskell is a Lambda Calculus.
515000	518000	So I made this joke, don't we program with Lambda Calculus?
518000	522000	Yes, if you're using functional programming language or using Lambda Calculus, you just may not know it.
522000	524000	So at the very least now you'll know it.
524000	529000	I never really thought about how Lambda Calculus specifically...
529000	534000	I mean, I suppose I can look at a function and know that I'm doing Ada reduction now,
534000	536000	or that maybe I should do Ada reduction.
536000	541000	I guess there are places in which it helps me with refactoring or conceptualizing.
541000	545000	I'm not going to be talking specifically about that, I don't think.
545000	553000	I guess I would maybe be able to talk about how Lambda Calculus gives us for free all of these features that we hear about
553000	555000	when we talk about FP, right?
555000	561000	Referential transparency, immutability, currying.
561000	563000	What are some other good ones?
563000	565000	I don't know, fixed point recursion?
565000	568000	Anyway, that stuff all just sort of falls out for free from Lambda Calculus.
568000	570000	Anyway, let's get to it.
570000	571000	This is the whole language, right?
571000	573000	World's smallest programming language.
573000	577000	Maybe actually the first programming language invented.
577000	581000	1933, anyone know the date? 1933?
581000	583000	I think it up in Wikipedia, Alonso Church, Lambda Calculus.
583000	585000	Before there were computers, right?
585000	588000	They got it right the first time.
588000	594000	This is the whole language right here.
594000	597000	Concentrating first on the first line.
597000	603000	Anything in Lambda Calculus is an expression, and then there are three kinds of expressions.
603000	607000	Names, functions, and applications, and that's it.
607000	611000	A function can be a name, so the lambda name.
611000	613000	I'm going to explain all this a little bit in more detail.
613000	618000	Lambda name.expression, and an application is just two expressions next to each other.
618000	623000	So you can see how this is a bit of a recursively defined language.
623000	629000	The lambda in the second line, that's the famous lambda that everybody wears.
629000	631000	Does anyone have a lambda on their t-shirt right now?
631000	635000	I'd be surprised, actually, if nobody did.
635000	638000	You're probably all wearing one on your lanyard thing.
638000	640000	It's just an abstraction operator.
640000	643000	If you're a programmer, you're used to abstraction, even if you don't know functional programming.
643000	653000	All that is saying is create an abstraction called name and bind to that, this expression, whatever the expression is.
653000	658000	And then function application is two expressions next to each other.
658000	664000	So if you're used to Haskell syntax, the reason why we don't have parentheses in Haskell is because function application is kind of the only operation we have.
664000	669000	So we keep it simple. It's just two expressions next to each other.
