start	end	text
0	24000	I'm going to set that down over those threads, I'm going to lay this down with the two F8s over here.
24000	26000	This is my truck.
54000	74000	I'm going to set this up with the two F8s.
84000	104000	I'm going to set this up with the two F8s.
104000	130000	I'm going to set this up with the two F8s.
130000	158000	I'm going to set this up with the two F8s.
158000	184000	I'm going to set this up with the two F8s.
184000	210000	I'm going to set this up with the two F8s.
210000	220000	That's where it goes.
240000	262000	I'm going to set this up with the two F8s.
262000	290000	I'm going to set this up with the two F8s.
292000	320000	I'm going to set this up with the two F8s.
322000	332000	I'm going to set this up with the two F8s.
332000	358000	Go ahead.
