start	end	text
0	5680	The following is a conversation with Eric Weinstein, his fourth time on the podcast,
5680	12160	both sadness and hope run through his heart and his mind, and the result is a complicated,
12160	15760	brilliant human being who I am fortunate to call a friend.
16800	23360	Quick mention of our sponsors. Indeed Hiring Site, TheraGun Muscle Recovery Device, Wine Access
23360	30000	Online Wine Store, and Blinkist app that summarizes books. Click the sponsor links to get a discount
30000	35600	and to support this podcast. As a side note, let me ask that whenever we touch difficult
35600	42080	topics in this or other conversations that you listen with an open mind and forgive me or the
42080	48240	guest for a misstep in an imperfectly thought out statement. To have any chance at truth,
48240	54160	I think we have to take risks and make mistakes in conversation and then learn from those mistakes.
54720	59200	Please try not to close your mind and heart to others because of a single sentence or an
59200	64160	expression of an idea. Try to assume that the people in this conversation are just people in
64160	70800	general are good, but not perfect and far from it, but always striving to add a bit more love
70800	76960	into the world in whatever way we know how. If you enjoy this thing, subscribe on YouTube,
76960	82880	review it on Apple Podcast, follow on Spotify, support on Patreon, or connect with me on Twitter
82880	90640	at Lex Freedman. And now here's my conversation with Eric Weinstein. You often talk about
90640	99600	getting off this planet and I think you don't often talk about extra terrestrial life, intelligent
99600	104960	life out there. Do you wonder about this kind of thing, about intelligent civilizations out there?
104960	111840	I do, but I try to not wonder about it in a particular way. In a certain sense, I do find
111840	117040	that speculating about Bigfoot and the Loch Ness Monster and Space Aliens is kind of a recreation
117040	122800	for when things aren't going very well. At least it gives us some meaning and purpose in our lives.
123520	129520	So I worry about, for example, the simulation hypothesis is taking over from religion. You
129520	134640	can't quite believe enough to go to church or synagogue or the mosque on the weekend. So then
134640	138880	you just take up an interest in the simulation theory because that's something like what you
138880	144880	do for your job coding. I do think that in some sense, the issue of aliens is a really
145440	151280	interesting one, but has been spoiled by too much sort of recreational escapism.
152320	160080	The key question that I find is, let's assume that it is possible to look out at the night sky
160080	165040	and see all of these distant worlds and then go visit them. If that is possible, it's almost
165040	174320	certainly possible through some as yet unknown or not accepted theory of physics beyond Einstein.
176640	183200	It doesn't have to be that way, but probably is. If that theory exists, there would be a
183200	188240	percentage of the worlds that have life in sort of a Drake equation kind of a way that would have
188320	197360	encountered the ability to escape soon enough after unlocking the power of the atom at a
197360	205840	minimum and whatever they have that is probably analogous to the cell on that world. So assuming
205840	212960	that life is a fairly generic thing that arises, probably not carbon-based, probably doesn't have
212960	222160	DNA, but that something that fits the pattern of Darwinian theory, which is descent with variation,
223760	229200	differential success. And thereby constantly improving and so on that through time, there'll
229200	234400	be a trajectory where there'll be something increasingly complex and fascinating and beautiful
234400	240080	like us humans, but much more. That can also off-gas whatever entropy it creates to give an
240080	245280	illusion that you're defeating thermodynamics. So whatever these things are, probably has an
245280	251280	analog of the bilipid layer so that cells can get rid of the chaos on one side of the barrier and
251280	256480	keep order on the other. Whatever these things are that create life, assuming that there is a
256480	264080	theory to be found that allows that civilization to diversify, we would have to imagine that
264880	270960	such a civilization might have taken an interest in its concept of the universe and have come here.
272400	277600	They would come here. They would have a deep understanding of the physics of the universe
277600	283120	sufficient to have arrived here. Well, there's two questions, whether they could arrive physically
283120	290400	and whether their information could be sent here and whether they could gain information from us.
290400	297360	It's possible that they would have a way of looking into our world without actually reaching it. I
297360	306560	don't know. But yes, if my hope, which is that we can escape this world, can be realized if that's
306560	313760	feasible, then you would have to imagine that the reverse is true and that somebody else should be
313760	320800	here. First of all, I want to say this. My purpose when I come on to your show and I reframe the
320800	327280	questions is not to challenge you. I can sit inside all of those. It's to give you better audio and
327280	332880	video because I think we've been on an incredible role. I really love what you do. I am trying to
332880	337520	honor you by being as disagreeable about frame breaking as possible. I think some of your listeners
337520	342720	don't understand that it's actually a sign of respect as opposed to some sort of a complex
342720	347680	dynamic, which is I think you can play outside of some of the frames and that these are sort of
347680	351840	offerings to get the conversation started. So let me try to break that frame and give you something
351840	360880	different. Beautiful. I think what's going on here is that I can prove effectively that we're
360880	365760	not thinking about this in very deep terms. As soon as I say we've got to get off this planet,
365760	369680	the number of people who assume that I'm talking about faster than light travel
371200	378400	is very high. Faster than light travel assumes some sort of Einsteinian paradigm that then is broken
380400	386880	by some small adjustment. I think that that's fascinating. It shows me that our failure to
386880	394400	imagine what could be being said is profound. We don't have an idea of all of the different
395040	401840	different ways in which we might be able to visit distant worlds. All we think about is,
401840	407200	okay, it must be, it must be Einsteinian space times and then some means of exceeding the
407200	414960	speed limit. And it's just, it's fascinating to me that we don't really have, we've lost
414960	421520	the ability to just realize we don't know the framework. And what does it even mean? So one
421600	425440	of the things I think about a lot is worlds with more than one temporal dimension.
426720	429920	It's very hard to think about more than one temporal dimension.
430800	437200	So that's a really strong mental exercise of breaking the framework in which we think,
437200	440880	because most of the frameworks would have a single temporal dimension, right?
440880	444880	Well, first of all, most of the frameworks in which we think would have no temporal dimension,
444880	450240	would have pure, like in mathematics, the differential geometry that Riemann came up with
450240	457120	in the 1800s. We don't usually talk about what we would call split signature metrics,
458000	463440	or Lorentzian signature. In fact, if it weren't for relativity, this would be the most obscure
463440	468880	topic out there. Almost all the work we do is in Euclidean signature, and then there's this
468880	474880	one freakish case of relativity theory in physics that uses this one time and the rest spatial
474880	480640	dimensions. Fascinating. So it's usually momentary and just looking at space?
481360	487200	Yes. We have these three kinds of equations that are very important to us. We have
487200	496560	elliptic, hyperbolic, and parabolic. And so the idea is if I'm chewing gum after eating garlic bread,
499120	503200	when I open my mouth and I've got chewing gum between my lips,
503920	510400	maybe it's going to form an elliptic object called a minimal surface. Then when I pop that and
510400	514400	blow through it, you're going to hear a noise that's going to travel to you by a wave equation,
514400	518880	which is going to be hyperbolic. But then the garlic breath is going to diffuse towards you,
518880	522480	and you're eventually going to be very upset with me, according to a heat equation,
522480	528160	which will be parabolic. So those are the three basic paradigms for most of the work that we do.
528160	533600	And a lot of the work that we do in mathematics is elliptic, whereas the physicists are in the
533600	537440	hyperbolic case. And I don't even know what to do about more than one temporal dimension,
537440	541600	because I think almost no one studies that. I can't believe you just captured
542240	545600	much of modern physics in the example of chewing gum.
545600	549360	Well, I have an off-color one, which I chose not to share, but hopefully the kids at home...
550160	550800	Can imagine.
551680	559040	Okay, so that is the place where we come from. Now, if we want to arrive at a possibility of
559040	566560	breaking the frameworks with two versus zero temporal dimensions, how do we even begin to
566560	570400	think about that? Well, let's think about it as you and I getting together in New York City.
571840	577440	So if you tell me, Eric, I want to meet you in New York City, go to the corner
578160	585200	of, I don't know, 34th Street and 3rd Avenue, and you'll find a building on the northwest corner
585200	591440	and go up to the 17th floor, right? So when we have 3rd Avenue, that's one coordinate,
591440	596240	34th Street, that's the second coordinate, and go up to the 17th. And what time is that? Oh,
596240	603120	12 noon. All right. Well, now imagine that we traded the ability to get up to a particular
603200	607440	height in a building that's all flatland, but I'm going to give you two temporal coordinates. So
607440	615040	meet me at 5 p.m. and 12 noon at the corner of 34th and 3rd. That gets to be too mind-blowing.
615040	620880	I've got two separate watches. And presumably that's just specifying a single point in those
620880	626080	two different dimensions, but then being able to travel along those dimensions. Let me see your
626080	634000	right hand. You have no watch on that. I'm very concerned, Lex, that you're going through life
634000	640800	without a wristwatch. That is my favorite and most valued wristwatch. I want you to wear it.
640800	647680	This guy's funnier than basically any human on earth. That has been in my family for months.
649360	655760	It's a Fitbit. Now, what I want you to understand is Lex Fridman is now in a position to live
656160	662160	in two spatial and two temporal dimensions unlike the rest of us. I clearly am only fit for four
663280	667840	spatial dimensions. So I'm frozen, whereas you can double move.
667840	675120	I can double move, which is funny because this is set in Austin time. So it's 4 p.m. and this is set
675120	681200	in Los Angeles time. Well, but that's just with an affine shift in mod 12. But my point is,
681200	684480	wouldn't that be interesting if there were two separate time scales and you had to coordinate
684480	688240	both of those, but you didn't have to worry about what floor of the building because everything
688240	695200	was on the ground floor. That is the confusion that we're having. And if you do one more show,
696400	700080	then they're going to put a watch on your ankle and you're only going to have one spatial dimension
700080	706480	that you can move around. But my claim is that all of these are actually sectors of my theory,
706480	712960	in case we're interested in that, which is geometric unity. There is a 2-2 sector and a 3-1
712960	718960	and a 1-3 and a 0-4 and a 4-0. And all of these sectors have some physical reality. We happen
718960	725680	to live in a 1-3 sector. But that's the kind of thinking that we don't do. When I say we have
725680	729840	to get off this planet, people imagine, oh, okay, it's just Einstein plus some ability to break the
729840	736960	law. By the way, even though you did this for humor's sake, I perhaps am tempted to pull a Putin.
737280	745280	Am I going to get whacked? No, not quite. But he was given a Super Bowl ring
746560	751760	to look at. And he, instead of just looking at it, put it on his finger and walked away with it.
752400	758080	Robert Kraft? Robert Kraft, that's right. In the same way, I will, if you don't mind,
758080	762320	walk away with this Fitbit and taking the entirety of your life story with it because
762400	765120	there's all these steps on it. Boy, have you lost a lot of weight.
767920	769680	And where have I been? Exactly.
770640	773680	Right. That's what we're talking about. We're talking about, you want to get into aliens.
773680	778800	Let's have an interesting alien conversation. Let's stop having the typical free will conversation,
778800	784080	the typical alien conversation, the typical AGI morality conversation. It's like, we have to
784080	788400	recognize that we're amusing ourselves because we're not making progress. Time to have better
788400	793280	versions of all these conversations. Is there some version of the alien conversation that could
793280	797840	incorporate the breaking of frameworks? Well, I think so. I mean, the key question would be,
798560	804960	we've had the Pentagon release multiple videos of strange UFOs that undermined a lot of us.
804960	810080	I just think it's also really fascinating to talk about the fact that those of us who were
810080	815280	trained to call BS on all of this stuff just had the rug pulled out from under us by the
815280	819840	Pentagon choosing to do this. And you know what the effect of that is? You've opened the door
819840	828880	for every stupid theory known to man. My aunt saw a ghost. Okay. Now we're going to have to listen to,
828880	832560	well, hey, the Pentagon used to deny it. Then it turned out there were UFOs, dude.
834000	840880	Whoever is in charge of lying to the public, they need a cost function that incorporates
841280	846080	the damage and trust because I held this line that this was all garbage and all BS.
847200	851360	Now I don't know what to think. There's a fascinating aspect to this alien discussion,
851360	855760	the breaking of frameworks that involves the release of videos from the Pentagon,
855760	861040	which is almost like another dimension that trust in itself or the nature of truth and
861040	866880	information is a kind of dimension along which we're traveling constantly that is
867520	875440	messing with my head to think about because it almost feels like you need to incorporate
875440	883040	that into your study of the nature of reality is like the constant shifting of the notation,
883040	888000	the tools we use to communicate that reality. And so what am I supposed to think about these
888000	894480	videos? Is it a complete distraction? Is it a kind of cosmic joke? I don't know, but you know what,
894480	899360	I'm tired of these people just completely tired of these people on the Pentagon side or the people
899360	905760	who are interpreting this stuff on the Pentagon side. I'm tired of the authorities playing games
905760	910560	with what we can know. The fact that you and I don't, do you have a security clearance?
911680	915040	Some level of it for because I was funded for DARPA for a while.
915040	921280	I don't have a security clearance. You know, I am going to release whatever theory I have
921680	924960	my guess is that there is zero interest from our own government.
926480	930560	And so the Chinese will find out about it at the same time our government does
930560	936560	because Lord knows what they do in these buildings. I watch crazy people walk in and out of the
936560	943040	intelligence community, walk in and out of DARPA. And I think, wow, you're talking to that person?
943040	948960	That's really fascinating to me. We don't seem to have a clue as to who might have the ball.
948960	953040	Complete lack of transparency. Do you think it's possible there is the government is in
953760	959120	possession of something deeply fundamental to understanding of the world that they're not
959680	965840	releasing? So this is one, one thing is, this is one of the famous distractions that people
965840	973280	play with the narrative of alien life forms and spacecraft and possession that the government
973280	976480	is in possession of alien spacecraft. That's the narrative. Yeah.
977440	983280	I don't think the government really exists at the moment. I believe, and this is not an idea
983280	987680	that was original to me. There was a guy named Michael Tidalbaum who used to be at the Sloan
987680	992960	Foundation. And at some point I pointed out that the US government had completely contradictory
992960	997600	objectives when it came to the military and science. And one branch said this,
997600	1001040	one branch said that. I said, you know, I don't understand which is true. What is the
1001040	1005280	government want? He said, do you think there's a government? And I said, what do you mean?
1005280	1010080	He said, what makes you think that the people in those two offices have ever coordinated?
1011840	1017600	What is it that allows each office to have a coherent plan with respect to every other office?
1017600	1021600	And that's when I first started to understand that there are periods where the government coheres
1022320	1025840	and then there are periods where the coherence just decays. And I think that that's been going
1025840	1031120	on since 1945, that there have been a few places where there's been increased coherence, but in
1031120	1036160	general, everything is just getting less and less coherent. And that what war did was focus us on
1036160	1043120	the need to have a government of people, a mission, capacity, technology, commitment, ideology.
1043760	1049520	And then as soon as that was gone, you know, different people, those who'd been through
