start	end	text
0	5520	The following is a conversation with Yosha Bach, VP of Research at the AI Foundation
5520	12240	with a history of research positions at MIT and Harvard. Yosha is one of the most unique
12240	17280	and brilliant people in the artificial intelligence community, exploring the workings of the human
17280	24640	mind, intelligence, consciousness, life on earth, and the possibly simulated fabric of our universe.
24800	28720	I can see myself talking to Yosha many times in the future.
29760	36480	Quick summary of the ads. Two sponsors, ExpressVPN and Cash App. Please consider supporting
36480	44560	the podcast by signing up at expressvpn.com slash lexpod and downloading Cash App and using code LEX
44560	51200	podcast. This is the artificial intelligence podcast. If you enjoy it, subscribe on YouTube,
51200	56880	review it with 5 stars on Apple Podcast, support it on Patreon, or simply connect with me on Twitter
56880	64240	at Lex Freedman. Since this comes up more often than I ever would have imagined, I challenge you
64240	70480	to try to figure out how to spell my last name without using the letter E. And it'll probably
70480	76080	be the correct way. As usual, I'll do a few minutes of ads now and never hear any ads in the middle
76080	82400	that can break the flow of the conversation. This show is sponsored by ExpressVPN. Get it at
82400	88880	expressvpn.com slash lexpod to support this podcast and to get an extra three months free
88880	96640	on a one-year package. I've been using ExpressVPN for many years. I love it. I think ExpressVPN is
96640	101920	the best VPN out there. They told me to say it, but I think it actually happens to be true.
102880	109040	It doesn't log your data. It's crazy fast and it's easy to use literally just one big power on
109040	115440	button. Again, for obvious reasons, it's really important that they don't log your data. It works
115440	122080	on Linux and everywhere else too. Shout out to my favorite flavor of Linux, Ubuntu Mate 2004.
122880	129920	Once again, get it at expressvpn.com slash lexpod to support this podcast and to get an
129920	137040	extra three months free on a one-year package. This show is presented by Cash App, the number one
137040	143600	finance app in the App Store. When you get it, use code lexpodcast. Cash App lets you send money to
143600	150240	friends by Bitcoin and invest in the stock market with as little as $1. Since Cash App does fractional
150240	155280	share trading, let me mention that the order execution algorithm that works behind the scenes
155280	161120	to create the abstraction of the fractional orders is an algorithmic marvel. So big props to
161120	166240	the Cash App engineers for taking a step up to the next layer of abstraction over the stock market,
166240	173040	making trading more accessible for new investors and diversification much easier. So again, if you
173040	179840	get Cash App from the App Store, Google Play and use the code lexpodcast, you get $10 and Cash App
180160	186480	will also donate $10 to FIRST, an organization that is helping advance robotics and STEM education
186480	193120	for young people around the world. And now, here's my conversation with Yosha Bach.
194400	199360	As you've said, you grew up in a forest in East Germany, just as what we're talking about off mic,
200160	205520	to parents who were artists. And now I think, at least to me, you've become one of the most
205520	210560	unique thinkers in the AI world. So can we try to reverse engineer your mind a little bit?
211520	218560	What were the key philosophers, scientists, ideas, maybe even movies, or just realizations that
219280	225040	impact on you when you're growing up that kind of led to the trajectory? Or were the key sort of
225040	232160	crossroads in the trajectory of your intellectual development? My father came from a long tradition
232160	240560	of architects, a distant branch of the Bach family. And so basically, he was technically a nerd,
240560	247840	and nerds need to interface in society with non-standard ways. Sometimes I define a nerd
247840	252160	as somebody who thinks that the purpose of communication is to submit your ideas to peer
252160	259360	review. And normal people understand that the primary purpose of communication is to negotiate
259360	264480	alignment. And these purposes tend to conflict, which means that nerds have to learn how to
264480	272080	interact with society at large. Who is the reviewer in the nerd's view of communication?
272080	277760	Everybody who you consider to be a peer. So whatever hapless individual is around,
277760	281360	well, you would try to make him or her the gift of information.
282080	288720	Okay. So you're not, by the way, my research will malinform me. So you're
290160	297280	architect or artist? So he did study architecture. But basically, my grandfather made the wrong
297280	305600	decision. He married an aristocrat and was drawn into the war. And he came back after 15 years.
305600	312800	So basically, my father was not parented by a nerd, but by somebody who tried to tell him
312800	319840	what to do and expected him to do what he was told. And he was unable to. He's unable to do
319840	324320	things if he's not intrinsically motivated. So in some sense, my grandmother broke her son.
324880	330720	And her son responded when he became an architect to become an artist. So he built
330720	335440	100-wasser architecture. He built houses without right angles. He'd built lots of things that
335440	341200	didn't work in the more brutalist traditions of Eastern Germany. And so he bought an old
341200	345600	watermill, moved out to the countryside, and did only what he wanted to do, which was art.
346160	352080	Eastern Germany was perfect for Bohem, because you had complete material safety. Put was heavily
352080	356560	subsidized. Haskell was free. You didn't have to worry about rent or pensions or anything.
