start	end	text
0	4960	The following is a conversation with Yosha Bach, his second time in the podcast.
4960	10680	Yosha is one of the most fascinating minds in the world exploring the nature of intelligence,
10680	14600	cognition, computation, and consciousness.
14600	21240	To support this podcast, please check out our sponsors, Coinbase, Codecademy, Linode,
21240	24120	Netsuite, and ExpressVPN.
24120	27000	Their links are in the description.
27000	33600	This is the Lex Friedman podcast, and here is my conversation with Yosha Bach.
33600	38920	Thank you for once again coming on to this particular Russian program and sticking to
38920	40920	the theme of a Russian program.
40920	45360	Let's start with the darkest of topics.
45360	48560	So this is inspired by one of your tweets.
48560	56640	You wrote that, quote, when life feels unbearable, I remind myself that I'm not a person.
56640	61660	I am a piece of software running on the brain for random ape for a few decades.
61660	64760	It's not the worst brain to run on.
64760	67840	Have you experienced low points in your life?
67840	69880	Have you experienced depression?
69880	75440	Of course, we all experience low points in our life, and we get appalled by the things,
75440	77120	by the ugliness of stuff around us.
77120	84840	We might get desperate about our lack of self-regulation, and sometimes life is hard.
84840	90640	And I suspect you don't get to your life nobody does to get to their life without low points
90640	93960	and without moments where they are despairing.
93960	100560	And I thought that let's capture this state and how to deal with that state.
100560	105000	And I found that very often you realize that when you stop taking things personally, when
105000	110800	you realize that this notion of a person is a fiction, similar as it is in Westworld where
110800	115040	the robots realize that their memories and desires are just stuff that keeps them in
115040	120160	the loop, and they don't have to act on those memories and desires, that our memories and
120160	122680	expectations is what make us unhappy.
122680	124520	And the present rarely does.
124520	128160	The day in which we are, for the most part, it's okay, right?
128160	133240	When we are sitting here, right here, right now, we can choose how we feel.
133240	138920	And the thing that affects us is the expectation that something is going to be different from
138920	144360	what we wanted to be or the memory that something was different from what we wanted it to be.
144360	149160	And once we basically zoom out from all this, what's left is not a person.
149160	153800	What's left is this state of being conscious, which is a software state.
153800	155840	And software doesn't have an identity.
155840	157960	It's a physical law.
157960	162440	And it's a law that acts in all of us, and it's embedded in a suitable substrate.
162440	163800	And we didn't pick that substrate, right?
163800	167080	We are mostly randomly instantiated on it.
167080	172160	And they're all these individuals, and everybody has to be one of them.
172160	176240	And eventually, you're stuck on one of them and have to deal with that.
176240	179400	So you're like a leaf floating down the river.
179400	185160	You just have to accept that there's a river, and you just float wherever there are.
185160	189720	The thing is that the illusion that you are an agent is a construct.
189720	193480	What part of that is actually under your control.
