start	end	text
0	14600	Welcome back. Today we're talking with Dr Simon Cornblith, a research scientist in the
14600	20640	Google Brain team. Simon is most famous for being one of the authors on Simclear, the computer
20640	25360	vision paper that used self-supervised learning and the contrastive loss with loads of cool
25360	30760	image augmentations. Simon also used to be a neuroscientist.
30760	35920	When I was pretty young, I was interested in consciousness and how we create this kind
35920	41640	of impression of the external world inside our heads. And so I guess it's pretty obvious
41640	46560	how that translates into an interest in brains and how the brain works.
46560	52240	Turns out the neuroscience is really difficult. Progress is really slow and tedious. Simon's
52320	58160	goal is to understand the inner workings of neural networks, both in meat space and
58160	65640	in silicon. He initially thought that the artificial variety might be easier to understand.
65640	67360	He was in for a rude awakening.
67360	71200	So in a neural network, we can record all the neurons, which is extremely challenging
71200	77160	in a biological organism. And we can also manipulate the system in any kind of way that
77160	82080	we can imagine. But it still seems really hard to understand neural networks. I think there
82080	88800	are a lot of ideas from machine learning that will ultimately help us understand brains.
88800	93920	Maybe we could make some headway that might eventually translate back to brains. And so
93920	95800	that's how I ended up in machine learning.
95800	99360	People often try and anthropomorphise neural networks.
99360	103720	People try to relate whatever neural network they've built back to a brain and they say
103720	106800	that it works like the brain, but it doesn't work like the brain.
106800	111780	So Simon was involved in this paper, do wide and deep networks learn the same things, uncovering
111780	115460	how neural network representations vary with width and depth.
115460	121300	Simon pioneered this really fascinating way of comparing representations by comparing
121300	126820	features. And what this essentially amounts to is we need to have a similarity function
126820	133420	so that we can compare the representations in layers to themselves in different parts
133420	135780	of the network or indeed to other networks.
135780	139540	And so for this similarity measure to work well, the first thing Simon did was take two
139540	144580	architecturally identical networks, A and B, trained from different random initialisations
144580	152180	and just ensure that the third convolution layer is more self-similar to its counterpart
152180	154460	than any of the other layers.
154460	158420	If that works, then you're onto something. Turns out that's not super simple to do, but
158420	161740	Simon came up with this concept called the centred kernel alignment, which we'll talk
161740	163180	about on the call.
163180	169300	But this is actually super fascinating. We're talking about this idea here of using self-similarity
169300	175020	to reason about the evolution of representations throughout successive layers in the neural
175020	180940	network. And what Simon found is that you get this kind of characteristic blockiness.
180940	186380	So when you see these large blocks, what it means is that the representations are no longer
186380	188460	evolving in respect of time.
188460	193940	So it's showing here the representational similarity of all of the layers against themselves
193940	196140	and against all of the other layers.
196140	200260	So clearly there's this characteristic diagonal down the matrix, as you would see with any
200260	202260	self-similarity matrix.
202260	207700	And because this blockiness appears, it means that nothing is happening.
207700	211620	And what Simon realised is you can actually delete these layers from the neural network
211620	215100	and it wouldn't make any difference because it hasn't learned anything new.
215100	219900	But it's also a really interesting way of reasoning about a kind of pathology, a weird
219900	223060	thing that happens when you saturate a neural network.
223060	227100	So he said that this presence of this block structure is an indicator of the halting of
227100	231420	evolution and a strong indicator of over-parameterisation.
231420	236020	And he actually shows that this blockiness appears on deeper networks and wider networks.
236020	239220	But this concept of self-similarity analysis is not new to me.
239220	246060	On my PhD, I was fascinated in segmenting DJ-mixed music shows and I actually used the same techniques
246060	250260	for learning regimes in financial datasets later on.
250620	253900	This is an example of a DJ-mix which I segmented.
253900	259260	I came up with a dynamic programming algorithm which would essentially sum up all of the
259260	265260	tiles along this diagonal and compute the lowest costs contiguous segmentation.
265260	266580	And it's super interesting.
266580	271260	So here are two music tracks and you can see that they are more self-similar to each other
271260	275820	than they are any of the other tracks just because of the tone of the colour here.
275820	279700	And if you zoom into a track, you can even see that there are symmetries.
279700	284420	This part of the track here is a repetition from this part of the track here.
284420	289420	And you can tell that from this kind of symmetry pattern on the diagonal.
289420	292780	And you can see that there's a little bit in the track in the middle here which is not
292780	295740	similar to any other part of the track.
295740	300660	You see some really interesting stuff here and essentially I'm a huge fan of anyone using
300660	305420	self-similarity matrices for reasoning about the evolution of representations.
305420	307140	I think it's a fascinating idea.
307140	309980	So how did Simon come up with this measure of similarity?
309980	312580	The centred kernel alignment.
312580	317900	Jeff Hinton had another idea and I tried the idea that it worked but then we wondered is
317900	320540	there a simpler thing that worked.
320540	323140	And that's how we ended up with centred kernel alignment.
323140	327940	The blockiness in these matrices is absolutely fascinating but how much can we read into
327940	328940	it?
