start	end	text
0	4240	Welcome back to Street Talk, just a little bit of housekeeping before we kick off today.
4240	10160	Polina Silivadov is one of the organisers for a charity AI conference called AI Helps Ukraine.
10800	15600	Now, their main goal is to raise funds for Ukraine, both from the folks attending the
15600	20080	conference and also from companies sponsoring the conference. And it's not too late to sponsor
20080	24960	the conference and support it, so please do if you possibly can. Now, all of the funds that they
24960	29360	raise will go to Ukraine Medical Support, which is a Canadian non-profit organisation
30000	34960	which is specialising in humanitarian aid for Ukraine. Now, they have some of the world's
34960	41760	leading AI experts keynoting at this event, so Yoshua Benjo, Timnick Gabru, Max Welling,
41760	47280	Regina Basile, Alexei Efros and also one of our own personal favourites here on MLSD,
47280	52720	Professor Michael Bronstein, the one and only. Now, the conference is online pretty much from
52720	58720	now until the 6th of December and it's being hosted from Mela in Montreal. Their goal is to
58720	65200	raise $100,000 and they really, really need the support of the AI community to club together and
65200	70800	to just donate anything that you can. So, we'll link to the conference in the video and the podcast
70800	77760	description. Please donate if you can and also share the links on your socials. Now, I'm at New
77760	84560	Europe this week in New Orleans, so I'll be walking around with a camera. Please just bump into me
84560	91280	and if you want to record any spicy takes on artificial general intelligence, then let's do it.
92720	98240	Today is a conversation with Yoshua Bach, who's one of our most requested guests ever.
98240	102800	We recorded the conversation back in April, which gives you a bit of an indication of our backlog.
102800	109360	I can only apologise about the backlog. Keith and I recently started a new venture called X-Ray
109360	115040	and as you can imagine, we've been working around the clock coding, just trying to get that business
115040	120080	off the ground. But when we've made our millions, we'll devote all of our time to producing amazing
120080	124880	content on MLSD. So, yeah, please bear with us loads and loads of cool content coming your way
124960	128480	soon. I hope you enjoy the show today. Peace out.
128480	135840	Dr Yoshua Bach is our most requested guest ever. Yoshua Bach is a cognitive scientist focusing
135840	143760	on cognitive architectures, models of mental representation, emotion, motivation and sociality.
143760	149760	Yoshua's interview on Lex's podcast, he did two interviews on Lex's podcast,
149760	154240	have been watched over two million times so far, which is just absolutely unreal.
154880	159680	Now Yoshua, I've watched many of your interviews and I still don't feel that I have a firm grasp on
159680	164480	some of your views. So today, if you don't mind, I hope we can do a tour de force over some of your
164480	169120	most important views in our shared space, to the extent that we can keep up with you, of course.
169680	176400	Now, for example, we'd like to discuss Godel and computation, consciousness, digital physics,
176400	182000	free will and determinism, large statistical models and indeed whether they're AGI or a
182000	186880	parlor trick or something more esoteric. Now, when people talk about God or consciousness
186880	192400	or any other complex phenomena, it relates to everyone and it means something different to
192400	198080	everyone. It's ineffable and every conversation sounds like a typical post ketamine discussion,
198080	203360	which is to say extremely low information content. Now, the topics we're discussing today are very
203360	208480	complex and often we're reaching for the best language to use to conduct the conversation.
208480	213520	So I hope we do well today. Anyway, Dr. Yoshua Barker is an absolute honor to finally welcome you
213520	221760	to MLST. Thank you very much. I'm glad to be on the show. Amazing. Well, when I started doing
221760	227200	computer science many years ago, interestingly, the theory of computation wasn't even on the
227200	231760	curricula. And I was wondering whether you thought it should be. I mean, presumably you think it's
231760	236560	extremely relevant for AGI. Now, we want this to be as pedagogical as possible. So please explain
236560	243200	everything like we're five. What does computation mean to you? I think that computation is
243200	248800	far easier than most people think. It means that you have a causal structure where every
249760	255040	transition can be decomposed into individual steps. And when we talk about computational models,
255040	260640	we decompose the world into states and transitions between the states. And then it turns out that
260720	266960	there is a certain minimal system that is able to execute everything. And this can be described in
266960	272240	many ways. The most famous one is probably the Turing machine and many other ways in which you
272240	278480	can describe the Turing machine. For instance, you can just do the Turing machine by doing
279520	283520	search and replace on strings. And this is how the Lambda calculus is defined.
284240	288880	And all the programming languages and the Lambda calculus and the Turing machine
288880	293120	turn out to have the same power. That is, if you can compute something with one of these paradigms,
293120	296960	you can compute it with the others. As long as you don't run into resource constraints,
296960	301520	so as long as it still fits into memory and you don't care about speed, they all have the same
301520	308000	power. But in practice, of course, every system is limited. So we don't run things forever. We
308000	312880	want them to give us a result after a certain time. So what matters is what can be efficiently
312880	319440	computed, not what is reachable at all. Awesome. And there are, and we're going to get into this
319440	324800	a bit, but there are some possible loopholes, at least in, you know, let's say whether or not
324800	330720	the universe is limited in certain ways that the definitions of like Turing machines are.
330720	337040	And one I wanted to ask you about specifically is Penrose's claims. And so he claims that
337840	344560	what Godel's work in fact proves is that the human mind can understand truths that are not
344560	351600	provable. So specifically one can show that, you know, given Godel's sentence is necessarily true
351600	357440	given given a mathematical analysis, even though it can't be proven within the formal system that
357440	363120	it's that it's defined. And Penrose claims that this capability to understand, if you will, to
363120	369680	mathematically understand is in fact non computational, at least in part. And so if he's right, then
369680	376720	our brains might be what Turing referred to as Oracle machines. These are computers that have
376720	384080	access to a non computable Oracle or function that they can then utilize those oracles in
384080	389440	order to perform hyper computation, essentially. So I'm asking, I'm curious, are you open to this
389440	394080	possibility? And if not, what is your response to Penrose's arguments?
395040	400240	I suspect that Goedl has been misunderstood by a lot of philosophers. Goedl was a truth
400240	405920	realist. That is, he thought that truth really exists out there. That it's the thing that is
405920	410960	eternal in some sense. He had this very strong intuition and mathematics classically is also
410960	415760	formalized in this way. The difference between mathematics and computation, at least in the
415760	420080	standard sense in which we normally teach mathematics at school is that mathematics has no
420080	427520	states. Everything in mathematics just is eternally. It's a single state. And if you want to go through
427520	433120	a sequence of states, you put an index into the formula. But still, everything is there at the
433120	437760	same time. The index is just a way to access this thing. And this way of having mathematics
437760	442960	stateless is very elegant because it allows us to define functions that have infinitely many
442960	447760	arguments. If you would have a state machine that tries to consume infinitely many arguments,
447760	452080	it would never finish before it goes to the next step. And the same thing in the middle of the
452080	456320	function, if you compute something, if it's stateless, you can just compute all the indices
456320	461840	all at once, even if it's infinitely many in classical mathematics. In a computational system,
461840	466480	you would have to do this maybe one after the other. And if you do it at parallel, you will have
466480	471920	lots of CPUs running at parallel. So you run into limits. And the same thing with the output. So
472000	476880	in the classical mathematics, you can chain infinitely many steps and functions and exchange
476880	481600	infinitely many arguments. But of course, mathematicians never did this a practice. It's
481600	486160	just a specification. This is how they like to write things down. When they want to calculate it,
486160	492080	they still have to go down and do it sequentially step by step. Just mathematics is defined in such
492080	497840	a way as if you could upload this to some supernatural being or some grad student who is
497840	504160	going to do the infinitely many calculations. And Goethe took this specification of mathematics
504160	508160	and he found out that when you have this stateless mathematics, you can, for instance,
508160	513920	define self referential statements that change that choose value depending on the statement itself.
514560	519680	And this recurrence leads can lead to a contradiction in the state itself. So you basically
519680	525200	get two statements which say I am wrong. And if by referring to itself, it changes its own
525200	531040	truth value. So if mathematics is stateless, you will now run into a conflict. In a computational
531040	534800	system, that's not a big problem. Your computer is not going to crash. If you write it down the
534800	539520	right bay, it just happens is that your truth value fluctuates in every execution step. It's not
539520	545360	going to converge. But this is not the real truth. Truth is something that doesn't change
545360	552560	when you call the function again. So what's going on here? And I think what Goethe has
552640	557760	discovered is that classical mathematics doesn't work. What you cannot build is any kind of
557760	562560	mathematics doesn't allow you to build a machine, a hypothetical abstract machine, any kind of
562560	566480	universe that runs the semantics of the classical mathematics without crashing.
567360	574080	Yeah, but it kind of seems like, okay, we're going to believe Goethe's use of mathematics
574080	579840	to prove that mathematics is flawed. Like there seems to be almost an inherent contradiction
579840	585360	in there. Like you either believe mathematics, and thus you believe Goethe's proof of some
585360	591760	specific limitations on computational systems, right? Or you believe that somehow mathematics
591760	595520	is flawed, in which case you can't trust the proof that mathematics is flawed.
597200	602080	I think Goethe's conclusion was that there is something fundamentally going wrong, that there
602080	607760	might be an inability of mathematics to describe reality. And if you believe that truth is real
607760	612800	and it exists independently of the procedure by which you calculate it, then this seems to be
612800	617520	plausible. And it was also the conclusions a lot of philosophers have drawn from this,
617520	622000	which basically read Goethe's proof and concluded that mathematicians have admitted that their
622960	627920	arcane techniques are important to describe reality. And therefore, philosophers who don't
627920	634480	understand mathematics have a clear advantage. Of course, this is not the conclusion. Instead,
634480	640880	what turns out is that if you just skip or if you drop the original classical notation or
640880	645920	as understanding of mathematics and replace it by computation, basically we say,
645920	650560	truth is what you calculate with the following procedure. And you can define any kind of
