start	end	text
960	5360	Welcome back to Machine Learning Street Talk. I'm your host, Tim Scarf.
6240	12880	Now, today on the show, we're joined by Dr. Walid Saber, who's just written a review of the book
12880	19600	Machines Will Never Rule the World, Artificial Intelligence Without Fear, written by Jops Langreb
19600	26000	and Barry Smith. Now, Dr. Saber will be discussing his review, which provides a detailed analysis
26000	33760	of the book's arguments that strong AI is impossible. In his review, Dr. Saber acknowledges
33760	39360	the argument made by Langreb and Smith that anything we engineer is ultimately a system
39360	45120	which can be mathematically modelled and described. He then goes on to discuss the complexity of
45120	53040	modelling mental processes, which the authors argue are dynamic, adaptive, continuously evolving,
53040	59920	and constitutes systems whose behaviour affects and is affected by the environment they function in.
61920	67920	He also touches on the notion of granularity, arguing that complex systems are all the way up
68480	76400	from specific components of the mind to the mind itself and that no known mathematics can model them.
76880	82560	Dr. Saber then delves into the complexities of language and open interactive dialogues,
82560	88160	asserting that language is a prerequisite for any artificial general intelligence,
88160	94720	but that linguistic communication itself is a complex system that no mathematics can model.
95520	100800	He doesn't subscribe to the argument that interactive bots can be built in narrow domains,
101520	106880	since responses and the overall context cannot be predicted in any meaningful way.
107920	114160	Dr. Saber has two reservations as to the conclusions made by Langreb and Smith.
114160	120240	He questions their use of the word never and suggests there could be a new mathematics
120240	126480	that mental processes require that is yet to be discovered. He also doesn't believe that the fact
126560	132560	that complex behaviour cannot be mathematically modelled precludes the possibility of building
132560	139600	such systems, as evidenced by the intentional programming language LISP, and he also considers
139600	145120	the possibility of hypercomputation in validating the church-touring hypothesis.
145120	149840	We'll talk about that a bit later. Finally, Dr. Saber expresses his regret
149840	154800	that the book didn't go into further detail on the frame problem in AI.
156480	160800	He calls for further research into belief revision in complex systems.
162240	166880	Join us today as we speak with Dr. Wallid Saber about his review of this book that we've just
166880	172480	been speaking about. Machines will never rule the world. And by the way, I think very highly
172480	178960	of Wallid. I think he is one of our most loved guests. He is a polymath. He has an incredible
178960	184160	breadth of knowledge across so many fields, you know, from AI and computer science,
184160	191120	to mathematics, to philosophy, to linguistics. He really is a rare breed, and he also brings
191120	198240	a very interesting contrarian view, I would say, to the current kind of modus operandi,
198240	202240	or the zeitgeist in the community at the moment. He's a breath of fresh air.
202960	208720	Anyway, if you haven't already, consider subscribing to our YouTube channel, or indeed
208720	213520	rating our podcast on your favourite podcasting platform if you happen to be listening to us.
214160	217920	Anyway, without any further delay, I give you Dr. Wallid Saber.
224400	233520	Welcome back to MLST, folks. We have the unmistakable Wallid Saber, the legend that is Wallid Saber,
233520	238160	but we also have Mark from our Discord community. Mark, would you like to introduce yourself?
239040	246000	Hi, guys. I'm Mark Aguil, a philosopher, cognitive scientist, and software engineer at
246000	252960	MLST. Awesome. Welcome, Mark. You know, things have been a bit of a blur,
252960	258400	but I think this is right, Tim. I think Wallid was the first, or one of the first,
258400	265200	really big names that we had come on the show, right? I don't think so,
265200	271120	but the most controversial, let's put it this way, the one that made probably,
