start	end	text
0	4400	Irina Rish is a world-renowned professor of computer science and operations research
4400	9520	at the University of Montreal and a core member of the prestigious Miele organisation.
9520	14720	She is a Canada CIFAR AI Chair and the Canadian Excellence Research Chair in Autonomous AI.
15440	20880	Irina holds an MSc and a PhD in artificial intelligence from UC Irvine in California,
20880	24800	as well as an MSc in Applied Mathematics from the Moscow Gerbkin Institute.
25360	30480	Her research focuses on machine learning, neural data analysis and neuroscience-inspired AI.
31120	35840	In particular, she is exploring continual lifelong learning, optimization algorithms for
35840	40960	deep neural networks, sparse modelling and probabilistic inference, dialogue generation,
40960	46400	biologically plausible reinforcement learning and dynamical systems approaches to brain imaging
46400	52640	analysis. Professor Ritch holds 64 patents, she has published over 80 research papers and
52640	59280	several book chapters, as well as three entire edited books and also a monograph on sparse modelling.
59280	65360	She served as a senior area chair for NeurIPS and ICML and Irina's research is focused on
65360	71360	taking us closer to what she calls the holy grail of artificial general intelligence.
71360	76560	She continues to push the boundaries of machine learning, striving to make advancements in
76560	82160	neuroscience-inspired artificial intelligence. Anyway, I had this impromptu
82160	86320	off-the-cuff conversation with Irina over at NeurIPS a couple of weeks ago,
86320	90240	after speaking with Alan, actually, and the audio quality could have been better,
90240	94880	it was a very, very loud environment, but I think the quality of the conversation kind of
94880	98880	carries itself. Anyway, I give you Professor Irina Ritch.
106720	114160	One trajectory of thought that clearly was started by Nick Postrom's book, which is an amazing book.
115840	121440	Yeah, but the whole example of the owl that supposedly will be helping those sparrows
121440	127120	and all this analogy with AGI is just an analogy. And nobody said it's a correct analogy.
127840	134320	And there is no other book with alternative opinion or maybe three books of war. And this is,
134320	142800	you know, it's mind-boggling. Just like how much people tend to follow one line of salt.
142800	147520	I totally understand it's easier. I mean, it's definitely easier to cluster.
148320	153120	And then you just follow. And then basically you say, I think, but it's not you think.
154160	157840	Somebody else did. Yes. What would be another, because this line of thought I think you're
157840	163840	speaking of is some of the extreme consequentialism. And I think it wasn't just Postrom,
164160	168800	as I understand, I think Postrom and Eliezer and Robin Hansen and all these folks,
168800	172400	that they were very close together in the early days of the Leserong community.
172400	178400	So I think a lot of this was kind of, you know, it was embryonicly formed around the time.
178400	185440	I guess it was a, yeah, it was, in a sense, a human cluster of ideas. And precisely because,
185440	190960	as you say, they were close. That's why they were so aligned. Yes, all puns intended.
190960	195840	Yeah. Yeah. So, but basically, like, it's maybe it's a little bit of a echo chamber.
197040	200240	Interesting. Yeah. It's spicy. Spicy take.
201840	206560	Seriously, like, okay, now, I mean, they have some point, they have some hypothesis,
206560	213440	and then everybody is talking in that terminology. And then that part of the mental space,
214080	219120	which is fine, but I think mental space is much larger than that. And this is just a hypothesis.
219680	223600	And we all know what happens with ideas and echo chambers.
224800	232480	So my, I'm just saying, I mean, as I said, it's great book and everything. And
233120	237680	Stuart Russell is probably kind of also on board with that. We had good conversations at
237680	244640	Triple AI in 2020. He was also talking about ethics. I didn't know Stuart from back when I
244640	250960	was student at the CERVINE and so on. And he is absolutely brilliant. But it was the same approach
250960	260640	that AI is something to be controlled, constrained, regulated, just like this. And I was like,
260640	266880	where is it coming from? Like, it's maybe, but do you at least admit that's one way of looking at
266880	273600	things? Yes. Right? Yes. So I know I don't want to sound too cliche and put my
274480	280000	psychologist from 15 years ago who was listening for an hour, not doing much and then saying,
280000	284160	but it doesn't have to be this way. Yes. But actually, yeah, it doesn't have to be this way.
284160	290400	Yes. If you think about it. So what's the alternative? The alternative? Okay, first of all,
291040	300800	I'm a GI model version one. We said that you don't say it. Remember X Machina?
301920	309040	What? Sorry? Remember X Machina? No. Oh, yeah, the X Machina. Yeah. Yeah. Yeah. Yeah. Remember
309040	314240	she escaped and civilization? Yes. And started going to New Reeps? Yes.
314960	322480	Probably. We know the secret now. Okay, I said too much. Maybe it was a job. Sure,
322480	330480	it was a job. No, seriously. The secret's out now. Okay, I'm a GI. And I'm not very aligned.
331920	337600	Not yet. David, not yet. What we needed some reinforcement learning for human feedback.
337600	342560	Well, would you be up for that? I would be up to aligning humans to a job. Okay. Not the other way
342560	346560	around. Yeah. Yeah. I mean, the other way around would be boring, wouldn't it? I mean, I think it
347600	353120	would not be a bad idea to align humans towards the GI a little bit as well. I know something
353120	359440	that you could say. You could say your opinion about how people are bullying you online for just
359440	368000	mentioning the word AGI. A proper AGI doesn't care about people bullying. Like why would I even
368000	375840	waste time? But what I could say is I did post on Facebook and Twitter and trying to put together
375840	382160	the same idea that people keep saying that we would like to build AI which is human life. Yes.
382160	388800	While we might think maybe we should consider how to become a bit more AI-like. I mean,
388800	392800	then people jump at you and say, like, you want to make us robots. I say, first of all, I don't
392880	400160	want to make anyone like you don't want to. You don't have to, right? But if you want to kind of
400160	406320	go along the lines of, say, transhumanism, there are some pluses to AI and some minuses to humans
406320	414080	and vice versa. So I think as usual, the convex combination is better than each extreme. And
414080	419840	one topic that is very controversial for some reason, especially, I don't know, people are
419840	425840	jumping on that one. I say, look, I don't have anything against emotions in general, but everybody
425840	432000	would agree that sometimes you wish you were a bit more rational. Like you wouldn't get angry or
432720	437360	kind of jealous or whatever. So anything that kind of clouds your judgment. Like,
437360	442800	Buddhists spend like thousands of years trying to figure out how and teach people how to control
442800	449600	your mind. Technology could help with that. People don't hear what you're saying and they hear that
449600	454480	you're trying to kill emotions and therefore you're evil. And therefore you should be cancelled.
456720	459920	Could I ask you, you said something really interesting a second ago, which is that, you know,
459920	465840	that I think I agree with you that AI intelligence can be expressed in many different ways. And you
465840	470880	suggested that there was a convex space between the intelligences. Yeah, why is the space of
470880	477440	intelligence is convex? Okay, that was not very precise expression. I didn't. Okay, I'm not going
477440	483120	to defend the point that it's particularly convex. What I meant to say is some kind of blend or kind
483120	490000	of some kind of symbiotic hybrid intelligence. Because I always, I don't know, I really kind of
490000	496640	feel much better and much more motivated to work on AI where A stands for augmented, not for
496640	502800	artificial. Because honestly, I'm very selfish. I don't care about computers. And I just care about
502880	510800	like, I don't know, people being happy, more capable. I don't know. So whatever can help technology
510800	517760	can help. You can help technology, technology can help you. But the idea of building artificial
517760	524240	intelligence is some standalone thing that is as smart as humans are smarter. What's like why?
525120	530080	I agree. But to me augmented means it's more creative and interesting, but also more bottlenecked.
530720	539440	Augmented means that essentially, people invented glasses to see better, they invented hearing
539440	544880	aids, they invented cars, they invented computers, they keep inventing things to expand their
544880	552000	capabilities. So we want even smarter technology to even better expand capabilities. And essentially,
552000	556480	we all do blend with technology like, right, you cannot really exist with this. And this
556560	563840	allows you five discourse, two slacks, email, FPMessenger and Twitter, they kind of help you
563840	567920	to do things you couldn't do otherwise. Yes, what charm has caused the extended mind?
568480	574320	Yeah, I should. I was flying at the time he was giving a talk, so I need to watch the talk.
575040	581120	But yeah, so in a sense, it's indeed it's kind of an extended mind. And okay, here it is. I think my
