start	end	text
0	5720	Hi, I'm Peter Domingos, I'm a professor of computer science at the University of Washington
5720	11240	and machine learning researcher, probably best known as the author of the master algorithm,
11240	14480	popular science introduction to machine learning.
14480	20680	I'm here at NeurIPS 2022 of the vast amounts of stuff that's happening here.
20680	26020	The two that I found most interesting and are closest to my own research are Neurosymbolic
26020	28520	AI and symmetry-based learning.
28520	33440	Okay, Professor Pedro Domingos, it's an absolute honor to have you back on the show.
33440	38840	Pedro is a professor at the University of Washington and give us a quick introduction
38840	44880	to yourself, to your experience here in Europe so far and what's top of mind for you?
44880	48680	I'm a machine learning researcher, I've worked in most of the major areas.
48680	54160	I've also written a popular science book on machine learning called the Master Algorithm.
54160	59200	I'm having a lot of fun here at NeurIPS, listening to various talks like David Chalmers
59200	65320	on Consciousness and Geoff Hinton on Sleep and looking forward to the rest of it.
65320	70480	Awesome, I'd love to get your thoughts on Chalmers in a bit actually, but the first
70480	76000	thing I wanted to talk about just because it's top of mind is this whole galactica situation.
76000	80360	So first of all, I was speaking with Ian the other day and I think it's a little bit unfair
80360	83720	that Meta really bear the brunt of this.
83720	89440	OpenAI have just released this new chat GPT bot which suffers from similar failure modes
89440	94240	and it just kind of feels that they're not getting anywhere near as much stick as Meta is.
94240	102040	Well I think, I agree with you, I think the brouhaha about galactica is way overblown.
102040	104480	That system is really largely harmless.
104480	108400	It's just another large language model that's designed for actually something that to me
108400	110960	as a scientist is very interesting.
110960	115560	I would love to have a system like that to help me out with certain things and I think
115560	120920	it's a step in the right direction and I think the brouhaha however is an instance of people
120920	126280	jumping the gun on a lot of these AI things in a way that to me is very excessive.
126280	131400	Having said that in a way they set themselves up for it in a way that they need and have,
131400	137560	they kind of over claimed what it did and the problem with these LLMs is that they generate
137560	142560	a lot of stuff that looks good but can be completely wrong and in a way there's no worse
142560	145600	place to do that than in writing scientific articles.
145600	150320	So when they came out with it, they should have been more careful about how they frame
150320	151320	it.
151320	154520	I think they took concerns sort of like this competition and one upping each other on who
154520	159800	comes up with the frilliest demo and that kind of backfired.
159800	165200	So they shouldn't have had to withdraw it.
165200	170840	I think that's all pathetic and hopefully they've learned the lesson that next time
170840	172520	they will do it slightly differently.
172520	173520	Yes.
173520	174520	Okay.
174520	175520	Okay.
175520	179880	Well, so Gary Marcus has been very loud about this on Twitter so he's really pushing
179880	185160	the point about misinformation and the thing is as well I don't want to characterize the
185160	189160	ethics folks as having monolithic views because they don't have monolithic views and I also
189200	192880	think that a lot of the ethics guidelines for large language models are very reasonable.
192880	196840	Like I interviewed the CEO of Coheir the other week, Aidan Gomez.
196840	200800	I went through their terms and conditions and policies all very reasonable.
200800	203360	The only sticking point for me is the misinformation one.
203360	211720	I think the kind of the moral valence of it is in its use and especially with misrepresentation.
211720	215360	I don't like this paternalism telling me what's good for me.
215360	218160	I've just lost out on using a really cool tool basically.
218840	219880	I completely agree with you.
219880	221120	I would take it even further.
221120	226400	I do not want other people deciding for me what is misinformation and what is therefore
226400	229200	allowed to be said because it's misinformation or not.
229200	230200	For a couple of reasons.
230200	234040	One is that these people who claim to be big critics of misinformation, a lot of them
234040	236680	are misinformers themselves.
236680	242120	And the bottom line is that you always have your ideology that informs what you think
242120	244000	is true and false.
244000	250520	And I don't want anybody, every one of us in a democracy should be deciding for themselves
250520	253800	what is true and what is false and what is valid and what isn't.
253800	260320	And I have no fear of attempts to misinform me as long as I have a multiplicity of sources.
260320	266360	The biggest misinformation danger is when you have only one monolithic source of truth,
266360	270760	whatever it is, which is unfortunately what a lot of these anti-misinformation people,
270760	273720	I think consciously or unconsciously want.
273720	276800	Give me 10 things, 9 of which are misinformation.
276800	279960	I can do the job of figuring out which one I think is valid.
279960	283880	Give me only one of those things and chances are 9 in 10 that it is misinformation and
283880	285640	then I have no chance to overcome it.
285640	289880	So this whole attack on things because they're misinformation.
289880	295120	And I mean, I understand the impulse that like, why have all this falsehood flying around?
295120	299080	But the way to overcome that falsehood is not by censoring it.
299080	300880	You should know this, right?
300880	305280	You should be having to refight all of this over again in the context of social media
305280	309200	and large language models and so on.
309200	313000	So you said something really interesting, which is that this notion of a pure truth
313000	319560	or a monolithic truth, and there's this concept of epistemic subjectivity, right?
319560	325240	Or things observe a relative, even complex phenomena like intelligence.
325240	326480	No one understands what it is.
326480	328440	You can't reduce it to one particular thing.
328440	329960	People have different views on it, right?
329960	335440	So this notion that there is a pure monolithic truth of the world, I think is horrifying.
335440	339880	Well, I would put it slightly differently.
339880	344000	So first of all, there's a question, is there one reality or not, right?
344000	347080	Is there truth or is there my truth and your truth, right?
347080	351520	And actually, I understand the impulse to talk about my truth and your truth, but I
351520	354080	think as a...
354080	355200	So what is really true?
355200	356360	We don't know.
356360	357760	But as a...
357760	363880	I think the most useful, including socially useful working hypothesis is that there is
363880	368680	a single reality and the single truth, but it's extremely complex.
368680	371440	So no single one of us can get at it.
371440	375280	So what we need is many different people coming at it from different angles.
375280	378960	But with the premise that we need to try to make these things consistent.
378960	383640	So just saying, oh, we have different truths and there's no reality, that is actually very
383640	388080	counterproductive because it gives everybody a pass to just believe whatever wacky thing
388080	389080	they want.
389080	392840	And then the consequences of that when you have to make the real decisions are very bad.
392840	396640	At the same time, I agree with you.
396640	401080	If I think that I have access to that truth and everybody just needs to, you know, count
401080	402680	out to it, that is very dangerous.
402680	406960	So I think we need to entertain these two ideas that there is a truth, but it's very
406960	409680	complex and no one has a monopoly on it.
409680	414360	And the key is, you know, like objective truth is what different observers can agree on.
414360	416600	And now we can figure out what it is that we agree on.
416600	419280	And that way we make progress in understanding reality.
419280	423800	And we also tend to make more of the right decisions because we're closer to the truth.
423800	424800	Okay.
424800	429600	But do you see it as, I mean, I think the reality thing is interesting, but do you just see
429600	432280	it cynically as gatekeeping?
432280	434520	As in having a clerical class control?
434520	435520	Oh, absolutely.
435520	436520	No, absolutely.
436880	442960	That's precisely the danger that I was referring to is that if you, let me put it this way.
442960	447920	If ever there is, and this is a commonly mooted proposal, right, and not even proposed like,
447920	453280	are we going to have a truth commission of people who decide what is true on whatever,
453280	455160	Twitter or something, right?
455160	460760	That is a really alarming thing because there is no commission that can do that.
460760	464120	What they're going to do is they're going to impose their version of reality on everybody
464120	467640	else, which unfortunately is what a lot of these people want to do.
467640	470600	They convince that they have the truth and they want to impose it on the rest of us.
470600	472040	And that is really alarming.
472040	475200	We know historically what happens when people succeed in doing that.
475200	476200	Yes.
476200	477200	Yes.
477200	480480	But I suppose my point with the gatekeeping is it almost gets you to the actual truth
480480	482120	of the matter is irrelevant.
482120	483760	It's actually about power.
483760	487920	But what's your take on, I don't know whether you think this is putting it too strongly,
487920	493800	but this being a form of industrial kind of gaslighting, kind of, you know, in an Orwellian
493800	499000	sense, trying to shape people's reality through, you know, language, culture and interactions
499000	500520	on the internet.
500520	503600	I think a lot of it is deliberate.
503600	509720	Some of it is, I mean, I'm an optimist about human nature at the end of the day.
509720	512720	Maybe in, you know, maybe with justification, maybe without.
512720	518200	I think so there's this postmodern view that it's all about power and it's certainly partly
518200	519200	about power.
519200	524600	I think a lot of the people doing this, unfortunately, or maybe fortunately, they are, they're not
524600	526880	seeking power for its own sake.
526880	529760	They have a set of beliefs that they think is right.
529760	533120	And then the means, you know, they unjustify the means, right?
533120	534120	That's the problem.
534120	541480	So that gatekeeping, you know, and that gaslighting happen not because, not for their own sake,
541480	542880	they happen for the sake of a cause.
542880	547080	And now there's two problems with this is that these days the causes on behalf of which
547080	550440	this is being done, in my view, are largely wrong, right?
550440	552160	But whether they're right or wrong, right?
552160	555480	The problem is that this is just noxious in its own right.
