start	end	text
0	10000	Now PA says question for Neil, how does he see interpretability playing a role in AI security, not alignment, for example,
10000	18000	crafting more exotic jail breaks, and he says to tell you to blink twice if you can't answer due to an NDA?
19000	30000	Yes, sorry, jokes aside, what was the question?
30000	43000	So, there was this beautiful meme where you draw ChachiPT as a Shogoth, an eldritch monstrosity from Lovecraftian horror fiction,
43000	48000	with a smiley face on top, because language models are bizarre and confusing things.
48000	53000	That are just, I don't know, they're kind of a compressed version of the entire internet.
53000	57000	That will do bizarre things in bizarre situations.
57000	62000	But then OpenAI tried really hard to get it to be nice and gentle and a harmless assistant,
62000	70000	and look so normal and reasonable and safe, which is the smiley face mask on top of the underlying monstrosity.
70000	77000	But unfortunately, the smiley face mask means people don't realise how weird language models are.
77000	83000	Have you ever stopped to think how strange it is that we're all alive right now?
83000	88000	Out of all the possible times in history, you were born into this generation.
88000	95000	You have the incredible fortune and responsibility of being on the Earth today.
95000	102000	Let's not waste this opportunity. You can use this time to do something meaningful that'll make the world a better place.
102000	113000	But the problem seems so huge. Global pandemics, climate change, the risk of nuclear Armageddon, the threat of AI existential risk.
113000	118000	How can one person have an impact on issues this enormous?
118000	122000	The world is really, really complicated.
122000	130000	Like, if you want to understand a question like, how big a deal is AJAX risk, or should I work on it?
130000	137000	Just like one sub-question I care about is AI timelines. How long until we get human-level AI?
137000	145000	Now, I recently discovered 80,000 hours. They're a non-profit, effective altruism-aligned organisation.
145000	153000	And what they do is they use evidence and analysis to determine how people can have the biggest impact with their careers.
153000	158000	If you want to solve humanity's biggest problems, you have to start at the very core.
158000	166000	We need to focus on safeguarding humanity's entire future, because if civilization just came to an abrupt end,
166000	175000	whether through climate change or nuclear Armageddon, or even AI existential risk, then all progress would just end.
175000	181000	Future generations wouldn't have a chance of building a better world or reaching their full potential.
181000	191000	And the good news is that 80,000 hours have identified a couple of concrete steps so that folks like you can use your careers to combat existential risk,
191000	197000	ensuring that humanity's light continues to shine for generations to come.
197000	201000	Learn more by visiting their website on 80,000hours.org,
201000	208000	grab their free career guide, start planning a career with true purpose.
208000	213000	Because you only have 80,000 hours, so make them count.
213000	218000	There's no catch, there's no secret monetization or anything like that.
218000	222000	These folks have an incredible podcast, they have lots of materials that you can download,
222000	227000	basically to help you have a huge impact with your life and your career,
227000	234000	especially if you're someone who really, really thinks about humanity and our plight in the long-term future.
234000	237000	This is really something you should be looking at.
237000	238000	That is a question.
238000	240000	Right, Nick, Eat The Path.
241000	250000	He says, in broad question, do you see mech interp as chiefly theoretical or an empirical science, and will this change over time?
250000	252000	Yeah.
252000	260000	I see this as very much an empirical science, with some theories sprinkled in, but you need to be incredibly careful.
260000	266000	So fundamentally, I want to understand a model, and I want to understand how the model works.
266000	271000	And a sad fact about models, is models are really fucking cursed.
271000	281000	And just work in weird ways that aren't quite how you expect, which represent concepts a bit differently from how I expect them to.
281000	285000	And just do all kinds of weird stuff I wouldn't have expected until I went and poked around inside of them.
285000	292000	And I think that if you're trying to reverse engineer a network, and you don't have the capacity to be surprised by what you find,
292000	296000	you are not doing real mechanistic interpretability.
296000	305000	It's so easy to trick yourself and to go in with some bold hypothesis of this is what the network should have, and you probe for it, and it looks like it supports that,
305000	307000	but you take further and you are wrong.
307000	311000	And yeah, I think there is room for theory.
311000	318000	I think in particular, we just don't have the right conceptual frameworks to reason about how to understand a model.
318000	322000	And we'll get into fundamental questions like superposition later on.
322000	330000	But yeah, I think that theory needs to come second to empiricism.
330000	335000	If your theoretical model says x and the real model says y, your theory was wrong.
335000	338000	Which is the story of all of machine learning.
338000	342000	So Goji Tech, she says question for Neil.
342000	347000	Does he think a foundational understanding of deep learning models is possible?
347000	352000	And does that extend to prediction using a mathematical theory?
352000	355000	Possible is such a strong word.
355000	361000	Like, if we produce a super intelligent AI, will it be capable of doing this?
361000	363000	Probably.
363000	371000	In terms of foundational understanding, I think there are deep underlying principles of models.
371000	376000	I believe there are scientific explanations for lots of the weird phenomena we see,
376000	382000	like scaling laws, double descent, lottery tickets, the fact that any of this generalizes it all.
382000	389000	I'm hesitant to say there's some like strong things here or some strong guarantees.
389000	393000	Like, I don't know, models are weird.
393000	397000	Sometimes if you change the random seed, they will just not learn.
397000	404000	I'm pretty skeptical of basically all mathematical and theoretical approaches to deep learning,
404000	410000	because the moment you start trying to impose axioms and assumptions onto things
410000	415000	and they do not perfectly track the underlying reality, your theories break.
415000	419000	But I'm very hesitant to say anything's impossible.
419000	423000	And I think there's far, far more to learn than we have, looks like.
423000	428000	Now, finally, Jumbo Tron, Ian, he says, oh, heck yeah!
428000	430000	I'm glad to see that you brought this guy on.
430000	433000	I've been interested in his work ever since you shared his blog.
433000	438000	Now, the question off the top of Ian's head is, how does your theory, Neil,
438000	441000	of chasing phase changes to create grokking,
441000	445000	have any crossover or links with power law scaling techniques,
445000	451000	like in the scaling laws paper, beyond the scaling laws, beating power law scaling via data pruning?
451000	457000	Yeah, that is...
457000	460000	So we're going to get into this much more later in the podcast.
460000	468000	At a very high level, I would say that grokking is in many ways kind of an illusion, as we'll get to later.
468000	474000	And one notable thing about it is grokking is an overlap between a phase transition,
474000	478000	where the model goes from cannot generalize to can generalize fairly suddenly,
478000	484000	and the phenomena where it's faster to memorize than to generalize.
484000	491000	And these two things on top of each other give you this sudden memorization and failure to generalize,
491000	494000	followed by a sudden convergence later on.
494000	498000	But the interesting thing here is the phase transition.
498000	502000	That's a much more robust result, while grokking is, if you screw around with high parameters enough,
502000	506000	you get it to grok, but it's very delicate and a little bit of an illusion.
506000	511000	And this is a great paper from Eric Michaud in Max Tecmox lab,
511000	518000	showing that, well, providing a conceptual argument and some limited empirical evidence
518000	522000	for the hypothesis that the reason we get these smooth scaling laws
522000	530000	is that models are full of lots of phase transitions, plausibly when they learn individual circuits,
530000	534000	though the paper does not explicitly show this,
534000	540000	and that the smooth scaling laws happen because there are just many, many phase transitions,
540000	545000	and if they follow a certain distribution, you get beautiful smooth powers.
546000	553000	And to me, this kind of thing is the main interesting link
553000	558000	between broader macroscopic phenomena and these tiny things,
558000	563000	though I also think grokking is kind of overhyped and people significantly overestimate
563000	567000	the degree to which it has deep insights for us about how networks work.
567000	573000	And we do think it's a really cute thing that gave me a really fun interactability project.
573000	576000	And we learned a bit about scientific deep learning,
576000	580000	but people often just assume it's like a really deep fact about models.
580000	587000	By the way, there was something I didn't say in the woods, which is that Neil has an amazing YouTube channel.
587000	592000	I've been glued to it all week, actually. Some of them are admittedly quite technical,
592000	595000	but even if you're not interested in mechanistic interpretability,
595000	600000	Neil has an extremely soothing voice, second only to Sam Harris,
600000	602000	and I would recommend listening to him when you go to sleep,
602000	609000	because as Neil's dulcet tones will melt the stress away quicker than a nun's first curry.
611000	617000	Anyway, with that said, we started to talk about what is mechanistic interpretability.
617000	621000	And first of all, I wanted to call out your ridiculously detailed
621000	625000	and exquisite mechanistic interpretability explainer.
625000	627000	Maybe you could just tell us about that quickly.
627000	633000	Yes, so I wanted to try to write a glossary.
633000	638000	There's some basic common terms in mechantup. It's like an appendix to a blog post.
638000	641000	There were a lot of terms in mechantup.
641000	644000	There were a lot of terms in mechantup.
644000	649000	And I like writing and I write about it privately, so I got kind of carried away.
649000	654000	And there's about 33,000 words, a massive, massive exposition.
654000	658000	But importantly, it is designed to be easily searchable.
658000	663000	And mechantup is full of jargon and I'm sure I'll forget to explain everything that I'm saying.
663000	667000	So I'd highly recommend just having it open in a tab as you listen to this.
667000	670000	And if you get lost, just look up terms in there.
670000	674000	And yes, it's both definitions, but it's also long tangents,
674000	679000	giving intuitions and context and related work and common misunderstandings.
679000	682000	It was very fun to write.
682000	687000	So I think first of all, we should introduce this idea of circuits and features
687000	693000	and also this idea of whether interpretation is even possible at all.
693000	697000	Why do you have the intuition that it is possible?
697000	703000	Yeah, so a couple of different takes here.
703000	706000	So the key, yeah.
706000	712000	So fundamentally, neural networks are not incentivized to produce legible interpretable things.
712000	714000	They are a mound of linear algebra.
714000	723000	There's this popular stochastic parrots of you that they are literally a mass of statistical correlations meshed together with no underlying structure.
723000	730000	The reason I think there's any hope whatsoever on a theoretical basis is that ultimately,
730000	737000	they are made of linear algebra and they are being trained to perform some tasks.
737000	743000	And my intuition is that for many tasks, the way to perform well on them is to learn some actual algorithms
743000	750000	and like actual structured processes that maybe from a certain perspective you could consider reasoning.
750000	756000	And models have lots of constraints like they need to fit it into these matrices.
756000	763000	They need to represent things using the attention mechanism and jellies and a transformer.
763000	770000	And there's all kind of properties of the structure that constrain the algorithms and processes that can be expressed.
770000	775000	And these give us all kinds of hooks we can use to get in and understand what's going on.
775000	777000	So that's the theoretical argument.
777000	780000	All theoretical arguments are bullshit unless you have empirics behind it.
780000	788000	And we're going to talk a bunch throughout this podcast about the different bit of different preliminary results we have
788000	792000	that make me feel like there's something here that can be understood.
792000	798000	What I find particularly inspiring is this work it did reverse-end during modular addition, which I think we'll get to shortly.
798000	803000	But I also want to emphasize that I rather see mech and turp as a bet.
803000	811000	There's this stronger hypothesis that if we knew what we were doing, we'd be able to take GPT-7 and fully understand it
