start	end	text
0	5680	He moved to Indiana University in 1989, where he obtained his PhD in philosophy and cognitive
5680	11360	science, working for the legendary Douglas Hofstadter, by the way. I've got his book here
11360	16880	in the Center for Research on Concepts and Cognition. Douglas, by the way, is one of the most
16880	21360	legendary figures in the AI space. We also had the pleasure of interviewing one of his other
21360	27120	PhD students, Professor Melanie Mitchell. Now, David recently wrote this fascinating book called
27120	34960	Reality Plus. In that book, he discussed the three central philosophical questions, actually.
34960	40320	The reality question, which is to say, are virtual worlds real? His answer to that is yes.
40960	45600	The knowledge question, which is to say, can we know whether or not we're in a virtual world?
45600	53440	His answer to that is no. Also, the value question, which is to say, can you lead a good life
53440	59280	in a virtual world? And his answer to that is a resounding yes. Now, you probably also heard
59280	64800	of this notion of an extended mind, something which David formulated with Professor Andy Clark,
64800	71360	and they described the idea as active externalism, based on the active role of the environment in
71360	76400	driving cognitive processes, or put simply, you might think of your phone as being an extension
76400	81680	of your mind, for example. What was it like to work with Douglas during your PhD? Oh, he was great.
81680	91200	He was so interested in so many things. It was officially, it was an AI lab, and most of the
91200	96640	people there were AI researchers. You mentioned Melanie Mitchell. She was my colleague there.
96640	104800	Bob French, who's done important work on AI, Gary McGraw, Jim Marshall, Wong-Pay, and others.
105760	109920	I was the only philosopher. People were interested in so many things, whether it was,
110640	119920	we had workshops on humor, or creativity, on mathematics, on politics, on everything,
119920	126800	as well as all the stuff on AI, analogy, concepts. It was also a very exciting time to be there,
126800	137440	because this was one of the, in the boom and bust cycle of machine learning and of neural
137440	144240	networks. This was one of the boom periods, the early 1990s. The PDP books had just come out,
144240	151360	parallel distributed processing by Rubble Hart, McClelland, and Hinton. There was so much excitement
151360	159120	about the capacities of neural networks. I ended up writing a few papers on machine learning
159120	164720	back then. One was on the evolution of learning systems. One was on getting machines to learn
165360	174080	structural generalizations. All with fairly basic neural networks. A few years after that,
174080	179760	the bottom fell out of neural networks for another 15 years or so, but this was a very
179760	184480	exciting period to be there. One thing about Doug that you don't quite get from his books,
186720	191280	his books, he's so enthusiastic about everything. He's not into all these ideas and so on, but it
191280	198000	turns out there's 5% of things in the world or 1% that he's enthusiastic about. The other 99% he hates.
200400	207040	He's like, he likes certain approaches to AI he loved, but even neural networks, he was like,
208160	215520	he was not a big fan of most research in neural networks back then. He said,
215520	220560	I think it was a, this is a bandwagon or even he said a bad wagon. Likewise for philosophy,
220560	224320	there's bits of philosophy he loves. There's a lot of it. There's a lot of it he doesn't like.
224320	230160	So maybe in person, you get more of a, more of that very opinionated side, but really he's a,
231520	236080	he's just, you know, that book Go to Lesha Bark was just, I mean, it was what drew me into philosophy
236080	241680	and AI as a teenager and it's so rich. And you go back to that book, there's still so many ideas
241680	245920	there. The Mind's Eye is another book he edited with Dan Dennett. It was reading the Mind's Eye
245920	251280	that really first got me thinking about issues about consciousness and the mind-body problem.
251280	255840	So yeah, he's a very rich thinker. Yeah. Well, thank God for Douglas Tostata.
255840	261040	Yeah, I love the Mind's Eye. It has one of the, one of the eeriest stories of all. What was it?
261040	266080	The riddle of the universe and its solution where there's, there's some image or some text that if
266080	271600	you read it, it causes your brain basically to core dump. And so it becomes this infectious thing
271600	275920	where anybody who goes into that office and reads that thing, they just crash and they never,
275920	280320	they go into a coma and they never wake up again. And so, you know, there's a huge investigation
280320	284560	to figure out what's going on and more and more people keep going into comas, you know, because
284560	290400	of this crazy ideas in that book. Could I just pick up on this point because you were saying that
290400	294640	Douglas Tostata turned his nose up at Neural Networks. And I hope he still would actually,
294640	298480	and Melanie Mitchell certainly does. And I mean, Douglas had that paper out called
298480	303520	The Core of Cognition. He was always huge about this idea of the primacy of analogy making.
303520	308000	And actually, there's a few researchers today that are mirroring that, that idea that Francois
308000	312880	Chollet, for example, he says intelligence is literally sensitivity to abstract analogies.
312880	317040	It's not memorizing the internet. So I think, thank God that we do have people out there
317040	321680	thinking slightly differently because the modus operandi today is that we need to build a big
321680	326240	hash table of everything. And even the way we formalize intelligence, as we were just saying
326240	331840	previously, we're not really paying attention to why or how the things do what they do. We're
331840	335760	just looking at the behavioral output bit like the Turing test, as long as it looks and smells
335760	342720	like a duck, then it must be a duck. So thank God for Douglas Tostata. Yeah, I think he's always been
343360	348880	at the same time an enthusiast about the possibility of AI while being somewhat skeptical
348880	356000	about the capacities of existing AI and about the kind of hype that suggests that AI might just be
356480	361680	10 or 20 years around the corner. So in the early 90s, I think, yeah, that was,
363040	368080	that was especially, especially natural. Back around then, people would say a year spent working
368080	373360	in AI is enough to make you believe in God. It was so hard to get anything even like
375680	380560	any kind of intelligence out of an AI system. And I think, you know, Doug was equally skeptical
380560	386720	of both the symbolic and the connectionist on neural network approaches back then.
387840	392880	I think ultimately his sympathies lay with it on the neural network side of things,
392880	397200	with the idea that intelligence could in principle bubble up from a million, you know,
397200	402000	from 100 billion separate little interactions, intelligence could bubble up from there. But
402000	407520	I still think he'd be inclined to think that current approaches are too statistical, too simple,
407520	413760	and so on. That said, you have to look at the, at the progress in machine learning over the last
414800	418400	10 years. And it's been amazing and surprising. And I think even somebody like,
419280	422800	even people like Melanie or like Doug are going to have to say this has been
422800	428400	something they did not expect. And that they did not predict. So I actually, I was back in
428400	434480	Indiana just over two years ago, just before the pandemic got going February 2020. And
435440	438720	I don't know, maybe that was before GBT three, but still there've been all these amazing
439840	444880	developments in machine learning over the last few years. I asked Doug about this,
444880	448720	and what do you make of this? And because he's on the record of saying, you know,
448720	453360	there will be AI eventually, but it's going to have to be involve all these new kinds of complexity,
453360	457680	not not something simple like this. And he says, Yeah, well, this is, this is troubling.
457680	461760	This is concerning, you know, it could be, I don't know yet, but it could be that I was wrong.
462320	467440	It could be there are simpler passes, paths to AI. And his attitude was that would be very
467440	472400	disappointing. It turned out that you could actually train up an AGI, just using those
473120	477440	simple methods to human levels. That would make, I think Doug's view was that would make kind of
477440	484560	human level intelligence less, less grand and remarkable than, than he had thought. Well,
484560	489360	actually, back in, back in Goethe-les-Sherbach, I think he said that even to have a machine that
489360	494000	could beat a human at chess, it would have to be good at everything would be a good composer,
494000	499040	it could tell jokes and so on. Okay, that one, that view got rolled out back in the,
499040	507920	back in the 90s. So the question is, you know, is this, is this ever growing progress of just,
507920	511200	of the kind of machine learning that says just throw a whole lot of compute,
511200	516240	and a whole lot of data at it, and see what happens. Is that eventually going to get us to
