start	end	text
0	6560	You know, I have this paper, Conscious Exotica, in 2016, and then I joined DeepMind in 2017,
6560	11760	and at that point I'd been thinking and writing quite a bit about consciousness up to that point.
11760	16720	But then I sort of stopped, because I thought I didn't think it seemed appropriate for somebody
16720	21280	working in a corporation to be talking about consciousness, especially in the context of AI,
21280	25280	because it might sound like, you know, we're trying to build conscious AI, which I don't think is a
25360	30480	good look, or a particularly good project, I'd say. The thing is, with today's generation of
30480	35920	large language models, I think it's becoming increasingly difficult to avoid the subject,
35920	40800	because people, whether we like it or not, will ascribe consciousness to the things that they're
40800	46560	interacting with. And we see this left, right and centre. Even people who know exactly how they work
47520	51920	say things like, well, I think their large language models are a little bit conscious,
52000	60080	Ilya Tsutskava said, and we had the Google engineer who ascribed consciousness to one of our models,
60080	65360	and I think we're going to see this more and more and more. And so whether or not, you know,
65360	70800	I think it is the right term, it is appropriate to talk about them in terms of consciousness,
70800	74880	it's going to happen anyway. So I think it's really important to actually think through
74880	81040	these issues and think, well, what do we mean when we use the word consciousness,
81040	87440	and how do we apply it to exotic cases? And this is really, really important.
87440	93520	How might our language change to accommodate these exotic and strange things that have come
93520	99360	into our lives? What goes through your mind when you speak with a language model? Who is it that
99360	105840	you think you're talking to? Do you anthropomorphise them? Now, Janice from Less Wrong a couple of
105840	110880	years ago, he put out an article called Simulators. And the basic idea is that a language model is
110880	118480	like a simulation machine, producing manifestations of role players, which we willfully anthropomorphise.
118480	124480	We think of them as humans. They're in perfect copies. They don't capture the essence. They are
124480	130720	glitchy, right? And actually, they wear masks. You know the Shogoff theory of language models,
130720	135760	where there's, you know, this big gnarly Shogoff, and then we do RLHF, and it's a smiley face on
135760	140640	the top. Well, that's the human mask, which we anthropomorphise. But we don't think enough
140720	147280	about what lies behind the mask. Do you know what lies behind the mask? It's a monster.
149280	156880	The danger of anthropomorphism, I think, is in thinking that a system such as a large language
156880	161840	model, you know, a chatbot or something, thinking that it has capabilities and that it doesn't.
162400	167040	It's as simple as that. Actually, it's also thinking, perhaps, that it lacks capabilities
167040	171520	that it does. So in both cases, I think we can go wrong.
177920	182480	We can go wrong by, because they exhibit very human-like linguistic behaviour,
182480	187680	we can just assume that they are going to be very human-like, in general, in all of the rest of
187680	196560	the behaviour that we encounter with them. We can find that, at one moment, a large language model
196560	202240	might make a ridiculously stupid mistake that no child would make. And in the next moment,
202240	205520	it's saying something extraordinarily profound philosophically.
209360	213680	And because that's what I think is actually going to happen and what needs to happen. I think we need
213680	222640	to find new ways of using the vocabulary we have, new forms of vocabulary. I've used the phrase
222720	227120	consciousness-adjacent language. So we need to find new ways of thinking and talking about
227120	235040	these things to recognise the fact that they do exhibit behaviour, which we're inclined to talk
235040	239600	of in terms of consciousness, and that, indeed, people are going to start to value as well.
240160	245200	So I think we do need new forms of language, new forms of thinking to accommodate all of this.
246000	251600	Yes, and our language is so adaptable that I think it's just a natural evolution.
251600	256160	When we have these new artefacts thrust into our lives, we will need to adapt our language.
256160	261280	We will, but I think there'll be some disruption while people disagree about how to talk about
261280	268160	these things, and that's inevitable, I think. Murray Shanahan is a printable research
268160	274720	scientist at Google DeepMind and professor of cognitive robotics at Imperial College London.
274720	281040	He was also educated at Imperial and Cambridge University. His publications span artificial
281040	286800	intelligence, machine learning, logic, dynamical systems, computational neuroscience,
286800	292320	and the philosophy of mind. He was scientific advisor on the film Ex Machina, and he penned
292320	299040	embodiment and the inner life in 2010 and the technological singularity in 2015.
299920	305840	Shanahan has spent his career understanding cognition and consciousness in the space of
305840	312560	possible minds. He said that this space of possibilities encompasses biological brains,
312560	319600	human and animal, as well as artificial intelligence. He worked in symbolic AI for over 10 years,
319600	325360	concentrating on commonsense reasoning, and he then spent 10 years studying the biological brain,
325360	330960	specifically how its connectivity and dynamics support cognition and consciousness,
330960	334800	and he developed a particular interest in global workspace theory.
335520	339760	After that, he went to DeepMind, he pivoted to deep reinforcement learning,
339760	345200	and recently he's been working extensively with large language models, trying to understand them
345200	351440	from a theoretical, philosophical, and practical perspective. Professor Shanahan, I was absolutely
351440	357360	fascinated when I read the article from Janus called Simulators. Could you sketch out the article?
358320	365120	Well, I can sketch out some elements of it. I was also very impressed and
365120	372160	influenced by that article. Basically, they are advocating a certain way of looking at
372160	377840	large language models and their behavior. What they say is that we should think of a
377840	385600	large language model as a kind of simulator, which is capable of simulating a kind of
385600	392480	language-producing processes of various sorts, and it's capable of simulating all kinds of language
392480	399360	producing processes, and in particular, it's capable of simulating people, humans, and it's
399360	404800	capable of simulating different kinds of humans, so humans who are playing different sorts of roles,
404800	413600	who maybe humans who are helpful assistants or humans who are crazy psychopaths,
414160	424160	and indeed in their way of thinking of things. These are all examples of Simulacra. Simulacra,
424160	429760	in their conception, include actually not only human beings, but anything that produces language
429760	436800	at all. Your base model can simulate anything that can generate language, if you like.
437600	444400	Of particular interest, of course, are humans and human language producers, so
445280	451600	the particular class of Simulacra that I'm interested in really are humans playing different
451600	459840	roles. In the work that I've been doing, I've been thinking of language models in terms of role
459840	470400	play and in terms of their ability to play a part, if you like, and so this is very much,
470400	478080	it was very much inspired and drew on this work of Janus. Now, they make another very, very
478080	485360	interesting and important point in that article, which is that they draw attention to the fact that
486320	490320	large language models, at any point in a conversation, in an ongoing conversation,
491200	495920	then the next word that's produced in this conversation, or the next string of words,
495920	502560	the next sort of sentence, is the product of a stochastic process. So what the underlying
502560	508160	language model actually generates is a distribution over the possible words that might come up next,
508160	513200	and then what you do is then you sample from this distribution to come up with an actual word,
513200	519280	and then that's the word that you give back to the user. So for example, if the favorite example
519280	528480	I use is if you ask the language model to tell you a story and it says once upon a time there was,
528480	533280	and at that point, it's going to generate, as in all the points up to that as well, it's going to
533280	537840	generate a distribution of the possible tokens that might come next, possible words that might come
537840	544320	next. So once upon a time there was, and it might say a beautiful princess, or a handsome prince,
544320	550000	or a fierce dragon, and it could say any of those things depending upon the sampling process.
550000	555200	And then the point is as you come back to that same, you could rewind the conversation, come back
555200	560000	to that point again, sample again, as we can all do with the interfaces that we have, and get a
560000	563440	different answer again, and take the whole story off in a completely different direction.
563600	570720	And so what they draw attention to is the fact that at any particular point in a conversation,
570720	578880	there's really a whole set of roles that are being played by the underlying simulation
578880	584960	at any one point, and the conversation shapes what role is being played. So in that sense,
584960	592160	it's sort of unlike a human being, because you've got, as they put it, a whole superposition of
592640	597680	simulacra that are all being simulated all at once. And as the conversation progresses,
597680	603520	then the actual distribution of simulacra is being narrowed down.
604080	608880	Yes, but as you say, you can view language models at the low level in terms of being
608880	614480	next-word generators, or what we strive to do in science is come up with explanations that
614480	620480	demarcate the thing very clearly. And this idea of the language model being a simulator,
620480	626240	which produces the simulacra, and you said in your role-playing article on Nature that
626240	630880	if you had a UI which was sufficiently advanced, you could actually play with counterfactual
630880	636640	trajectories and start to understand how sticky the simulacra are, because as you pointed out,
636640	642080	when the language model says I, sometimes it's talking about chat GPT or whatever,
642080	647440	it's talking about the simulator, sometimes it's talking about the simulacrum, and these things
647440	652880	are trained on everything on the internet, you know, structured narratology essays, novels,
652880	657920	and it's fascinating to see how you can jump between these different parts of the trajectory
657920	663200	structure. And in your Nature paper, you gave a beautiful example, which was the 20 Questions
663200	667120	game. I mean, would you mind introducing that? Yeah, sure. So I think we're probably all familiar
667120	673360	with the 20 Questions game. So one player thinks of an object, and the other player has to guess
673440	680960	what that object is by asking a whole bunch of questions with yes, no answers. So I might think
680960	686880	of, I might in my head think of a pencil, and then you might say, oh, is it larger than a house or
686880	690080	smaller than a house? And I say, well, actually, that's not a yes, no answer, but it's a binary
690080	695440	answer. Is it larger than a house? And you'd say, oh, no, you know, is it made of wood? Yes, is it
696240	700240	a tool? Yes, you know, and eventually you might guess the answer. So we're familiar with this
700480	706320	little game. And you can play this with a large language model, of course, and you can ask the
706320	712560	large language model to play the part of the setter who thinks of the thinks of the object,
712560	716560	and then you play the part of the guesser who tries to guess the object by asking questions.
717200	722800	Now, if you do this with a large language model, what if you do it with a person, if a person is
722800	727280	not cheating, as it were, they will think of in their head, they will think of an object,
727280	731680	and then they'll fix that object in their mind, and then they'll answer the question,
731680	736240	according to what object they thought of in advance. Now, but a large language model can't
736240	742640	really do that unless you use some hack or another. So what it really does is it just,
742640	746720	so you say to think of an object, and it says, I've thought of an object, it hasn't really
746720	753280	thought of an object, it's just issued the tokens to say that it has. But then you will ask a question
753280	759680	and you'll say, is it larger than a house? And it'll say no. And then eventually, if you say,
759680	764320	I give up, tell me what the object is, then it will say, oh, I was thinking of a pencil.
764320	769680	And it will indeed give you a, you know, typically will give you an object that's consistent with
769680	776560	all of the answers it gave to all of your questions. But then if you just wind back one and resample
776560	781360	and ask it again and say, I give up, what were you thinking of? It might say a mouse,
781840	787840	or, you know, or a bottle, or, you know, it could say something completely different,
787840	791280	which indicates that it was never, it had never really committed to any particular
791280	798320	object in the first place. And so what this shows is that in fact, in theory, you could rewind
798320	804560	further and it might actually give you a different answer to the questions if you rewind further,
805600	810960	to the same questions. And that's because what you've really got is you've got a kind of whole
810960	816080	tree of possibilities. And this sort of this stochastic sampling process at any point in a
816080	822000	conversation induces a whole tree of possibilities that branches forth from where you are right now.
