start	end	text
0	4320	On this episode of Marketing Against the Green, we talked to Matt Wolf.
4320	8800	Matt has one of the biggest and best YouTube channels, all about AI, and so we had to talk
8800	11720	to Matt all about apps and tools.
11720	17120	We get into the biggest AI winners, the biggest AI losers, and who are going to be the biggest
17120	18680	AI apps in the future?
18680	20720	Where should you invest your money?
20720	22800	I'm Kieran Flanagan, the CMO at Zapier.
22800	26600	I'm here always with my co-host, Kip Bonner, the CMO at HubSpot.
26600	27600	Let's get into it.
27600	40520	Okay, Matt, it is great to have you on the show.
40520	45440	I've spent a lot of hours watching your YouTube channel, getting all of the latest news, getting
45440	48920	all of the latest apps, so we're really excited to have you on the show.
48920	49920	Yeah, thanks for having me.
49920	52920	I'm excited to nerd out and chat with you guys about this stuff.
52920	54760	We're excited to steal your brain for a minute.
54760	55760	Yeah.
55760	56760	Get all of your AI knowledge.
56920	61520	I thought we could start with this, which is, how did you start in the YouTube AI space?
61520	62960	How did you end up there?
62960	64200	What was the tip and point?
64200	65560	What were you doing before that?
65560	67400	Just give us a little bit of the context, the background.
67400	68400	Sure, yeah.
68400	71840	I've been doing digital marketing stuff since 2009.
71840	77640	I quit my day job, so to speak, back in 2009, and have been all in on content marketing
77640	78640	ever since.
78640	80160	My YouTube channel started in 2009.
80160	85880	I started blogging in 2009, and then over the years, I was just testing all sorts of
85880	87280	different things.
87280	90480	I had an online course around how to drive traffic.
90480	93080	I've had online courses around podcasting.
93080	97560	My first course that I ever sold was about how to build blogs, and so over the years,
97560	99600	I was just testing different courses.
99600	103680	I got really good at affiliate marketing, and most of my income over the last decade
103680	108240	has actually come from affiliate revenue, from promoting other products and my content,
108240	113400	and so I've just been surfing around in the world of digital marketing and course creation
113400	118120	and just playing with whatever would work, and I had a lot of good months and a lot of
118120	122040	bad months where I didn't know how I was going to pay the bills, and it was just kind of
122040	129600	throwing stuff at the wall all the way up until 2022 when the AI stuff started to pick
129600	130800	up some steam.
130800	137280	So at the time, I had a top 1% podcast with my co-host, Joe Fear, called Hustle and Flowchart.
137280	141760	He's actually still running that podcast to this day, but him and I were podcasting and
141760	145880	interviewing other digital marketers and things like that, and we started to have people
145880	150120	come on and talk about some of these newer technologies that were coming out.
150120	155200	One of the first ones we came across was Jasper, which was like an AI copywriting tool.
155200	158720	At the time, it was called Conversion AI, and then it was called something that Marvel
158720	163320	sued him for or wanted to sue him for, and then it eventually became Jasper, so I learned
163320	169040	about GPT-3, and we actually started making content about GPT-3 and Jasper and some of
169040	174480	these AI tools back in 2021, but nobody was really paying attention to AI back then.
174480	180400	Nobody really cared about it, and then about mid 2022, I made a video on my YouTube channel
180400	184840	about AI art and various AI art generators, and this was actually before Mid Journey came
184840	185840	out.
185840	190160	I was talking about Dolly and some of the stable diffusion stuff that was available, and that
190160	191360	video started to do well.
191360	195000	It got a few thousand views, and I went, oh, that's better than any of the other videos
195000	196000	I put out.
196000	197720	Maybe I'll do another video on AI.
197720	203040	I did a video about how to train your own face into the AI using a tool called DreamBoost,
203040	205640	so you can make AI images with your own likeness.
205640	211440	That video doubled my best video and had 15,000 views, and I went, okay, I'm going to keep
211440	214040	going down this AI path.
214040	218400	Then the video that really took off was when Chat GPT was released.
218400	223360	I made a video around Chat GPT, and then that one, I remember, I made that video.
223360	228200	I published it at 10 p.m. on a Tuesday or something, and then went to bed, woke up the
228200	232280	next morning, and that video had 60,000 views, and I went, oh, my God, this is the best video
232280	236920	I've ever done, and in 12 hours it got 60,000 views, and that video actually went on to do
236920	241560	over a million views over the course of the next two weeks.
241560	245160	That was sort of the pivot point where I went, I'm just going all in on AI.
245160	249360	Every video I make from here on out is going to be about the latest, coolest AI tools.
249360	250360	I'm going to make tutorials.
250360	251720	I'm going to talk about the news.
251760	256880	I'm going to talk about cool tools that I come across, and so ever since about October
256880	262320	of last year, every video I've released has just been about the coolest AI stuff that
262320	267600	I've built or come across or tutorials or things that I've learned how to do and just
267600	273640	shown it off, and that's been the last 10 months of my life of just making that content.
273640	277160	In that same time, I also built a website called Future Tools because I was coming across
277240	282720	all these AI tools, and I was struggling to sort of wrap my head around all these tools.
282720	286560	I was putting them into an Excel spreadsheet, but it got to a point where the Excel spreadsheet
286560	291280	had 100 rows in it, and I was kind of losing track of what did what, so I literally built
291280	295200	Future Tools as like a database for myself to kind of wrap my head around what tools
295200	297160	I've come across and what they do.
297160	301200	I shared that on Twitter, that got retweeted, it kind of went viral.
301200	306760	My Future Tools website blew up, and now it gets over a million views per month, so it's
307360	312080	the last 10 months have just been a roller coaster after over a decade of just kind of
312080	317200	trying different stuff and having little successes here and there, and now all of a sudden, this
317200	318600	is my life now.
318600	320440	That's the lesson for everybody watching, right?
320440	327200	This is the story time and time again, which is it takes years to build a quality of skills
327200	333200	that you can do something well, and then find the right fit of topic and audience for yourself
333200	335320	to really break out.
335560	338120	I think, Kieran, when you and I started this podcast, we were like, oh, it's going to take
338120	343440	us three to five years to make this thing big, real, like everything we want, and I
343440	347600	think that's the right timeline for anybody to consider, and the reason most people fail
347600	350240	is because they just don't do it long enough.
350240	354200	They don't get into it, and the other thing they don't do is they don't do what you did,
354200	356760	Matt, and pivot when they get the aha moment.
356760	360200	You woke up to that video, you had your aha moment, and you're like, all right, I know
360200	365040	what I'm doing now, and I'm okay leaving that stuff behind, and now I'm going in a new direction.
365080	368280	I think that's a really interesting point, like Matt, was it the same YouTube channel
368280	373160	you had since 2009, or so you're just grinding away and then pivoted to AI.
373160	376880	The other really important thing is, Matt, because you've been at this like 2009, you
376880	378600	mentioned affiliate, all of these things.
378600	380600	Did you ever hang out in the warrior form?
380600	384120	Back in the glorious, back in the day, when the warrior form was the warrior form.
384120	385120	Kieran loves the warrior form.
385120	389280	Yep, yep, I actually, one of my first products I ever sold was a WSO in the warrior form.
389280	390280	There you go.
390880	396840	That's where all the best people came from is the old school shady warrior form days.
398040	400520	Yep, that's where I originated back.
400520	404040	I remember back in 2007, when I was still working in my day job, I was working in a
404040	406840	manufacturing plant whenever the boss wasn't looking.
406840	410600	I was in the warrior form reading about various ways to make money online.
411400	411800	Let's go.
411800	416040	I was in there, getting my Frank Kearns, even page, all the copywriter stuff.
417000	421160	Also, and so I think, yeah, but I think coming back to Kearns point, people have two short
421160	425320	of time horizons on what success looks like, and they give up before they ever get started.
425320	428040	And like getting started is like a couple of years.
428040	429480	And that's where they kind of like give up.
429480	433240	I've actually seen studies where you can actually see like a most podcasters, most
433240	437080	people who blog, they kind of give up at a certain point in time and they give up ever
437080	440760	before they've actually even figured out what their thing is, like what their angle is,
440760	444360	what their topic is, what their kind of like area of expertise is going to be,
