start	end	text
0	6880	It works. Look at that. Oh my god, it actually got this one right. Okay, here we go. Oh my god,
6880	14720	it got it right. I can't get over this. It's so good. On Friday, Mistral AI dropped a mysterious
14720	21360	torrent link with no context whatsoever, and it got the entire AI world talking. And within a
21360	27360	short amount of time, we knew what it was. It's a new model from Mistral AI. It's called Mistral,
27360	33360	and it is a mixture of experts implementation, which takes eight separate models that are all
33360	38400	experts at certain things and puts them all together into a single model. And if you're not
38400	43280	familiar with Mistral AI, they're the company behind the Mistral 7B model, which is probably
43280	48240	the best open source model out there, and it's only 7 billion parameters. And as you could see
48240	53840	right here within minutes, Eric Hartford replied with eight times seven B sounds like mixture of
53840	58800	experts, MOE, mixture of experts. And within the following hours and over the weekend, we have
58800	62560	a bunch of new information about the model, we're going to go over all of it, then I'm going to show
62560	67520	you how to actually use it. It's not straightforward. And then I'm going to do some testing. So let's go.
67520	71520	Now, if you want to know about mixture of experts and what this technique actually is,
71520	76960	Hugging Face dropped an incredible blog post about it. It's super technical. So I'm not going to
76960	81520	dive too deep into it. And in fact, I'm still trying to digest all of it. But the gist is that
81520	86960	you have multiple models, and depending on the prompt, it'll tap only a subset of those models
86960	92880	to actually do the inference. And it has a router that chooses the model, which is best suited to
92880	98960	respond to the prompt. Now with Mistral specifically, it's using eight separate models. And when it's
98960	105440	actually time for inference, it chooses two models to actually do the inference. So a model which is
105440	110640	about the size of a 60 billion parameter model, when you combine all of the eight together,
110640	117040	really outperforms Llama 270B, which is a 70 billion parameter model, while being about four
117040	121680	times faster. Because remember, it's not actually using the entire model, it's just using a subset
121680	126720	of the model, because it's using two of the eight. So a very high level explanation of what's going
126720	132800	on here. Prompt goes in, router chooses different models to use, then it puts them together, and
132800	137840	you get the response. Very basic explanation. I'm probably not doing it justice. Thank you to the
137840	144480	sponsor of today's video, eDrawMind AI, the ultimate mind mapping software that goes beyond
144480	150240	the ordinary, unlocking a world of creativity and efficiency. If you're like me, you have a million
150240	154960	ideas and sometimes they get scattered all over the place. And so I love mind mapping software
154960	160240	for this reason. But eDrawMind isn't just about brainstorming and jotting down notes. It is a
160240	164560	revolutionary tool that takes your creativity to new heights. And it does this with the power of
164560	169840	artificial intelligence. Imagine you just have this rough idea. And then with one click, you can
169840	176800	evolve that idea again and again, effortlessly building upon your initial idea in real time.
176800	182640	eDrawMind's AI doesn't just follow, it leads you, it helps you come up with these ideas and evolve
