start	end	text
0	3440	There's a battle being waged right now
3440	5440	in the world of artificial intelligence
5440	7960	between large foundational models
7960	10160	and smaller open source models.
10160	13400	And just this week, a new research paper was dropped
13400	16680	that promises to append the conversation completely.
16680	18200	Now, if you remember a few weeks ago,
18200	21160	I made a video about the letter called We Have No Mote,
21160	23880	which was a leaked internal memo from Google
23880	26640	that really highlighted how open source models,
26640	30280	smaller ones specifically, are iterating so quickly
30280	32000	that these large foundational models
32000	36000	that Google and OpenAI have are truly at risk.
36000	38720	And I found that to be a very compelling paper.
38720	40760	And then just two weeks ago,
40760	42800	another research paper was released
42800	45200	that claimed to disprove a lot of the value
45200	47520	that these open source smaller models have.
47520	49920	Today, we're gonna take a look at all of this
49920	51680	and we're gonna figure out what's the truth.
51680	53520	We're gonna take a look at the new Orca paper
53520	55000	that was just dropped this week.
55040	57880	We're gonna look at the We Have No Mote document again
57880	59480	and we're gonna take a look at the research paper
59480	60600	that came out a couple of weeks ago
60600	62040	talking about the false promise
62040	65880	of imitating proprietary large language models like GPT-4.
65880	66720	Let's go.
66720	68800	So this is Orca, progressive learning
68800	72040	from complex explanation traces of GPT-4.
72040	73240	This is a new research paper
73240	76080	dropped by Microsoft Research of all companies.
76080	79160	Of course, they made a substantial investment in OpenAI
79160	82160	and own a significant portion of that company.
82160	84360	So for them to release a new research paper
84400	85680	illustrating a new technique
85680	87760	to make open source smaller models
87760	90600	extremely powerful is really fascinating.
90600	93680	Microsoft as a company has embraced open source
93680	96320	in the years since Satya Nadella took over
96320	97480	and I'm all for it.
97480	100240	This paper is absolutely fascinating
100240	102080	and it makes a ton of sense.
102080	104080	But before we get into this paper,
104080	105960	let's take a look at those previous documents
105960	106800	that I mentioned.
106800	108280	Now a little over a month ago,
108280	110760	this internal memo from Google was released
110760	111920	called We Have No Mote.
111920	113120	And the main point of this memo
113120	115320	is that open source models are proliferating
115320	119280	and iterating so quickly that the gap between models
119280	124080	like GPT-4 and Palm 2 are shrinking very quickly.
124080	126480	The fact that any developer can get their hands
126480	129040	on these models and new techniques to train
129040	131080	and fine tune these models are coming out every day.
131080	133880	And we're seeing that from Laura to Q Laura
133880	136080	to now having a ton of different options
136080	138560	of how to train and fine tune these models
138560	139800	in really efficient ways
139800	142320	and run them on any consumer grade hardware.
142320	144640	And I agreed with a lot that was in this paper.
144640	146200	Of course, a business mode
146200	148600	is not just the technical limitations.
148600	150160	There's much more to it than that.
150160	152760	But a lot of the points made in this paper are very valid.
152760	155280	And I've seen more innovation in the open source community
155280	156320	over these last few weeks
156320	158920	than I've seen on these proprietary large models.
158920	161040	But then a research paper out of UC Berkeley
161040	162400	was dropped a couple of weeks ago
162400	164080	that really challenged the assertions
164080	165960	of the We Have No Mote leak document.
165960	167360	In this research paper,
167360	170680	the false promise of imitating proprietary LLMs,
170680	172400	they spell out that these open source models
172400	176440	are simply just imitating the outputs of these larger models
176440	178760	without actually understanding the logic
178760	180560	to reach certain outputs.
180560	181960	The gist of this paper
181960	184080	and what Orca looks to correct
184080	186200	is that these open source models
186200	189320	are simply being trained on prompts and responses
189320	191440	which is good for pattern matching.
191440	193880	So for example, if you're a student in college
193880	195200	and you're taking a class,
195200	198040	you could probably do pretty well on a lot of tests
198040	200920	simply by pattern matching the question to an answer.
200920	203480	But that student is gonna have a lot of limitations.
203480	205040	If one of the questions varies
205040	206920	from their pattern matching ability,
206920	208520	by even just a little bit,
208520	210680	their ability to reason and figure out
210680	213320	what the answer might be becomes highly limited.
213320	216000	Whereas the student who fundamentally
216000	217960	and deeply understands a topic
217960	221200	won't be thrown off by any variation of the question.
221200	225120	They'll be able to reason and step by step get to the answer
225120	227320	because they do truly understand the topic.
227320	228760	And that's really the difference
228760	231360	between these large foundational models
231360	234160	and the open source imitations of them
234160	235360	as per this paper.
235360	237120	And that brings us to Orca.
237120	239800	Orca challenges the idea that open source models
239800	242280	can only really imitate answers
242280	244520	and will get thrown off by any variation
244520	246040	in the prompts themselves.
246040	248960	And the way they do it seems very obvious in hindsight.
248960	250800	Before we get into the details,
250800	255040	Orca outperforms every other open source model
255040	259280	and even outperforms ChatGPT, which is GPT 3.5,
259280	261200	in a lot of different benchmarks.
261200	264360	Now, of course, it still lags behind GPT4,
264360	266480	but the gap continues to close.
266480	268080	So let's take a look at this paper now.
268080	269520	They start off the abstract
269520	272340	by addressing this imitation concept.
272340	275320	Recent research has focused on enhancing the capability
275320	277520	of smaller models through imitation learning,
277520	279280	drawing on the outputs generated
279280	280920	by large foundational models.
280920	285000	Again, LFMs are referring to ChatGPT and GPT4.
285000	286880	And they start to outline the limitations
286880	288680	of these imitation techniques.
288680	291640	Some that they point out are limited imitation signals
291640	293880	from shallow LFM outputs,
293880	296280	small scale homogenous training data,
296280	300360	and most notably a lack of rigorous evaluation
300360	303280	resulting in overestimating the small models capability
303280	305800	as they tend to learn to imitate the style
305800	308760	but not the reasoning process of LFMs.
308760	311640	That is really the crux of this paper.
311640	314520	How do we start getting these open source models
314520	317600	to not just mimic the question answer pairs,
317600	320040	but actually understand how they get
320040	322420	from a question to an answer.
322420	325560	And only with that is true intelligence created.
325560	328000	To address these challenges, we develop ORCA,
328000	329680	a 13 billion parameter model
329680	332800	that learns to imitate the reasoning process of LFMs.
332800	334560	Let's pause there for a second.
334560	339080	This model, the ORCA model is only 13 billion parameters,
339080	343120	which means it can run on pretty much any modern hardware.
343120	344520	Whereas some of the other models
344520	345840	that I've been reviewing recently,
345840	347080	like the Guinaco model,
347080	349600	require me to rent out a cloud GPU,
349600	353080	like an A6000 that has 48 gigabytes of VRAM,
353080	355820	because it's so large, 65 billion parameters.
355820	357560	And this performs better than that.
357560	359060	Now here's the key to the paper.
359060	360360	Here's the key technique.
360360	363720	ORCA learns from rich signals from GPT-4,
363720	365560	including explanation traces,
365560	367680	step-by-step thought processes,
367680	369640	and other complex instructions
369640	372800	guided by teacher assistance from chat GPT.
372800	374720	Now I'll explain what teacher assistance is
374720	377040	in a little bit, but looking at this sentence,
377040	378520	what it's really saying is,
378520	381120	rather than learning from the prompt and response pairs,
381120	383800	we're going to ask these large foundational models
383800	387160	to explain their reasoning step-by-step,
387160	389280	and the smaller open source models
389280	390560	will learn from that.
390560	392280	Truly fascinating.
392280	394160	Now I wanna briefly touch on this guided
394160	396840	by teacher assistance from chat GPT.
396840	400000	They have a two-tier teaching process.
400000	403680	One, they take chat GPT, which is GPT-3.5,
403680	405480	and they have a large number of examples
405480	406880	to learn from, five million.
406880	408680	Then they take those five million,
408680	412260	boil it down to the most important one million examples,
412260	415760	and then use GPT-4 to continue to train
415760	417520	on more complex examples.
417520	419160	So how does it actually perform?
419160	421480	ORCA surpasses conventional state-of-the-art
421480	424640	instruction-tuned models, such as Vecunia 13B
424640	429000	by more than 100% in complex zero-shot reasoning benchmarks
429000	433040	like Big Bench Hard and 42% on AGI Eval.
433040	436140	Big Bench Hard and AGI Eval are just sets of tests
436140	437920	that they give to these large language models
437920	439360	to test their performance.
439360	443800	ORCA reaches parity with chat GPT on the BBH benchmark
443800	445560	and shows competitive performance
445560	448120	in professional and academic examinations
448120	450400	like SAT, LSAT, GRE, and GMAT,
450400	453360	both in zero-shot setting without chain of thought
453360	455100	while trailing behind GPT-4.
455100	458080	And again, this last sentence is everything.
458080	460200	Our research indicates that learning
460200	462400	from step-by-step explanations,
462400	464160	whether these are generated by humans
464160	465560	or more advanced AI models,
465560	468440	is a promising direction to improve model capabilities
468440	469280	and skills.
469280	470720	And just like humans,
470720	473840	large language models understanding how something works
473840	475760	is much more effective
475760	479000	than just being able to pattern match questions and answers.
479000	481640	So large language models are typically tuned
481640	483660	by something called instruction tuning.
483660	486600	You have a set of prompts and you have a set of responses
486600	489600	and those pairs are passed to the open source model
489600	490680	and it learns from that.
490680	493960	This technique is called explanation tuning
493960	496160	where it's not just the prompt and the answer
496160	498920	but an explanation of the reasoning and the logic
498920	502120	for how chat GPT and GPT-4 arrived at an answer.
502120	505880	And so we can see here when evaluated by GPT-4
505880	507600	and that's called auto-evaluation,
