start	end	text
0	3600	It deletes the default cube to begin with.
3600	8240	Even an AI deletes the default cube before adding things in.
8240	10040	Hello, everybody, and welcome.
10040	11760	Today, we're going to explore using
11760	16520	Chat GPT in order to write some Python code for Blender for us.
16520	19640	Now, I've tried it in the background and I've been absolutely amazed,
19640	22040	but one warning here, it's not consistent.
22040	23360	If you want to follow along,
23360	25920	you can go to, let's just make this bigger for a second,
25920	30040	chat.openai.com forward slash chat.
30040	33000	Okay, so let's just try something straight away.
33000	42600	Let's stack five cubes on top of each other in Blender using Python.
42600	44120	That's very badly worded.
44120	45720	Let's just roll with it.
45720	47320	I'm not going to correct typos either.
47320	49280	It seems to be absolutely fine with that.
49280	51680	Now, it is very, very busy at the moment,
51680	54400	so it can take a few minutes to do something,
54680	55720	which is annoying.
55720	58480	And usually, if it's hanging like this,
58480	60440	it's just overloaded at the moment.
60440	62800	At which point, I'm going to have to stop the video
62800	65280	and wait until it's quieter.
65280	66600	Oh, here we go.
66600	68360	It's telling me what it's going to do.
68360	70040	And it's also used a for loop.
70040	71440	Okay, this is brilliant,
71440	74040	because before, when I was trying it,
74040	76520	it wouldn't use a for loop initially.
76520	78720	So let's just go and take this.
78720	81720	Okay, there's a copy code button I should have learnt by now.
81840	85560	And let's remove everything from our scene
85560	89480	and let's run that code.
89480	92440	Okay, so that doesn't work, did it?
92440	95280	This is one of the things about GPT.
95280	97960	It can end up sounding very confident.
97960	99440	I mean, it's given us this here.
99440	100560	We run through this code.
100560	103360	We'll probably work out why it's not there.
103360	106600	Move the other cubes above the first cube.
106600	110960	Interesting, it's only done one, four.
110960	113120	There are other cubes there by the looks of things,
113120	114720	but where they've gone, who knows?
114720	117200	Let's delete everything out of our scene again
117200	119800	and let's just try something else.
119800	121920	Let's clear down what we've got here, actually,
121920	123120	so we can reset the thread
123120	125800	so it won't remember anything from before.
125800	129760	Using Python, write a script.
129760	132880	I will be able to type one day a script
132880	137880	to stack four cubes on top of each other in Blender.
138800	141080	Let's see how it handles this.
142760	146000	It deletes the default cube to begin with.
146000	149080	Even an AI deletes the default cube
149080	150560	before adding things in.
150560	153120	Now, this is a very linear script.
153120	155440	I would not write something like this
155440	160160	unless I was really, really testing something very specific.
161720	163400	Cube not found, of course.
163400	165880	Let's just get rid of that.
165880	167680	Go file, new, general.
167680	169760	Let's assume that there's something in the scene,
169760	172600	which is actually quite a clever thing for it to do.
172600	174600	I've not asked it to delete the cube,
174600	177720	which is maybe a bit backwards
