start	end	text
0	9520	Great. So what I was hoping, Carla, is that we could get your thoughts on how the whole
9520	15800	Active Inference Framework could be applied to something that we've been developing. And
15800	18680	I don't know if you had a chance to look at any of this stuff, but I'll just give you
18680	24160	a brief, you know, kind of a brief summary so that it's clear what we've got. And then
24160	28680	I have some basic questions and then a couple of wacky ideas to kind of bounce off of you
28680	35040	and see what you think. So the basic thing is this, that what I was trying to do is to
35040	47200	have a very basal model of distributed intelligence. And the idea was that we were interested in
47200	52240	unexpected competencies in places where unlike in biology, you know, in biology, no matter
52240	56040	how simple your model, you never have all the information about mechanisms and somebody
56040	59560	can always say, well, there is a mechanism for that, you just haven't found it yet, right?
59560	65880	So we wanted something that was incredibly simple, incredibly transparent, deterministic,
65880	69480	something that everybody thinks they know what it does. And then we can, we can apply
69480	73600	some of the approaches that we take in my lab about taking something that doesn't seem
73600	78320	cognitive and saying, okay, but what, what actual competencies might it have, right?
78320	82520	And so we chose this thing called sorting algorithms. And so these are the same simple
82520	85720	algorithms that all computer science students study for, you know, and they've been studied
85720	92440	for decades. And then we made a couple of, a couple of twists to it. One is that we visualize
92440	98560	their progress from being a jumbled set of digits to an ordered set of digits as a kind
98560	102240	of a traversal of space, right? So the idea is they start in different locations and they
102240	107800	all sooner or later, they all end up in one location where everything is. And so once,
107800	111320	once you view it as navigating that space, then you can ask some questions about what
111360	115520	are their competencies and navigating that space under, under odd perturbations. One
115520	122400	of the perturbations that we made was the introduction of what we call broken cells or
122400	126960	barriers in the space. So if the algorithm wants to swap two numbers in order to proceed
126960	130680	in its, in its sorting trajectory, well, one of the numbers could be broken, it doesn't
130680	134640	move, you can't, you can't move. And so, and we have two kinds of broken numbers, ones
134640	140840	that never initiate swaps and ones that actually never, never swapped no matter, you know,
140880	147120	who initiates them. And so that allows us to ask questions about things like delayed
147120	151640	gratification. In other words, can it go further from it? If it encounters a barrier,
151640	156200	can it go further away from its goal in order to then acquire gains afterwards? And this
156200	160560	is, you know, William James talked about this, of course, as, as an important type of basal
160560	164680	intelligence. And, and that, and that breaks a common assumption with these algorithms,
164680	169760	which is typically you assume that the material is, is robust. In other words, when you, when
169760	175440	an algorithm says to do something, it gets done. But, but in our case, not necessarily. And
175440	180080	we never introduced, this is important, we never introduced any extra code to check if
180080	184400	things got done. It's, it's the standard algorithm. So it just keeps on rolling. There is no
184400	189240	code to see how am I doing? Did things work out? No, no code for any of that. The second
189240	195200	thing we did was to break the, the, the general version of this is centralized. So there's
195200	198840	like this omniscient controller, and it's following one of several algorithms to kind
198880	203800	of move numbers around. And we got rid of that and instead made it all bottom up. So every
203800	210000	digit, aka every cell now has its own version of the algorithm running, and it has a limited
210000	214520	local view of who its neighbors are. And it's just following the steps of the algorithm to
214520	219240	try to improve its local environment, that there is no more global, global control. So
219240	225280	it's distributed. And, and, and, you know, we learned a few things. We learned that a, the
225280	229840	distributed version of this works quite well. It actually, you know, they do sort nicely. So,
229840	234040	so that's great. We did see some delayed gratification in the sense that if you, if you
234040	239440	sprinkle in some broken cells, it actually will go backwards and unsort the string a little bit,
239440	245320	and it's effort to then go around the defect as it were. So that's kind of cool. But the most
245360	252760	kind of surprising thing, which is what I'd love to get your take on is this. We, because now
252800	257440	it's distributed and every cell is following its own algorithm, that enables us to do an
257440	261640	experiment that otherwise you couldn't do, which is to make a chimeric string. And it's what we do
261640	265800	in developmental biology, when we put together, you know, axolotl cells and frog cells, and now
265800	269280	you get this frog a lot, and you can ask questions like, well, what shape is it going to have,
269280	274600	right? So, so what you can make is a chimeric string where some of the numbers are following one
274600	279240	algorithm, some of them are following a different algorithm. And again, there is this is important,
279240	285440	there is no code to determine either your own or your neighbor's algotype. And algotype is the
285440	289480	word that Adam coined for this, like, you know, what algorithm, what set of properties are you
289480	293160	actually following a policy? Is it actually following? So there is no code for any of that,
293160	300240	but we know which, which algotype all the cells. So that, and that also works. So chimeric strings
300240	305400	also sort, sort the, sort the arrays, and that's fine. What we then did was we asked basically a
305400	309600	developmental biology question was to say, okay, at any particular point during its journey,
309600	315680	what is the distribution of algotypes within the string? And what we know, and we defined
315680	322600	a quantity called clustering, which basically just means you look, you look next to you and what,
322600	328720	what's the probability that your neighbor next to you is the same algotype as you are. So what
328720	333320	happens is that in the very beginning, that probability is 50% because the algotypes are
333320	339760	randomly assigned to the digits. So 50%. That's our baseline. At the very end, it's also 50%
339760	344560	because at the end, everybody has to be sorted. And there is no relationship between the actual
344560	349880	sort order of the numbers and the algotype. So again, it's 50%. But the wild thing is that in
349880	354440	between those two points, if you actually plot that curve over time, it actually goes like this.
354440	359800	And in between, it's quite a bit higher in statistically very significantly higher than 50%.
360360	367400	And what we see is clustering significant tendency of cells with the same algotype to locate close
367400	372120	together. Eventually, the inevitable, the inevitable physics of the algorithm will yank
372120	376920	them apart and make sure that everybody's in numerical order. But until that happens, they
376920	382200	enjoy some amount of clustering with their, you know, with their conspecific, so to speak, until
