start	end	text
0	14680	I guess an underlying theme for what interests me the most, in biology and science in general,
14680	23600	to look for simple underlying principles, and my favorite, one of my favorite costos
23600	31200	paintings is this one that kind of illustrates that point where, as you can tell here, it goes
31200	42960	in this series of plates depicting a bull going from removing more and more detail until it gets
42960	51760	to the essence of the bull. And that's sort of my scientific reto that may be not fully embraced
51920	60800	in biology, universally, as it is embraced in math and physics and chemistry. And what I think is
60800	68960	one of the sort of big problems in the way biologists, and I mean by that mostly experimental
68960	76080	sort of mainstream biomedical science type of biology, is that we are addicted to complicate it
77040	85920	and devalue what's simple and often confuse it with what's simplistic. And in my definition,
85920	90880	I'd say simple is when you get rid of anything that's not essential for understanding the problem.
92080	97520	Simplistic is when you remove something that is important, and so it's you have to
97520	102480	get the right intuition not to confuse it. And complicated is when you add things that are
102560	108400	nonessential. And that's, I think we're all experiencing that phase in my medical research
108400	115200	now where there is too much of nonessential is added because methods are available to generate data.
117200	126160	And so that's what often makes complex systems look complicated, whereas as you all know,
126160	133840	the complex systems are not complicated. They have underlying simple rules. So what I chose to
133840	143840	talk about today is one of the aspects, one aspect of biology that we're interested in in lab,
144560	151360	which has to do with tissue biology and I would say cellular sociology or
151360	157760	social lives of cells. And because tissues are complex systems, composed of multiple
158800	164400	agents that are cells that interact in some way and generate all kinds of properties that we try to
164400	171280	understand. And the properties that we see, these are observables, and they don't tell us what the
171280	178480	rules are that generated them. And that's sort of the main interest in that area for me. So we think
178480	189840	about the notion of tissue, of course, is very familiar. It's a textbook notion. It's very commonly
189840	195440	used. We all kind of sort of know what we mean when we say tissues, but at the same time, they're
195440	205360	not well defined. If we try to give a definition to a cell, then we're fine to the organ to organ
205360	213280	systems, we can give formal definitions, but for tissues, we actually can't. And all the
213280	220880	available definitions are quite ambiguous. As our distinctions between tissues where one tissue
220880	226800	stops and other starts and so forth. So traditional classifications that are divide them into four
226800	232800	major types of epidial, connective, muscle, and neuronal. It has a limited utility, mostly when
232880	238560	we think in terms of development of organism, when we think in terms of pathology, in terms of
239920	244400	any kind of biology that operates at the tissue level, we don't think of tissues as
244400	251360	a peculiar versus neuronal and so on. It's always we think of it as a collection of cell types that
251360	259360	belong to all these different types of origin. So that's the first problem. So we are kind of
259360	263760	on a shaky ground to begin with, because we're dealing with something that's ill-defined.
264960	271040	And that leads to these major gaps in our understanding of tissues. What are the
271040	277440	patterns of cell organization within tissues? What aspects are pre-programmed versus emergent?
277440	284240	And what are general themes and what are special cases? And that's again,
284400	292400	something that I think biologists depreciate less than let's say physicists, distinguishing
292400	299840	special cases from general cases. And that's what makes this whole area so interesting and
299840	307600	challenging and fascinating to understand. To use tissue biology as sort of an umbrella term
307600	315920	for understanding social organization of cells to think of cells as agents in a complex system.
317040	326480	And so this is to just illustrate what exactly our gaps in understanding are. If we compare
326480	332640	organismal biology, cell biology, and tissue biology, it's very clear that in tissue biology we
332720	336480	are limited by understanding, not so much by data, but by understanding.
336480	342640	So in organismal biology, we can tell that these animals that look drastically different,
342640	350080	they're all variations on the theme of a mammal. And we can tell that there are some deviations from
350080	359840	the common theme that we see in whales, shrews, and so forth. But we can imagine a generic mammal
359840	364800	with all the universal parts, all the organ systems, they all have
367360	371680	central nervous system, two lungs, two kidneys, and so forth. And we know how they function,
371680	378800	we connect it, and we can draw a generic like a schema of a mammal. And then we can also say that
378800	385280	a mammal is a special case of vertebrate, which is more general schema and so forth. If we go to
385280	390800	cells, the biology cell level is the same, we can look at this and these are dramatically different
391600	396800	cells, dramatically different looking cells, especially if they were drawn to scale, it would
396800	403680	be even more dramatic difference. And yet we know that this is all variation on the common theme of
403680	413840	eukaryotic cell, mammalian cells shown here on the right. And we are not fooled by the fact that
413840	419440	the most abundant and most easily accessible cell type, which is a red blood cell,
419440	426480	actually doesn't have a nucleus in mammals. We don't conclude from that that most cell types
427280	435280	don't have nucleus. And therefore, this is something essential and important to understand. So
435280	440640	we're not confused by that because we know enough cell biology to tell that this is a special case.
440640	449120	And the reason I'm emphasizing this is because in here, it's an obvious case of general versus
449120	455360	special. But when we lack that understanding, we can be confused by looking at something that's
455360	461520	most common, most observable. And we don't have the right intuition to tell if it's a general case
461520	468960	or special case. So at tissue level, at the cell level, at organismal level, we have that type of
468960	475360	knowledge. But if we look at the tissue level with different tissues, and then now we can tell
476160	482880	whether these tissues coming from different organs all represent variations on a theme.
484160	490880	And what that generic theme is, and we cannot draw that generic tissue the way we can for generic
490880	498560	cell or generic organism. And we don't know if there is one theme, and these are also kind
498640	504160	of deviations or variations on that theme, or there may be more than one thing, or maybe there
504800	510080	are no common themes at all. But presumably, there are common things because all tissues
510080	517200	have to solve the same set of problems. They have to solve a problem of having the right cell type
517200	525440	in the right ratios, right quantities, right spatial arrangements, and so forth. They should
528160	533360	have some of the others. And these are the same problems every tissue in every animal has to
533360	537600	solve. And presumably, it's been solved once in the beginning, and then everything was built on
537600	543920	that solution. And therefore, we have a reason to think that there are general principles and
543920	550000	general themes, and everything is some variations on these themes. And some of these cases may indeed
550000	556320	be special cases. And that's what we want to understand, and that's what we currently don't
556320	565200	understand. So instead, we have this is a picture like this, which is a textbook picture of what's
565200	574480	supposed to be tissue. And so the questions we want to understand is what the rules that define,
574480	579920	for example, cellular composition of tissues, how these different cell types know that they belong
579920	586240	there in the right amounts, in the right proportions, in the right locations, and so forth.
587440	594480	And if we approach it from the way that generally we approach something unknown, we try to kind of
594480	600080	catalog things, we describe them by shapes by whatever some properties that we can measure.
600800	608720	Nowadays, we do it by single cell analysis by imaging and so forth. And we generate this ever
608720	617360	more complete catalog of characteristics. And that catalog doesn't bring us any closer to
618240	624160	addressing the questions I mentioned in the previous slide. And
626720	636720	there is a little doubt that having ever more complete description of cells and tissues
637520	643680	using whatever next generation methodologies might be that may image every single molecule,
643680	650880	let's say, and so forth, the amount of data will grow astronomically. And yet it's not going to
650880	654720	bring us any closer to addressing the questions that I mentioned in the previous slide.
656400	663200	And let's just use an analogy here for, like, let's say if you're an alien and you're doing,
663200	669200	you know, PhD thesis on human social structure, you came to Earth and you look at people and you
669200	674480	have this very powerful alien technologies that allow you to characterize everything you want
674480	684480	about every human being. And you get the characteristics like names, height, weight, color of
684480	693280	eyes, color of hair, insulin, glucose measurements, heart rate, and you catalog that increasingly.
693280	702000	You know how many cells that person has versus that person has. And clearly that kind of data
702000	706960	would be completely useless to understand what the human social structure is.
708960	715360	On the other hand, if you approach it from a different perspective, you look at the human
715440	724080	social group, and you start noticing that there is some ways that these different individuals
724080	730400	relate each other that may define not identities, like identity characteristics,
730400	736640	like name, height, weight, and so forth, but rather that some of them are parents and some of them
736640	741920	are children, some of them are husbands and wives, some of them colleagues, some of them friends,
741920	748080	some enemies, and so forth. And what all these words mean, these are categories. So there's a
748080	756080	category of the parent, category of scientists, category of neighbors. But these categories
756720	767760	defined, if we compare category of a parent or neighbor or friend versus the category of
767840	774080	a good person or bad person or a scientist by profession. So the profession category is still
774080	779440	the cataloging category. It's just like the names and heights and whatever, body mass.
780240	789760	Parent, friend, neighbor, these are categories that are defined by relations. And what I think is
789760	797040	needed, we have the notion of a cell type, and we have increasingly detailed characteristics of
797040	802880	cell types. And that's just like getting more and more data about individuals. But what we need is
802880	810080	to go from cell types, which is a useful and fundamental notion, to the notion of cell categories.
810080	814320	And the way they can be defined is just like the aliens who define social structure.
815360	823760	They need to be defined in terms of relations. So just like relation parent child provides deep
823760	829440	insight into social structure or relation, friends and enemies and so forth, those are provides
830160	839440	deep insights that can explain social structure. Similarly, if we define cell relations,
840560	846080	appropriate types of what would be the appropriate types of relations, that will give us insight
846080	854000	into social organization of cells. And so what I think we need to do is to,
855040	858640	rather than being obsessed with getting more and more granular data about,
858640	865200	you know, the identity characteristics, we need to define some categories based on relations.
865840	876160	And so we need to ask what are different cell types equivalent in some ways in terms of their
876160	881680	roles in tissue organization. So that would define their relation, right? So if you have a teacher
882320	887280	in one school, teacher in another school, they may teach different subjects, but they're defined by
887280	893040	the relation of teacher and student. And if we know that relation, then we can say, okay, there's a
894000	898960	category of teacher and there's category of student. So what are the appropriate
898960	905520	relevant categories for cells? And also, I would mention that not all relations are equally informative.
906400	912800	Right? So the category, some get some relations, some more fundamental than others. So the same
912800	920800	would apply to cells. And so we can define this, what would be called equals. So relations here,
920800	931600	I mean in more like in mathematical terms, like the way the relations are defined on sets. And they
931600	938000	can be symmetric, reflexive, transitive. And so it's in that kind of spirit of the way that
938000	944160	relations defines on sets, it's basically a way to partition set. So we have a set of cells and
944160	949680	what are different ways we can partition it, just like we can take social group and partition it
949680	956960	into parents, children, teachers, students and so forth. And that I think is what is missing and
956960	962880	what's limiting that we don't have that kind of a perspective. And this is something we're actually
962880	968800	working on, sort of from theory perspective, I'll just give a sense of what we're thinking now,
968800	975840	because we don't have a complete list of that yet. So this is the visual representation of what I
975840	983280	mean that we go from cell type paradigm, where we describe cell types, type A, B, C and D, to cell
983280	989920	relations paradigm, which will define cell categories. And here, for example, one relation will define
989920	994480	between these two cell types and other relation between these two cell types and so on. And
994480	1000400	importantly, this relation, let's say relation A, may apply not just for this epithelial and
1000400	1005520	this mesenchymal cell, it may apply to other pairs of cells that belong to different types.
1006720	1011040	And that's what's critical, because that's where we hit the wall when we try to understand
1011040	1016640	general principle, and then we find, oh, macrophage is doing something here. So therefore,
1016640	1022240	macrophage is a cell type, it has this kind of a property. And then we don't find that example
1022240	1028880	somewhere else and say, oh, oops, it's not generalizable. It may not be generalizable for cell type,
1028880	1033840	but as a relation, it would be. So that's the general idea. And what are the types of relations?
1033840	1041040	So I will just use a few examples to illustrate it. And the first example also deals with the
1041040	1050720	notion of what is the general theme in tissue organization. And if we think about what's the
1050720	1060480	simplest setup for an animal, we would see that all animals have epithelial mesenchymal
1061440	1067600	units as the most fundamental, most ancient units of organization of tissues. There are
1067600	1072480	no animals that don't have epithelial mesenchymal units, even the simplest, like spongy and
1072480	1078000	plecozoa, that's basically, they pretty much don't have anything else, but that's what you
1078000	1085520	have to have an animal. And they always have a particular type of arrangement. Epithelial cells,
