start	end	text
0	9600	I already told Michael this is a little bit improvised. I was supposed to give this last
9600	16400	week but then I was also I could be paid and in the meantime I have done a bit of hope but
16400	22320	still not as much as I would have liked to do but I think it will be interesting.
22320	28240	So what I'm trying to do here is for the first time to do a research but
28240	36160	I've been busy with one on the origin of goldite, one on the origin of human consciousness.
40160	49760	So what the two projects have in common is that they're both about agency which is a topic I think
49760	57040	that in your lawyer you also have been thinking about. So agency first of all means it's gold
58000	66800	that are moving to the goal in order that they need to be able to mess up the conditions in
66800	74880	which they should be able to make the right actions. That is the main theme but then I want to go to
74880	82240	a higher level of agency the human consciousness where you're not only acting reflexively but
82240	88320	you are able to choose between different different causes of action and that will allow me to put a
88320	95120	first attempt tackling the psychological heart problem of consciousness. So that's briefly what
95120	101920	I want to go out on. So let's start the first part which is about a goal directedness or
101920	110240	actually about a life. So all living systems are there because they have survived natural selection
110240	115440	means they have been selected to be fit and to be fit that means that they should be able to
115440	123520	survive and go. If they are not capable to achieve that goal of surviving and going well they simply
123520	131040	simply are elated. So we can assume all living systems have this imbalal of survival and survival
132000	140080	survival they can maintain their metabolism is of perturbed patients because the world is not
140720	149760	always the same. So this I will summarize as agency living systems have the implicit role of
149760	156560	wanting to survive and to maintain themselves in order to do that they need to that means they need
156560	163600	to be able to support opportunities of surpassing perturbed patients and in order to act they need
163600	170880	to have some kind of implicit cognition namely they need to know what action is appropriate for
170880	177600	what perturbed patients. So that's the basic framework let's now go into more detail about
177600	187920	how that could have evolved. So the best definition of living systems that I know is the
187920	197120	famous one of Maturana eila autopoiesis. Autopoiesis means the existing is self-proloding it forms
197760	206960	it's a network of processes that reconstitutes all and Maturana and Varela automatically
206960	213680	connect this notion of cognition to their notion of autopoiesis because each system should be able
213680	220640	to produce itself it should also be able to withstand any perturbations that may push it to
220640	227520	want the self-maintenance so it needs to have this cognition. The theory of autopoiesis Maturana eila
228000	239840	is I would say very difficult abstract sometimes confusing so I have tried to make a simpler
239840	252000	version of it that is a version where that is based on a network of processes where processes
252000	262480	then can be defined formally. Autopoietic system network of processes is something that some input
263600	272480	transforms that input into some output so it produces new components it consumes other components
272480	278720	or it transforms certain components into other components and then the definition of autopoiesis
279040	285520	is that the components being produced by these processes are such that they never generate the
