start	end	text
0	7400	Okay, so it's a great pleasure today for me to introduce Professor Michael Levin.
7400	13360	He's a distinguished professor at Tufts University, as well as the Vannevar Bush professor.
13360	19520	And he's also director of the Allen Discovery Center and the Tufts Center for Regenerative
19520	23080	and Developmental Biology.
23080	31920	And I'm sure everyone here have heard about his work on Xenobots, which I've been told
31920	34320	there'll be some of that at the end of his talks.
34320	42440	So Michael has requested that we refrain from asking deep questions until the end.
42440	46000	So just clarification questions throughout the talk so that we can get to the really
46000	47400	exciting parts.
47400	51200	Okay, so take it away.
51200	52200	Thank you.
52200	53200	Thank you so much.
53200	57960	And thank you for having me and giving me the opportunity to share some ideas with you.
57960	63120	All of the details and if you would like to contact me, which would be great, you can
63120	65800	find me at these two websites.
65800	71560	So what I want to talk about today is our sort of perspective on collective intelligence
71560	75840	and in particular cellular behavior as a kind of collective intelligence.
75840	82760	So I often start by thinking about Alan Turing, who of course needs no introduction, was very
82760	89480	interested in intelligence, in cognition and various embodiments, and in particular in
89480	96240	problem-solving machines, this idea that intelligence can be manifest through plasticity or reprogrammability.
96240	98800	And so we all know that.
98800	103600	Some people may or may not know that he was also interested in morphogenesis, the generation
103600	105760	of biological shape.
105760	109880	And it's often, one might wonder, why would the same person who was interested in intelligence
109880	115640	be interested in the kinds of questions that biologists tend to, developmental biologists
115640	117640	in particular tend to deal with.
117640	123640	And I think he saw a very deep symmetry between these two fields, which is, I think, very
123640	128840	important and still not really appreciated sufficiently.
128840	130400	So this is what we work on.
130400	134000	In particular, the idea of problem-solving living machines.
134000	139200	And one thing that we have to think about as we drill down in the biology and we look
139200	145440	to see what we are all made of is this idea that this traditional distinction between,
145440	150760	we look at things like termite mounds and bee colonies and blard flocks and we say, okay,
150760	156880	that's perhaps a kind of collective intelligence, but we are true sort of centralized intelligences.
156880	163040	And of course, the idea is that actually all intelligence, certainly in biology as well
163040	167640	as collective intelligence, because we are all made of parts and components.
167640	171800	And in fact, the Ambricard Sole calls this kind of thing a liquid brain in the sense
171800	176480	that the components are not fixed with respect to their spatial relationships.
176480	179120	So this is the sort of thing of which we are made.
179120	180440	This is a single cell.
180440	181440	This is called a lacrimaria.
181440	186200	Of course, this is a free-living organism.
186200	187200	It's one cell.
187200	188200	It has no brain.
188200	189720	It has no nervous system.
189720	195000	It is extremely competent in its local sort of environment with its local goals.
195000	196000	So it's physiological.
196000	197000	It's anatomical.
197000	198600	It's behavioral goals.
198600	203880	It's very competent without the typical things that we associate with intelligence.
203880	210520	And the really critical part is to realize is that all of us make this amazing journey
210520	214440	from what people call just physics to cognition.
214440	221280	So we were all at one point a quiescent oocyte, so a little pile of chemicals doing something
221280	225480	like this where specific molecules interact with other molecules.
225480	229400	But eventually, through this process of embryonic development, we become something like this
229400	231560	or maybe even something like that.
231560	236440	And so the thing about this process is that it's extremely slow and gradual.
236440	241960	There is no special point at which a magic lightning flash sort of says, okay, now you
241960	242960	are cognitive.
242960	243960	Before that, you were just physics.
243960	246080	In chemistry, now you are a true cognitive individual.
246080	247080	That doesn't happen.
247080	249560	So we need to understand this scale up.
249560	254200	We need to understand what happens from the time that we are this to the time that we
254200	255200	are that.
255200	261420	So the main points today that I would like to talk about is this idea of biology's multi-scale
261420	266520	competency architecture, which is a set of nested problem solvers in different spaces.
266520	270600	And one kind of invariant to all of this is navigation.
270600	275720	I want to spend the most of my time on this example, although there are many other examples,
275720	279680	of anatomical control and specifically this idea of navigating morpho space.
279680	286280	And I will talk a lot about bioelectrical networks as not only the mediator of kind
286280	294080	of the coagum, the glue that binds the neurons together into a coherent emergent intelligence,
294080	298000	but also of a much more ancient roles for that same mechanism.
298000	301840	And this has many applications, for example, on biomedicine.
301840	306320	And at the end, I want to talk a little bit about synthetic bioengineering.
306320	310440	I want to show you some novel creatures that have never existed before and talk a little
310440	314720	bit about what this means for evolution and for many other fields.
314720	319200	So single cells come in all shapes and sizes.
319200	320200	This is a single cell.
320200	321200	So this is a diatom.
321200	322200	They are very tiny.
322200	323760	So this is a single cell.
323760	325000	This is also a single cell.
325000	329840	This thing, which looks like a plant, it has a nice cap and a stalk and some roots here.
329840	334200	It's actually an alga, the whole thing could be up to 10 centimeters in size.
334200	335680	It's also a single cell.
335680	340800	So if you're interested in morphogenesis by differentiating cells into different types,
340800	344680	we already start to see that there's structure well below that.
344680	350840	This thing has one nucleus and it manages to make this amazing shape without any differentiation.
350840	353320	Cells are also competent in behavioral spaces.
353320	357360	So what you're looking at here, this is a slime mold called physarum polycephalum.
357360	359920	It has many nuclei, but it's still one cell.
359920	361560	The whole thing is one cell.
361560	363520	And what you can do is you can do this.
363520	365360	You can put some objects in its vicinity.
365360	367280	These white things are glass discs.
367280	369240	They have no chemical on them, no food, nothing.
369240	370640	They're completely inert.
370640	376240	And if you put three on one side and one on the other, it will consistently choose to
376240	377640	travel towards the three.
377640	382680	What it's actually doing as we showed in this paper is it's actually sensing strain angle
382680	383680	in the medium.
383680	385480	It is incredibly sensitive to it.
385480	389520	And it's pulsing, which you can't see here, but it's pulsing as a kind of sonar to build
389520	393640	a map of its surroundings and migrate towards the heavier object.
393640	397480	And what's kind of cool is that at this point here, for the first four hours, it sort of
397480	399840	grows in all directions.
399840	404400	And this is the point at which it's got enough information and now, boom, now it knows where
404400	405560	to go at that point.
405560	409000	But right here, you still can't really, you don't really know.
409000	411440	But at this point, bang, it starts to.
411440	415560	So there are all sorts of, so this is kind of the field of basal cognition and trying
415560	421520	to understand how biology was solving various problems long before brains and neurons appeared.
421520	424920	So I want to talk about three or four things today.
424920	429880	The first thing I want to do is I want to twist some knobs on traditional cognitive
429880	438040	science and talk about some unconventional agents that we can start thinking about.
438040	445520	So this kind of picture, this is the classic painting of Adam naming the animals in the
445520	447280	Garden of Eden.
447280	452400	This kind of picture is really pretty prevalent in a lot of discussions, in the sense that
452400	460280	people really think about finished adult organisms as the subjects of their study.
460280	464520	So intelligence, they say the human brain or the rat or something like this.
464520	468760	And what I want to do is stretch this in a number of dimensions, both in terms of the
468760	476000	time evolution, the fact that everything comes from one cell at one point, and also the fact
476000	481280	that drawing boundaries between different types of creatures is actually very difficult
481280	485520	because of the interoperability of life and the ability to make chimeras.
485520	487400	So the first thing we can think about is this.
487400	489360	This is a caterpillar.
489360	493560	This is a kind of soft-bodied robot that crawls around and it chews plants and it lives in
493560	495440	a two-dimensional world.
495440	497080	It has to turn into this.
497080	503120	This is a completely different hard-bodied kind of creature which has to fly in a three-dimensional
503120	504120	world.
504120	506560	It doesn't care about leaves anymore, but it does want nectar.
506560	511480	And so the behavioral and all of these repertoires are completely different.
511480	516120	So during this time, what happens is the brain basically liquefies.
516120	517920	Most of the connections are broken.
517920	519360	Most of the neurons die.
519360	523920	It gets reassembled and rebuilt into a brand new brain suitable for driving, this kind
523920	525320	of creature.
525320	529000	And one of the most amazing things is, and there are many examples that you can read
529000	535040	about here, is that if you train this animal to have particular memories, those memories
535040	537720	are recovered in the moth or butterfly that comes out.
537720	542420	So despite the complete rewiring of the brain here, those memories remain.
542420	545920	So as computer scientists, we can start thinking about, okay, what kind of medium could we
545920	554000	have that is able to store information that survives radical remodeling of the structure
554000	555000	of the medium.
555000	560560	But this metamorphosis is very interesting because this is not just evolutionary timescales.
560560	562160	This is a single individual.
562160	566480	So if you're into philosophy of mind and you wonder what's it like to be a caterpillar
566480	569480	or a butterfly, here's kind of the next level question.
569480	572800	What's it like to be a caterpillar turning into a butterfly?
573480	578880	What is the experience of this process as your cognitive medium is being completely reshaped?
578880	580640	Biology goes even further.
580640	581640	These are plenaria.
581640	582640	These are flatworms.
582640	585120	You'll hear lots more about them later.
585120	587400	Interesting thing about them, well, several interesting things.
587400	591560	One is that you can cut them into pieces and every piece regenerates and becomes a completely
591560	592840	normal worm.
592840	596640	But what you could, and so they have a true brain, all the same neurotransmitters that
596640	600480	you and I have centralized nervous system.
600480	605560	What you can do is you can train them to expect food on these little laser-etched kind of
605560	609000	a bumpy surfaces, cut off their heads.
609000	613920	The tail sits there doing nothing for about 10 days and then they regrow a brand new brain
613920	618080	and then you find out that the animal actually remembers where to find the food.
618080	620840	So the memory survives complete decapitation.
620840	625160	So the interesting thing about that is, okay, somehow it's stored in the rest of the tissue,
625160	627960	maybe neural, maybe not neural, we don't know, fine.
627960	634040	But also that information has to be imprinted onto the new brain that is constructed from
634040	635040	scratch.
635040	642360	So this idea of moving information around and what happens to cognitive information as
642360	645400	anatomical information is being processed is really interesting, right?
645400	648280	That's the nexus at which we do most of our work.
648280	651040	And so now, finally, I want to show you an example.
651040	656560	This bears on some of the evolutionary topics where this is a tadpole of a frog.
656560	660160	So here are the nostrils, here's the mouth, here's the brain, here's the gut, here's the
660160	661160	tail.
661160	664680	Now you'll notice something very strange is that here with the eyes should be here, but
664680	665680	they're missing.
665680	666680	Instead, there's one on the tail.
666680	669600	And we engineered it this way and I can talk later about how that's done.
669600	673760	But the interesting thing is that when you make a tadpole with an eye on its tail, despite
673760	678720	the fact that for millions of years, everything was perfectly set up to expect visual input
678720	683120	from two regions right here into the optic tectum, these animals can see quite well.
683120	688200	So we can do a tadpole, we made a machine that tests their learning and visual assays.
688200	691240	This eye, in fact, makes an optic nerve.
691240	693840	It synapses on the spinal cord, not on the brain.
693840	698120	And that apparently is sufficient for the brain to recognize this.
698120	703320	So you can imagine this weird sort of information bus onto which this organ is putting some
703320	706320	sort of data and the brain says, oh yes, I know what that is.
706320	709760	That's visual data, even though it's coming in from a completely bizarre location.
709760	711200	No problem, right?
