start	end	text
0	10000	Yeah. So in case you don't know me, I'm Zemin Liu. I'm now a fourth year PhD student at MIT.
10800	18640	Welcome, Professor Max Tagmark. My research interests the center around AI plus science,
18640	26080	so it can go both ways. Either you develop better AIs for science, like AI scientists,
26080	34080	or you use inspirations or like tools in science to enhance the improvement of AI.
35040	41440	So like this work is like both ways. We first try to use some ideas from math and see if we can
41440	49200	develop new AI tools and see if we can, whether these new tools can give something back to to
49200	56000	science. Yeah. So this is about a recent work called The Comagra of Arnold Networks.
61520	70320	Today's AI is built upon this math theorem called the universal approximation theorem,
72320	76560	which basically says that a high-dimensional function, you can decompose a high-dimensional
76560	84800	function into a linear combination of some nonlinear features with this nonlinear function sigma,
86160	93280	which is basically just this two-layer network known as the multilayer perceptron. But you
93280	99200	can make it deeper. That's why it got the name multilayer. But we are asking this question,
100160	106080	are there any alternative theorems we can use? We can leverage these new theorems. Well, not
106080	111040	necessarily new in the mathematical sense, but like in the AI world to build another AI
111760	117920	skyscraper based on new building blocks. So here we are examining this theorem called The
117920	124560	Comagra of Arnold Representation Theorem. First question, what is the KA representation theorem?
125120	131520	It says, again, like you given a high-dimensional function, you can write it down as a finite
131520	139120	composition of one-dimensional continuous functions and just the summing operation. So more
139120	146000	concretely, you can write down an n-dimensional function in this form, where you have the outer
146000	155840	functions capital phi q and the inner functions phi qp. They are both just one-dimensional functions,
155840	163360	and they are finite. Like the number of these functions is depending on the number of inputs
163360	170720	variables n here. So what's nice about this theorem is that it tells us that the only true
170720	177840	multivariate functions is the sum. Like you can express, say, multiplication with just the summing
177840	187680	operation plus some 1D activation functions. So that sounds like really great news for
188640	192320	approximating high-dimensional functions, especially for machine learning,
192320	197680	because in high dimensions, to learn high-dimensional functions, we know we have curse of dimensionality.
198400	203680	But this theorem seems to tell us that you can decompose high-dimensional functions into
203680	208400	one-dimensional functions, which do not suffer from curse of dimensionality, which are great.
209920	222960	But immediately, there is this plot twist. Back in 1989, professor Jarosi and Poggio wrote this
222960	231200	paper examining the relevance of Comagra's theorem in the context of learning. And
232000	239440	they conclude that we review Comagra's theorem and show that it is irrelevant in the context of
239440	249280	networks for learning. So this paper basically sentenced the Ka theorem to death, at least
249280	259360	sentenced to jail for like 30 years. So is that the end of the story? Well, we want to tell you
259360	267440	that that's not the end of the story. And there's again a plot twist. So let's try to see what they
267440	276960	say in their paper, why they sentenced the theorem to jail. So their argument was that the theorem
276960	286400	fails to be true when the inner functions are required to be smooth. Basically, the original
286400	291760	theorem says that you can decompose a high-dimensional continuous function into one-dimensional
291760	299200	functions, but it doesn't guarantee you to decompose it into one-dimensional functions.
