start	end	text
0	10000	Well, everybody, great to be with you again. My name is Michael Millerman. And today we're going to go over this article called why AI will save the world.
10000	23000	Reading it together with you for the first time, although the author here was on the Lex Friedman show recently and it was a clip from their interview I saw that referred to this article and intrigued me enough to want to read it together with you.
24000	31000	So in just a minute, we'll do that. Like, share, subscribe, visit millermanschool.com for courses on philosophy and politics.
31000	42000	More and more of my students are talking to me these days about the implications of artificial intelligence for sovereignty and for the common good for our basic ideas of political order.
42000	53000	And therefore it's a good idea for us to get more into the details of how some people are speculating about the political and human significance of these new systems.
53000	61000	Okay, so let's begin. The era of artificial intelligence is here and boy are people freaking out.
61000	69000	Fortunately, I'm here to bring the good news. AI will not destroy the world and in fact may save it.
69000	82000	First, the short description of what AI is the application of mathematics and software code to teach computers how to understand, synthesize and generate knowledge in ways similar to how people do it.
82000	88000	AI is a computer program like any other it runs takes input processes and generates output.
88000	101000	AI's output is useful across a wide range of fields, ranging from coding to medicine to law to the creative arts. It is owned by people and controlled by people like any other technology.
101000	111000	So you see very quickly and early on here guarding against the idea that there's something autonomous or sovereign or tyrannical about AI.
111000	116000	It's a tool and like any other tool it works in the hands of people.
116000	130000	He says, let's see a shorter description of what AI isn't killer software and robots that will spring to life and decide to murder the human race, or otherwise ruin everything like you see in the movies.
130000	137000	And even shorter description of what AI could be a way to make everything we care about better.
137000	146000	Okay, so it's not going to be a runaway killer technology, but it might be something that we use to make the world a better place.
146000	160000	Why AI can make everything we care about better. The most validated core conclusion of social science across many decades and thousands of studies is that human intelligence makes a very broad range of life outcomes better.
160000	186000	Smarter people have better outcomes in almost every domain of activity, academic achievement, job performance, occupational status, income, creativity, physical health, longevity, learning new skills, managing complex tasks, leadership, entrepreneurial success, conflict resolution, reading comprehension, financial decision making, understanding others perspectives, creative arts, parenting outcomes, and life satisfaction.
186000	203000	Further, human intelligence is the lever that we have used for millennia to create the world we live in today. Science, technology, math, physics, chemistry, medicine, energy, construction, transportation, communication, art, music, culture, philosophy, ethics, morality.
203000	221000	Without the application of intelligence on all these domains, we would all still be living in mud huts, scratching out a meager existence of subsistence farming. Instead, we have used our intelligence to raise our standard of living on the order of 10,000 times over the last 4,000 years.
221000	237000	What AI offers us is the opportunity to profoundly augment human intelligence, to make all of these outcomes of intelligence and many others from the creation of new medicines, to ways to solve climate change, to technologies to reach the stars, much, much better from here.
237000	257000	AI augmentation of human intelligence has already started. AI is already around us in the form of computer control systems of many kinds, and is now rapidly escalating with AI large language models like chat GPT, and will accelerate very quickly from here if we let it.
257000	278000	In our new era of AI, and here's I guess the vision of what it could be if it is developed to be helpful to humanity as a tool that augments our intelligence and proves our quality of life in our new era of AI, every child will have an AI tutor that is infinitely patient, infinitely compassionate, infinitely knowledgeable, infinitely helpful.
278000	288000	I should add though, not if it's been trained on human experience in that case, I think it will get won't have these characteristics, certainly won't have any basis on which to model them.
288000	302000	Okay, infinitely patient, infinitely compassionate, infinitely knowledgeable, infinitely helpful. The AI tutor will be by each child's side, every step of their development, helping them maximize their potential with the machine version of infinite love.
303000	317000	I have to think about that because I have have some kids of my own. And one of them right now is with his grandma, and they're doing complicated math, you know, Russian, Soviet Jewish grandma type.
317000	335000	Of course, the child is doing math, well, beyond his ears. And I wonder, you know, it's under the pressure somehow, well, when he doesn't crack under the pressure of something other than infinitely compassionate, infinitely patient, infinitely helpful, infinite love.
335000	351000	He develops his mathematical skills and I've seen kids before in swim school, and they train with a teacher who's not infinitely patient and all of that but rather, whose strictness somehow is correlated with their development.
351000	365000	So I just wonder, you know, I have some experience of human tutors and human teachers producing excellent results in their students. And you just wonder, will infinite love and infinite compassion really produce the best outcomes.
365000	378000	It can't doesn't go without saying but it does sound good. Okay, next, every person will have an AI assistant coach mentor trainer advisor therapist, that is infinitely patient infinitely compassionate infinitely knowledgeable and infinitely helpful.
378000	386000	The AI assistant will be present through all of life's opportunities and challenges maximizing every person's outcomes.
386000	395000	Hmm. How does that sound to you? Does that sound plausible and AI assistant that can help you with everything is super compassionate knows you very well.
395000	402000	And you have any questions about anything. What should I do in my job? What should I do with my wife? What should I do with my friends? What should I do with my business?
403000	417000	And the AI is going to maximize your outcomes through all of your opportunities and challenges because of its infinite capacities. It's going to be like a little pocket Jesus there with you all the time to help you in everything that you are doing.
417000	435000	Every scientist will have an AI assistant collaborator partner that will greatly expand their scope of scientific research and achievement. Every artist, every engineer, every business person, every doctor, every caregiver will have the same in their worlds.
435000	450000	Every leader of a people. Okay, obviously this is a strong pitch for the fact that everybody on earth can benefit from AI, but let's see. Nevertheless, how it spun out every leader of people CEO government official non profit president athletic coach teacher will have the same.
450000	459000	The magnification effects of better decisions by leaders across the people they lead are enormous. So this intelligence augmentation may be the most important of all.
