start	end	text
0	11000	What does the word meaning denote in the expression meaning of life?
11000	17000	Is it a directive, a feeling, or something else entirely?
17000	24000	Well, I think it's not a straightforward manner to discuss the meaning of life, right?
24000	27000	Because it's pretty clear that there are multiple meanings,
27000	31000	and those meanings are associated with different events and situations.
31000	36000	I think you can still intelligently address the issue of the meaning of life,
36000	41000	because meanings tend to arrange themselves into a hierarchy of value and relevance,
41000	48000	and they have to do that because otherwise there's nothing but, as William James suggested,
48000	51000	sort of a blooming and buzzing confusion.
51000	56000	So the issue is multiple meanings in a unified, integrated framework.
56000	61000	Meaning is partly an impetus for action.
61000	66000	It's very important to remember that human beings are active and living creatures,
66000	70000	and that one of our primary problems, in fact, perhaps our primary problem,
70000	72000	is how to act in the world.
72000	78000	But that also involves other questions like how to perceive, how to prepare for action,
78000	81000	how to plan for action in the future.
81000	85000	And so all of those questions are associated with meaning.
85000	90000	For me, meaning is the abstract impetus towards action, fundamentally.
90000	93000	And it's an important thing to give some consideration to,
93000	100000	because part of the Western intellectual tradition tends to abstract rationality
100000	105000	or consciousness from embodiment, and it's very much the case that we are embodied creatures.
105000	109000	The idea that our brain is in our head and that our mind is in our brain,
109000	117000	it's a useful idea for certain purposes, but it obscures much while shedding light on other things.
117000	123000	So meaning is tightly associated with action, with the abstraction of action,
123000	127000	but then also with the construction of the perceptual frameworks and emotional responses
127000	134000	that are necessary to conceive of the world in a manner that allows you to act in it.
134000	138000	So one of the things we know, for example, is that when you walk into a room like this
138000	143000	and you see the furniture of the landscape arrayed in front of you,
143000	148000	that one of the things that you directly perceive is actually the meaning of that furniture.
148000	151000	And you might think that you see the object and infer the meaning,
151000	156000	and that's what you would think if you were a traditional Western rationalist or even a materialist,
156000	160000	but it actually seems to be the case that when you walk into a room like this,
160000	165000	the room tells you what to do at a level that's below conscious realization,
165000	168000	and it's partly because, well, you know exactly what chairs are for.
168000	171000	You might ask yourself, for example, what is a chair?
171000	175000	It's a complicated question because it could be a beanbag and it could be a stump,
175000	178000	but fundamentally a chair is something to sit in,
178000	184000	and when you see a chair, the chair tells you directly as a perceptual consequence that you sit in it,
184000	186000	and that's the meaning of the chair.
186000	193000	And so you can't understand meaning in that manner without considering meaning in relationship to embodiment.
193000	197000	And so meaning is really how we propel ourselves through the world
197000	201000	and how we organize ourselves and arrange to propel ourselves through the world
201000	208000	in a manner that's productive, relatively free of suffering, even though that's a meaning,
208000	212000	and sustainable across many situations and contexts.
212000	216000	So that's a rough framework for the initiation of the discussion.
219000	224000	For me, I think the first thing I would say is that word meaning is being used as a metaphor.
224000	230000	We're taking basically a term from language, a sentence is meaningful,
230000	237000	and we're using it metaphorically to try to denote something that is probably pre-linguistic,
237000	239000	although it shows up in our language.
239000	243000	A sentence is meaningful in that it does something to information
243000	248000	in such a way that we get a fundamental connection between ourselves and the world.
248000	253000	And I think that's, for me, what is fundamentally going on when we talk about meaning.
253000	258000	We're talking about the fact that there's a fundamental process of selection
258000	263000	that the brain, the embodied brain, which I agree with you is a very important thing
263000	266000	to constantly remind ourselves of, has to face.
266000	269000	There's way too much information available at all times,
269000	276000	and of all of that information, only some of it is going to be useful or helpful to an organism.
276000	279000	And somehow that information has to be found.
279000	282000	It has to be found in a very reliable manner.
282000	289000	It has to be transformed into a form that is relevant to this body in this world,
289000	297000	such that I can frame problems, solve problems, achieve my goals.
297000	303000	And that process of zeroing in on relevant information, what I call relevance realization,
303000	311000	means that we are fundamentally thrown into a atmospheric kind of relationship to the world.
311000	316000	There's a salience landscape constantly being projected at all times of how things stand out to you,
316000	322000	what gathers your attention, what arouses your metabolic resources or dampens them,
322000	326000	what creates certain motivational and affective states.
326000	332000	Because this relevance realization process is not a cold calculation, like a computer.
332000	337000	It's instead a deep involvement between the organism and its world.
337000	344000	And that involvement has, as Jordan says, it's often and most prominently going on below consciousness,
344000	347000	and it's an ongoing, evolving process.
347000	349000	I mean, one minute something is salient.
349000	352000	Look, that became salient to you, now it's not salient anymore.
352000	354000	So that process is constantly evolving.
354000	357000	And so we shouldn't think of meaning as a static thing,
357000	362000	but this ongoing process by which the organism is constantly fitting itself to the world
362000	368000	and having the world fitted to it so that its actions can be undertaken in a fluent manner.
368000	372000	Now the thing that I think is very important about this,
372000	377000	meaning making process, or as I prefer to call it, relevance realization,
377000	380000	because I think meaning is standing in as a metaphor for that,
380000	387000	is that this process is, it's below our consciousness, it's below our rationality,
387000	391000	it's below our language use, it's below our deliberative reasoning,
391000	395000	precisely because it's constitutive or presupposed by all those processes.
395000	398000	Until you do relevance realization, you can't use a language.
398000	401000	Until you do relevance realization, you can't form representations.
401000	406000	Until you do relevance realization, you can't even form your own autobiographical identity.
406000	413000	The world as a place that has categories and you as a cognitive agent with a sense of identity in it,
413000	416000	both co-spring from this relevance realization.
416000	420000	It is a deep binding of you and the world at a fundamental level.
420000	423000	And that's why when it's threatened in any fashion,
423000	429000	human beings will experience a deep kind of trauma, absurdity, horror, a deep kind of anxiety.
429000	432000	And so when I think people are talking about meaning in life,
432000	435000	what they're trying to gesture towards is they have structures in place
435000	441000	that maintain and enhance that relevance realization such that two things are possible.
441000	446000	They can reliably keep at bay absurdity and horror,
446000	452000	and they can reliably afford the ongoing evolution, the growth of that relevance realization
452000	456000	so that they can find some kind of fulfillment in that identity
456000	459000	that they are cultivating for themselves as a cognitive agent
459000	463000	and the world into which they are fitted.
463000	466000	And so I think the degree to which people are talking about meaning in life
466000	469000	is the degree to which they're talking about those kinds of structures
469000	475000	that affect that co-creation out of relevance realization of cognitive agency
475000	480000	and a world in which cognitive agents can solve problems in an intelligible manner.
480000	485000	We should also maybe decide if we agree on something.
485000	488000	We're going to agree on many things, I suppose.
488000	492000	And a lot of a discussion like this is often terminological
492000	494000	and it's partly going to be the case between John and I
494000	497000	because his intellectual background is different than mine,
497000	499000	although it overlaps in some important ways.
499000	503000	And so partly what I'm hoping to do with the discussion tonight
503000	506000	is to make sure that we actually understand each other.
506000	509000	This is definitely not a debate in which one of us is going to win.
509000	513000	What we're hoping to do is to have the kind of conversation
513000	516000	that allows for the scaffolding and the further development of ideas,
516000	519000	which is really what an intellectual conversation is.
519000	522000	So I want to offer you a couple of propositions
522000	524000	and tell me what you think about them.
524000	527000	The first thing is that I don't believe that the question
527000	530000	does life have meaning is actually a reasonable question.
530000	532000	I don't think it's properly formulated.
532000	534000	And the reason I believe that is because
534000	539000	that isn't really what people want to know when they ask that question.
539000	541000	Life has lots of meanings.
541000	543000	The Buddhists would say that life is suffering.
543000	546000	And you know, we might not think about suffering as meaning,
546000	548000	but fundamentally it's anxiety and pain
548000	551000	and with some disgust thrown in there maybe for good measure.
551000	553000	And those are meanings.
553000	556000	And even if you're nihilistic and you're not oriented towards
556000	559000	a belief in some sort of ultimate meaning structure,
559000	561000	that doesn't mean you can escape from the meaning of life.
561000	564000	What it does mean is that the meaning of your life is misery,
564000	567000	suffering, anxiety, and a real decrement and quality.
567000	571000	So we're trapped inside the question of the meaning of life.
571000	573000	There's no getting outside of it.
573000	575000	You can say there's no ultimate meaning,
575000	577000	but then you have to define ultimate.
577000	579000	And then the other thing that I thought...
579000	581000	So let me just make sure I got the first proposition.
581000	583000	The first proposition is the question,
583000	585000	I want to make sure I got your wording right,
585000	587000	does life have a meaning as opposed?
587000	589000	I just want to store that.
589000	592000	I can either respond or wait until you put your second question out.
593000	595000	Yeah, yeah.
595000	597000	I just don't want to lose the first question.
597000	600000	The other thing that might be useful, clarifying,
600000	603000	I understand what you mean by relevance realization.
603000	607000	I have a formulation of it in my own language,
607000	610000	so I'm going to make a couple of comments on that as well,
610000	613000	and you can tell me if you agree or disagree on that.
613000	616000	So one of the things that's quite...
616000	620000	One of the ways that you can approach the idea of meaning
620000	622000	is by making a separate assumption
622000	625000	about what the fundamental structures in the world are.
625000	627000	I mean, materialists and empiricists
627000	629000	tend to believe that the fundamental structures are,
629000	631000	we'll say, atomic particles,
631000	634000	even though we know we can go higher resolution than that.
634000	636000	There's atomic particles and there's this space
636000	638000	in which they're distributed,
638000	642000	and what that means is that the combination of quantum particles,
642000	644000	quantized particles plus space,
644000	649000	allows for the array of physical entities in patterns.
649000	651000	Like music is a pattern,
651000	655000	and there seems to me that there's something profoundly similar
655000	658000	about patterns and information,
658000	661000	and it seems to me that what we experience as meaning
661000	665000	is something like our interaction with information.
665000	667000	Now, I just want to say one more thing about that.
667000	669000	The problem with information in some sense
669000	671000	is that there's too much of it.
671000	673000	So one of the things you could say about life's meaning
673000	676000	is that there's absolutely way too much of it.
676000	678000	You can certainly experience that
678000	680000	if you ever have an experience of awe,
680000	683000	or even of overwhelming absurdity.
683000	686000	Those are both quasi-religious experiences.
686000	690000	So relevance realization is actually, as far as I can tell,
690000	692000	it's the limitation of what's essentially
692000	695000	an close to infinite field of information
695000	697000	that's so rich that it can't be exhausted
697000	700000	into a narrower form that's focal and useful
700000	703000	for this particular time and this particular place
703000	705000	for this particular set of activities.
705000	707000	So it's a narrowing process.
707000	710000	Yeah, okay, so I'll respond to the second thing first
710000	712000	because that will actually help me to respond
712000	715000	to your first question about the posing of the question.
715000	717000	Yeah, I think that's a good way of putting it.
717000	719000	Although I would want to emphasize
719000	722000	that I don't think that process is just a selection process,
722000	724000	it's an important transformation process
724000	728000	because we do something to the information,
728000	731000	and you made reference to this in the embodiment.
731000	734000	It's not just that we have sort of passively taken in the information
734000	736000	or selected it from the environment.
736000	740000	We make the pieces, like you said, we find patterns.
740000	742000	It's how the pieces are relevant to each other,
742000	744000	how they're relevant to us.
744000	746000	Again, and I'm trying to emphasize this,
746000	749000	not just as some sort of cold calculation
749000	752000	about that information, but a way in which...
752000	755000	I mean, we say it like we make sense.
755000	758000	It's constitutive of our cognitive agency.
758000	761000	Just like our bodies take in matter,
761000	763000	but they don't just select the matter,
763000	765000	they transform it and restructure it,
765000	767000	so we have the ability to operate in the world.
767000	769000	Our minds don't just select the information,
769000	772000	they take in it, they transform it and structure it,
772000	774000	so analogous to our bodies,
774000	777000	we gain skills and abilities to interact with that world
777000	779000	from which that information was selected.
779000	783000	That's why I think people love to watch bands improvise,
783000	785000	because really what they're doing,
785000	787000	especially if they're doing it collectively,
787000	789000	is they're engaging in a collective process
789000	791000	of the spontaneous transmutation of patterns.
791000	794000	And I think the reason that people find that so deeply meaningful
794000	797000	is because it is representation,
797000	800000	like an ongoing abstract artistic representation.
800000	804000	I think it's an exemplification of what we do in the world.
804000	806000	That's right. I think one of the reasons why we like art
806000	808000	is we play with the variance...
808000	811000	We're playing in the Piagetian sense of playing,
811000	813000	in the sense of developing our skills.
813000	816000	We play with the relevance realization machinery for its own sake.
816000	818000	But that allows me to go back to your...
818000	822000	I think asking for the meaning of life,
822000	824000	it carries with it sort of...
824000	826000	even saying the meaning in life,
826000	830000	it carries with it the presupposition that meaning is sort of there to be found,
830000	835000	and it immediately steers us away from this ongoing process
835000	837000	in which we're taking in information,
837000	840000	transforming it, structuring it,
840000	842000	altering ourselves, fitting to a world
842000	846000	that is then also itself, restructuring itself, changing itself.
846000	849000	And so there's this ongoing, evolving relationship.
849000	852000	So one of the reasons why I don't like the question,
852000	856000	the meaning of life, is it proposes a ready-made answer to be found.
856000	860000	It presupposes a static thing to be discovered,
860000	862000	or even a static relation to be realized.
862000	867000	And it also carries with it the idea that...
867000	870000	It's like, like you said,
870000	875000	it's like there is an answer to a question that has been posed,
875000	879000	when I don't think the issue facing us is a riddle
879000	883000	or a question in that sense that some proposition will satisfy.
883000	885000	I don't think there's anything that...
885000	887000	I'm sorry, this will sound incredibly pretentious,
887000	889000	but I'm being asked about, I think.
889000	890000	I don't think there's anything...
890000	892000	I'm trying to make him sound pretentious.
892000	895000	I don't think there's a proposition that anybody can say to you
895000	897000	that will render your life meaningful.
897000	900000	I mean, you might do things with that proposition
900000	903000	that might fit you better to the world
903000	906000	so that horror becomes less prevalent
906000	908000	and flourishing becomes more prominent.
908000	911000	But to think that the answer is in the proposition
911000	916000	is to misunderstand the role of propositions in our cognition.
916000	918000	The propositional level is very high up
918000	922000	and sits on many recursive levels of relevance realization
922000	927000	that only at their very tip produce this kind of propositional processing.
927000	932000	The meaning is much more our knowing how to interact with the world,
932000	937000	knowing how to fit my hand to this glass is part of that process.
937000	940000	And that's not based on sort of just...
