start	end	text
0	17060	Well, we've just heard some wonderful lectures on RNA, coding, replication, evolution, but
17060	22260	we still have this problem about what was the first engine and indeed what was its fuel.
22260	27340	So I'm going to suggest that we should think about what life does rather than what it is
27340	28720	to understand that.
28720	30860	And what does life do?
30860	33700	It hydrogenates carbon dioxide.
33700	38300	Right down the bottom of the food chain and probably down the bottom of the evolutionary
38300	41620	tree it hydrogenates carbon dioxide.
41620	47720	So presumably that's how it started.
47720	52660	So here's what I'd like to also emphasize and people have already worried me about
52660	58220	the remark about entropy, but I think we shouldn't forget this wonderful book by Schrodinger.
58220	60920	To me there were two wonderful books about the origin of life.
60920	66260	One's worth reading and it's by Le Duc and by the way it's a century when it was published.
66260	69180	It was published in 1911 and really it's worth a read.
69180	73660	He had the Nianst equation, all the kind of things in it that in fact I'm going to allude
73660	78420	to, the only thing he didn't have was an alkaline spring.
78420	83260	Without taking the other book, of course, that is what is life and that's from Schrodinger,
83260	87500	I'd just like to emphasize he kept on saying what does life do?
87500	91020	It drinks orderliness from a suitable environment.
91020	93780	So yeah, let's find with this suitable environment.
93780	95140	What is a suitable environment?
95140	98020	It's got to offer us everything, all in one place.
98020	99980	We don't want any contingencies.
99980	104280	It's got to be right there, nothing, no false pleas.
104280	108720	So our suggestion then is basically we're looking at an earth which is a water world
108720	112240	and I'm going to go back on to that but there's probably at least twice as much water on the
112240	114360	early earth, probably more than that.
114360	115560	There is no land.
115560	120160	The day lasts about 12 hours, the moon's much closer, the galaxy's probably much closer
120160	122200	and the other galaxies are closer.
122200	126240	This is a different planet, don't think this planet, think another planet.
126240	130560	It's a third of the age of the universe ago and of course we've got the water covering
130560	131560	the planet.
131560	133160	It's a pretty oxidized surface, don't forget.
133160	138360	It's H2O and CO2 and without photosynthesis you can't do much better than that.
138360	143680	So we've got an oxidized exterior and we've got one compartment on this planet of water.
143680	151560	But we need to think about how we could get some tension on the planet because after all
151560	160640	what we have is water we know can descend into the planet and in fact oxidize the surface
160640	166520	or the near surface, oxidize it, carbonate it and hydrate it so much so that this water
166520	172320	up here which probably supports up to 10 bars of carbon dioxide and maybe more, don't forget
172320	176120	Venus has 90 atmospheres of carbon dioxide so we're not claiming much and as somebody
176120	179120	said yesterday Mars has a carbon dioxide atmosphere.
179120	180840	That's what these planets are like.
180840	185000	At high temperature through volcanoes you get carbon dioxide so that's the exterior
185000	187320	but the interior is electron rich.
187320	192440	One comes the water and suddenly we're getting a differentiation of this seawater which was
192440	197400	somewhat acidic up here, carbonic if you like, it comes down and it comes back up and it's
197400	198400	quite different now.
198400	203520	It's got a pH of about 11, it's got quite a lot of hydrogen so that's our fuel, it's
203520	208400	our favorite fuel after all, what we're all trying to aim for, some methane, not such a
208400	210440	bad fuel and some formate.
210440	214280	So this is coming up now and it's like a titration.
214280	218080	This water now is going to come out, there's five pH units different, it's going to come
218080	223600	up and it's going to titrate into this ocean but as many of you, at least when I was young
223600	228920	doing buretting you'd know that out of a burette or even a pipette you'd get some fouling
228920	232640	and here we've got some fouling and it's inorganic fouling.
232640	237200	This is all about an inorganic world to start with.
237200	243920	So my molecule, pre-bodic molecule, what I think about the pre-bodic molecule, it's carbon
243920	245160	dioxide.
245160	250680	So we're bringing this material back up here, this water back up here, we get some fouling,
250680	256080	we get some frustration, we get this therefore becomes the kind of creative place for interaction
256080	261320	between the carbonic ocean and the hydrogen and this is where we would say hydrogenation
261320	265960	of carbon dioxide would start and if we kind of blow this up a bit we've got our iron sulfide
265960	271240	and iron nickel sulfides, the iron by the way coming out of this reservoir of an ocean
271240	277200	and I'll explain that in a moment, some nickel, of course the CO2 and protons so we've got
277200	282400	even a proton gradient so we've got a proton motive force but also we've got things like
282400	289400	nitric oxide out here so we've actually got a redox gradient as well and the overall amount
289400	294360	of energy is about between half and one volt so it's a commensurate energy with what we
294360	299760	use today, so what life uses and we would suggest that life starts probably between
299760	304360	40 and 80 degrees centigrade in such a system, a compartmentalized system.
304360	308440	So I call this a two compartment entropy trap because we've had one compartment up here
308440	314520	which was of course the open ocean and then we can differentiate that water and bring
314520	320080	back the water and now we've got an entropy trap because we've got these two fluids constantly
320080	326460	interacting with each other.
326460	332020	So here's this turbulent water world, the Hadian water world, it's a single compartment
332020	337820	as I say, it's got eight times the amount of UV present day that you wouldn't want to
337820	342060	be on the surface of this planet, I mean it's really a hopeless place to be, there's no
342060	348260	land to stop the hurricanes, it's continually out of physical equilibrium as well as chemical
348260	353420	equilibrium so it's a turbulent world, the Hadian water world as I say and it's being
353420	361340	impacted of course by bolides and after the lunar impact the ocean probably rained out
361340	365960	around about 4.4 billion years ago and life would have started very shortly thereafter
365960	370880	and it would be very hard to kill after that and I think that life probably started around
370880	374760	about 4.4 and kept going.
374760	378740	So we know now and of course we're getting yet another experience of this from Iceland
378740	383380	that here's the volcano, this is last year's volcano from Iceland and of course out comes
383380	389220	this carbon dioxide, some hydrogen sulfide, sulfur dioxide, trioxide, nitric oxide, plenty
389220	394740	of nitric oxide not just because of the lightning but because nitric oxide is stable in this
394740	396340	magmatic material.
396340	401740	There's an interesting crossover geochemically so that really carbon, the state of carbon
401740	406900	in the mantle at low temperature would like to be methane but around about four or five
406980	411300	hundred degrees centigrade is a crossover between the redox condition of iron two to
411300	417020	iron three and carbon methane to carbon dioxide so at high temperature you always get carbon
417020	418020	dioxide.
418020	422740	In fact geologists since Darwin have always known that the early atmosphere of this planet
422740	426660	was carbon dioxide.
426660	432580	So here's our earth and as I say it's oxidized on the outside, it's even probably got some
432580	436700	ferric iron and yet the interior is reduced.
436700	443700	It's in fact a little bit of native iron and some ferrous iron and that's the material
443700	446940	that basically is oxidized by water to generate the hydrogen.
446940	452420	So hydrogen becomes the carrier gas if you like of the electrons from the interior and
452420	458420	actually it's a bit like an autotrophic bacterium, it just doesn't do the job fast enough but
458420	462740	it does make some methane as we know.
462740	466700	So we could think of this and I don't want to take this two series because I don't think
466700	472940	methanogens were very early anymore but basically here's the reaction and the world can do it
472940	477980	pretty well geochemically, hydrogen plus CO2 makes methane plus water.
477980	483180	So we can think of this a bit like a methanogen, here's the methanogen or an electrochemical
483180	487340	cell, the output as I say between half and one volt.
487340	491380	So what we'd suggest then is can we imagine life kind of bubbling off from the surface
491380	497700	of the planet and here we suggest that just as a bubble, here's the kind of inorganic
497700	504620	membrane that I hope to show you, inside is very low pH conditions, sorry very high pH
504620	509900	conditions, very low hydroxyl, very high hydroxyl amounts and on the outside you've got the
509900	515300	protons from the protonic ocean or the carbonic ocean and so we've got a kind of entropy
515300	521280	trap here because we've got order, continual order between the inside and the outside.
521280	525460	This is reduced and this is somewhat oxidized on the outside and as I say it's a rather
525460	532100	like bacterium except that bacterium transports the protons out of the cell to come back in
532100	538260	to drive things like ATP whereas we don't need to drive that system because it's out
538260	539860	here as part of the initial condition.
539860	545460	So the initial conditions we would say favor metabolism right from the start.
545460	548940	So here we have it again from Schrodinger order, from order.
548940	555780	You can't have, you don't want a hypercyclic, you don't want to drag life out of a chaotic
555780	560500	mess, you need to have direct delivery and there's one thing that if you're not a geologist
560500	565620	or don't know any geology, the one thing I'd like to remember as a rock type and that is
566260	571380	sub-pentanization and so this is sub-pentanide and you're going to see a few slides of this,
571380	576140	you've all seen it in shop windows and so forth on the sides of shop windows.
576140	580580	You can see how fractured it is, this is a kind of little engines of generation of hydrogen
580580	586740	actually as the water permeates through this rock and sub-pentanizes what is the crust and
586740	591820	this is why in a kind of analogy with Maxwell's demon, this is the demon that makes the difference
591860	597340	between this fluid, sorry, this fluid and this fluid, the sub-pentanization reaction.
597340	605580	So just to remind us that this is the United Nations building, by the way JPL said I really
605580	607540	shouldn't show this side because it was political.
607540	612060	Well I mean here's the president so I think it's beyond politics but anyway here's our
612060	618180	sub-pentanide it's as you, I'm sure you've become aware of this rock type and what we're
618220	623100	looking at is something called olivine plus water, basically here's olivine, magnesium
623100	629660	iron silicate plus water, generate some silica, some magnetite so we've oxidized the iron
629660	635860	now, magnesium and calcium go into solution to give you the hydroxyl, the alkaline fluid
635860	639060	and hydrogen in solution.
639060	643940	And if there's carbon dioxide, some a little bit of methane and this is the pathway, the
643940	649420	geochemical pathway, it goes from CO2, basically it goes pretty fast to methane, or fairly
649420	654900	fast to methane, although you can see some of them, you can get formate in the reactions
654900	659460	so you can find this in a hot spring, typically hot spring, nothing to do with life at all,
659460	664060	will generate methane and you'll have a little bit of formate, you don't see any methyl alcohol
664060	670620	that seems to be pretty unstable and go to the methane.
671540	675420	We've talked about the methane and I've just said that I don't think that this was an early
675420	679740	reaction for biology, but nevertheless it's kind of there in the wings, the reaction that
679740	686180	really takes place I think is the hydrogen plus the CO2 to acetate, so basically acetate,
686180	691980	it's CO2 plus CH4 by the way, makes you acetate, so here's, to me this is the key reaction
691980	698900	and in our lab we can never make this, we've never been able to make this chemically, so
699060	704340	we think that this really was the job for life and so that thereby hangs the tale that
704340	709740	we think that life, the beginnings of life was something that was a kind of microbe
709740	714340	that was an acetogen, something that generated acetate from carbon, oxide and hydrogen.
714340	718220	So we heard about the black smokers this morning, here they are and of course when, as soon
718220	722260	as they were discovered, they were predicted by somebody by Jack Corliss and John Edmund
722260	728260	were with Jack Corliss when these were discovered, predicted by the way in the Pacific at 360
728500	732020	degrees centigrade, of course the first thing to come to their mind was well maybe life
732020	736180	started here, Stanley Miller didn't like that and wrote a letter to Nature saying it was
736180	740740	ludicrous to think life could start at 400 or 360 degrees centigrade, I mean yeah I agree
740740	745300	with them, but interestingly there wouldn't have been black smokers on the early earth,
745300	749740	there'd been many more of these springs but they would have been 400 degrees centigrade
749740	753380	but they wouldn't be black smoke because the only reason why you've got black smoke here
753380	757860	is because it's acidic, hot solution, it's not because it's cooling, it's because it's
757860	761380	interacting with the alkaline seawater so you get the precipitation of this kind of
761380	767740	so-called black smoke which are things like iron, zinc, manganese, oxides and nickel and
767740	773300	a little bit of cobalt, so this basically they provide the trace elements into the early
773300	778380	ocean and that becomes a reservoir, perhaps a super saturated reservoir of just the kind
778380	783740	of metals we require for the first enzymes.
783740	787660	So we've seen this, so this I'm not sure if you can get this, this is the ocean floor
787660	793700	spreading, here's the actual spreading axis here and right here we've got the magma, here's
793700	798060	the magma chamber so the water comes down to just about its critical point, perhaps a little
798060	802700	bit higher, becomes very buoyant, shoots back up and as I think Jennifer said you know
802700	808540	they only last for about 10 to 100 years so that's not very long and let's say they're
808620	814260	up to 400 degrees centigrade, so it can't be here but we've been working in mineral
814260	821260	deposits in Ireland and Alpine ultromethic provinces as called so we assume that there
823860	830220	should be other kinds of hot springs on the early earth and we predicted in 1989 that
830220	835540	there should be alkaline springs and Fortune would have it, a PhD student was looking out
835540	839620	of the submarine window as they were going to the mid-oceanic ridge, the mid-atlantic
839620	846620	ridge and she saw that some kind of little wisps of white smoke material and she stopped
848860	852260	the submarine, told Deb Callie and they went back and they found this extraordinary structure,
852260	857620	it's still the only main one to be found so far but it's the Lost City submarine spring,
857620	863180	it lasts for at least 30,000 years, pretty certainly 100,000 years so that's a 10 to
863220	868220	the 17 microseconds and somebody also said yesterday or perhaps this morning that the
868220	872380	interactions, the chemical interactions, we shouldn't think in our terms of us, our
872380	877220	big bulky selves in our time, we should think in terms of how long it takes to make these
877220	882060	chemical reactions so 10 to the power of 17 microseconds I would think is plenty of time
882060	888260	for life to start. So what we got here, so we've got this made of calcium and magnesium
888260	894940	hydroxide, it's up to 94 degrees centigrade, not too hot, 15 millimoles of hydrogen so
894940	901940	that's plenty of fuel, up to 2 millimoles of methane and they make compartments so
902940	908100	in the precipitation there's always, always these springs, whatever the kind, always generates
908100	914700	some hollow compartments where the fluid makes its way through in a kind of labyrinthine manner
914780	918300	and some of them seal off and so forth and I think these compartments are all important
918300	923460	because we must have compartments I think for metabolism to make any sense, not only
923460	929340	to keep the goodies so to speak inside but also to use those gradients which are pH gradients,
929340	936340	redox gradients and of course even a temperature gradient. So here's, this is geochemistry
936900	942740	and one thing to say about it is if it was geochemically easy to make, to reduce carbon
942740	949220	dioxide to methane, there would be no life, no requirement for it, it's a very fact that
949220	956220	it's such an uphill task to add an electron to CO2 and then reduce it to formate and formaldehyde
956740	962020	and then once you've got there, downhill it goes but because of this life can come in
962020	967860	here as the catalyst to bring us up to formate or formaldehyde and then downhill, it's like,
967860	974860	it's a kind of geochemical siphon. So, and here's what the methalogens do, so they make
975500	982100	it easier, catalysis lowers the activation energy required for the reaction and also
982100	989180	an ionic gradient is required to help CO2 be reduced to formate and then after that
989180	994260	it's fairly well downhill but it's very complicated to get energy out of this so I don't think
994260	1000060	that this was, the methalogens were not eaten early but we think the acetogens were. So
1000060	1005180	the acetogens now, they don't need an ionic gradient so much, well except in a sense
1005180	1010860	they need ATP or adenosine triphosphate and it's adenosine triphosphate that drives the
1010860	1016500	CO2 up to formate and formaldehyde and methylene and then downhill and then you add a methyl
1016500	1022500	group to carbon monoxide which is reduced elsewhere and you end up with acetate which
1022580	1027580	of course can take you on a pyruvate and eventually can aminate by the way all these reactions
1027580	1034580	taking place most easily in alkaline solution. So here, you put it all together and let's
1034580	1038660	think of this, you can think of this in all kinds of ways, it's the fractionation column,
1038660	1043740	it's a hydrothermal flow reactor and so, but what I've done is kind of dress it up as one
1043740	1048780	structure here but let me just remind you that here's, here are the reduced molecules
1048780	1053740	coming out, there's hydrogen of course, a little bit of methane, some ammonia, molybdenum
1053740	1058660	sulfide, soluble in alkaline solution as in, as our tungsten oxide which I think is pretty
1058660	1064260	significant because we, all life seems to require this molybdenum and tungsten at this
1064260	1070980	early stage of reduction and what I've plotted here really is basically the acetyl coenzyme
1070980	1076700	A pathway. So the CO2 comes from the outside, we think that we need some ferric ion or maybe
1076700	1084140	nitrate out here to help to oxidize the reduced molybdenum site so you lose an electron from
1084140	1088140	molybdenum from molybdenum 4 to molybdenum 5 and then you've got a very energetic electron
1088140	1093380	which can then reduce the CO2 and once you've done that then you're off on the, on that
1093380	1102300	pathway up through onto a cobalt enzyme which will take the methyl group onto acetyl coenzyme
1102300	1106260	synthase itself which is a nickel bearing enzyme, notice the importance of metals in
1106260	1113820	here, we've already required molybdenum, iron, of course iron sulfides as well and the cobalt
1113820	1120860	and the nickel and once we've got here then that the acetate can be taken either by what
1120860	1128500	is now the synthase, the thiol group and the thiol can then be phosphorylated to, to generate
1129060	1135420	acetyl phosphate and the phosphate can then with the help of other phosphate from outside
1135420	1146020	be, help to generate pyrophosphate from monophosphate so this in the acetyl coenzyme pathway is
1146020	1154580	ADP to ATP, here we're using just monophosphate or orthophosphate to go to pyrophosphate
1154660	1163380	and that then feeds into general biosynthesis, acetogenic biosynthesis, I should say that
