start	end	text
0	9760	This week's Moment of Zen is a feed drop for one of Turpentine's biggest shows, The
9760	13280	Cognitive Revolution, hosted by Nathan LeBenz.
13280	17520	Biology and Nathan discussed the evolution, challenges, and role of AI in different realms
17520	21200	like politics, environmentalism, medicine, and more.
21200	24640	There's a lot of new content here about where biology thinks AI is going and interesting
24640	26800	parallels with religion.
26800	30680	Nathan brings up some AI safety concerns in the course of the discussion.
30680	34920	If you like what you hear, check out our other Moment of Zen episodes with Boloji and check
34920	37200	out The Cognitive Revolution.
37200	39200	Please enjoy.
39200	42720	Boloji Srinivasan, welcome to The Cognitive Revolution.
42720	43720	All right.
43720	44720	I feel welcome.
44720	49020	Well, we've got a ton to talk about, you know, obviously you bring a lot of different
49020	53920	perspectives to everything that you think about and work on.
53920	58720	And today I want to just try to muster all those different perspectives onto this, you
58720	62920	know, what I see is really the defining question of our time, which is like, what's up with
62920	66400	AI and, you know, how's it going to turn out?
66400	70200	I thought maybe for starters, I would love to just get your baseline kind of table setting
70200	77920	on how much more AI progress do you expect us to see over the next few years, like how
77920	83600	powerful our AI system is going to become in, again, kind of a relatively short timeline.
83600	87040	And then maybe if you want to take, you know, a bigger stab at it, you could answer that
87040	90240	same question for a longer timeline, like the rest of our lives or whatever.
90240	91240	Sure.
91240	92240	Let me give an abstract answer.
92240	94360	Then let me give a technical answer.
94360	100120	You know, if you look at evolution, we've seen something as complex as flight evolved
100120	104520	independently in birds, bats, and bees.
104520	113320	And even intelligence, we've seen fairly high intelligence in dolphins, in whales, in octopuses,
114280	116760	you know, octopus in particular can do like tool manipulation.
116760	119760	They've got things that are a lot like hands, you know, with tentacles.
119760	127520	And so that indicates that it is plausible that you could have multiple pathways to intelligence,
127520	131440	whether, you know, we have carbon based intelligence, or we could have silicon based intelligence
131440	134440	that just has a totally different form or the fundamental thing is an electromagnetic
134440	139080	wave and data storage as opposed to, you know, DNA and so on, right?
139080	143160	So that's like a plausibility argument in terms of evolution is being so resourceful
143160	148200	that it's invented really complicated things in different ways, okay?
148200	152280	Then in terms of the technical point, I think as of like right now, I should probably date
152280	156640	it as like December 11, 2023, because this field moves so fast, right?
156640	161440	My view is, and maybe you'll have a different view, is that the breakthroughs that are really
161440	167840	needed for something that's like true artificial intelligence that is human independent, right?
167840	171880	Maybe the next step after the Turing test, I've got an article that, you know, we're
171920	176520	writing called the Turing thresholds, which tries to generalize the Turing test to like
176520	178920	the cartage of scale, you know, have you got energy thresholds?
178920	181480	Like what are useful scales beyond that?
181480	188040	And right now, I think that what we call AI is absolutely amazing for environments that
188040	191560	are not time varying or rule varying.
191560	196520	And what I mean by that is, so you kind of have, let's say two large schools of AI, and
196520	200200	obviously there's overlap in terms of the personnel and so on, but there's like the
200200	204000	deep mind school, which has gotten less press recently, but got more press, you know, a
204000	207560	few years ago, and that is game playing, right?
207560	211880	It is, you know, superhuman playing of go without go.
212160	216360	It is, you know, all the video game stuff they've done where they learn at the pixel
216360	219520	level and they don't, they just teach the very basic rules and it figures it out from
219520	223400	there. And it's also, you know, the protein folding stuff and what have you, right?
224240	228000	But in general, I think they're known for reinforcement learning and those kinds of
228040	230360	approaches. I mean, they're good at a lot of things, but that's what I think he finds
230360	234560	known for. Of course, they put out this new model recently, the Gemini model.
234560	237440	So I'm not saying that they're not good at everything, but that's just kind of what
