start	end	text
0	4080	Imagine if you lived in a world where you were constantly watched, a world where everything
4080	8560	is controlled by the elite, where you're bombarded with non-stop propaganda, a world where everyone
8560	14160	is repressed, lonely and isolated, existing as one insignificant cog in an incomprehensible machine.
14160	19600	This is the chilling vision of the future that George Orwell put forward in his masterpiece 1984,
19600	24160	and does it sound familiar? It's no coincidence that his predictions have come true nearly every
24160	29520	single way in our modern society today, so let's take a deep dive into the story of 1984 to learn
29520	34640	how you're all being controlled and if you can ever break free. Now the movie begins with a quote
34640	39040	from the iconic book that it was adapted from, who controls the past controls the future,
39040	44240	who controls the present controls the past, and this sets the stage. And then without delay,
44240	48640	we are then shown the iconic shots of a crowd of people staring at propaganda presented by the
48640	53200	party. The party is the shadowy government which controls every aspect of life through their
53200	59200	ideology in suck. The basic principle is to control information so tightly that every aspect of life
59200	64960	is dictated and controlled by the party. Absolute obedience is expected, down to rejecting basic
64960	69840	facts about life and even your own thoughts and memories. On the screen, a video player is creating
69840	75200	an idyllic image of the country that the West has become, all under this totalitarian rule, Oceana.
75200	80400	This is one of the three super states which make up the world of 1984, with control over the Americas,
80400	84640	Britain, Australia and some parts of Africa. And this is when we're introduced to the concept of
84640	89120	Big Brother and a man named Goldstein who attempts to persuade the people of Oceana that they are
89120	93200	being duped. But despite the truth in what he's saying, it's drowned out by shouts from the
93200	97840	audience. Insoc has conditioned them to reject the truth entirely, to the point they don't even want
97840	101920	to hear it. Throughout the demonstration, you can see the Insoc salutes, something that was
101920	106960	borrowed from historical totalitarian regimes. And after this propaganda video reaches its climax,
106960	111200	the crowd is pacified by the symbol of Insoc, alongside the face of Big Brother.
112720	116560	It's afterwards that we're introduced to our main character, Winston Smith, who is working
116560	121120	in an office cubicle for the Ministry of Truth. His job is to edit past broadcasts to reflect
121120	125040	the current reality that they're pushing. So if the sugar ration has been reduced from last year,
125040	128960	he will then edit last year's paper to imply that it actually went up instead. And then once he's
128960	133360	finished with his day's work, Winston makes his way back home, where propaganda has already been
133360	138000	played in his house. This time it's a man being shamed for falling under Goldstein's influence.
138000	142320	The man has been charged for attempting to persuade the public that they're not at a war with Eurasia,
142320	147360	but rather East Asia. This information control and Eurasia is central to Big Brother's control
147360	152960	of the people. As over time, the party has rewritten reality to suit their needs. Now Winston is a
152960	157680	key part of this process, but obviously this brings up contradictions. And that's where the concept
157680	163200	of double thing comes in. The idea of wholeheartedly believing in two separate contradictory facts.
163200	167520	One of the examples they give in the novel is the simultaneous belief that the party is a bastion
