start	end	text
0	3840	At the end of the day we're all in this situation together and it's no individual's fault that
3840	9440	we got here but it's everyone's responsibility regardless of what decades you were born in
10240	16800	to contribute towards responding so I would love to see older generations firstly stop
16800	24320	saying that it's down to our generation. Secondly stops having conversations about these topics
24320	31040	in closed rooms amongst academic elite and instead actively engaging in the intergenerational
31040	36160	transfer of knowledge and expertise and skills so that our generation and younger generations
36160	39120	can be equipped as best as possible to face the challenges ahead.
42880	49120	Today I am joined by three humans in their early 20s who have found themselves immersed in the work
49760	55760	and scholarship surrounding the great simplification. As you might be aware the viewers of this
55760	62400	channel and this content in the world tend to skew older but it's my belief that bringing
62400	68960	young voices to the table getting their perspectives on the future, platforming their ideas is
68960	76640	essential for us to navigate the coming decades especially those young humans who have a systems
76720	83520	understanding of the complexity and the risk that we face. As such this reality round table is
83520	88560	focused on the perspectives of youth today how they feel about the current state of the world,
88560	94880	what their hopes are for the future, what their ideas are for the future of society. Joining me
94880	100880	today are Priscilla Trinh who currently serves as the director of communications at the Post
100880	107120	Growth Institute and co-coordinator of the Minnesota Youth Institute. She's the creator of
107120	112640	the Post Growth Jobs Board editor at the Blue Marble Review and contributor to the Minnesota
112640	120240	Women's Press. Also joining me are is James Branigan a writer, philosopher and content creator
120240	124800	with a YouTube channel of his own. James is committed to the task of addressing some of the
124800	130000	many facets of the human predicament with education and food production systems being
130000	134240	two of the more appealing ones for him. He is Irish and currently lives in Spain.
134880	139840	Last but not least is Natasha Lindhart who is a recent graduate of the University of Amsterdam
139840	145440	with degrees in economics and business and electives in degrowth and critical theory.
146080	151840	Natasha has been a volunteer for our organization for the past year and she will be starting full
151840	158800	time as a research associate this summer. I hope this is the first of many round table
158800	167600	discussions with young humans. I hope you enjoy it. Welcome young humans to reality round table
167600	176000	number nine, Priscilla and Natasha James. Great for you to be here. Nice to be here too. Thanks for
176000	183680	having us. Thanks for having us. You're welcome. You're very welcome. I would like to have more
183760	192000	young humans on the show because you are going to be living a long lives during the great
192000	199600	simplification and what's ahead. So let me set the stage for this. I know all three of you.
200640	207280	Priscilla was one of my students. Priscilla I've known you since you were 17 or such and you were
207280	215520	my teaching assistant for my class reality 101. James and Natasha I've met online through the
215520	222880	podcast. So I have various hats especially for Priscilla. I was a professor and a mentor and a
222880	231760	coach and a friend. For the next hour plus though I am just a podcast host. I want you each to speak
231840	239200	your authentic selves about what you believe and feel and think about our world and our future.
240080	246080	And before we get to that if you could maybe each of you give a brief introduction of who you are
246080	252800	and what you're doing right now, you know, brief bio. Natasha we'll start with you.
253680	259760	Yeah so hi I'm Natasha. I'm 23 years old and I usually live in France but I'm currently in the
259760	266000	British Virgin Islands in the Caribbean because I'm doing a few months of backpacking and traveling
266800	272560	before starting work full-time with Nate and his organization. And yeah it feels very surreal to
272560	278240	be here because I've learned so much from this podcast. So thanks for having us. Priscilla.
278800	284160	Hey everyone Priscilla Trin here. She heard pronouns. I am also 23 and calling in from
284160	290400	Oceti Shacoenlands also known as Minnesota United States and I do communications work in the realm
290400	297360	of alternative economics and food systems and that's my job and energy right now. James.
298320	307040	Hey I'm James. I'm 25. I'm Irish but currently in Granada. I just love biology and environmental
307040	313200	science and as with Natasha I came across the great simplification and it's pretty surreal to be here.
313200	318800	But right now I'm studying regenerative agriculture and how to work the land that way.
319680	326320	Excellent. Well thank you all for being here. As is usually the format I'm going to have a framing
326320	333760	question and you'll each have five plus or minus minutes and then we'll we'll carry on and have a
333760	342560	conversation after that. So I would love each of you to respond and describe your your own personal
342560	348720	journey learning about the various economic and environmental risks and crises in the world around
348720	355040	us and and how has that shaped the way you see the future and your own place in it.
355760	360720	Yes in my journey understanding about the meta crisis specifically and how the different
360720	366800	environmental and economic risks and crises are related and interconnected. That journey was
366800	371120	life changing. It was definitely a roller coaster and I'd say it was made up of a few
371120	375680	different phases. The first being a sort of awareness phase which started about two years ago
375680	380880	and that was triggered by a few different events and circumstances that maybe we can dive into later.
381440	386560	But it was basically a six month period in which I exposed myself to a lot of information
387120	392080	about the various crises we face at the moment both environmentally and socially
392160	398080	and economically and I came to realize that they were all just symptoms of something more
398080	403760	complex going on beneath the surface and that was the time period where it came across your
403760	411040	work name and across this podcast and that awareness phase really taught me firstly that we have
