start	end	text
0	8480	There are so many contingencies, particularly actually on the geopolitical side, that can
10320	15360	derail what seem to be passive development at any one time. And it's a strange...
15360	19040	And this is what I think it's hard to think about, because on the one hand it is systemic,
19040	22320	but on the other hand, it is vulnerable to contingent events.
23040	30080	Today's guest is Professor Helen Thompson. Helen works at Cambridge University, where she
30080	36880	researches the political economy of energy and the long history that underpins the democratic,
36880	44160	economic, and geopolitical disruptions that we are seeing now in the 21st century. Her most
44720	52160	recent book, Disorder, hard times in the 21st century, is kind of a political science
53280	61280	mirror twin of the logic of the great simplification. Today we talk about the history of the United
61280	70240	States in the Middle East, Israel and Hamas and Qatar, Ukraine and Russia, the importance of energy
70240	78160	in the history of the world, and some speculation on what's ahead. Please welcome Professor Helen
78160	95280	Thompson. Hi Helen, great to see you. Hi Nate, good to see you too. Although we've never met in
95280	103440	person, maybe I should call you Professor Thompson. No, call me Helen. So you have an impressive
103440	111440	economic, political, science background covering history, energy, economics, politics, and much
111440	117120	more. Can you just give a brief introduction, and how did you first get interested in these
117120	124640	topics all the way back to college or high school, or what was your path? Not a tour really. I basically
125280	138240	got seriously interested in energy in I think 2013. And I came at it via really the monetary
138240	145840	environment of the post-2008 world. And I was sufficiently, I wouldn't say aware about energy
145840	149760	questions, but I was sufficiently aware of the macroeconomic implications of energy
150720	156560	to understand that there was a relationship between the post-2008 monetary environment,
157120	164400	quantitative easing, zero interest rates, and the shale boom in the US. And to understand that the
164400	169200	world economy needed shale oil, I wouldn't say that my understanding was much better than that
169200	178720	at that point. But I was trying to work out what I might write as a long book project for
179360	185600	academically that turned out not to materialize for various reasons. And I kept thinking, you know
185600	189280	what, I'm going to have to bring oil into this. And I kept trying to work out a way of doing what
189280	194640	I wanted to do about the crash and about the eurozone crisis, and bring oil into it. And then I
194640	198800	realized that was completely the wrong way to think about things and that I just needed to go in like
198800	205520	via oil. So I started trying to think about how I might write a short book by this point about
205520	213040	the macroeconomic consequences of what I now believe to be a serious oil problem for the world
213040	218320	economy. But I quickly understood that in order to think about that, I needed to think about
218320	223920	geopolitics in a way which I'd never really done before, not in any sharply incisive way anyway.
223920	231840	So I try to teach myself to think geopolitically around this time as well. And things have really
231840	237600	moved from there. I mean, the only thing I would add to that is I'm a child of the 70s. I was born
237600	248160	in 1967 in Britain. My first memory of national life in Britain is the winter of 1974, sitting around
248720	255920	at home, seven years old, my mother trying to cook in the dark evening after evening,
255920	263200	with two small children, candlelight. So I understood in a quite visual sense in a way
263200	269280	that energy had a profound impact or could have a profound impact on daily life. And I never lost
269280	275360	that. But I wouldn't say that until some point after 2013, I connected that in any way to what I
275360	280240	was trying to do as a scholar. I have a ton of questions for you, as you might imagine. Could
280240	287760	you give a one or two minute elevator pitch of your latest book Disorder Hard Times in the 21st
287760	295600	century? So what I really wanted to do in Disorder was try to explain the political shocks of the
295600	300320	2010s, with which people obviously were very familiar, not least in Britain and the United
300320	305200	States, because high on the list of shocks of that year were obviously Brexit, or were seen to be
305200	313200	anyway, Brexit and the election of Donald Trump, and to give them a long history. And I didn't think
313200	318880	that they were just episodes, if you like, of psychodrama in British politics or American
319520	325440	politics. I thought that each of those two things had more of a structural explanation than that.
326480	333840	And I wanted to run with the thought that actually, if I started thinking seriously
333840	339840	and systematically about these events having an energy history, that I will be able to get
339840	345920	somewhere in explaining them that more conventional accounts wouldn't. Now, I'm not enough of an energy
345920	350560	determinist where politics is concerned to think that energy explains absolutely everything. And
350560	355200	indeed, if I had thought that I probably wouldn't have spent time in the third part of Disorder,
355200	360240	writing about democracies quite in the way in which I do. But I wanted also to grapple with
360240	366480	what I see as the longstanding historical problems that representative democracy faces
366480	371040	as a form of government. And I thought there were some things, particularly actually in relation to
371040	378880	the United States and its history as a domestic oil producer, where it was possible to say that
378880	384400	there was a story to be told about the American Republic and what was going on in oil politics
384400	393440	as well. So my book kind of tries to say, look, we should have expected the disorder of the 2010s
393440	399040	because there were these significant structural forces at work centered around not only the
399040	403360	problems of fossil fuel energy, but the difficulties of the energy transition, the geopolitics of the
403360	407760	energy transition. And then unless we could understand those things, we won't get really
407760	412160	anywhere in understanding the economic, political and geopolitical world in which we live.
413120	420000	So I'm glad we're finally having a conversation on camera. My work, as you know,
420000	427280	focuses around the concept of energy blindness in finance, in economic theory, and in broader
427280	434720	culture. And it's always refreshing to talk to someone who sees not energy as everything,
434720	442480	but energy in everything like I do in a different field. So you're a political scientist and a
442480	450560	political economist in your academic stripes. Are your fields political science? Is that
450560	458160	energy blind as well? And is that changing? I'd say that political science is energy blind largely.
458800	466960	I'd say that political economy has a more complicated relationship to this. I think
466960	472640	if you go back to the 1970s and the political economy that came out of the 1970s, indeed,
472640	479200	some of the stuff that, say, I was taught as an undergraduate, I don't think it was energy blind.
479200	485280	I think that political economy was relatively energy aware, not necessarily in the
486160	492400	system dynamics of energy, but the economic and geopolitical importance of energy.
492400	498320	And then it lost that awareness. I think it kind of lost the awareness at the same time in a way
498320	504560	in which the politicians in Western countries lost their awareness. So sometime, and I struggle
504560	510320	sometimes to think, to know where I think this began, it was the late 80s or sometime in the
510320	517920	90s when I think then an energy blindness took over. I think in political economy over the last
518560	526400	few years, there is quite a bit of evidence that actually at least some people are getting serious
526400	534240	about energy again. And I've had a lot less difficulty explaining to people since my book,
534240	540960	this book came out, this longer book Disorder, why energy is as important as I'm presenting it to
540960	547520	be. When I wrote this short book called Oil on the Western Economic Crisis, which came out in 2017,
548080	552080	then I still think most people thought, why is she writing about that?
553280	560080	Well, it didn't hurt the tailwinds for your book that it came out the exact same time that Putin
560080	566560	invaded Ukraine. No, I mean, in the UK, it came out on the actual day of the invasion.
566560	574320	Oh my gosh. So that was a strange experience in itself. But there were things that I was saying
574320	579040	that suddenly people who weren't particularly interested in energy and I think didn't think
579040	582880	they wanted to be interested in energy suddenly would tell me that they were reading it and they
582880	588240	would say, oh, that makes sense. And I give you one clear example of that was what I wrote about
588240	592960	the Suez Crisis. And I spent a lot of time thinking about the Suez Crisis trying to offer a somewhat
592960	599920	different interpretation than certainly we usually get in Britain. And I remember when I was writing
599920	604560	that chapter, and I just took the decision one day that I was actually going to make it the structural
604560	610080	pivot of the second geopolitical chapter. And I thought this could go very wrong. I mean, people
610080	614880	would just think that it's some kind of apology for British imperialism. And then because of what
614880	619840	was happening with Ukraine and the pipelines and the issue of transit and these big shifts,
620880	626240	then almost everybody who was asking me questions in the first few weeks after the book came out
626240	631680	in the UK wanted to talk to me about the Suez Crisis. I'm going to jump around a bit, Helen,
631680	639280	but since you brought that up, could you briefly describe the Suez Crisis and speculate on whether
639280	646320	we're going to have another one? Yeah, I mean, the second part of that's a really very interesting
647200	653600	question. I think that what's important to see from the British point of view, which I'll start with,
653600	662640	on the Suez Crisis, is that in 1956, when the British took military action with France and Israel
662720	671920	against Egypt in the light of NASA and the Egyptian president nationalising the company that owned
672640	679760	Suez Canal, in the British government mine, the British were doing exactly what they were supposed
679760	686480	to do in the post-second world war, which was to act as an imperial power in the Middle East
686480	692400	to guarantee the oil security of Western European countries. Because American presidents were very
692400	698560	clear in the post-war second world war world, they wanted largely the oil of the Western hemisphere
698560	703760	for the Western hemisphere, obviously not least the United States itself. They were only willing to
703760	710640	provide oil to Western Europe countries in an emergency. They didn't really want Western European
710640	715120	countries buying oil from the Soviet Union, certainly once the Cold War got going, that
715120	721040	meant Western European countries and Japan needed to import oil from the Middle East and they didn't
721040	726240	want to have any military responsibility in the Middle East for ensuring the free flow of oil
726240	731520	through the Persian Gulf. That was the British job. Obviously they didn't want the British
731520	737520	behaving in brazen ways like an imperial power that made it very difficult for them with Arab
737520	742560	states, but nonetheless, if there was a threat to Western European energy security, then Britain
742560	747120	was supposed to act as an imperial power and do something about it, which is what British did in
748000	754640	the autumn of 1956 and then Eisenhower obviously up for re-election didn't want that kind of display
754640	761520	of European imperialism, particularly at a time when the Soviet Union was sending tanks into
762240	770160	Budapest and put such financial pressure on the British government, financial pressure that was
770160	776720	made possible by Britain's desperate need now to find dollars to buy American oil because
777920	783680	the Arab states were boycotting the sale of oil through one of the pipelines and the Suez canal
783680	789520	was closed, that it was very easy for Eisenhower to tell the British Prime Minister Antony Eden,
790320	794480	you're out. With the British not being able to continue neither could the French and neither
794480	799120	ultimately could the Israelis. If we just look at it for a moment from the Israeli
800000	807920	point of view, what that showed in 1956 was how vulnerable that they were on transit issues
807920	812960	and that was both about the Suez canal itself, but it was also about the Strait of Turan,
812960	820720	which is like water that gets them up the eastern side of the Sinai Peninsula and made
820720	828480	it possible, would make it possible in time for Iran to sell oil to Israel and that became
828480	836800	a really central issue for Israel, including then in 1967 when NASA closed the Strait of Turan
836800	843600	again and then kept the Suez canal closed for eight years, the second time.
843600	847120	So what happened then during those eight years, the ships had to go all the way around?
847920	855280	Yeah, I mean if it wasn't coming pipeline, it has to go all the way around Africa and
855280	861360	interestingly in that context that is part of the reason then why from 1967 the British
861360	865600	government concludes it can no longer stay in the Middle East, it can no longer carry on being an
865600	872400	imperial power there because suddenly the the oil costs that Britain faces in the wake of the
872400	876960	Six Day War where it's also subject to a embargo, a much greater.
877680	884880	So in addition to culture being energy blind, it's possible that energy experts and
884880	892560	culture are geopolitics and complexity blind. I mean can you imagine, I'm sure you can,
893280	900320	you're an expert on this, the importance of the Suez canal and the Strait of Hormuz as being open
900320	909120	and free and navigable for the rest of the world just in time things and both of those are within
909120	916320	the arena of the current conflict. I think most people don't even think about those important
916320	923440	choke points. No, I mean obviously this raises the second part of your question. I mean if we
923440	928240	look at Israel's position in this though, there's been a really quite substantial change
928960	936240	from the situation either in 1956 for Israel or in 1967. So in the aftermath of the Suez
937200	946480	crisis through to the Iranian Revolution in 1979, then Iran was the principal exporter of oil
946480	952880	to Israel. None of the Arab states were willing to sell oil to Israel. The United States was
952880	961760	operating with its not exports accepting an emergency. So the only state really that was
961840	974160	willing to sell oil to Israel on a contracted basis was with the Iranians. And that was one of
974160	981600	the reasons why in 1967 that NASA blockaded the Straits of Tehran because he wanted to stop
