start	end	text
0	8160	I would like to warmly welcome my next guest, Ian McGilchrist. Ian is a psychiatrist,
8880	16000	a neuroscience researcher, an author, a philosopher, a literary scholar. He is an
16000	22000	associate, a fellow of the Green Templeton College, Oxford, a fellow of the Royal College
22000	28400	of Psychiatrists, a fellow of the Royal Society of Arts, a consultant emeritus of the Bethlehem
28400	35760	and Maudsley Hospital in London. Professor McGilchrist came into prominence with the publication of
35760	42960	his tome, The Master and His Emissary, The Divided Brain, and The Making of the Western World,
44160	50320	which is how I came to be exposed to his work. And then 14 years later, his most recent book
50320	56880	titled The Matter with Things, Our Brains, Our Delusions, and The Unmaking of the World.
57840	66320	This was one of those conversations that was both profound, wise, and intimate. I had never
66320	72880	met or spoken with Ian before the camera was turned on, and I learned continually during this
72880	80960	podcast, and I immediately felt a kinship with this man who deeply cares about the state of the
80960	88400	world and has spent a lifetime researching what I think is the most important aspect of our situation,
88400	95680	which is the human brain and our disconnect from the types of experience and perspectives of our
95680	102880	ancestors. I hope you enjoy this episode as much as I did. Please welcome Dr. Ian McGilchrist.
111440	121280	Dr. Ian McGilchrist, good to meet you, sir. Very good to be with you, Nate. Thank you for asking me along.
123840	129360	I've been making it a habit when I say hello to people in other countries that I greet them in
129360	134480	their language, but since you're in Scotland, I didn't know if I should just start swearing or
134560	144160	how to greet someone in Scottish. Any kind of suitable animal noise that suggests some
144160	154160	appreciation will do. Let me bring you up to speed here. Some things you might not know.
155600	163120	20 years ago, I started my PhD. I left Wall Street because I could see how the pieces were
163120	168240	starting to connect and that humans were having a real problem with climate change, the environment,
169440	176880	resources, et cetera. I started my PhD with a British psychiatrist on my advisory committee
176880	183520	by the name of Dr. Peter Weibrow. We were going to look at why we don't so much face
184320	190320	an environmental problem or a resource problem, but a mismatch of the human brain with our current
190320	198960	situation. Then I ended up diving into energy and I left that aside, but reading your books and,
198960	204160	to be honest, I've had them for two months and I've not made my way through them. I called Daniel
204160	209520	Schmacktenberger and said, I'm interviewing Ian McGillchrist next week. Could you leave me some
209520	216640	pointers? He left me a 19-minute boxer that I would need a librarian to translate, but it seems
216720	227840	that all along you have been talking about the same thing, which is that our brains are driving
229040	235200	much of what's going on. I don't want to rehash what you've done on lots of other excellent
235200	241360	podcasts and videos and you sent me that animated video, which I think is great. I want to apply it
241360	247440	to this superorganism environmental dynamic, but for those people who are not familiar with your
247440	255840	work, could you give kind of an elevator pitch but a longish one on the core points in your two
255840	262080	main books, The Master and his Emissary and The Matter With Things, if you would?
262960	269200	Yes, I can do that. I think the first thing that I would point out is I don't believe that the brain
269200	276080	is driving these things in some sort of way. I believe that there are many causes of the crisis
276080	283280	that we're in now, some of them economic, some of them political, some of them sociological and it
283280	290000	has many aspects. So I'm not saying it's the brain that causes the crisis we're in, but the brain
