start	end	text
0	7600	We don't change. We don't choose to change, but we sure are changed. And we have to make use
7600	12480	of our knowledge about how that change comes about, because if we don't think the change happens,
12480	20960	we're totally screwed. It is an honor to introduce my next guest, Professor Robert Sapulski,
21600	27600	who at Stanford University is a professor of biology, neurology, and neurosurgery,
27680	34480	as well as a research associate at the Institute of Primary Research at the National Museum of Kenya.
35120	39920	Over the past 30 years, Professor Sapulski has divided his time between the lab,
40480	46080	where he studies how stress hormones can damage the brain, as well as in East Africa,
46080	50960	where he studies the impact of chronic stress on the health of baboons.
51600	60560	Robert is the author of numerous books, of which I have all of them, including his new book
60560	69520	out in October called Determined, A Science of Life Without Free Will. This was a wide-ranging,
69520	77440	intense, and challenging conversation, one of my favorite ever. Robert has had a big influence
77440	82720	on my thinking these last 20 years, and it was a real treat to talk to him in person,
82720	88400	even though when I scheduled the interview, I didn't know his next book was on free will.
90160	97920	I'm still making my mind up on what I think on this topic, but this guy has been working on
97920	105520	this for 40 years, and this is an amazing conversation with insight into the constraints
105520	121440	that biology poses for the great simplification. Please welcome Professor Robert Sapulski.
125680	128480	Professor Sapulski, welcome to the program.
129200	131280	Well, thanks for having me here.
132800	138960	I know you well enough to call you Robert, but I've learned so much from you over the last
138960	142560	couple decades that I feel Professor Sapulski is more appropriate.
143120	152240	Well, all that does is make me feel elderly and having a large prostate, so Robert's just fine.
152240	160800	Okay, Robert, it is. You have a new book coming out called Determined, A Science of Life Without
160800	169120	Free Will, and we're going to get to that, but it is very hard for me as someone who has all of
169120	176080	your books, has watched almost all of your online biology lectures to pass over your decades of
176080	181920	scholarship on the human brain and behavior that's relevant to the subject of this podcast,
181920	188480	which is the great simplification. I know you watched my movie earlier, so let's start with
188480	196000	this, though. How and when did you first realize that you wanted to be a biologist and study animals
196000	204080	and behavior? I was about eight years old when I decided I wanted to be a primatologist,
204800	212480	go study primates in the wild. I've run across a lot of field work people over the years,
213200	219040	not surprisingly, and about two-thirds of them grew up someplace exotic.
220160	228160	Their parents were field researchers or missionaries or some governmental NGO thing in some exotic
228160	236080	place, and then the remaining third would be people who grew up in some god-awful urban,
238240	244400	I'm trying not to use hellhole, but in some ways, yes, and then at some point they stumbled into
244400	250240	the Natural History Museum and imprinted on something, and that was my version of it,
250240	256720	the American Museum of Natural History, and in retrospect, I probably could just as easily have
257280	264880	imprinted on geckos or horseshoe crabs if I had taken a left or instead of a right in the hallway,
264880	272080	but I wound up in the primate exhibit and that's it. I decided I wanted to go live with
272960	282960	primates, non-human ones, forever after. You wrote a primate's memoir and why zebras don't
282960	288960	get ulcers, but recently for a long time you've been at Stanford. When's the last time you've
288960	296560	been to Africa and do you miss that type of work? Let's see, the rhythm I maintained was
296560	302640	nine months a year in a laboratory being a neurobiologist with a lab coat, and during the
302640	309440	summer's three months a year back out in a tent with baboons in the Serengeti, I managed to keep
309440	319520	that going for 33 summers until 13, 12 years ago when things just fell apart there on a whole
319520	327920	bunch of fronts and it was time to pack it in and decide 33 was pretty damn lucky. Yeah, I miss it.
328640	336160	Yeah, I've been to Africa four times, including Kenya, Tanzania, Malawi, Botswana, Zambia, and I
336720	341840	was enthralled every single time and I wish I could have in a different lifetime
343040	353600	done something like you did. So we are getting into the brain and behavior. Humanity and the
353600	361440	biosphere are facing multiple interconnected challenges. In my own writing and speaking,
361440	367680	I point out and have for 20 years that we don't so much have an environmental problem
367680	375040	or an economic problem, but rather that most of our challenges emanate from a mismatch of the human
375040	383440	brain, modern human brain from our ancestral environment. What do you think about that broadly?
384400	392480	I love your emphasis on that and your work. I mean, it's a obligatory cliche in my field to
392480	399440	like once every 10 minutes start a sentence by saying, well, realizing that for 99% of human
399440	405680	history was spent in small hunter-gatherer bands, it's a total cliche because it's true and it's
405840	414640	incredibly important. Not only are microwaves like a relatively recent invention that don't
414640	423120	particularly fit with our evolutionary past, but agriculture isn't either. Living in sedentary,
423120	430400	settled communities isn't either. All of that is in a blink of an eye. The notion that culture
430400	440160	evolves faster than brains do is at the core exactly of a huge amount of what ails humans.
