start	end	text
0	7000	That's a very polite way to say greetings in Chinese.
7000	17000	You know, it would be great as an aside to have someone from China on the show to discuss
17000	23000	the metacrisis and how China is thinking about and facing some of these things.
23000	29000	So last week I had a frankly called the reality party.
29000	34000	It was really my frustration looking at both parties in the United States,
34000	38000	and I'm sure it's similar elsewhere in the world,
38000	45000	not really talking about the core issues that we're going to be facing in the coming decade.
45000	50000	And some of the feedback I got is what would a reality party stand for?
50000	54000	What would be the solutions to the human predicament?
54000	58000	What would be the policies that we would put forward?
58000	65000	And today I want to talk about that and talk about specifically why I am not
65000	72000	promoting certain solutions to what we face, at least not yet.
72000	76000	And that is going to be the subject of today's frankly.
89000	93000	Okay, so brief recap, the human predicament.
93000	101000	We are supported by ancient sunlight and treating it as if it were interest.
101000	108000	We currently have a 19-some terawatt global human metabolism,
108000	116000	which is around 190 billion light bulbs worth of energy turned on 24-7.
116000	122000	That is impacting the biosphere and its waste absorption capacity.
122000	128000	We're overlaying this with monetary claims that continue to grow.
128000	130000	We're in ecological overshoot.
130000	134000	Climate change is just one of many risks to the environment,
134000	140000	including novel entities and plastic and PFAS and species loss, et cetera.
140000	145000	It's my belief and my 20 years of research has led me to believe that
145000	152000	from 19 terawatts, we will hit 15 terawatts before we hit 25 terawatts.
152000	160000	And we have a lot of things to do between now and then to make the future
160000	163000	better than the default.
163000	167000	On top of all that is the evolved human behavioral constraints
167000	172000	and predilections of modern Homo sapiens.
172000	176000	So with that as the general problem statement,
176000	182000	and there's 200 hours of content on this site that unpacks the statements I just made,
182000	186000	with that as a general problem statement, what are the solutions?
186000	188000	What are the policies?
188000	190000	What should we do?
194000	199000	So first I would, as I said last week, there are no solutions, right?
199000	202000	There are solutions to a problem.
202000	205000	What we face is a predicament.
205000	211000	And predicament, there are responses and things that would make it better than the default.
211000	218000	So I really don't like talking about solutions, but it's quite a common word.
218000	224000	How do we think about solutions mitigation to what I call the human predicament
224000	226000	or the great simplification?
226000	234000	Okay, so first of all, the responses to the great simplification are not simple.
234000	235000	They are complex.
235000	243000	So first of all, the categories of the interventions would fall into three broad areas.
243000	248000	One would be using Marvin Harris's framework, the superstructure,
248000	255000	which is the ideas and the values and the beliefs and the memes and the stories and the narratives.
255000	264000	Another category would be the structure or what Daniel Schmackenberger and I have started to refer to as the social structure,
264000	272000	which is our laws and our rules and our economic ways of transacting goals, etc.
272000	279000	And underneath that is, of course, the infrastructure, which is our energy, our systems, our buildings,
279000	285000	our environmental waste capacity, and all those things.
285000	290000	So if we talk about solutions, which of those categories are we referring to?
290000	302000	And then to put this in a two-dimensional space, those of you listening, those paying attention to the future,
302000	305000	care about different scales.
305000	307000	There's the individual scale.
307000	310000	There's the local and regional scale.
310000	313000	There's the national and global scale.
313000	318000	And then to make it three-dimensional, there's the time aspect,
318000	326000	which is the pre-crisis time, which is now to whenever there is a financial or geopolitical cascade,
326000	331000	which could be very soon or we could have a decade before that happens.
