start	end	text
0	6280	with Stuart Russell. I first wanted to thank a few people, especially the
6280	12240	entire New Bauer team. Rachel Johnson in particular has been really critical to
12240	18600	bringing all of this together seamlessly. And I also want to thank Dan Holtz
18600	23360	because with the existential risk lab because I don't think we could have done
23360	27640	this without his collaboration. I'm really really grateful that we had this
27640	33080	opportunity to work together. Before I introduce Stuart Russell, I wanted to
33080	37120	just briefly introduce the New Bauer Collegium for those of you who don't know
37120	43120	us. We are a research incubator on campus and our primary mission is to bring
43120	47840	people together regardless of what school or discipline or field they sit in,
47840	52720	whether they're inside or outside the Academy, to think through questions,
52760	58120	ideas, and problems that can't be addressed by individuals alone. All of the
58120	62320	research we support is collaborative and it all has some kind of humanistic
62320	67000	question at its core, although we're very broad in how we think about humanistic.
67000	71120	In addition to our research projects and visiting fellows program, we're
71120	75240	unusual in supporting an art gallery which strives to integrate the arts with
75240	79160	research and this special series, the Director's Lectures, through which we
79160	84640	hope to enliven conversations about research with a broader community. So
84640	89200	you might be wondering why invite a scientist to give a lecture at an
89200	93800	institution that is devoted to humanistic research and I believe this is the
93800	98480	first time we've had a scientist give this lecture, although I'm not 100% sure,
98480	104320	but certainly in my tenure. The reason is because Stuart Russell is not an
104360	108960	ordinary scientist and AI is not an ordinary topic. His book, Human
108960	113560	Compatible, AI and the Problem of Control, makes it very clear that shaping a
113560	118720	future in which AI does more good than harm will require a great deal of
118720	123440	collaboration since AI is a technology that may in fact threaten the future of
123440	128040	humanity. Humanist, social scientists, artists, and scientists will need to work
128040	131840	together in order to decide what potential uses of AI are ethical and
131880	137120	desirable in realms as diverse as warfare and defense, policing, medicine,
137120	141400	education, arts, and culture. And I know that these conversations have been
141400	147160	happening all over campus and beyond, but often in silos. So I hope that
147160	152000	Professor Russell's visit here will be or has been already an opportunity to
152000	157120	bring us together to think about the question that he poses so provocatively
157120	162440	in his title, What if We Succeed? Stuart Russell is a Professor of Computer
162440	166880	Science at the University of California at Berkeley. He holds the Smith Zadda
