start	end	text
0	6000	Video games have come a long way. From once being seen as a temporary fad, to
6000	11760	just toys for children, or immoral corruptors of the youth, today the gaming
11760	16800	industry easily surpasses the film and music industries combined and it's
16800	22160	still growing. Still, as tempting as it might be to draw comparisons to more
22160	26320	established industries, the reality is that video games have proved to be
26320	32040	something unique. No other industry has been so closely tied to technological
32040	38560	progress. No industry has ever grown so far so fast and no other industry has
38560	44000	experienced so much change in such a short time. With multi-billion dollar
44000	48520	companies rising and falling in the space for a few years and the entire gaming
48520	53520	landscape being radically changed more than once by a couple guys working out
53520	61040	of a garage. And all this in something that's only been around about 50 years.
61040	68480	Video games have come a long way and their evolution has been remarkable. Today
68480	72360	though, more and more people seem to be viewing the industry with pessimism and
72360	77720	despite continued growth, its future doesn't look quite as bright as it once
77720	82920	did, with companies and consumers alike increasingly seeming to be looking to the
82920	91240	past. So, let's talk about the past. All of it, from the very first game right up
91240	98120	to where we are today and every major event in between. This is the entire
98120	102640	history of video games and it begins with something that would end up as a bit of a
102640	107360	staple for the industry. War.
107360	118000	World War II was kind of a big deal. In addition to deciding the fate of a
118000	122520	global population and shaping the modern world as we know it, it also saw
122520	126440	rapid technological advancement that would pave the way for something equally
126440	132800	important. Video games. After building the first ever digital computers for the
132800	137240	purpose of numerical processing and code-breaking as part of the war effort,
137240	141360	this technology was subsequently commercialized and found its way to
141360	148600	several universities. And where computers go, video games soon follow. Of course,
148600	153320	they weren't exactly designed as video games so much as demonstrations to show
153320	157520	what computers could do or just experiments to further the field of
157520	162920	computer science. The first to be shown to the public was Bertie the Brain in
162920	170560	1950, who played Tic Tac Toe. Poor Bertie was apparently quite good, although
170560	174640	every photo seems to show him losing and he was dismantled two weeks after the
174640	180720	exhibition, as tended to be the case with these early computers. The first game to
180720	187200	be created as entertainment was 1958's Tennis for Two, a side-on simulation of
187200	191920	a game of tennis that ran on an analog computer and was created by William
191920	196320	Higginbotham, a man perhaps better known for his role in the creation of the
196320	204600	atomic bomb. Meanwhile in 1962, Space War, a two player 1v1 space battle
204600	210320	simulation created at MIT, became the first game to see wider distribution as
210320	216400	its source code was shared between students and institutions. As the 60s
216440	220640	continued, more games were created for the mainframe and mini computers of the
220640	225600	era, but their popularity was quite limited by the fact that the computers
225600	230760	needed to run these games cost thousands and thousands of dollars, something
230760	236560	affordable for a university but less so for the average family. Things would
236560	241080	change in the 1970s however as video games started to appear alongside
241160	248120	Pimble Machines and other mechanical games in arcades. The first arcade video
248120	254480	game was Computer Space in 1971 which took heavy inspiration from the earlier
254480	260840	Space War and was designed by Nolan Bushnell and Ted Damby. Computer Space
260840	265200	saw limited success but its creators still believed in the potential of the
265200	272680	medium so they founded their own company, Atari. At the same time as this, new
272680	278360	breakthroughs were happening elsewhere as in 1972 the first ever home console was
278360	285400	released by electronics company Magnavox. It was called the Odyssey and its
285400	290480	development started six years earlier with the version finally released being
290480	295480	the seventh successive prototype. The main challenge for team faced was
295480	301400	affordability. The technology for a home console existed, it was just a question
301400	305320	of how to keep the price low enough that anyone would be willing to manufacture
305320	312520	or buy it. But eventually the team led by Ralph Bear found a way and so video
312520	318640	games at long last came to the American family home. This was an important
318640	323080	milestone although the Odyssey didn't exactly see the runaway success of later
323080	328920	consoles. Still its simple two-player table tennis game did provide the
328920	334400	inspiration for Atari's first game, a remarkably similar looking future
334400	342520	phenomenon Pong. Released in arcades in late 1972 Pong was a game that changed
342520	348920	gaming proving immensely popular in arcades and at 25 cent a game also
348920	357160	immensely profitable. By the end of 72 we did three and a half million dollars and
357160	364440	then we did 19 million then we did 35 million hockey stick. In fact Pong was
364440	370120	so popular that the first machine installed quickly stopped working. Atari
370120	373360	were called out to get it going again and found the problem was that the
373360	378000	cash box had overflowed from the vast amount of quarters leading the machine
378000	385920	to become jammed. And so arcades exploded in popularity as Pong proved gaming's
385920	392600	potential. Video games had arrived and at the birth of this exciting new medium
392600	399240	where the possibilities are endless how did everyone react you might wonder.
399480	406920	Well obviously they copied the one thing everyone knew already worked. Atari
406920	412280	made sequels and successors as well as their own dedicated home Pong console
412280	417040	and other companies made their own versions alongside their own sequels
417040	424000	and successors and dedicated home systems. Pong was everywhere as profit led
424000	430960	to proliferation and before long video games were in decline. By the mid 1970s
430960	436360	arcade growth slowed and then shrunk as the market became saturated with Pong
436360	440080	clones and brand new companies that had once rushed to cash in on this big new
440080	445760	thing started going under. Atari themselves fared better although they
445760	450280	had their own troubles by way of a lawsuit that came from Magna Box over
450280	456120	the striking similarities between Pong and their table tennis game. Atari
456120	460760	settled but they weren't the only ones being sued and Magna Box's winnings
460760	466840	ended up totaling over 100 million dollars. And so arcades were struggling
466840	472040	but thanks to technological advancements over the 70s a new prize was up for
472040	477240	grabs and the competition would be intense.
481280	486440	Arcades might have been where video games got their start but home consoles
486440	493200	offered an even greater opportunity and people were quick to realize it. In 1975
493200	497440	the year Atari's home Pong released there were seven other companies
497440	504640	releasing home video game consoles of their own. By 1977 there were at least
505000	511880	82 other companies with 160 different models being released in that year alone.
511880	517760	The consoles from this era were dedicated systems meaning they could only play
517760	523200	one or more built-in games that came included. A lot of these were simply
523200	527720	Pong clones with Atari even taking measures to make the cloning process
527720	533760	more difficult to hinder their rivals. We actually became quite diabolical about
533760	539920	seeing ways that we could just mess them up. We put a chip in and we purposefully
539920	546400	mismarked it so that when somebody copied us they put the wrong chip in. This
546400	550520	didn't stop the market from becoming saturated however but this time a
550520	556400	solution would come through innovation and once more it would be Atari who led
556400	557760	the way.
563760	570760	The Atari video computer system is 20 cartridges with 1300 game variations you
570760	572760	play on your own TV set.
576760	584960	The Atari video computer system later called the Atari 2600 released in 1977.
584960	590000	One year after the Fairchild Channel F became the first ever console to feature
590000	595520	interchangeable cartridges. Bushnell saw the advantages cartridges provided and
595520	600760	rushed to reduce a cartridge based system of his own but earlier problems with
600760	606400	lawsuits, increasing competition and decline in arcade sales meant Atari's
606400	611600	funds were getting low and so they made a deal with Warner Communications to sell
611600	617200	Atari for $28 million. The consequences of this deal would be seen most clearly
617200	621720	in the following years but for now it meant Atari had the money to finish
621720	626400	their new console to beat out their main rival Magnavox who had released their
626400	635560	own cartridge based system the Odyssey 2 in 1978. The Atari 2600 would be huge
635560	641040	with lifetime sales of over 30 million units a number that dwarfs any other
641040	648800	console of the era. Still this success came slowly and in late 1977 the entire
648800	656560	gaming industry experienced its first but by no means last crash. The combination
656560	661400	of a saturated market full of dedicated systems alongside new cartridge based
661400	666440	systems that proved far more desirable meant heaps of dedicated systems
666440	670720	suddenly stopped selling leaving retailers with a surplus of stock they
670720	674280	couldn't shift and causing game developers to cancel most dedicated
674280	678920	systems that were currently in development. The resulting downturn hit the
678920	683840	gaming industry hard leading economists and media figures to speculate whether
683840	688320	the entire gaming industry had simply been a short-lived craze that was now
688320	695040	coming to the end of its life cycle. Amidst this pessimism the Atari 2600
695040	701480	with its relatively high price point of $200 which is almost 1000 after
701480	707080	adjusting for inflation was seen as a tough sell and retailers and consumers
707080	711640	alike were hesitant to embrace it meaning Atari was only able to sell a
711640	717320	fraction of the systems they manufactured in its first few years. Further
717320	721680	competition would also come from other cartridge based systems including the
721720	728400	Intellivision from Mattel and the ColecoVision from Coleco but Atari would
728400	732600	soon find the killer app they needed that would not only get themselves back
732600	739520	in business but would also get the entire gaming industry back on track.
743640	750720	Space Invaders was created by Japanese developer Tomohiro Nishikado at Taito
750760	757400	in 1978 and it is easily one of the most important and influential games ever made.
757400	763280	Before Space Invaders different regions like America, Europe and Japan had
763280	768000	little crossover between them but Space Invaders quickly moved beyond regional
768000	773920	borders to become the first truly global gaming mega hit and that was by no
773920	780400	means its only achievement. Its gameplay may look relatively simple today but
780440	785600	in the 70s it was anything but. As a fixed shooter where the player takes on
785600	789880	rows of gradually descending aliens while hiding behind fully destructible
789880	793640	bunkers it was the first game to have enemies that shoot back at the player.
793640	799720	It helped pioneer the move away from timers over to lives-based systems. It
799720	803200	was the first game to feature a high score system giving it potentially
803200	807320	infinite replayability and it was the first game to feature continuous
807320	812560	background music. The background track itself was dynamic and increased in
812560	817120	tempo in time with the enemies increased movement speed as rounds progressed
817120	823400	giving the action a real sense of tension as the difficulty ramped up. This
823400	828960	iconic part of the game wasn't actually intentional. During its development
828960	833280	Nishikado found that the arcade processor struggled to handle so many
833280	838240	enemies on screen at once and yet as the player took out more and more of them
838240	845120	the render speed increased causing the aliens to move faster and faster. This
845120	849560	created a difficulty curve where the challenge rose and fell within each level
849560	854920	to create moments of higher and lower intensity a principle still seen in
854920	861360	game design to this day. Space Invaders also featured some semblance of a story.
861560	870520	Aliens were invading from space and you had to stop them. Okay it's not much but
870520	875120	compared to the more abstract Pong or Breakout it made the action feel much
875120	879160	more contextually meaningful and marked the beginning of arcade games paying
879160	885840	more attention to these kinds of aspects. And if all that wasn't enough there
885840	893280	was also the game's sales. By 1982 Space Invaders had grossed 3.8 billion
893280	899760	dollars which is over 13 billion after inflation meaning it was the then best
899760	906520	selling video game and highest grossing entertainment product of all time. For
906520	911880	the industry this meant video games were back and soon it wasn't just Space
911920	917840	Invaders. 1978 marked the beginning of what has since been named the golden age
917840	924960	of the arcade. 1979 saw the release of Asteroids from Atari which continued the
924960	929920	space battle theme this time in an asteroid field with more complex physics
929920	934560	based movement while also using cutting-edge vector graphics that utilized
934560	940080	lines instead of pixels to provide a crisp display unlike anything that could
940080	945640	be produced on a home TV screen. The trend of popular arcade games where you
945640	951320	shoot things continued in 1980 with Atari's 3D first-person tank sim
951320	956920	battle zone as well as their trackball controlled missile command which took
956920	961120	inspiration from the still ongoing Cold War to task players with defending
961120	967760	cities from intercontinental ballistic missiles. 1981 gave the world defender
967760	971920	from Williams Electronics which pioneered the side-scrolling shoot-em-up
971920	977840	genre and Gallagher from Namco a fixed shooter which featured complex enemy
977840	984080	patterns and power-ups both features that would define the genre moving forward.
984080	990200	Shooters weren't the only thing coming out of arcades though. In 1980 Namco's
990200	997560	Pac-Man gave the world its first gaming mascot Pac-Man well establishing the
997560	1003200	maze chased genre and being the first game to feature power-ups. As iconic as
1003200	1007400	he would go on to become however Pac-Man's path to success wasn't a
1007400	1012760	simple one. The game initially struggled to beat Namco's 1979 space shooter
1012760	1018080	Galaxian in Japan while in America publisher Midway was hesitant to
1018080	1023640	manufacture many units as they were unsure how it would perform. The reason for
1023640	1028600	this was that it didn't involve any shooting and so executives feared it
1028600	1033760	would be less popular with arcades mostly male player base. This was something
1033760	1038800	developer Toru Iwatani had also considered as he deliberately tried to
1038800	1043520	create a game that would appeal to women as well as men and offer something
1043520	1049200	different to war or sports hence the colorful design cute characters and
1049240	1056120	emphasis on eating rather than killing. Iwatani figured that girls like eating
1056120	1061960	things more than killing them and it seems he was on to something because in
1061960	1067160	the end players couldn't get enough of Pac-Man's addictive pellet eating action.
1067160	1071480	Within a year it had become the best-selling arcade game in both Japan
1071480	1080440	and America outgrossing even the 1977 film Star Wars in revenue. Pac-Man was
1080440	1085200	one of the first but by no means last times a video game found record
1085200	1091640	success through broader appeal and targeting new audiences. Its use of
1091640	1096040	vibrant color and its focus on a central titular character would also go on to
1096040	1100240	become video game staples and would soon be seen in other popular arcade
1100240	1109400	titles like Konami's 1981 Road and River Crossing hit Frogger. By 1982 color and
1109400	1114640	3D technology were being combined in even more impressive ways like in Namco's
1114640	1119960	visually striking racing simulator Pole Position and the arcade Golden Age was
1119960	1125040	in full swing with profits from games reaching new heights and Taito, Atari
1125080	1131880	and Namco establishing themselves as the three biggest developers around. Arcades
1131880	1136360	were more than just a place to play games however. Through features like high
1136360	1140600	scores, multiplayer and the ability to watch and compete in front of other
1140600	1146440	people arcades provided a social aspect to gaming that went beyond just playing.
1146440	1152080	Much like how Twitch allows people to watch, discuss and compete in various
1152120	1157200	games today arcades were the live streaming and esports of the 20th
1157200	1161440	century and they offered better gaming experiences than you could get in your
1161440	1166840	home with higher quality graphics, better sound and unique immersive elements
1166840	1172040	like wheels and pedals in racing game cabinets. Arcades would also have a
1172040	1177160	significant impact on future game design. Their quarter hungry monetization
1177160	1181680	method has sometimes led to criticism over their high difficulty with older
1181680	1185480	console games also sometimes coming under fire for inheriting that high
1185480	1190680	difficulty but popular arcade titles knew that if difficulty was the only
1190680	1194560	thing they had to offer players wouldn't have any reason to keep coming back
1194560	1199640	and so they learned how to make skill-based challenges fun and make
1199640	1205840	players want to improve and keep playing. Still as important as arcades were
1205840	1210040	Space Invaders legacy goes beyond just kicking off the Golden Age of arcades
1210320	1214960	and breaking sales records because it also turned things around for the home
1214960	1223360	video game market and Atari. In 1980 Space Invaders came to the 2600 allowing
1223360	1229480	people to play the arcade classic from the comfort of their home. This was the
1229480	1233680	first arcade to home console port and it wouldn't be the last.
1240040	1269040	Space Invaders for the 2600 became the first ever killer app or system
1269040	1275280	seller in video game history and it certainly sold systems with Atari's
1275280	1280800	consumer sales almost doubling to $200 million in the year it released before
1280800	1288000	skyrocketing to over 800 million in 1981 with Atari taking 65% of the global
1288000	1294040	market share and so the great console battle royale that had defined so much
1294040	1300760	of the 70s was over and Atari was the runaway winner. A victory that proved to
1300760	1304520	be surprisingly short-lived.
1308520	1316760	In 1982 Atari was the fastest growing company in American history yet by the
1316760	1322680	end of 1983 they were one of the fastest falling with yearly losses of over
1322680	1327960	$500 million amidst the slide in parent company Warner's stock of almost 70%.
1327960	1335560	In 1984 Atari was sold with Warner receiving no cash for the sale and
1335560	1345600	never again would Atari be a leader in the video game industry. So what happened?
1345600	1352520	Well there is an obvious answer but that only tells part of the story. To really
1352520	1358640	understand we need to rewind a bit and look at where Atari came from. When Nolan
1358640	1363000	Bushnell and Ted Danby decided to start a video game company together they both
1363000	1370360	pitched in $250 of their own money to get the company off the ground. By 1982
1370360	1377920	Atari had 10,000 employees and were bringing in $1.7 billion in operating
1377920	1384640	profit and this all happened in the space of around 10 years. Atari had a
1384640	1389960	colorful history and some important people once worked there including Steve
1389960	1395240	Jobs and Steve Wozniak who left after a few years to start their own company by
1395240	1401040	the name of Apple as well as a young programmer by the name of Bill Gates who
1401040	1406600	was fired for not doing enough work. Atari also had a bit of a reputation for
1406600	1412960	their relaxed office culture. You know flexible hours, informal dress code, the
1412960	1419080	usual sort of thing. As we had a lot of young people we would constantly offer to
1419080	1424320	throw a party if they hit quota and it turns out when you've got 18, 19, 20
1424320	1428080	year olds they're much more interested in the party than an extra you know 50
1428080	1433840	cents an hour. So we got known as a party company. There's a story that if you
1433840	1440680	walked by the Borega Street building and you breathed deeply by the air vents
1440680	1445120	you'd get stoned because the pot smoking inside of it was so heavy. This made
1445120	1450840	them a popular place to work but it didn't last. The gaming industry was at
1450840	1456960	the cutting edge of technology which meant to compete and to win funding was
1456960	1463100	necessary. Hence the move to become a subsidiary of Warner in 1976 which
1463100	1470240	brought in a 120 million dollar cash injection and made the 2600's 1977
1470240	1475740	release possible. Warner communications were a big business however meaning
1475740	1481340	they took a keen interest in how their new subsidiary was being run. To this end
1481340	1487180	Warner brought in an experienced business exec Ray Kassar in 1978 to help
1487180	1493140	with marketing and commercialization but as the influence of Warner grew so too
1493140	1497500	did conflict with then CEO Nolan Bushnell particularly over Bushnell's
1497500	1501340	desire to continue to invest in research and development for new
1501340	1506740	technologically superior consoles. This ultimately led to Bushnell's departure
1506740	1512740	in late 1978. He would go on to found American restaurant chain Chuck E Cheese
1512780	1518380	and Atari went on to soaring new heights now with a more professional work
1518380	1524500	culture under the oversight of Kassar. Conflict wouldn't end here however.
1524500	1530620	Atari was succeeding but they were also changing and not everyone was happy with
1530620	1536820	their new direction. In 1979 four experienced Atari programmers David
1536820	1542100	Crane, Larry Kaplan, Alan Miller and Bob Whitehead resigned over Atari's policy
1542100	1547780	to not credit or provide royalties to the actual game developers. These
1547780	1551780	engineers would create a software program that would result in twenty thirty
1551780	1556060	million dollars in sales and they were making this a little paltry salary and
1556060	1561060	they figured gee I'd like to get a penny or two or three per each cartridge. So we
1561060	1564900	go to the president of Atari and point that out and he said to us and I'll
1564900	1570260	quote he said you are no more important to that game than the person on the
1570260	1574700	assembly line who puts it together. So they figured if they weren't going to
1574700	1580180	get credit for their work why do that work for someone else which led them to
1580180	1586220	form their own company. Activision the first ever third-party developer who
1586220	1592020	made sure to emphasize the role of game creators on their products. Atari
1592020	1596220	responded like the true corporate powerhouse they were at this time and
1596260	1600700	sued Activision but they weren't successful at preventing them from
1600700	1605020	producing games for Atari consoles and instead a deal was agreed where the
1605020	1609620	third-party company would pay a portion of their sales as a license fee to the
1609620	1615580	console owner a system that's existed ever since. Activision were only the
1615580	1620100	start of Atari's problems though. Other senior developers would also jump ship
1620100	1625940	but it was in early 1982 that marked the beginning of the end when Atari
1626180	1631220	tried to repeat the earlier magic of their space invaders and asteroids arcade
1631220	1639140	ports with Pac-Man for the 2600. The problem was Pac-Man was no space
1639140	1646940	invaders or asteroids. Released originally in 1980 it ran on 1980s arcade
1646940	1652820	technology with vibrant color smooth animations and high quality sound. All
1652900	1658940	things for now dated 2600 struggled with. The result is a port that will forever
1658940	1665300	live in infamy as one of the worst of all time a Pac-Man in name and not much
1665300	1671380	else. Still Atari's disappointments that year were only just getting started.
1671380	1677780	November saw the release of the 5200 Atari's next generation home system
1678020	1684380	which kicked off the 16-bit era. Unfortunately despite being early to the
1684380	1690300	market there wasn't much else the 5200 had going for it. Its initial price
1690300	1695460	point of $270 was high, it didn't originally come with backwards
1695460	1700900	compatibility, there were few new titles released for it and the controller was
1700900	1706180	widely criticized and while its graphics and hardware were a step up from the
1706500	1712060	2600 and other 8-bit systems the upgrade they provided was small and poorly
1712060	1716620	shown by the few titles the 5200 had available which tended to just be
1716620	1722940	ports of 2600 games. Nolan Bushnell is reported to have left Atari over
1722940	1726620	disagreements with the direction of future console technology and the
1726620	1733660	commercial failure of the Atari 5200 seemed to vindicate his stance. Finally
1733660	1740780	to top Atari's year off there was E.T. which released just in time for the holiday season.
1763660	1780220	E.T. has regularly been called the worst video game of all time. This may be
1780220	1786540	rather harsh but history is rarely known for its kindness. Still worst of all time
1786540	1791860	or not E.T. is certainly symbolic and it's a perfect example of a hubris that
1791860	1798020	brought Atari's downfall. Atari had acquired a license at high cost for an
1798020	1802220	E.T. game following the success of the movie but they wanted the game released
1802220	1807820	in time for Christmas to take advantage of increased holiday sales. This meant a
1807820	1812380	development time of only a few months and so they brought in experienced
1812380	1817420	developer Howard Scott Warshaw who had just completed the ambitious and
1817460	1823980	critically acclaimed Yars Revenge. Warshaw embraced a short development time as a unique
1823980	1830500	challenge and tried to do the miraculous. He failed and the result is a confusing
1830500	1834100	adventure game that had little connection to the original movie beyond its
1834100	1839860	strangely shaped protagonist. This didn't faze Atari however who skipped
1839860	1844820	audience testing to save time and produced an optimistic five million copies
1845180	1854300	for retailers only a fraction of which ended up selling. E.T. was a bad game but in this way it
1854300	1859700	wasn't unique. In fact after the success of Activision more and more developers
1859700	1864900	entered the third party space. This was before game developers needed a license
