start	end	text
0	23000	From New York Times Opinion, this is the Ezra Klein Show.
23000	29000	So I think you can date this era in artificial intelligence back to the launch of chat GPT.
29000	35000	And what is weird if you talk to artificial intelligence people about that is they'll tell you chat GPT.
35000	38000	It was just a wrapper, an interface system.
38000	42000	The underlying system GPT-3 had been around for a while.
42000	46000	I mean, I'd had access to GPT-3 for quite a while before chat GPT came around.
46000	53000	What chat GPT did was it allowed you to talk to GPT-3 like you were a human and it was a human.
53000	56000	So it made AI more human.
56000	63000	It made it more able to communicate back and forth with us by doing a better job mimicking us and understanding us,
63000	64000	which is amazing.
64000	71000	I don't mean to take anything away from it, but it created this huge land rush for AIs that functionally mimic human beings.
71000	76000	AIs that relate as if they are human beings and try to fool us into thinking that they're human.
76000	80000	But I've always been more interested in more inhuman AI systems.
80000	86000	When you ask somebody who's working on artificial intelligence, including people who believe it could do terrible harm to the world,
86000	89000	why are you doing it? What's the point of this?
89000	96000	They don't say, oh, you know, we should risk these terrible consequences because it's fun to chat with chat GPT.
96000	102000	They say, oh, AI, it's going to solve all these terrible scientific problems we have, clean energy and drug discovery.
102000	108000	And, you know, it's going to create an era of innovation like nothing humanity's ever experienced.
108000	112000	There aren't that many examples, though, of AI doing that yet.
112000	115000	But there is one, which you may have heard me mention before.
115000	121000	And that's AlphaFold, the system built by DeepMind that solved the protein folding problem.
121000	125000	And the protein folding problem is that there are hundreds of millions of proteins.
125000	128000	The way they function has to do with their 3D structure.
128000	132000	But even though it's fairly straightforward to figure out their amino acid sequence,
132000	136000	it's very hard to predict how they will be structured based on that.
136000	137000	We were never able to do it.
137000	142000	We were doing it one by one, studying each one for years to try to figure out and basically map it.
142000	147000	And then they build the system, AlphaFold, which solves a problem,
147000	152000	is able to predict the structure of hundreds of millions of proteins, a huge scientific advance.
152000	154000	So how did they build that?
154000	157000	And what could other systems like that look like?
157000	164000	What is this other path for AI, this more scientific path where you're tuning these systems to solve scientific problems,
164000	168000	not to communicate with us, but to do what we truly cannot do?
168000	171000	Demis Asabis is the founder of DeepMind.
171000	176000	DeepMind is owned by Google and recently Asabis was put in charge of all Google AI.
176000	180000	So now it's called Google DeepMind and he runs all of it.
180000	182000	That makes him one of the most important people in the world,
182000	185000	charting the future of artificial intelligence.
185000	190000	So I asked him to come on the show to talk me through the development of AlphaFold,
190000	195000	how it was built, what came before it, what could come after it,
195000	201000	and what that says about the different ways and the different pathways forward for artificial intelligence.
201000	204000	As always, my email is reclineshow at nytimes.com.
209000	211000	Demis Asabis, welcome to the show.
211000	212000	Thanks for having me.
212000	215000	So tell me about the founding of DeepMind.
215000	216000	You were pretty young at that point.
216000	218000	How did you decide to start it?
218000	221000	What was the vision for it?
221000	225000	Well, actually, my background in AI starts from way before DeepMind.
225000	230000	So I started actually in the games industry, writing computer games and some best selling games,
230000	236000	actually games like Theme Park and Black and White and other games that I worked on in my teenage years.
236000	239000	And they all had AI as a core component of the game.
239000	240000	So let's take Theme Park.
240000	243000	It was a simulation game, came out in 1994.
243000	250000	And you basically created a theme park and lots of little people came in, played on the rides and bought stuff from your stalls.
250000	252000	So there's a whole kind of simulation underlying it.
252000	255000	And AI was the core part of the gameplay.
255000	260000	So I've been working on AI for nearly 30 years now in various guises.
260000	262000	So if you look at my career, I've done lots of different things,
262000	267000	but they were all doing something like an effort like DeepMind working on AGI.
267000	273000	And so all the things I did, the neuroscience, the computer science undergrad, PhD in neuroscience,
273000	279000	was all for gathering information and inspiration for eventually what would become DeepMind.
279000	281000	So I played Theme Park back in the day.
281000	287000	And if you ask me now and you say, hey, Theme Park, that game you played in the 90s, was that AI?
287000	289000	I would say no.
289000	295000	There's a classic line to paraphrase that AI is anything the computer can't do yet.
295000	298000	But now you look back, you think, oh, no, that's just a little video game.
298000	302000	So when you say that was AI, what are you saying by that?
302000	304000	And to you, what is artificial intelligence?
304000	312000	And what's just machine learning or statistics or some less impressive function?
312000	319000	Yeah, so back in the 90s and with games like Theme Park at the time, that was pretty cutting edge.
319000	325000	We were using relatively simple techniques, cellular automata and relatively narrow AI systems,
325000	329000	sort of logic systems really, which was in vogue back in the 80s and 90s.
329000	335000	But it was AI in terms of making a machine do something smart and actually adapt to,
335000	339000	automatically adapt to the way the gamer in that case was playing the game.
339000	344000	So the cool thing about Theme Park was that and why it was so successful and sold millions of copies around the world
344000	348000	was that everybody who played it got a unique experience.
348000	351000	Because the game adapted to how you were playing.
351000	355000	It's very primitive by today's standards of learning systems.
355000	357000	But back then it was pretty groundbreaking.
357000	365000	It was one of the first games along with SimCity to do these kinds of complicated simulations under the hood powered by AI.
365000	369000	As to your question about what is AI, I think AI is the science of making machines smart.
369000	375000	And then a sub branch of AI is machine learning, which is the kinds of AI systems that learn for themselves
375000	378000	and learn directly from data and experience.
378000	383000	And that's really what, of course, has powered the renaissance of AI in the last 10, 15 years.
383000	385000	And that's the sort of AI that we work on today.
385000	387000	Can you just spend another second on that?
387000	391000	You mentioned a minute ago that what was happening in Theme Park was logic based systems,
391000	393000	which I think is at least one of the other branches.
393000	399000	Can you describe the difference between some of the more logic based or rules based or knowledge encoded systems
399000	404000	and deep learning and some of the other things that are more dominant now?
404000	405000	Sure.
405000	410000	So if you think of AI as being this overarching field of making machines smart,
410000	413000	then they're broadly speaking two approaches to doing that.
413000	419000	One is the classical approach and the sort of approach that was done for the first few decades of AI research
419000	422000	since the 1950s with logic systems.
422000	426000	So this is the idea of the programmers or the creators of the system.
426000	432000	They effectively solve the problem, be that playing chess or controlling little characters in a game.
432000	435000	And then they would program up these routines and heuristics,
435000	441000	and then effectively the system would then deal with new inputs and execute those heuristics.
441000	443000	And you can be pretty powerful systems.
443000	445000	They're sometimes called expert systems.
445000	448000	And the most famous of that is probably Deep Blue IBM's chess program.
448000	452000	They beat Gary Kasparov, the world chess champion at the time in the 90s very famously.
452000	455000	And that was probably the pinnacle of expert systems.
